time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.07937,1.04364,0.962925,1.048,0.901953,0.847985,1.12249,1.15094,0.966347,0.992516,1.15426,1.05004,1.05679,1.0684,0.912821,0.916728,1.02831,1.10064,0.984257,0.857758,1.05932,1.0401,0.886199,1.21172,0.963211,1.13045,1.16077,0.540622,0.98961,0.611678,1.01381,1.13781,1.21255,0.980245,0.892426,0.962952,1.1424,0.764872,0.77828,0.788251,1.14612,1.13513,1.01833,1.09964,0.917621,0.842598,1.18193,1.11506,0.980079,1.01617,1.22239,1.10811,1.09338,1.07032,0.900378,0.946069,1.07616,0.906463,0.915992,0.8983,0.861506,0.854455,0.758402,1.28301,0.918438,1.17491,1.23484,0.522348,1.00695,0.622702,1.01627,1.19031,1.25256,0.985791,0.7786,0.999664,1.2155,0.793279,0.776687,0.784992,
3.605,1.07937,1.04364,0.962925,1.048,0.901953,0.847985,1.12249,1.15094,0.966347,0.992516,1.15426,1.05004,1.05679,1.0684,0.912821,0.916728,1.02831,1.10064,0.984257,0.857758,1.05932,1.0401,0.886199,1.21172,0.963211,1.13045,1.16077,0.540622,0.98961,0.611678,1.01381,1.13781,1.21255,0.980245,0.892426,0.962952,1.1424,0.764872,0.77828,0.788251,1.14612,1.13513,1.01833,1.09964,0.917621,0.842598,1.18193,1.11506,0.980079,1.01617,1.22239,1.10811,1.09338,1.07032,0.900378,0.946069,1.07616,0.906463,0.915992,0.8983,0.861506,0.854455,0.758402,1.28301,0.918438,1.17491,1.23484,0.522348,1.00695,0.622702,1.01627,1.19031,1.25256,0.985791,0.7786,0.999664,1.2155,0.793279,0.776687,0.784992,
3.61,1.08032,1.04157,0.969115,1.0562,0.907016,0.850558,1.12914,1.14725,0.965244,0.991503,1.1546,1.05053,1.05684,1.06857,0.918011,0.922174,1.03654,1.10267,0.990982,0.866439,1.0595,1.0423,0.893875,1.21421,0.957186,1.13085,1.16115,0.556206,0.986254,0.608335,1.01007,1.14367,1.2172,0.981816,0.882613,0.961883,1.14286,0.768773,0.782006,0.791753,1.1422,1.115,1.01994,1.10316,0.917362,0.839463,1.18443,1.1132,0.979347,1.01595,1.22257,1.10837,1.09342,1.07055,0.904683,0.950466,1.07991,0.914576,0.924004,0.905486,0.868084,0.862756,0.770838,1.28205,0.91547,1.17511,1.23503,0.532892,1.00493,0.621261,1.01491,1.19366,1.25472,0.986791,0.777871,0.999615,1.21575,0.794556,0.777763,0.786086,
3.615,1.08156,1.04077,0.976454,1.06691,0.913746,0.853753,1.13786,1.14329,0.963814,0.990124,1.15508,1.05127,1.05687,1.06878,0.924396,0.92892,1.04751,1.10478,0.998799,0.877513,1.05957,1.04466,0.901622,1.21699,0.949452,1.13137,1.16168,0.568813,0.981682,0.601617,1.00531,1.15142,1.22237,0.982491,0.866815,0.960182,1.14352,0.773414,0.786548,0.796159,1.13691,1.11892,1.02202,1.10741,0.916921,0.835385,1.18768,1.11115,0.978515,1.01562,1.22283,1.10875,1.09347,1.0709,0.909967,0.955524,1.08456,0.923189,0.933525,0.913136,0.877516,0.872682,0.78498,1.28111,0.911308,1.17537,1.23529,0.54244,1.00086,0.619173,1.01279,1.19802,1.25721,0.986894,0.776999,0.998669,1.21609,0.79641,0.779379,0.787791,
3.62,1.08301,1.03968,0.984919,1.07829,0.920838,0.857519,1.14722,1.13939,0.962133,0.988463,1.15562,1.05213,1.05687,1.06897,0.930978,0.936023,1.05883,1.10671,1.00734,0.889062,1.05951,1.04685,0.910297,1.21988,0.941333,1.13192,1.16227,0.585846,0.97694,0.593735,0.999855,1.15973,1.22765,0.984114,0.849896,0.957912,1.14426,0.779247,0.792281,0.801557,1.13163,1.10252,1.02425,1.11189,0.916493,0.83125,1.19118,1.10907,0.977626,1.01522,1.22311,1.10918,1.09351,1.07131,0.915971,0.961298,1.08942,0.932654,0.943477,0.922245,0.887014,0.884583,0.800103,1.28023,0.90693,1.17565,1.23557,0.556303,0.996738,0.616372,1.01052,1.20271,1.25979,0.987201,0.775999,0.997647,1.21648,0.798996,0.781664,0.790097,
3.625,1.08465,1.0391,0.993608,1.08961,0.928501,0.861493,1.15668,1.13548,0.96028,0.98656,1.15619,1.05306,1.05684,1.0691,0.937558,0.943076,1.07017,1.1084,1.0156,0.900726,1.0593,1.0488,0.919006,1.22285,0.933345,1.13247,1.16287,0.604463,0.972199,0.585634,0.994232,1.16809,1.23289,0.986532,0.832684,0.955386,1.14502,0.785414,0.798362,0.807206,1.12622,1.10455,1.02657,1.11648,0.916143,0.827098,1.1948,1.10696,0.976695,1.01481,1.22341,1.10963,1.09354,1.07175,0.922071,0.967291,1.09433,0.942727,0.953753,0.93188,0.896357,0.896623,0.816073,1.27943,0.902475,1.17593,1.23586,0.572247,0.992573,0.613081,1.00817,1.20748,1.26239,0.98781,0.774867,0.996564,1.21688,0.801876,0.784233,0.79263,
3.63,1.08647,1.0387,1.00229,1.1007,0.936369,0.865585,1.16601,1.13162,0.958317,0.98452,1.15675,1.05399,1.05674,1.06916,0.944022,0.949932,1.08143,1.10986,1.02343,0.912343,1.05895,1.05049,0.927378,1.22587,0.925537,1.133,1.16346,0.623442,0.967513,0.577596,0.988572,1.17631,1.23803,0.98945,0.815357,0.952797,1.14578,0.791634,0.804511,0.812883,1.12061,1.0979,1.02897,1.12114,0.915889,0.822951,1.19846,1.10481,0.97573,1.0144,1.22372,1.1101,1.09354,1.07222,0.928197,0.973304,1.09928,0.952912,0.964284,0.941651,0.905572,0.908519,0.832613,1.27869,0.897975,1.17622,1.23617,0.58926,0.988366,0.609541,1.00576,1.21227,1.265,0.988753,0.773597,0.995431,1.21729,0.804882,0.78693,0.795262,
3.635,1.08847,1.03856,1.01088,1.11153,0.944205,0.869764,1.17507,1.12779,0.956292,0.982438,1.1573,1.05492,1.05659,1.06913,0.95023,0.9565,1.0925,1.1111,1.03085,0.92378,1.05853,1.05195,0.935288,1.22894,0.917934,1.13352,1.16404,0.642163,0.96291,0.569721,0.982925,1.18428,1.24304,0.992632,0.798015,0.950236,1.14653,0.797805,0.810627,0.81851,1.11495,1.09347,1.03144,1.12587,0.91573,0.818831,1.20215,1.10261,0.974735,1.014,1.22403,1.11058,1.09352,1.07272,0.93433,0.979296,1.10425,0.962998,0.974901,0.951434,0.914649,0.920232,0.84935,1.27803,0.893439,1.17651,1.23647,0.606845,0.984125,0.605893,1.00331,1.21702,1.2676,0.989994,0.772182,0.994253,1.21771,0.807961,0.789705,0.797956,
3.64,1.09064,1.03868,1.01929,1.12205,0.951964,0.874004,1.18383,1.12403,0.954254,0.980371,1.15783,1.05583,1.05636,1.06901,0.956069,0.962776,1.10329,1.11215,1.03784,0.934803,1.05805,1.0532,0.942668,1.23203,0.91056,1.13403,1.1646,0.660291,0.958413,0.562068,0.977321,1.19195,1.24788,0.995918,0.780749,0.947741,1.14725,0.803887,0.816665,0.824056,1.10936,1.0881,1.034,1.13066,0.915641,0.814767,1.20586,1.10036,0.97371,1.0136,1.22435,1.11108,1.09347,1.07327,0.940456,0.985249,1.10924,0.972903,0.985481,0.961175,0.923451,0.931726,0.86604,1.27744,0.888878,1.17682,1.23679,0.624727,0.97986,0.602215,1.00081,1.22172,1.27019,0.991478,0.770614,0.993033,1.21813,0.811097,0.792546,0.800704,
3.645,1.09298,1.03905,1.02749,1.13224,0.959609,0.878282,1.19221,1.12033,0.952239,0.978352,1.15834,1.0567,1.05604,1.0688,0.96158,0.968757,1.1137,1.11301,1.04443,0.94519,1.05757,1.05426,0.949492,1.23512,0.903433,1.13451,1.16514,0.677634,0.954043,0.554692,0.971788,1.19927,1.25251,0.999209,0.763662,0.945332,1.14794,0.809857,0.8226,0.829501,1.10389,1.08176,1.03663,1.13551,0.915679,0.810825,1.20956,1.09804,0.972653,1.0127,1.22468,1.11158,1.09337,1.07385,0.946554,0.991148,1.11423,0.98259,0.995952,0.970835,0.932095,0.942967,0.882546,1.27692,0.884301,1.17712,1.23711,0.642729,0.975582,0.598554,0.998266,1.22633,1.27275,0.993154,0.768873,0.991772,1.21858,0.814292,0.795452,0.803509,
