mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
addbrev_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
addlong_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
addmagDist_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
addmagIsch_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
addmagMid_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
addmagProx_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
bflh_r,0.0748163,0.078691,0.109403,0.0982884,0.0823033,0.0355645,
bfsh_r,0.0745283,0.0776087,0.106326,0.0992271,0.0810913,0.038568,
edl_r,0.0378709,0,0.00765471,0.00118707,0,0,
ehl_r,0.00279671,0.00403361,0.111078,0.00519345,0,6.12164e-05,
fdl_r,7.30029e-05,0,7.82325e-05,0.000508471,0.194911,0.000546026,
fhl_r,0.00117505,0,0,0,0.484484,0,
gaslat_r,0,0,0,0,0.000821223,0.000794013,
gasmed_r,0,0,0,0,0.000821223,0.000794013,
glmax1_r,0.40286,0.280447,0.390442,0.525465,0.357006,0.435858,
glmax2_r,0.407905,0.303537,0.451413,0.504631,0.374911,0.375668,
glmax3_r,0.406188,0.295857,0.431706,0.51148,0.369132,0.395105,
glmed1_r,0.406165,0.294689,0.428808,0.512914,0.368165,0.398637,
glmed2_r,0.408005,0.302869,0.450745,0.505857,0.374528,0.377526,
glmed3_r,0.405189,0.291615,0.420422,0.515217,0.365878,0.405995,
glmin1_r,0.406864,0.29875,0.439399,0.508926,0.371351,0.387673,
glmin2_r,0.407807,0.303367,0.451328,0.504672,0.374854,0.37577,
glmin3_r,0.405093,0.291205,0.41933,0.51558,0.365561,0.407054,
grac_r,0.0314472,9.54644e-05,0,0.000367623,0,0,
iliacus_r,0,0,0,0,0,0,
perbrev_r,0,0,0,0,0.981388,0.00219866,
perlong_r,0,0.000868194,0,0,0.612651,0,
piri_r,0,0,0,0.000232468,0,0,
psoas_r,0,0,0,0,0,0,
recfem_r,0,0,0,0,0,0,
sart_r,0,0,0,0,0,0,
semimem_r,0.0748944,0.0786076,0.108312,0.0980911,0.081005,0.0372307,
semiten_r,0.0748589,0.0789476,0.110105,0.098048,0.082487,0.0348791,
soleus_r,0,0,0,0,0.000821223,0.000794013,
tfl_r,0,0,0,0,0,0,
tibant_r,0.0665817,0,0.000900486,0,0,0,
tibpost_r,0,0,0,0,0.334487,0,
vasint_r,0,0,0,0,0,0,
vaslat_r,0,0,0,0,0,0,
vasmed_r,0,0,0,0,0,0,
addbrev_l,0.409012,0.271661,0.359412,0.549623,0.35402,0.482626,
addlong_l,0.413524,0.294581,0.422472,0.528087,0.37119,0.42227,
addmagDist_l,0.411576,0.287721,0.403807,0.533711,0.366244,0.439026,
addmagIsch_l,0.41333,0.295151,0.423953,0.527138,0.371762,0.419996,
addmagMid_l,0.41997,0.322848,0.496152,0.502905,0.392653,0.35007,
addmagProx_l,0.414871,0.302284,0.442712,0.520678,0.377243,0.401528,
bflh_l,0.119447,0.0617343,0.0957803,0.146151,0.0943362,0.152992,
bfsh_l,0.119415,0.0617299,0.0958282,0.14612,0.0943119,0.153008,
edl_l,0.138642,0.0472602,0.16939,0.00271749,0.0149596,0.0883447,
ehl_l,0.0899394,0.0538679,0.37464,0.101427,0.00133765,0.0377115,
fdl_l,0.00137119,0.481387,0,0.0400123,0.00215478,0,
fhl_l,0.0486569,0.0639692,0,0.0840883,0.0393269,0,
gaslat_l,0.37964,0.260247,0.383362,0.475812,0.335211,0.394631,
gasmed_l,0.378175,0.254779,0.368376,0.480601,0.330929,0.408635,
glmax1_l,0.149049,0.0622683,0.104966,0.176771,0.108063,0.21225,
glmax2_l,0.147798,0.0578388,0.0939677,0.179978,0.105252,0.222815,
glmax3_l,0.147878,0.0581467,0.0948452,0.179692,0.105523,0.221958,
glmed1_l,0.147617,0.0571512,0.0921103,0.180568,0.104715,0.224609,
glmed2_l,0.146875,0.0544585,0.0848056,0.182864,0.10256,0.231584,
glmed3_l,0.147849,0.0582646,0.0948505,0.179665,0.105369,0.221918,
glmin1_l,0.147608,0.0572604,0.0908302,0.180832,0.103927,0.225596,
glmin2_l,0.147734,0.0575856,0.0932858,0.180196,0.105057,0.223476,
glmin3_l,0.149602,0.0581064,0.0959486,0.180249,0.107881,0.219547,
grac_l,0.41456,0.300344,0.437769,0.52257,0.375745,0.406675,
iliacus_l,0,0,0,0,0,0,
perbrev_l,0.0232016,0.610488,0.00906209,0.0661551,0.00180158,0.00632478,
perlong_l,0,0.199413,0,0.049592,0.00556913,0,
piri_l,0.00390603,0.0157487,0.639195,0.00365841,0.121004,0.0873088,
psoas_l,0,0,0,0,0,0,
recfem_l,0,0,0,0,0,0,
sart_l,0,0,0,0,0,0,
semimem_l,0.119569,0.0615607,0.0950323,0.146525,0.0943684,0.153399,
semiten_l,0.118541,0.0610432,0.0937743,0.146574,0.0934633,0.154821,
soleus_l,0.380956,0.265509,0.397034,0.471523,0.339182,0.38152,
tfl_l,0,0,0,0,0,0,
tibant_l,0.153086,0.00290634,0.459781,0,0,0.132572,
tibpost_l,0,0.222672,0.000151209,0.0102131,0.000798118,0,
vasint_l,0.134218,0.097137,0.141827,0.169178,0.121589,0.131779,
vaslat_l,0.13618,0.104731,0.160596,0.163192,0.127208,0.113626,
vasmed_l,0.135687,0.102742,0.155418,0.164904,0.125727,0.118597,
