time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,635.281,1144.29,0,0,0,0,350.438,404.164,134.416,70.665,33.2151,328.728,441.076,646.216,1273.29,1819.48,1299.87,1539.53,1055.91,1131.54,542.36,584.722,587.489,213.269,0,833.825,658.348,0,857.974,0,122.626,606.561,218.648,0,0,141.641,321.2,0,0,0,930.557,1345.72,873.729,879.504,852.874,1334.77,511.704,261.369,2105.65,1179.49,623.502,1296.79,1214.51,1937.3,448.991,634.092,470.32,506.231,356.152,430.501,192.577,201.875,147.799,380.405,0,579.958,639.159,266.674,789.062,0,135.018,926.232,335.097,843.791,0,600.232,834.158,233.701,1155.96,604.62,
3.605,635.281,1144.29,0,0,0,0,350.975,438.925,134.341,70.0625,33.2789,331.849,441.076,646.216,1272.92,1819.14,1299.58,1539.26,1055.9,1130.95,542.053,584.346,592.241,213.269,0,831.855,671.743,0,857.974,0,122.626,606.383,218.588,0,0,141.559,322.487,0,0,0,930.228,1346.34,873.494,879.331,852.485,57.0276,511.418,261.154,2774.19,1243.15,629.515,1307.06,1291.88,2068.03,472.74,656.178,469.632,525.558,382.953,524.009,201.528,237.057,168.28,380.374,0,581.637,641.39,256.21,789.062,0,135.018,925.041,334.924,937.548,0,569.7,834.422,245.509,1156.3,605.799,
3.61,652.707,1107.57,60.2451,85.5702,47.7288,21.573,437.716,366.617,131.012,68.9771,30.7067,302.418,441.69,649.972,1596.44,2274.34,1805.25,1651.33,1315.28,1602.73,548.051,644.926,708.252,229.563,0,755.253,626.369,36.1636,79.6794,0,93.5903,731.167,263.561,34.3233,0,132.691,293.979,41.2807,113.922,51.7532,670.132,1136.1,942.812,952.489,827.391,1280.54,551.393,236.774,2771,1247.84,656.385,1332.64,1324.91,2122,603.527,828.986,578.201,753.3,547.822,809.256,302.221,381.096,273.409,369.113,0,602.787,658.185,352.132,416.666,0,120.363,1013.04,361.581,1006.23,0,564.171,856.92,277.755,1274.36,667.721,
3.615,663.033,1097.26,69.005,89.6399,64.2151,27.9931,507.817,320.538,128.663,67.5057,30.1928,307.208,441.654,651.799,1783.22,2554.33,2039.48,1717.68,1487.55,1803.42,546.201,675.81,793.997,237.681,0,754.272,645.745,33.2517,932.726,0,79.5318,838.109,289.525,14.1232,0,127.475,294.562,49.1625,139.035,65.2858,551.614,972.538,988.619,1014.23,817.365,41.0937,586.082,223.62,2885.88,1250.53,675.771,1362.36,1349.31,2161.04,644.193,889.204,625.4,823.256,602.416,894.082,303.797,397.451,309.797,362.607,0,618.651,670.726,338.373,704.306,0,116.213,1090.45,378.386,1061.33,0,551.486,873.688,294.622,1357.8,708.108,
3.62,673.76,1092.56,80.561,109.745,67.5938,32.4784,557.355,286.813,127.236,68.0246,27.3526,279.231,441.342,652.519,1877.01,2703.35,2108.9,1751.12,1588.04,1861.42,541.343,687.657,850.445,244.759,0,667.609,598.815,44.972,517.841,0,64.2287,922.05,302.93,34.649,0,124.317,267.234,61.8858,175.949,80.2962,476.06,841.871,1018.49,1065.4,815.664,1284.68,615.402,216.049,2985.76,1255.45,685.948,1356.99,1371.44,2198.16,650.082,906.31,649.578,825.538,601.2,877.54,292.228,379.635,324.284,359.142,0,626.985,676.467,480.189,105.894,0,109.675,1156.35,388.87,1106.2,0,527.659,882.983,303.321,1417.99,735.094,
3.625,685.379,1090.88,83.0923,121.846,71.2138,33.7471,587.358,263.495,128.928,66.6003,23.3401,232.727,440.945,652.413,1912.76,2771.2,2111.04,1761.73,1637.35,1872.3,535.628,688.337,884.321,251.837,0,512.211,493.203,49.7592,379.293,0,52.0913,982.157,309.891,52.397,0,131.11,225.658,65.454,186.855,84.2905,454.421,749.071,1039.53,1107.81,818.865,39.6147,639.786,211.289,3082.74,1261.42,677.294,1386.01,1388.17,2226.19,642.705,906.854,663.366,815.478,587.539,830.783,285.031,359.049,322.408,357.702,0,621.722,674.33,359.723,726.93,0,103.971,1211.6,395.676,1143.9,0,595.269,873.801,309.728,1465.59,755.705,
3.63,698.071,1091.88,83.0985,132.652,74.1603,34.6056,600.947,248.102,128.645,67.786,20.7508,217.116,439.982,651.568,1922.17,2793.27,2100.45,1758,1651.65,1877.66,530.031,683.14,901.447,259.009,0,455.388,469.86,51.6188,536.711,0,41.6493,1020.19,314.129,63.962,0,134.003,205.187,66.0311,189.148,84.9208,454.471,681.649,1054.25,1142.7,825.149,1279.81,659.876,207.877,3176.7,1270.94,590.828,1374.88,1400.05,2246.69,637.013,904.7,672.28,812.803,580.141,787.146,280.669,343.168,323.537,357.608,0,549.118,636.39,517.721,355.087,0,98.6565,1257.34,400.39,1176.91,0,605.067,791.344,316.498,1506.86,773.443,
3.635,712.055,1095.43,82.1905,145.863,74.3316,35.2784,605.097,238.135,129.568,65.3733,18.4466,191.227,439.131,650.025,1921.06,2797.09,2090.56,1745.22,1649.8,1886.36,525.055,674.8,907.073,266.238,0,392.691,426.026,51.8522,389.263,0,32.1435,1042.3,317.154,70.169,0,140.675,183.296,65.5325,188.295,84.3859,458.437,632.389,1066.01,1171.16,833.5,42.714,676.345,205.098,3267.39,1285.44,527.86,1390.25,1408.64,2262.73,634.489,903.765,679.422,813.034,577.407,752.438,278.179,330.546,326.109,358.423,0,510.886,622.266,341.361,454.566,0,93.4663,1294.91,403.874,1207.02,0,629.134,749.453,324.337,1545.01,789.952,
3.64,727.301,1101.4,80.7547,161.84,73.7015,35.7916,605.682,231.611,124.898,67.0335,14.3281,136.981,437.518,647.912,1915.21,2792.98,2079.09,1726.9,1642.8,1892.84,520.979,665.378,906.364,273.458,0,260.49,292.92,51.079,383.008,0,23.4634,1056.06,319.433,72.7902,0,121.04,137.294,64.586,186.067,83.3456,464.94,597.975,1076.03,1194.57,843.383,1272.67,689.78,202.601,3354.46,1299.87,557.441,1429.91,1414.54,2276.59,633.838,903.938,686.06,815.388,577.678,726.025,276.67,321.499,329.203,359.831,0,527.096,636.741,527.22,312.407,0,88.3288,1325.49,406.568,1235.58,0,653.518,757.911,333.271,1582,806.038,
3.645,743.407,1109.67,78.9058,180.18,72.7293,36.1553,604.898,227.369,126.475,64.687,13.1858,130.407,435.725,645.212,1905.98,2784.04,2065.48,1706.1,1632.24,1895.61,518.013,655.895,902.023,280.617,0,250.595,297.469,49.6359,365.079,0,15.6087,1066.35,321.042,73.1113,0,129.377,128.379,63.4009,183.045,82.0182,473.559,575.931,1084.8,1213.26,854.459,44.9995,700.67,200.194,3437.52,1320.45,650.863,1460.06,1418.47,2289.56,633.953,904.431,692.431,818.982,579.906,705.625,276.043,314.569,332.304,361.634,0,586.871,658.435,303.119,199.885,0,83.2398,1350.2,408.695,1263.53,0,655.007,834.272,343.078,1618.93,822.17,
3.65,760.326,1120.08,76.7368,200.349,71.4786,36.3897,603.154,224.724,125.799,66.9579,10.8594,105.833,433.638,641.948,1892.14,2770.07,2047.18,1685.05,1618.32,1896.91,516.321,646.558,895.464,287.661,0,203.94,221.948,47.7262,311.616,0,8.61029,1074.63,322.072,72.0036,0,133.898,105.675,62.0511,179.457,80.4765,484.449,564.114,1092.36,1228.2,866.497,1267.95,709.43,197.794,3516.07,1336.59,630.896,1482.16,1421.1,2303.04,634.182,904.725,698.527,823.416,583.413,691.335,275.096,309.453,335.057,363.673,0,570.48,652.675,481.002,329.82,0,78.2072,1369.99,410.354,1291.55,0,669.433,815.144,353.679,1656.39,838.632,
