time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.2006,1.22646,0.921748,0.982364,0.867537,0.817419,0.908412,1.08469,1.21845,1.22508,0.603951,0.652876,1.20521,1.17189,0.895474,0.905239,1.03413,1.13092,0.982788,0.862868,1.12481,1.08489,0.761414,1.17002,0.963456,1.0248,0.732645,0.291037,1.12707,0.874458,1.11254,1.00596,1.12419,0.646339,0.937558,1.1495,0.621597,0.771165,0.784527,0.793759,1.11338,0.984396,0.997358,1.00354,0.93922,0.871834,1.01476,1.07488,1.19036,1.25889,0.62447,1.11539,0.688423,0.632715,0.892062,0.92222,1.07494,0.942382,0.940166,0.923536,0.886723,0.819231,0.69368,1.26642,0.921902,1.0572,1.17763,0.754938,1.12131,0.790955,1.11873,1.06927,1.19258,0.51098,0.807216,1.11793,1.11215,0.592884,0.65524,0.672212,
3.605,1.2006,1.22646,0.921748,0.982364,0.867537,0.817419,0.908357,1.08409,1.21847,1.22539,0.603888,0.652151,1.20521,1.17189,0.895479,0.905243,1.03413,1.13092,0.982788,0.862878,1.12481,1.0849,0.761192,1.17002,0.963456,1.02504,0.730618,0.291037,1.12707,0.874458,1.11254,1.00597,1.12419,0.646339,0.937558,1.14952,0.62138,0.771165,0.784527,0.793759,1.11338,0.984377,0.997362,1.00355,0.939225,0.849339,1.01478,1.07489,1.1865,1.25742,0.622813,1.11452,0.684992,0.629275,0.891777,0.921999,1.07496,0.942106,0.939576,0.9224,0.886611,0.818484,0.692496,1.26642,0.921902,1.05626,1.17671,0.755867,1.12131,0.790955,1.11873,1.06934,1.19259,0.509332,0.807216,1.11901,1.11136,0.592475,0.655239,0.672194,
3.61,1.20169,1.22494,0.927859,0.99096,0.87242,0.81975,0.910718,1.08225,1.21722,1.22325,0.605712,0.654171,1.20526,1.17207,0.898269,0.907984,1.0388,1.13175,0.985485,0.868023,1.12494,1.08606,0.763277,1.17238,0.957516,1.02771,0.731012,0.304352,1.10907,0.871094,1.10872,1.008,1.12673,0.647885,0.92765,1.14791,0.623659,0.775079,0.78827,0.797281,1.11036,0.982769,0.9982,1.00444,0.938931,0.862354,1.01558,1.07395,1.18188,1.25597,0.620876,1.11434,0.682094,0.626508,0.895042,0.92513,1.07771,0.94753,0.944345,0.926662,0.894139,0.825076,0.69791,1.26602,0.918953,1.05501,1.17565,0.759126,1.11268,0.789542,1.11683,1.07041,1.19373,0.508404,0.806486,1.11824,1.11026,0.593652,0.656231,0.67326,
3.615,1.20306,1.22355,0.934852,0.999962,0.878979,0.822765,0.915385,1.07977,1.21571,1.22211,0.608334,0.658216,1.2053,1.17228,0.903003,0.912764,1.04775,1.13307,0.990391,0.877967,1.12503,1.08784,0.767255,1.17515,0.949844,1.03265,0.733389,0.316388,1.11566,0.86438,1.104,1.01196,1.13085,0.648553,0.911739,1.14587,0.627386,0.779733,0.792826,0.801707,1.10581,0.979903,0.999602,1.00609,0.938519,0.837721,1.01705,1.07251,1.17717,1.25473,0.619158,1.11366,0.679917,0.624609,0.900361,0.930129,1.08178,0.958008,0.954306,0.935273,0.904707,0.837025,0.710221,1.2654,0.914836,1.05388,1.17458,0.76825,1.11301,0.787461,1.11488,1.07237,1.19557,0.508006,0.805614,1.1186,1.10933,0.595748,0.657822,0.674931,
3.62,1.20463,1.22246,0.943011,1.01074,0.885878,0.826255,0.922274,1.07683,1.21391,1.21917,0.611823,0.664793,1.20529,1.17246,0.908937,0.91892,1.06062,1.13466,0.997087,0.891825,1.12503,1.08985,0.772696,1.17805,0.941821,1.04106,0.738472,0.332314,1.11086,0.856572,1.09839,1.01776,1.13573,0.65011,0.894709,1.14359,0.632728,0.785582,0.798578,0.807129,1.10016,0.975969,1.00138,1.0084,0.938089,0.853112,1.01911,1.07081,1.17248,1.25336,0.618113,1.11407,0.678335,0.623425,0.90665,0.936024,1.08651,0.970416,0.967487,0.946807,0.914873,0.850151,0.728497,1.26465,0.910504,1.05323,1.17411,0.776546,1.09913,0.784642,1.11259,1.0751,1.19782,0.507988,0.804612,1.11577,1.10885,0.59822,0.659762,0.676911,
3.625,1.20638,1.2217,0.951421,1.022,0.893141,0.829878,0.931084,1.07355,1.21065,1.21793,0.616448,0.675895,1.20525,1.17258,0.915329,0.925763,1.07381,1.13634,1.00496,0.905083,1.1249,1.09189,0.779159,1.18102,0.933936,1.0581,0.748985,0.349616,1.10402,0.848568,1.09247,1.02524,1.14087,0.652434,0.877384,1.13868,0.640476,0.791764,0.804679,0.812806,1.09417,0.97121,1.00343,1.01128,0.937698,0.828315,1.02166,1.06896,1.16787,1.25192,0.618418,1.11374,0.677185,0.62275,0.913059,0.94216,1.09155,0.981958,0.979899,0.958445,0.924783,0.862518,0.74558,1.26384,0.906096,1.05355,1.17449,0.797137,1.10344,0.781344,1.11014,1.07848,1.20031,0.508238,0.803477,1.1137,1.10944,0.6008,0.661916,0.67906,
3.63,1.20832,1.22125,0.959827,1.03316,0.900699,0.833588,0.940966,1.07009,1.20894,1.21459,0.620576,0.68697,1.20513,1.17262,0.921746,0.932736,1.08613,1.138,1.01318,0.917274,1.12467,1.09383,0.786135,1.18404,0.92623,1.07415,0.764065,0.367289,1.1026,0.840625,1.08647,1.03386,1.14604,0.655253,0.859944,1.13668,0.647574,0.798,0.810849,0.81851,1.08821,0.965795,1.00566,1.01465,0.937385,0.843979,1.02461,1.06701,1.16338,1.25006,0.622109,1.11454,0.676325,0.622411,0.919427,0.948292,1.09673,0.993151,0.991815,0.96972,0.934456,0.874638,0.762228,1.26303,0.901642,1.05658,1.17695,0.805234,1.09784,0.77781,1.10761,1.08239,1.20293,0.508677,0.802203,1.11014,1.11281,0.603396,0.664213,0.681315,
3.635,1.21046,1.22111,0.968137,1.04406,0.90827,0.837367,0.951068,1.06652,1.20658,1.21377,0.623814,0.693914,1.20498,1.17257,0.928015,0.939597,1.09801,1.13956,1.02123,0.92902,1.12433,1.0956,0.793176,1.18709,0.918727,1.08124,0.773791,0.384818,1.09802,0.832836,1.08047,1.04293,1.15113,0.658333,0.842488,1.13333,0.652842,0.804187,0.816985,0.824164,1.08234,0.959862,1.00805,1.01845,0.937174,0.819693,1.02789,1.06499,1.15903,1.24822,0.619861,1.11365,0.675657,0.622285,0.925755,0.954381,1.10196,1.00408,1.00347,0.980766,0.943911,0.886386,0.778605,1.26223,0.897153,1.0547,1.17584,0.828891,1.09596,0.774177,1.10503,1.08674,1.20561,0.509251,0.800783,1.10799,1.11145,0.605988,0.666614,0.683648,
3.64,1.21279,1.22127,0.976298,1.05466,0.915772,0.841198,0.961009,1.06292,1.20576,1.20979,0.628295,0.706148,1.20472,1.17244,0.934069,0.946257,1.10953,1.141,1.029,0.940278,1.12391,1.09719,0.800033,1.19016,0.911451,1.09586,0.79312,0.401905,1.09438,0.825255,1.0745,1.05195,1.15607,0.661519,0.82511,1.13261,0.660942,0.810285,0.823043,0.829737,1.0766,0.953545,1.01056,1.0226,0.937083,0.835136,1.03142,1.06291,1.15483,1.24591,0.622517,1.11381,0.675112,0.622299,0.932046,0.960416,1.10723,1.01473,1.01488,0.991688,0.953127,0.897928,0.794718,1.26149,0.892639,1.05692,1.17739,0.834428,1.09109,0.770517,1.1024,1.0914,1.20833,0.509921,0.79921,1.10516,1.1141,0.608585,0.669101,0.686044,
3.645,1.2153,1.22172,0.984268,1.06492,0.923171,0.845064,0.970654,1.05931,1.20309,1.20935,0.63069,0.710551,1.20439,1.17221,0.939877,0.952677,1.12071,1.14228,1.03641,0.950958,1.12343,1.0986,0.806594,1.19321,0.904422,1.09912,0.800043,0.418366,1.09115,0.817938,1.0686,1.0607,1.16084,0.664711,0.80791,1.12837,0.664589,0.81627,0.828998,0.835208,1.07102,0.946979,1.01319,1.02706,0.937126,0.811239,1.03514,1.06077,1.15079,1.24373,0.623945,1.1133,0.674647,0.622406,0.938298,0.96639,1.11253,1.02508,1.02601,1.00239,0.962161,0.909129,0.810545,1.2608,0.888108,1.05807,1.17823,0.854526,1.08457,0.766875,1.09974,1.09628,1.21105,0.510665,0.79746,1.1035,1.11573,0.611201,0.671667,0.688502,
