mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
addbrev_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
addlong_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
addmagDist_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
addmagIsch_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
addmagMid_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
addmagProx_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
bflh_r,0.0220678,0.0364355,0.0631446,0.103582,0.122156,0.0164502,
bfsh_r,0.017417,0.0377156,0.0720397,0.101444,0.131404,0.00318202,
edl_r,0.00824622,0.0360106,0.105612,0.0140433,0.0520377,0.0762567,
ehl_r,0.0139521,0.022265,0.0776648,0.0342769,0.0522668,0.0583634,
fdl_r,0.00309305,0.0494897,0.114767,0.119603,0.00520985,0.0309946,
fhl_r,0.0678961,0.0186975,0.000704192,0.0673566,0.0160557,0.0662681,
gaslat_r,0,0,0,0,0,0,
gasmed_r,0,0,0,0,0,0,
glmax1_r,0.29403,0.052757,0.147676,0.601319,0.32329,0.530543,
glmax2_r,0.222072,0.307038,0.367805,0.327603,0.398353,0.20783,
glmax3_r,0.25081,0.257962,0.298231,0.383094,0.352917,0.310699,
glmed1_r,0.247813,0.243767,0.298751,0.3971,0.363345,0.309542,
glmed2_r,0.224901,0.380927,0.38844,0.252331,0.370715,0.178935,
glmed3_r,0.259301,0.209054,0.265663,0.434772,0.349624,0.358146,
glmin1_r,0.246931,0.296817,0.318875,0.342553,0.349561,0.280837,
glmin2_r,0.230723,0.314687,0.354691,0.321309,0.378079,0.227682,
glmin3_r,0.264991,0.218292,0.258487,0.426346,0.335038,0.369126,
grac_r,0.0398622,1.4013e-45,1.4013e-45,1.4013e-45,2.8026e-45,1.4013e-45,
iliacus_r,0,0,0,0,0,0,
perbrev_r,0.120733,0.0729797,0.108179,0.0347395,0.0413776,0.0140744,
perlong_r,0.00984664,0.0122173,0.0586485,0.0458941,0.0973328,0.091407,
piri_r,0.0771067,0.118271,0.044635,0.10182,0.0187962,0.06938,
psoas_r,0,0,0,0,0,0,
recfem_r,0,0,0,0,0,0,
sart_r,0,0,0,0,0,0,
semimem_r,0.0232267,0.0414857,0.0628006,0.098608,0.118271,0.0170976,
semiten_r,0.0225752,0.033882,0.0613294,0.106291,0.121854,0.0190971,
soleus_r,0,0,0,0,0,0,
tfl_r,0,0,0,0,0,0,
tibant_r,0.0686096,0.0145294,0.0628225,0.0318139,0.0957897,0.0619875,
tibpost_r,0.110034,0.0890199,0.0171563,0.0610769,0.114966,0.0159839,
vasint_r,0,0,0,0,0,0,
vaslat_r,0,0,0,0,0,0,
vasmed_r,0,0,0,0,0,0,
addbrev_l,0.281503,0.037545,0.180859,0.625971,0.373667,0.497704,
addlong_l,0.268759,0.17062,0.250451,0.487322,0.361049,0.396956,
addmagDist_l,0.26941,0.13085,0.235417,0.528184,0.371406,0.418434,
addmagIsch_l,0.26796,0.19505,0.260426,0.462143,0.355519,0.382666,
addmagMid_l,0.199405,0.42505,0.465772,0.214074,0.430621,0.0813023,
addmagProx_l,0.252141,0.267457,0.314571,0.385048,0.367165,0.303543,
bflh_l,0.0912117,0.132511,0.105673,0.0314003,0.0456279,0.0923179,
bfsh_l,0.092318,0.134885,0.104488,0.0291628,0.0426157,0.0941665,
edl_l,0.117356,0.0810378,0.0601062,0.0452811,0.0079196,0.0720799,
ehl_l,0.0585072,0.0301541,0.106644,0.0468752,0.0690497,0.0546273,
fdl_l,0.0484789,0.00326844,0.120082,0.0264804,0.0966907,0.079507,
fhl_l,0.0982325,0.114668,0.0501102,0.0122166,0.0292278,0.0965152,
gaslat_l,0.244041,0.247852,0.284315,0.335768,0.305278,0.300577,
gasmed_l,0.265157,0.186175,0.224232,0.402837,0.279415,0.388874,
glmax1_l,0.117107,0.13578,0.140425,0.050298,0.0565137,0.123595,
glmax2_l,0.140617,0.0885502,0.0810678,0.102931,0.0213714,0.21128,
glmax3_l,0.141047,0.104969,0.0860162,0.0861951,0.0155896,0.204338,
glmed1_l,0.142046,0.0670185,0.0709518,0.125246,0.0247622,0.225843,
glmed2_l,0.155101,0.0111143,0.0276509,0.184924,0.0139415,0.289254,
glmed3_l,0.142719,0.104811,0.082914,0.0866699,0.0121217,0.208998,
glmin1_l,0.143831,0.0553202,0.0636173,0.137556,0.0244883,0.236517,
glmin2_l,0.1418,0.0824304,0.0767745,0.109418,0.0207074,0.217546,
glmin3_l,0.130712,0.171881,0.128245,0.0157031,0.0174395,0.142912,
grac_l,0.258476,0.257098,0.299389,0.396817,0.357009,0.325995,
iliacus_l,0,0,0,0,0,0,
perbrev_l,0.110717,0.121082,0.0764011,0.0493124,0.0988229,0.0429122,
perlong_l,0.0549143,0.112412,0.107954,0.11517,0.0828225,0.09794,
piri_l,0.0219053,0.0519462,0.116402,0.0747502,0.0065858,0.046267,
psoas_l,0,0,0,0,0,0,
recfem_l,0,0,0,0,0,0,
sart_l,0,0,0,0,0,0,
semimem_l,0.097353,0.0937657,0.080932,0.072253,0.0442239,0.128318,
semiten_l,0.0977382,0.060662,0.0686807,0.106242,0.0532073,0.145761,
soleus_l,0.223708,0.298253,0.339005,0.280439,0.332814,0.220022,
tfl_l,0,0,0,0,0,0,
tibant_l,0.0525335,0.0595412,0.0138277,0.0123136,0.0486597,0.0235999,
tibpost_l,0.0478893,0.110829,0.0603744,0.0224318,0.0591206,0.0327943,
vasint_l,0.081722,0.0918841,0.103479,0.119539,0.117354,0.0959609,
vaslat_l,0.0655888,0.138227,0.149085,0.0691428,0.137319,0.0288984,
vasmed_l,0.0682144,0.120805,0.138216,0.0874704,0.13698,0.0447103,
