,body,name,location
0,femur_r,addbrev_r-P2,[ 0.00360203861104048 -0.11484625495340171  0.00929605556509048]
1,femur_r,addlong_r-P2,[ 0.00824553081855034 -0.23635528652861798  0.00019440502910949]
2,femur_r,addmagDist_r-P2,[ 0.00928311118003916 -0.25972981037833903  0.00543056556695113]
3,femur_r,addmagIsch_r-P2,[ 0.00460060497473079 -0.38015770681013045 -0.03955616003847706]
4,femur_r,addmagMid_r-P2,[ 0.00307987665986418 -0.15919073252141494  0.01145794646816344]
5,femur_r,addmagProx_r-P2,[-0.00488135416657332 -0.08146984129317035  0.02227848556256029]
6,femur_r,bfsh_r-P1,[ 0.00062747616227308 -0.20836573053408894  0.00613624464109725]
7,femur_r,gaslat_r-P1,[ 0.00197970125876802 -0.37405311856486323  0.02142433019092785]
8,femur_r,gasmed_r-P1,[ 0.00589778136921852 -0.3776117828580291  -0.02714232569526843]
9,femur_r,glmax1_r-P3,[-0.02616585633181449 -0.03700116458884384  0.03823979933281224]
10,femur_r,glmax1_r-P4,[-0.01112766296114116 -0.06484706840089563  0.04363384966515672]
11,femur_r,glmax2_r-P3,[-0.03191350557611361 -0.06199284073780558  0.02721257164001204]
12,femur_r,glmax2_r-P4,[-0.00682221500349878 -0.10142382577461341  0.02766097066976286]
13,femur_r,glmax3_r-P3,[-0.02666524818734653 -0.10865509760295586 -0.00218889191001273]
14,femur_r,glmax3_r-P4,[-0.00163809281064206 -0.1395088315613268   0.02393484603774764]
15,femur_r,glmed1_r-P2,[ 0.00203970904655556 -0.02222489417858671  0.05890804704441892]
16,femur_r,glmed2_r-P2,[-0.00100897353822452 -0.01425647471291421  0.05911459287878385]
17,femur_r,glmed3_r-P2,[-0.00524559287894099 -0.01216850360954496  0.06046654973780362]
18,femur_r,glmin1_r-P2,[ 0.0144287719048825  -0.02169710350999654  0.0537302571343577 ]
19,femur_r,glmin2_r-P2,[ 0.01242785905741692 -0.02161230937054162  0.05467666794448866]
20,femur_r,glmin3_r-P2,[ 0.00919706007494428 -0.01880721924955307  0.05571207925955238]
21,femur_r,iliacus_r-P3,[ 0.00522329731750637 -0.05986488714390398  0.00667242824850546]
22,femur_r,iliacus_r-P4,[-0.00287807060438289 -0.06721309056836201  0.01311069988879982]
23,femur_r,piri_r-P3,[ 0.00579073235241582 -0.01049159387736415  0.04671022444924076]
24,femur_r,psoas_r-P3,[-0.00715860342451764 -0.04912654419499628  0.00221114499366081]
25,femur_r,psoas_r-P4,[-0.01518187375233147 -0.05525315207403298  0.00801396604643407]
26,femur_r,sart_r-P2,[-0.00517539225509094 -0.34824225491218763 -0.05352508446195065]
27,femur_r,tfl_r-P2,[ 0.04577271207111498 -0.1036698124027383   0.0425726430119177 ]
28,femur_r,tfl_r-P3,[ 0.01051885515498728 -0.39871284338454405  0.03866101438298065]
29,femur_r,vasint_r-P1,[ 0.03357217516699349 -0.19063444359646656  0.01450968921061313]
30,femur_r,vasint_r-P2,[ 0.03807869740525054 -0.20677183127200985  0.01310970636192831]
31,femur_r,vaslat_r-P1,[ 0.00352611566190861 -0.18322109443500073  0.01719753353927504]
32,femur_r,vaslat_r-P2,[ 0.02975689071074551 -0.25833478052131287  0.02987138380098972]
33,femur_r,vasmed_r-P1,[ 0.01156647823246455 -0.2070294654270103   0.00186576149392994]
34,femur_r,vasmed_r-P2,[ 0.0362000902697741  -0.2738057779689961  -0.00961140529944421]
