,body,name,location
0,pelvis,torso_origin_in_pelvis,[-0.08940331543389632  0.04200506886197614 -0.00464600525651786]
1,pelvis,ASIS_l,[-0.00000000000000001 -0.00000000000000006 -0.11942778632792973]
2,pelvis,ASIS_r,[0.                  0.00000000000000007 0.11942778632792973]
3,pelvis,PSIS_l,[-0.14112652810279272  0.02336167800249483 -0.04453065152335105]
4,pelvis,PSIS_r,[-0.14012589662872096  0.01509784009513361  0.04467008277492804]
5,pelvis,pub_infer_c,[-0.02060174697913109 -0.10939174640788649 -0.00322519022249623]
6,pelvis,pub_super_c,[-0.00000000000000006 -0.0889744697401273  -0.00246902047309499]
7,pelvis,ilium_l,[-0.07791754751152993  0.07053241992531793 -0.10483571779627192]
8,pelvis,ilium_r,[-0.0772794714709035   0.06961902517702157  0.10228286631549699]
9,pelvis,femur_l_center_in_pelvis,[-0.05038493096465902 -0.07313855869795936 -0.08885937061908178]
10,pelvis,femur_r_center_in_pelvis,[-0.05155988071210144 -0.07518049383544383  0.0845585514846942 ]
11,pelvis,sacroiliac_l,[-0.12189804875865219  0.00624724293874524 -0.03848977794459407]
12,pelvis,sacroiliac_r,[-0.11888948303648313 -0.01215270907603644  0.04652937660975219]
13,pelvis,5th_sacr_v,[-0.13216026535808426 -0.07106219345026238 -0.00224163691726551]
14,pelvis,AIIS_l,[-0.02218191867854774 -0.03213346424235823 -0.09952831679483962]
15,pelvis,AIIS_r,[-0.0210418579987937  -0.03487314667325449  0.09622399872108972]
16,pelvis,isch_infer_l,[-0.06150365139419538 -0.13952902795414598 -0.04139553129309045]
17,pelvis,isch_infer_r,[-0.06406538935566478 -0.14124352801569845  0.03583094794649321]
18,pelvis,isch_spine_l,[-0.10565831699634289 -0.07557180479823947 -0.05426413979124373]
19,pelvis,isch_spine_r,[-0.10308455786032905 -0.07696549510415267  0.04884598853117041]
20,pelvis,isch_tuber_l,[-0.10621220189790095 -0.11544818619499107 -0.06156301472434861]
21,pelvis,isch_tuber_r,[-0.10676439278905205 -0.11521476800840341  0.05631908700734237]
