,body,name,location
0,pelvis,addbrev_r-P1,[-0.01627211988336752 -0.09983133269122385  0.01377707726214473]
1,pelvis,addlong_r-P1,[-0.00608887081804043 -0.09507441882914049  0.01752874564534401]
2,pelvis,addmagDist_r-P1,[-0.06464717848675135 -0.13545647333462432  0.04179567831203334]
3,pelvis,addmagIsch_r-P1,[-0.07947264851359417 -0.13949323876493333  0.04675236688015659]
4,pelvis,addmagMid_r-P1,[-0.04482228508044534 -0.1265956479476995   0.02787212788576121]
5,pelvis,addmagProx_r-P1,[-0.02574318837220251 -0.11240523357052351  0.01157221926824766]
6,pelvis,bflh_r-P1,[-0.09453402324743776 -0.12695012381879958  0.06953005806406466]
7,pelvis,glmax1_r-P1,[-0.12376988160973379  0.02400199017913394  0.0641497060133807 ]
8,pelvis,glmax1_r-P2,[-0.12534630036532357 -0.02399062512807627  0.08324520693322396]
9,pelvis,glmax2_r-P1,[-0.1327843272711862   0.00038359394869698  0.0534985010998583 ]
10,pelvis,glmax2_r-P2,[-0.13139187658545623 -0.05652847996375523  0.08569665421656052]
11,pelvis,glmax3_r-P1,[-0.13116728469142522 -0.06195125841622604  0.00788822499855018]
12,pelvis,glmax3_r-P2,[-0.11768964977959018 -0.13707218199655982  0.05365727273031816]
13,pelvis,glmed1_r-P1,[-0.04846617301934918  0.024512705386224    0.12055795460549823]
14,pelvis,glmed2_r-P1,[-0.08437323050835879  0.01124234668679215  0.07787114651630625]
15,pelvis,glmed3_r-P1,[-0.1136248931932347  -0.02357885035561276  0.0609521278315772 ]
16,pelvis,glmin1_r-P1,[-0.04514725870338804 -0.01297319156271124  0.1083534798141308 ]
17,pelvis,glmin2_r-P1,[-0.06017034629649118 -0.01527842363320395  0.10330533475973579]
18,pelvis,glmin3_r-P1,[-0.07648389333686474 -0.02382553810157802  0.08718915762829067]
19,pelvis,grac_r-P1,[-0.03889804596190255 -0.13433113804148178  0.02310536585901707]
20,pelvis,iliacus_r-P1,[-0.06209573100915843  0.017028041855343    0.09255089677903672]
21,pelvis,iliacus_r-P2,[-0.01081656604447026 -0.05423953289837653  0.07850844013040335]
22,pelvis,piri_r-P1,[-0.098841605096153   -0.03188316124682092  0.02027135553141552]
23,pelvis,piri_r-P2,[-0.09860452115284069 -0.04176249716564585  0.06527944709660385]
24,pelvis,psoas_r-P1,[-0.05663873794651728  0.02604630919856783  0.04473989324108575]
25,pelvis,psoas_r-P2,[-0.01767209069799666 -0.06545770998992066  0.069166200055422  ]
26,pelvis,recfem_r-P1,[-0.02105050786070706 -0.0346264730650399   0.09649389215947039]
27,pelvis,sart_r-P1,[-0.01818699004808304 -0.01334122535362383  0.10530220648491073]
28,pelvis,semimem_r-P1,[-0.08966446121495625 -0.12059850810682271  0.07156823307624953]
29,pelvis,semiten_r-P1,[-0.09382712337401652 -0.1347787423166694   0.06135547999604691]
30,pelvis,tfl_r-P1,[-0.0348238649063955   0.02318831765731105  0.12424414758888352]
31,pelvis,addbrev_l-P1,[-0.01577004428612719 -0.09928205444758521 -0.01958389262927824]
32,pelvis,addlong_l-P1,[-0.00558863793782507 -0.09451732155025167 -0.0230512760522984 ]
33,pelvis,addmagDist_l-P1,[-0.06202852156497175 -0.133794043439312   -0.04729168439125816]
34,pelvis,addmagIsch_l-P1,[-0.07700326631449465 -0.1383489345326349  -0.05199281085259169]
35,pelvis,addmagMid_l-P1,[-0.04300256241888401 -0.12526134587267962 -0.03387077792945043]
36,pelvis,addmagProx_l-P1,[-0.02508401139256745 -0.11186008725980304 -0.01792742437350011]
37,pelvis,bflh_l-P1,[-0.0924887054313578  -0.12684206225917247 -0.07483069909576198]
38,pelvis,glmax1_l-P1,[-0.1254150960584137   0.03515999380615834 -0.06384029332358801]
39,pelvis,glmax1_l-P2,[-0.1283998845322102  -0.01414449489737334 -0.0847527461680963 ]
40,pelvis,glmax2_l-P1,[-0.13497966553663823  0.01396021311149153 -0.05042292029081233]
41,pelvis,glmax2_l-P2,[-0.1333323955227189 -0.0538802437678423 -0.0921250210820458]
42,pelvis,glmax3_l-P1,[-0.1318821210207687  -0.06068473167635132 -0.01071922332806102]
43,pelvis,glmax3_l-P2,[-0.11621234146766264 -0.13743630367072251 -0.05951402219095001]
