,body,name,location
0,tibia_l,knee_l_center,[0. 0. 0.]
1,tibia_l,fibula_l_lat_malleol_tip,[-0.01001478077200252 -0.4130867825899871  -0.02343355102307606]
2,tibia_l,tibia_l_med_malleol_tip,[ 0.01249731722020387 -0.39454425366521095  0.02034583205393238]
3,tibia_l,ankle_l_lat,[-0.0102963765378173  -0.3958709057176116  -0.03846393361895914]
4,tibia_l,ankle_l_med,[ 0.01043666005920757 -0.37965204826169696  0.03235372857066466]
5,tibia_l,ankle_l_center,[ 0.00041678315093363 -0.38747870117086797 -0.00336260411240451]
6,tibia_l,talus_l_center_in_tibia,[-0.00011124331840473 -0.4035539966014131   0.00003708360536026]
7,tibia_l,tibia_l_center,[ 0.                  -0.03727886835945696  0.                 ]
8,tibia_l,tibia_l_lat,[-0.0002269357161668  -0.03597156189544642 -0.03998486109207178]
9,tibia_l,tibia_l_med,[-0.0002180664803593  -0.03807033028373061  0.04132078579500058]
10,tibia_l,tibia_l_epiph_yellow_anterior_plate,[ 0.01696654455447072 -0.02601949480315099  0.00162348405437977]
11,tibia_l,tibia_l_epiph_yellow_patel_tend_point,[ 0.03000848291415593 -0.0627355876905466   0.0035945281656011 ]
12,tibia_l,tibia_l_epiph_yellow_posteriormost,[-0.02189255562642248 -0.04290993173776195 -0.00108829759956963]
13,tibia_l,tibia_l_ankle_yellow_anter,[ 0.01943241664830013 -0.37325977769510005  0.00190039883905289]
14,tibia_l,tibia_l_epiph_green_medial_lower_epiph,[ 0.0020397724736658  -0.06356842105964225  0.0216734385411778 ]
15,tibia_l,fibula_l_as,[ 0.00047893418290771 -0.06684622817147085 -0.02052185218183002]
16,tibia_l,tibia_l_midshaft_anter,[ 0.02948589323479953 -0.19775272921588705 -0.01006196701971202]
17,tibia_l,tibia_l_midshaft_poster,[ 0.00419519948387366 -0.1991061800364516   0.00056536940330242]
18,tibia_l,fibula_l_midshaft_anter,[-0.00748572629995216 -0.20045392559801786 -0.03098381080030366]
19,tibia_l,tibia_l_anter_diaph_25,[ 0.0321191636627454  -0.09908958045580502 -0.01058315968437467]
20,tibia_l,tibia_l_anter_diaph_75,[ 0.02003154535105485 -0.2998028495388691  -0.00823577699026438]
21,tibia_l,fibula_l_anter_diaph_75,[-0.00690866705629684 -0.3023013711487323  -0.0253139425669615 ]
