name,r,a,s,body,group
addbrev_l-P1,-62.26597157586366,-32.97459219431039,659.1493050501872,pelvis,muscle
addbrev_l-P2,-146.59000538871624,-66.54399735433981,576.9699280432703,femur_l,muscle
addbrev_r-P1,64.38545497087762,-40.92577273596544,659.1493050243387,pelvis,muscle
addbrev_r-P2,126.27672592480667,-56.20980967755895,581.4422234509218,femur_r,muscle
addlong_l-P1,-67.01860800478607,9.925422327127308,661.8492700290244,pelvis,muscle
addlong_l-P2,-96.45479229826014,4.6564118068199605,459.89951196528136,femur_l,muscle
addlong_r-P1,73.49724647961557,5.58850179228466,661.8492700192023,pelvis,muscle
addlong_r-P2,94.75766252714675,39.76881977665471,466.17003198308817,femur_r,muscle
addmagDist_l-P1,-74.19266904261895,-36.95036083832383,644.0824017723976,pelvis,muscle
addmagDist_l-P2,-94.47776540997438,8.461526900879107,438.07173698833776,femur_l,muscle
addmagDist_r-P1,70.63273981073871,-36.950363715644926,645.0868644022532,pelvis,muscle
addmagDist_r-P2,98.46206192555837,9.621099944226444,445.20262702601667,femur_r,muscle
addmagIsch_l-P1,-74.76068983809091,-43.76566249411553,647.0957855912385,pelvis,muscle
addmagIsch_l-P2,-79.30424623233557,4.509534864104353,317.6362083653621,femur_l,muscle
addmagIsch_r-P1,49.050990383606404,-42.62977904721629,649.1047053929099,pelvis,muscle
addmagIsch_r-P2,87.67107875934744,3.941608090768568,326.6763468005256,femur_r,muscle
addmagMid_l-P1,-66.80945505248383,-30.134921894874424,643.0779445302143,pelvis,muscle
addmagMid_l-P2,-131.89043211680837,-39.2634507965995,534.2941610299258,femur_l,muscle
addmagMid_r-P1,60.97771876002662,-37.51818934548646,644.0824042757436,pelvis,muscle
addmagMid_r-P2,127.09163219528273,-43.150708729517646,539.4051239880116,femur_r,muscle
addmagProx_l-P1,-55.450607509119436,-18.77610150165856,649.1047044101045,pelvis,muscle
addmagProx_l-P2,-87.82338373549283,-37.518159477971494,616.9652865421656,femur_l,muscle
addmagProx_r-P1,63.24948803917505,-17.64024010533467,649.1047050803825,pelvis,muscle
addmagProx_r-P2,85.39936384907924,-41.493791677989066,620.9831271483122,femur_r,muscle
bflh_l-P1,-68.31964025087655,-82.0171273117885,663.345800337826,pelvis,muscle
bflh_r-P1,82.6047761561349,-83.75179239315912,666.5266142790583,pelvis,muscle
bfsh_l-P1,-75.56784460111521,-22.397081394097768,487.49952890170925,femur_l,muscle
bfsh_r-P1,92.73849093553144,13.190074427751824,493.5777381379389,femur_r,muscle
gaslat_l-P1,-129.283261678298,-33.542615364072844,326.6680440105183,femur_l,muscle
gaslat_r-P1,120.61182714006281,-27.295243287691846,336.71264464771593,femur_r,muscle
gasmed_l-P1,-104.29375564551447,-17.640148054459132,326.66804343803506,femur_l,muscle
gasmed_r-P1,111.52470983070816,-10.824845024733804,335.7081837562273,femur_r,muscle
glmax1_l-P1,-40.825378466397524,-96.27610281808302,805.764388253368,pelvis,muscle
glmax1_l-P2,-42.779925973620266,-129.89723603776656,763.3385264932854,pelvis,muscle
glmax1_l-P3,-100.36318900575861,-72.62226071511395,666.6558376942138,femur_l,muscle
glmax1_l-P4,-115.08470320585184,-69.89095739787444,641.0690244410235,femur_l,muscle
glmax1_r-P1,52.34023840352893,-100.49943504249677,812.0670218706905,pelvis,muscle
glmax1_r-P2,66.10544903902337,-130.79465494817123,769.5577821324405,pelvis,muscle
glmax1_r-P3,126.12673302646726,-65.9690231855493,671.0086762184733,femur_r,muscle
glmax1_r-P4,81.42378675355576,-104.535475499928,646.0913239752977,femur_r,muscle
glmax2_l-P1,-20.806162355467677,-121.57379291160032,791.7380235872006,pelvis,muscle
glmax2_l-P2,-54.20192525815219,-128.51344610587694,732.5442944237082,pelvis,muscle
glmax2_l-P3,-92.36695284862071,-95.44849071651697,641.0690247431664,femur_l,muscle
glmax2_l-P4,-134.39317372068763,-60.803002645028755,594.8671626177893,femur_l,muscle
glmax2_r-P1,56.34818060230464,-101.44360457547009,796.7646439027685,pelvis,muscle
glmax2_r-P2,91.75708295078948,-124.7774006202817,738.2207793340076,pelvis,muscle
glmax2_r-P3,118.90795664465986,-80.68199857987929,645.08686483981,femur_r,muscle
glmax2_r-P4,129.6984799967613,-55.12409374001436,599.8894570554676,femur_r,muscle
glmax3_l-P1,-20.613660749047995,-123.65132868592627,740.2187261023773,pelvis,muscle
glmax3_l-P2,-43.680983547121286,-107.03555740206502,664.603772858266,pelvis,muscle
glmax3_l-P3,-128.14740677690133,-90.90491888416,585.3351430647513,femur_l,muscle
glmax3_l-P4,-139.5063218625728,-80.113975800341,555.3431944907534,femur_l,muscle
glmax3_r-P1,9.744702296797186,-121.91656632185914,741.0263318074053,pelvis,muscle
glmax3_r-P2,51.069859409704804,-118.73582924483344,667.44970401109,pelvis,muscle
glmax3_r-P3,124.58742485428229,-93.17668254999444,589.4217676007625,femur_r,muscle
glmax3_r-P4,134.81044752639718,-86.36134946590755,560.3654949064003,femur_r,muscle
glmed1_l-P1,-108.13256933679804,-29.077737448737025,788.6179321535474,pelvis,muscle
glmed1_l-P2,-149.7291783299297,-52.284710025414824,677.2295864919212,femur_l,muscle
glmed1_r-P1,90.31979241408408,-45.56002258742228,794.2892248910948,pelvis,muscle
glmed1_r-P2_0,150.19370642490685,-47.38306317362003,682.4260855721245,femur_r,muscle
glmed2_l-P1,-73.82491274923086,-56.69541575573385,810.3021220330538,pelvis,muscle
glmed2_l-P2,-141.75751417921856,-58.80878879502416,686.3733819353201,femur_l,muscle
glmed2_r-P1,59.88140845205635,-76.00039310520515,817.7329974412232,pelvis,muscle
glmed2_r-P2_0,150.2708884398453,-54.433550282614306,691.6619047752133,femur_r,muscle
glmed3_l-P1,-45.62110342364758,-81.92792768473737,786.2612141608099,pelvis,muscle
glmed3_l-P2,-131.40489428536966,-66.61675998778082,692.9463308132001,femur_l,muscle
glmed3_r-P1,22.357642436400056,-119.86999694234692,791.7380245124127,pelvis,muscle
glmed3_r-P2_0,144.947591339238,-65.72754852846265,698.012511628373,femur_r,muscle
glmin1_l-P1,-111.65633722301573,-7.7581298551522195,766.2732889276956,pelvis,muscle
glmin1_l-P2,-131.95441772043705,-30.604196885600686,677.664808448054,femur_l,muscle
glmin1_r-P1,103.57615060219541,-13.21937408996746,768.8525154558051,pelvis,muscle
glmin1_r-P2,146.13963047415018,-34.96279488853179,682.1971677508427,femur_r,muscle
glmin2_l-P1,-94.58183863712475,-40.12548581766896,776.4314560373095,pelvis,muscle
glmin2_l-P2,-126.01599627546966,-31.216499160742387,683.452138794648,femur_l,muscle
glmin2_r-P1,69.13988838391379,-68.6992712940555,781.8712872410242,pelvis,muscle
glmin2_r-P2,145.0465694097802,-34.24807406566106,688.1702432372904,femur_r,muscle
glmin3_l-P1,-71.92101116944104,-57.39624274359085,756.5819246182723,pelvis,muscle
glmin3_l-P2,-133.26862318161875,-43.135590019403026,692.3468700984931,femur_l,muscle
glmin3_r-P1,51.99476776784286,-91.37529052863829,761.7198182275047,pelvis,muscle
glmin3_r-P2,146.16509659122676,-41.10719266603701,696.8227139357832,femur_r,muscle
grac_l-P1,-23.077934321947396,-10.824916685931385,633.036647013036,pelvis,muscle
grac_r-P1,18.382102257106453,-22.18376929324586,634.0411066700419,pelvis,muscle
iliacus_l-P1,-80.06430686637759,-32.43541376874782,789.2592096803369,pelvis,muscle
iliacus_l-P2,-56.866614238359034,13.517970180604607,704.063958012983,pelvis,muscle
iliacus_l-P3,-109.40527960890904,-14.232440070598386,636.0467255318263,femur_l,muscle
iliacus_l-P4,-107.70143267139792,-7.985261289286427,631.0277257773115,femur_l,muscle
iliacus_r-P1,51.11882629618049,-63.85173268057406,794.9934800829519,pelvis,muscle
iliacus_r-P2,51.70777238253504,14.427048032637686,704.6915464540816,pelvis,muscle
iliacus_r-P3,114.36445629969239,-9.688926839036867,640.0645654990362,femur_r,muscle
iliacus_r-P4,106.98116201884113,-9.121141114505008,635.042263197086,femur_r,muscle
piri_l-P1,-30.719846924766898,-78.87241476750933,768.9511397100018,pelvis,muscle
piri_l-P2,-49.444180683698505,-87.01811343617737,749.2591199242431,pelvis,muscle
piri_l-P3,-124.41116005508229,-48.13470257027075,691.2688217751818,femur_l,muscle
piri_r-P1,8.88321652635932,-83.27833819342777,770.3758276380231,pelvis,muscle
piri_r-P2,49.055787353776395,-103.73288287315518,753.927228710324,pelvis,muscle
piri_r-P3,136.45739097194746,-48.315242496551946,695.9215430253839,femur_r,muscle
psoas_l-P1,-42.02807988040149,-18.374903307761997,803.6825306080732,pelvis,muscle
psoas_l-P2,-63.40637543424964,2.029443271458149,693.7299307003575,pelvis,muscle
psoas_l-P3,-102.59003637777641,7.917360804975033,647.0957833161949,femur_l,muscle
psoas_l-P4,-104.29340024129488,0.5331612231675535,643.077949644886,femur_l,muscle
psoas_r-P1,32.09777326788753,-35.18435115925968,807.4854870431709,pelvis,muscle
psoas_r-P2,58.66367721185088,0.3901154058985412,694.6083322337568,pelvis,muscle
psoas_r-P3,116.6362801794894,-2.3055558109190315,651.1136231167752,femur_r,muscle
psoas_r-P4,114.36416574567556,-0.03492509899660945,647.0957853936038,femur_r,muscle
recfem_l-P1,-82.20603713719174,-2.7611587191931903,726.353879435809,pelvis,muscle
recfem_l-P2,-157.11268833090435,53.92079572658986,325.23186431517024,patella_l,muscle
recfem_l-P3,-157.11219459483982,55.62444580812007,319.63682917456754,patella_l,muscle
