name,r,a,s
bflh_l-P2,-139.55556888934612,-47.91986303468008,278.2884853297029
bflh_l-P3,-143.45884152475077,-42.54116174411293,264.43194589107316
bfsh_l-P2,-139.39880952171478,-40.33041976484122,282.06894606470655
edl_l-P1,-138.690991004723,-28.652064633224686,200.26547937211816
edl_l-P2,-133.91151720795153,-22.949187780582992,-62.84463475048108
ehl_l-P1,-136.05778807535424,-29.64653392360379,163.0317686700579
ehl_l-P2,-135.98570864637676,-29.00530361820252,27.731200112218367
ehl_l-P3,-126.54754275344145,-9.50505580940542,-54.51259677379887
fdl_l-P1,-123.44239312919976,-7.5501022686789945,135.70424399238348
fdl_l-P2,-94.90490114261397,-29.429896809899624,-47.09068674297089
fhl_l-P1,-120.99349229561449,-50.98882949141256,104.49076109772108
fhl_l-P2,-94.10619053814393,-37.96265096234509,-49.93866339442418
grac_l-P2,-92.678241001717,13.568820283145104,265.6247380245008
grac_l-P3,-117.86363443353726,15.831206721539013,243.8179638052252
perbrev_l-P1,-126.14117727679144,-54.45956567686237,67.35479195011183
perbrev_l-P2,-111.44193994637446,-70.50507407153894,-75.30816952218319
perbrev_l-P3,-116.00174627928504,-67.50190560232295,-86.02687236561604
perlong_l-P1,-141.3358226564876,-39.66707050074677,179.88890948573842
perlong_l-P2,-111.98322747391937,-68.00447989490226,-75.94546389004859
perlong_l-P3,-115.87212662601058,-65.45638112827162,-86.78301633614171
recfem_l-P5,-149.91600039900203,27.18450978748366,252.45733535225244
sart_l-P3,-82.45752081692933,14.63696419645136,273.4521335639819
sart_l-P4,-97.412140326124,11.941488007656785,252.96771466534426
sart_l-P5,-137.4782844496867,13.733205061947812,233.6823034887923
semimem_l-P2,-96.31846565683354,0.18653608412211534,272.2519018120212
semiten_l-P2,-91.25205249923303,-1.0760280050904092,262.10490214745585
semiten_l-P3,-121.93090674386647,12.322840769845211,236.44025664485412
soleus_l-P1,-135.36348418611968,-12.18727864451259,223.06158572628684
tfl_l-P4,-165.43592426224015,-14.439200059513922,275.1697457045938
tibant_l-P1,-154.1377196156969,-2.874356713753029,185.73849470364692
tibant_l-P2,-151.98130449754674,1.8282960711135785,127.51519007281048
tibant_l-P3,-121.07731714863593,0.96496678658235,-49.963498779113834
tibpost_l-P1,-136.95132898948378,-13.037018137488959,186.26848295807218
tibpost_l-P2,-91.99197755524554,-24.72782660424119,-47.552871872427204
vasint_l-P5,-150.6904474798456,26.464586040530246,252.3989989094571
vaslat_l-P5,-154.76571810995037,22.830060919227094,252.34443441244323
vasmed_l-P5,-143.9834896204381,31.504515312820153,251.80598245890206
