name,r,a,s
C7,-181.6586,1439.227999097643,0.0
RBAK,-181.02022283069792,1373.024703401447,101.12984453590708
CLAV,-63.89595072175655,1396.5151260426458,3.2431292643068446
STRN,5.399054686787988,1240.0942256592832,-2.660152574285121
T10,-192.5833,1216.0819990976431,0.0
RASI,11.644366077588842,924.2701479974739,118.86401458086596
RPSI,-173.869,954.5473990976429,38.7958
LPSI,-173.869,954.5473990976429,-38.7958
LASI,20.0,933.1863205718206,-129.9649959702216
PE01,-162.75,987.293499097643,0.0
PE02,-183.35399999999998,933.507819097643,27.2992
PE03,-183.35399999999998,933.507819097643,-27.2992
RTH1,-32.72899518453146,647.5510085806177,148.28760165577737
RTH2,-32.04349942392203,567.4804556459137,140.51363845116833
RTH3,0.42676346670814796,608.7808878709039,133.60169518788103
RGT,-76.11210566768939,833.7740015894605,166.03002619134782
RKNE,-56.2759990578508,447.5099991576075,127.26000048451446
RMKNE,-56.2759990578508,447.50999903767826,27.260000484514457
LTH1,-28.853582054563063,642.8664033717304,-130.89228723587894
LTH2,-41.93894801526757,560.7451619336146,-129.29324663662067
LTH3,3.2565163653238485,600.9884985696001,-110.65388480223254
LGT,-76.11209995863871,833.7739991578453,-166.03000002127067
LKNE,-56.2759990578508,447.5099991576075,-127.26000048451446
LMKNE,-56.2759990578508,447.50999903767826,-27.260000484514457
RTB1,-56.02137400896554,307.9209880897592,137.99587669353528
RTB2,-88.13206122614925,263.69232053268547,136.0134636856548
RTB3,-42.81861715274667,214.27062235670388,138.41261083221076
RANK,-57.70412521378255,66.65263307457303,129.99407905956394
RMMA,-46.70534994683508,69.22260476723507,38.99391962427905
LTB1,-65.41972000799583,312.9981131964598,-148.25517936699535
LTB2,-24.16498651049322,267.0031134463989,-144.82445459423127
LTB3,-61.6101352616429,208.49887896756925,-145.1760966121297
LANK,-57.70429646452331,63.2480882979764,-129.9940735603005
LMMA,-46.70552431213363,65.75734869573408,-38.993914017093374
RHEE,-131.47695121728637,23.49850427159276,84.91510684670712
RD5M,29.928317444932283,9.362122661973046,142.32690064760652
RTOE,71.68498814572156,17.586979164815997,84.41558332475542
