,body,name,location
0,tibia_r,bflh_r-P2,[-0.0361697293846462  -0.03334272431850335  0.04501962935569156]
1,tibia_r,bflh_r-P3,[-0.02726716493261707 -0.04731356203858803  0.0419085548848787 ]
2,tibia_r,bfsh_r-P2,[-0.02973287505685527 -0.03033502603908562  0.03905924996561952]
3,tibia_r,edl_r-P1,[-0.01406166618861858 -0.11337854413831529  0.02331651562276302]
4,tibia_r,edl_r-P2,[ 0.02817020645543778 -0.3865840134923991   0.00707499979912207]
5,tibia_r,ehl_r-P1,[-0.01193444650749522 -0.15397057648167833  0.02245210557997478]
6,tibia_r,ehl_r-P2,[ 0.01135377876216368 -0.30451373054777053  0.01332491818432164]
7,tibia_r,ehl_r-P3,[ 0.03300244493687031 -0.3819581982182944  -0.00967524410798105]
8,tibia_r,fdl_r-P1,[ 0.00187030904659595 -0.18485857488494725 -0.00317074146925408]
9,tibia_r,fdl_r-P2,[-0.00908183323603463 -0.3706055653772864  -0.01233533227371631]
10,tibia_r,fhl_r-P1,[-0.0316696931963253  -0.21766334041370805  0.0277710325305493 ]
11,tibia_r,fhl_r-P2,[-0.01680618992516626 -0.3711713656468046  -0.00537756744273942]
12,tibia_r,grac_r-P2,[-0.01744826409161233 -0.04490142516149041 -0.03726388982582315]
13,tibia_r,grac_r-P3,[ 0.00610655641577452 -0.06809422949836104 -0.0241950140415873 ]
14,tibia_r,perbrev_r-P1,[-0.02496449334292091 -0.2589525592571668   0.03088042468055413]
15,tibia_r,perbrev_r-P2,[-0.02917057000155639 -0.3873450482755884   0.03407176546988696]
16,tibia_r,perbrev_r-P3,[-0.02255205771324918 -0.397987341012041    0.03388008643438856]
17,tibia_r,perlong_r-P1,[-0.01889388261480738 -0.13519665923211444  0.03391356700538651]
18,tibia_r,perlong_r-P2,[-0.02655831012277287 -0.3882841936877105   0.0322758144162898 ]
19,tibia_r,perlong_r-P3,[-0.0209221606394596  -0.39907729885287496  0.03193616533856691]
20,tibia_r,recfem_r-P5,[ 0.04065735040620423 -0.06480319829017124 -0.01074460419700014]
21,tibia_r,sart_r-P3,[-0.02531781854482562 -0.0369958899466919  -0.04411351702913904]
22,tibia_r,sart_r-P4,[-0.01411023373298034 -0.05710872788242068 -0.03386728684286264]
23,tibia_r,sart_r-P5,[ 0.01945507192612859 -0.08075032375708238 -0.01047223215975231]
24,tibia_r,semimem_r-P2,[-0.02730991868553812 -0.0378202692496871  -0.02371385757897977]
25,tibia_r,semiten_r-P2,[-0.03163447209068403 -0.04692106276063652 -0.02680509220136609]
26,tibia_r,semiten_r-P3,[ 0.00637338141272979 -0.07578242977439144 -0.01931077615781561]
27,tibia_r,soleus_r-P1,[-0.00437871844491335 -0.08956578884319107  0.00830353870996529]
28,tibia_r,tfl_r-P4,[ 0.01530465479144301 -0.04215572283547635  0.03532835057017157]
29,tibia_r,tibant_r-P1,[ 0.02084131777041541 -0.13264949211989518  0.0118920951436812 ]
30,tibia_r,tibant_r-P2,[ 0.03096106910135838 -0.19615845240170457  0.00624219131430241]
31,tibia_r,tibant_r-P3,[ 0.03729260960971532 -0.3798388105795994  -0.02220496056646862]
32,tibia_r,tibpost_r-P1,[-0.00054260101529504 -0.1295179349432452   0.0092882084847534 ]
33,tibia_r,tibpost_r-P2,[-0.00729941791306391 -0.3718541778913419  -0.01833899333217808]
34,tibia_r,vasint_r-P5,[ 0.04061850070533639 -0.0648925378912251  -0.0096645690472595 ]
35,tibia_r,vaslat_r-P5,[ 0.0405445410490835  -0.06516671859385134 -0.00408093590658288]
36,tibia_r,vasmed_r-P5,[ 0.0399029382235871  -0.06511960538489557 -0.01820772217246567]
