,body,name,location
0,pelvis,ASIS_r,[ 0.00000000000000001 -0.00000000000000002  0.12638648192508553]
1,pelvis,ASIS_l,[-0.00000000000000001  0.00000000000000002 -0.12638648192508553]
2,pelvis,PSIS_r,[-0.13499569628743863  0.01717167183386466  0.04293444412886989]
3,pelvis,PSIS_l,[-0.1351406128019653   0.01695925068691691 -0.0464786622897419 ]
4,pelvis,femur_l_center_in_pelvis,[-0.05101041226046901 -0.07443927154800851 -0.08404905795881991]
5,pelvis,femur_r_center_in_pelvis,[-0.05283324864252924 -0.0738483852460888   0.08035073062473638]
6,pelvis,ilium_r,[-0.06411878386492602  0.06953220718963803  0.10390204821951968]
7,pelvis,ilium_l,[-0.06562581179957269  0.0693857999796017  -0.10167806382324383]
8,pelvis,isch_spine_r,[-0.10328022471424049 -0.06498345293499266  0.05346025378385014]
9,pelvis,isch_spine_l,[-0.10246025888933466 -0.06531286152986433 -0.05913495902700892]
10,pelvis,isch_tuber_r,[-0.10538897270431608 -0.10152607941273274  0.04858446604671234]
11,pelvis,isch_tuber_l,[-0.10406175734522262 -0.10142996270815936 -0.05500235224812584]
12,pelvis,isch_infer_r,[-0.06065157471730283 -0.13248210465459115  0.03469219744033895]
13,pelvis,isch_infer_l,[-0.05833799104778788 -0.13191765452736984 -0.03906910978200519]
14,pelvis,pub_infer_c,[-0.02025658551864942 -0.10630779491519698 -0.00126241962081344]
15,pelvis,torso_origin_in_pelvis,[-0.09073645045160163  0.05841809025193992  0.00255365795639982]
16,pelvis,pub_super_c,[-0.00000000000000006 -0.08286012390706245 -0.00077147398576818]
17,pelvis,sacroiliac_r,[-0.1179586899304725   0.00901345692997554  0.03946415112279697]
18,pelvis,sacroiliac_l,[-0.11807471576497129  0.00880696165044633 -0.04261399878904601]
19,pelvis,5th_sacr_v,[-0.12606182082924236 -0.05827736705132174 -0.00352157615398639]
20,pelvis,AIIS_r,[-0.02436404421792307 -0.03524040798360645  0.09404357224182215]
21,pelvis,AIIS_l,[-0.02365974756968807 -0.03510156554148667 -0.09583878786566753]
