,body,name,location
0,femur_l,addbrev_l-P2,[ 0.00424999914094335 -0.11560338415110473 -0.00845504087931142]
1,femur_l,addlong_l-P2,[ 0.00783481631739724 -0.23826853795325997 -0.00514646696068843]
2,femur_l,addmagDist_l-P2,[ 0.0078976504098077  -0.2617836557954877  -0.01250245891819645]
3,femur_l,addmagIsch_l-P2,[ 0.00391722815865088 -0.38075041641066365  0.0408593848987259 ]
4,femur_l,addmagMid_l-P2,[ 0.0053884279679692  -0.1591734316531027  -0.01297330551018019]
5,femur_l,addmagProx_l-P2,[-0.00525889066749649 -0.07520360686985042 -0.02650895758598745]
6,femur_l,bfsh_l-P1,[ 0.00218793714699825 -0.2077816914511398  -0.01150226100968255]
7,femur_l,gaslat_l-P1,[ 0.0007649256445936  -0.3716242503708804  -0.02366683337608899]
8,femur_l,gasmed_l-P1,[ 0.00512830041921584 -0.3779394431544263   0.02784644842235029]
9,femur_l,glmax1_l-P3,[-0.01886643593738048 -0.02939051156164064 -0.04578983153519324]
10,femur_l,glmax1_l-P4,[-0.00871626796799194 -0.05330879905255963 -0.05052156498719901]
11,femur_l,glmax2_l-P3,[-0.02733041278719452 -0.05208196157342865 -0.03590942328236004]
12,femur_l,glmax2_l-P4,[-0.00439441786811193 -0.09558559250508498 -0.0342741449895362 ]
13,femur_l,glmax3_l-P3,[-0.0247602266433139  -0.10404185296104904 -0.00491636326441924]
14,femur_l,glmax3_l-P4,[ 0.00168053261439793 -0.13725632981049302 -0.02769600634586369]
15,femur_l,glmed1_l-P2,[ 0.00501157178408425 -0.01274225049651366 -0.0684427335556853 ]
16,femur_l,glmed2_l-P2,[ 0.00403570718385326 -0.00687477987865944 -0.06912886044931829]
17,femur_l,glmed3_l-P2,[ 0.00181420512447533 -0.00557894933936251 -0.07026036352254508]
18,femur_l,glmin1_l-P2,[ 0.0116674936066722  -0.01180811659072469 -0.06571087261009996]
19,femur_l,glmin2_l-P2,[ 0.01059710082565649 -0.01175564318433533 -0.06629814304090141]
20,femur_l,glmin3_l-P2,[ 0.00907653741774985 -0.00961871493452165 -0.06701215706600522]
21,femur_l,iliacus_l-P3,[ 0.00042116228328206 -0.05647560268426321 -0.00631892728527295]
22,femur_l,iliacus_l-P4,[-0.00568673296655798 -0.0618623703215166  -0.01521401241675584]
23,femur_l,piri_l-P3,[ 0.00688448538276473 -0.00466755121556562 -0.05760871206447176]
24,femur_l,psoas_l-P3,[-0.00992528471703284 -0.04522935230071298 -0.00314554953424755]
25,femur_l,psoas_l-P4,[-0.01636106742080064 -0.04948837394293926 -0.01123240193492947]
26,femur_l,sart_l-P2,[-0.00759589794637677 -0.3503373383181317   0.05158511589845177]
27,femur_l,tfl_l-P2,[ 0.04334805960046494 -0.10631175088355642 -0.03406201540373543]
28,femur_l,tfl_l-P3,[ 0.01141882511799777 -0.3946989095962981  -0.03867127657823463]
29,femur_l,vasint_l-P1,[ 0.03392902611121052 -0.19440169981156483 -0.00950663315139686]
30,femur_l,vasint_l-P2,[ 0.03784254011495154 -0.21163887278568494 -0.00753792809108857]
31,femur_l,vaslat_l-P1,[ 0.00617630692858288 -0.18203286337611588 -0.02073481752906737]
32,femur_l,vaslat_l-P2,[ 0.02895714653018596 -0.26233454955346375 -0.0304079296982254 ]
33,femur_l,vasmed_l-P1,[ 0.01234439316516482 -0.2087644383052421  -0.00332748599477671]
34,femur_l,vasmed_l-P2,[ 0.03359776596062242 -0.2847359616761182   0.01584765466283171]
