,body,name,location
0,tibia_l,tibia_l_med,[-0.00000366007017814 -0.03423552667832095  0.04006976218531631]
1,tibia_l,tibia_l_lat,[-0.00000380673781443 -0.03418268558233001 -0.04019929283931743]
2,tibia_l,ankle_l_med,[ 0.00871631682699675 -0.3680427800492318   0.03468155445186738]
3,tibia_l,ankle_l_lat,[-0.00536123038402869 -0.37176367384690495 -0.04002081346783502]
4,tibia_l,knee_l_center,[0. 0. 0.]
5,tibia_l,tibia_l_center,[ 0.                 -0.0343786843192193  0.                ]
6,tibia_l,ankle_l_center,[ 0.00212258654889935 -0.3692893987276986  -0.0034678760921944 ]
7,tibia_l,talus_l_center_in_tibia,[-0.00000186617851465 -0.37549552178525814  0.00000062206026101]
8,tibia_l,tibia_l_midshaft_anter,[ 0.02657565064983617 -0.18448911211027397  0.0009774372807601 ]
9,tibia_l,tibia_l_midshaft_poster,[ 0.00587728288970877 -0.1794895339753353  -0.00121365454614635]
10,tibia_l,fibula_l_midshaft_anter,[-0.00427382613385378 -0.17854839066197475 -0.03370254403430781]
11,tibia_l,fibula_l_as,[-0.00040634378103545 -0.06114080209446172 -0.01830074090170041]
12,tibia_l,tibia_l_epiph_yellow_posteriormost,[-0.0210569935012515  -0.03221557148444836 -0.0075380693815781 ]
13,tibia_l,tibia_l_epiph_yellow_anterior_plate,[ 0.0162090442516838  -0.02978622806717121  0.00651688667162573]
14,tibia_l,tibia_l_epiph_yellow_patel_tend_point,[ 0.02670812950082504 -0.06644543253909022  0.0156192206041314 ]
15,tibia_l,tibia_l_epiph_green_medial_lower_epiph,[ 0.00139043730139552 -0.05737640704249202  0.02357719187726444]
16,tibia_l,tibia_l_ankle_yellow_anter,[ 0.01970425801478002 -0.36689933153204674  0.00782920419973453]
17,tibia_l,fibula_l_lat_malleol_tip,[-0.00743887953210947 -0.37608664458017255 -0.02661157678916684]
18,tibia_l,tibia_l_med_malleol_tip,[ 0.01040215320732041 -0.37757590161318805  0.02445055121939059]
19,tibia_l,tibia_l_anter_diaph_25,[ 0.02759882714530499 -0.0993869392474168   0.00393223250673491]
20,tibia_l,tibia_l_anter_diaph_75,[ 0.01759625071905279 -0.2905016240969182   0.00389701511562608]
21,tibia_l,fibula_l_anter_diaph_75,[-0.00697838161066136 -0.28175573517658553 -0.02156210490691407]
