,body,name,location
0,tibia_r,tibia_r_med,[-0.00080007139015974 -0.03361640912027096 -0.04120555797346511]
1,tibia_r,tibia_r_lat,[-0.00076688290366447 -0.03516501308253189  0.04085876067210898]
2,tibia_r,ankle_r_med,[ 0.01397472657980353 -0.36966753878129033 -0.03342188333923687]
3,tibia_r,ankle_r_lat,[-0.01152501177745723 -0.3702133447039348   0.03799230389348438]
4,tibia_r,knee_r_center,[0. 0. 0.]
5,tibia_r,tibia_r_center,[ 0.                  -0.03438091969877397  0.                 ]
6,tibia_r,ankle_r_center,[ 0.0017450012167372  -0.369302693875144    0.00285980932942983]
7,tibia_r,talus_r_center_in_tibia,[-0.00039168601570154 -0.37557657998125626  0.00013059513835667]
8,tibia_r,tibia_r_midshaft_anter,[ 0.02685358650630697 -0.19124644815034011  0.00210404936054379]
9,tibia_r,tibia_r_midshaft_poster,[ 0.0020246825999922  -0.18788757114688484  0.00245902753973571]
10,tibia_r,fibula_r_midshaft_anter,[-0.01183095501995396 -0.1884655617545367   0.03109191125752862]
11,tibia_r,fibula_r_as,[-0.00256667253061246 -0.06173173390778001  0.01665808306212648]
12,tibia_r,tibia_r_epiph_yellow_posteriormost,[-0.02985027397527843 -0.02977344078849683  0.00596383511084411]
13,tibia_r,tibia_r_epiph_yellow_anterior_plate,[ 0.02358098610465119 -0.03187649031433989 -0.00393224898531061]
14,tibia_r,tibia_r_epiph_yellow_patel_tend_point,[ 0.03417422640738553 -0.06758614786638013 -0.01351801243618283]
15,tibia_r,tibia_r_epiph_green_medial_lower_epiph,[ 0.00038205121943826 -0.05575567606110746 -0.02529436008414089]
16,tibia_r,tibia_r_ankle_yellow_anter,[ 0.02386068127676484 -0.3660003817504778  -0.00514401051351978]
17,tibia_r,fibula_r_lat_malleol_tip,[-0.01276003761145642 -0.37569920271468016  0.02553492633614474]
18,tibia_r,tibia_r_med_malleol_tip,[ 0.01517602590373044 -0.37756812857477645 -0.02308475591149331]
19,tibia_r,tibia_r_anter_diaph_25,[ 0.03017392149256952 -0.10097081401678135 -0.00200365551254719]
20,tibia_r,tibia_r_anter_diaph_75,[ 0.02013338667730382 -0.29626766188305054 -0.00099472226316452]
21,tibia_r,fibula_r_anter_diaph_75,[-0.01146117606321825 -0.2928617526729759   0.02146904479259663]
