,body,name,location
0,tibia_r,bflh_r-P2,[-0.03820269235475154 -0.03040955471416422  0.04564695418244526]
1,tibia_r,bflh_r-P3,[-0.02872047060200952 -0.04517408649398374  0.04158234510157448]
2,tibia_r,bfsh_r-P2,[-0.03156059581347141 -0.02804149853351646  0.03958811374831266]
3,tibia_r,edl_r-P1,[-0.01487914458685907 -0.10750457946296597  0.02187172786886103]
4,tibia_r,edl_r-P2,[ 0.02722266556462019 -0.37104546704810176  0.00329877610949273]
5,tibia_r,ehl_r-P1,[-0.01172084162111113 -0.14431747772832731  0.0218910842619754 ]
6,tibia_r,ehl_r-P2,[ 0.00812884190135124 -0.28527328301691557  0.0105879195713078 ]
7,tibia_r,ehl_r-P3,[ 0.03228401224703873 -0.36648541844065413 -0.01122791441820767]
8,tibia_r,fdl_r-P1,[ 0.00293281759564692 -0.1714695164149199  -0.00126505810873733]
9,tibia_r,fdl_r-P2,[-0.00931769260670173 -0.35378110617822583 -0.01049328773336143]
10,tibia_r,fhl_r-P1,[-0.02988930101881352 -0.2020927044308185   0.03017009024760083]
11,tibia_r,fhl_r-P2,[-0.0170579504715635  -0.3536275035223382  -0.00395785146832039]
12,tibia_r,grac_r-P2,[-0.01838781216509115 -0.041219990036149   -0.03562040550160062]
13,tibia_r,grac_r-P3,[ 0.00597781182798316 -0.06650725549346871 -0.02626839376193123]
14,tibia_r,perbrev_r-P1,[-0.02482654651717532 -0.24113769501774618  0.03082687488200764]
15,tibia_r,perbrev_r-P2,[-0.03017483271370751 -0.36465778717118486  0.0311671019940054 ]
16,tibia_r,perbrev_r-P3,[-0.02356019576188928 -0.3712133851809365   0.03106420621661467]
17,tibia_r,perlong_r-P1,[-0.01923824878574623 -0.12738313147443206  0.03259027217461644]
18,tibia_r,perlong_r-P2,[-0.0275502175103864  -0.36558319972743036  0.02940272798082753]
19,tibia_r,perlong_r-P3,[-0.02188605658897495 -0.37179169277201163  0.02933887544471979]
20,tibia_r,recfem_r-P5,[ 0.04167732223928085 -0.06918492896918932 -0.01568584197637875]
21,tibia_r,sart_r-P3,[-0.02670781809808747 -0.03242101227584737 -0.04095693116289392]
22,tibia_r,sart_r-P4,[-0.01482137538460947 -0.05313103829253316 -0.03321197458493472]
23,tibia_r,sart_r-P5,[ 0.01919976317465999 -0.08057540085386426 -0.01403111029801739]
24,tibia_r,semimem_r-P2,[-0.02891986727103986 -0.03341941858877143 -0.02143544738083071]
25,tibia_r,semiten_r-P2,[-0.03318582863708618 -0.04141724940844838 -0.02427060313589075]
26,tibia_r,semiten_r-P3,[ 0.00605681817951395 -0.07381521755207732 -0.0215305045002753 ]
27,tibia_r,soleus_r-P1,[-0.00528400716270815 -0.08631226087570493  0.00631560453739523]
28,tibia_r,tfl_r-P4,[ 0.01603005893954371 -0.0458957076774725   0.03217937318083129]
29,tibia_r,tibant_r-P1,[ 0.01968028611786749 -0.1272966190911727   0.00788834680873613]
30,tibia_r,tibant_r-P2,[ 0.02968172024834879 -0.1827309046561386   0.0023911123399313 ]
31,tibia_r,tibant_r-P3,[ 0.03643870210931069 -0.3639783862090272  -0.02252377971130183]
32,tibia_r,tibpost_r-P1,[-0.00114928649075813 -0.12257435510217103  0.00779439300050618]
33,tibia_r,tibpost_r-P2,[-0.00742108466241396 -0.3546610003033248  -0.01580185826863708]
34,tibia_r,vasint_r-P5,[ 0.04162932219102537 -0.06930668487832055 -0.01464247863322976]
35,tibia_r,vaslat_r-P5,[ 0.0415175186269328  -0.06975595428252919 -0.00923371191550277]
36,tibia_r,vasmed_r-P5,[ 0.04090517836084142 -0.06902509607480331 -0.02282868475205083]
