name,r,a,s
addbrev_r-P2,108.23305865077367,-22.585679755400434,599.8752092558594
addlong_r-P2,120.13607380473752,-6.019174100683521,476.4548101451322
addmagDist_r-P2,128.81854047560802,-8.213020949928172,451.77041426677874
addmagIsch_r-P2,94.42120867752853,19.647863335403642,337.9994146931431
addmagMid_r-P2,118.40104559617866,-20.033381788745807,556.9315971129325
addmagProx_r-P2,113.68738169525385,-39.50779666004051,637.8877008914096
bfsh_r-P1,120.48396665352473,-16.664495402059025,507.2670054490655
gaslat_r-P1,149.2114066791978,-13.363385703886435,340.7468731584035
gasmed_r-P1,106.14901430313208,14.646604432091687,339.6080523763339
glmax1_r-P3,121.66098546867543,-63.393390522730115,679.7467116712633
glmax1_r-P4,131.81822553474768,-55.1351871759962,657.653515829596
glmax2_r-P3,110.42169348908041,-63.61427314644765,656.452649289446
glmax2_r-P4,124.23966416965152,-44.252009872650206,619.0319686870058
glmax3_r-P3,89.69397301313447,-45.01210134731705,607.7360933207257
glmax3_r-P4,127.22348232479881,-33.58887661677881,578.3959702959032
glmed1_r-P2,148.92057130835815,-53.34774163922421,700.5259006777002
glmed2_r-P2,148.945351722659,-55.6173800733835,706.4906248553863
glmed3_r-P2,149.5771087059426,-58.98870517928906,707.2273199503857
glmin1_r-P2,146.56762876952476,-43.84643987479615,704.0813836301958
glmin2_r-P2,147.0538143302786,-45.449559130287064,703.7080209313568
glmin3_r-P2,147.463458348104,-47.9203910393345,705.3629156879823
iliacus_r-P3,95.15197806967376,-23.028084845164074,656.7637220408258
iliacus_r-P4,101.17665882855279,-32.77958782937733,650.4406018889543
piri_r-P3,137.87337835479948,-46.14601104044823,710.5636136489201
psoas_r-P3,86.87360370181885,-30.928984705291217,666.1851476100055
psoas_r-P4,91.67455728873962,-40.00549782316806,660.7914031748255
sart_r-P2,75.19465563528853,12.366154321413312,367.24921809844864
tfl_r-P2,147.56644548122088,-2.2079762027043492,613.5647810006235
tfl_r-P3,171.40233150436868,-8.77220695671904,317.381963917991
vasint_r-P1,132.67489437561616,11.912757274022576,524.2955450728966
vasint_r-P2,134.22335244428837,18.35230076519298,507.0060483775271
vaslat_r-P1,128.1528228107345,-20.54069420613246,533.8456956362294
vaslat_r-P2,154.21481594167096,2.6342534330379856,452.5056153809822
vasmed_r-P1,118.06072820228478,-3.1264194688021587,507.4888049856505
vasmed_r-P2,116.22353781979204,30.961920965617946,431.7235545879439
