name,r,a,s
addbrev_r-P1,12.825670539697471,9.884668378101834,692.5276673579798
addlong_r-P1,16.12708276950696,19.49226956331078,696.4142201694892
addmagDist_r-P1,36.2809638475635,-33.79037897824258,666.663946848805
addmagIsch_r-P1,38.42677096424469,-47.21165959546569,665.9158799282542
addmagMid_r-P1,25.232883454957555,-16.21712872593093,671.0052778237431
addmagProx_r-P1,11.036001707680091,0.7258190960254703,680.9453494362482
bflh_r-P1,56.12002042949154,-61.23868673954913,678.1236610875467
glmax1_r-P1,57.27995404357509,-75.9872138459381,814.005397790953
glmax1_r-P2,76.84136921124922,-82.16809287931326,769.5784344211862
glmax2_r-P1,45.8641571770364,-86.41482384321434,795.684039695469
glmax2_r-P2,79.90381588538739,-90.14822403265835,737.7840368512301
glmax3_r-P1,6.163559400894752,-87.38867263304746,742.3966557478558
glmax3_r-P2,41.13267091447626,-81.5989545817082,672.2068233181998
glmed1_r-P1,112.62033660165706,-6.652207857147664,804.6347838888393
glmed2_r-P1,67.89522854740018,-42.00588401893215,808.7952274358591
glmed3_r-P1,51.874703736464205,-72.42302293793524,781.4088442116266
glmin1_r-P1,98.5418444151847,-11.330579097829318,771.5373685888454
glmin2_r-P1,93.01268191598088,-24.774290512752003,772.9584932788293
glmin3_r-P1,77.51466839337773,-40.26402369215309,772.3470786491974
grac_r-P1,21.212878698921674,-11.050594756232226,662.4442407581208
iliacus_r-P1,83.1248219890124,-20.42979866316532,807.8583402128659
iliacus_r-P2,69.4444823553871,15.158187982292123,730.7925629929167
piri_r-P1,12.323526931541013,-60.564291933368715,778.8008356724574
piri_r-P2,59.5444259502599,-61.43738922033709,760.9468688993632
psoas_r-P1,40.880471765387654,-16.66716643945638,826.2182802183158
psoas_r-P2,60.44911446586275,8.738989611273174,721.9454467444851
recfem_r-P1,86.38522256298022,6.8475516780186485,748.1183753847255
sart_r-P1,97.85204361666928,12.38558189226123,768.771408802202
semimem_r-P1,58.894858106941605,-56.877442739560834,682.8815394986899
semiten_r-P1,48.801163496219345,-60.49107420073593,671.7065562512937
tfl_r-P1,117.77399052000936,5.082810768642076,801.7460836470358
addbrev_l-P1,-16.37265523419202,10.256686254920277,692.5899325800858
addlong_l-P1,-19.340126213473724,19.8682338682739,696.5024959282074
addmagDist_l-P1,-41.63978294652092,-31.929973131674203,667.1144023884211
addmagIsch_l-P1,-44.358526419013934,-45.363172191579864,666.4282345348017
addmagMid_l-P1,-29.89193467239299,-14.983361495243608,671.2434257166876
addmagProx_l-P1,-15.034367995341507,1.1748329296746531,681.0152769467217
bflh_l-P1,-62.620309857048255,-59.60122190500683,678.5090032470864
glmax1_l-P1,-58.64624838174662,-76.79801126149572,814.1877007610154
glmax1_l-P2,-81.98459277110167,-82.49531195072595,769.6294768419424
glmax2_l-P1,-49.32810965774975,-86.86546549501458,795.7567160841269
glmax2_l-P2,-86.60121282606657,-89.93442620879956,737.8069881642438
glmax3_l-P1,-12.633025628287225,-87.37803190619357,742.3880523412219
glmax3_l-P2,-48.68833557625642,-80.48789479222745,672.627431961227
glmed1_l-P1,-113.44986877764912,-8.051931823350252,805.311535530398
glmed2_l-P1,-68.42993090746053,-43.036443509877714,809.108276333281
glmed3_l-P1,-55.659740716654504,-72.81327010992703,781.4611006881385
glmin1_l-P1,-100.97503014187987,-11.871717047600484,772.1289026463743
glmin2_l-P1,-95.77115212973635,-25.307180183229093,773.3904226571645
glmin3_l-P1,-80.64914566394336,-40.69414253430413,772.5594512470469
grac_l-P1,-25.840542039147046,-9.907726635555033,662.6962290499213
iliacus_l-P1,-83.43950993420489,-21.668161004894223,808.3417083325229
iliacus_l-P2,-72.14874312270757,15.575802671268494,731.2524024865913
piri_l-P1,-15.272413115577127,-60.66723659250086,778.8128240716024
piri_l-P2,-63.954631428894245,-61.578731826485956,760.9338091041247
psoas_l-P1,-37.98634121718493,-17.488428526318323,826.4703402713988
psoas_l-P2,-63.54191208490464,9.357172855395463,722.2165595614665
recfem_l-P1,-88.97532559601214,6.881122491426451,748.7853255473633
sart_l-P1,-99.57446016408933,11.883150613067853,769.5307623746743
semimem_l-P1,-65.13549649042854,-55.24837204282037,683.1792684436886
semiten_l-P1,-55.323966940368635,-58.79997566314253,672.1737046617735
tfl_l-P1,-118.46791076301919,3.7340042502528745,802.4778222612971
