,body,name,location
0,femur_l,GasLat_at_condyles_l,[ 0.0032179327915928  -0.3669824418110476   0.00244104218040166]
1,femur_l,Flex_at_femhead_r,[-0.00505375816651461  0.00081413088808978  0.00936748614800365]
2,femur_l,GasMed_at_condyles_l,[ 0.0032179327915928  -0.3669824418110476   0.00244104218040166]
3,femur_l,KnExt_at_fem_l,[-0.00317251169555514 -0.3596091679046831   0.00006170919009896]
4,femur_l,KnExtVL_at_fem_l,[-0.00502624575340996 -0.35924397010159614 -0.00014068088736609]
5,femur_l,AB_at_femshaft_l,[ 0.01309434876876486 -0.10279535262518939 -0.00522220181402102]
6,femur_l,AL_at_femshaft_l,[ 0.02360772113562525 -0.21326465278110202  0.00471458910982949]
7,femur_l,AMprox_at_femshaft_l,[ 0.0059977389460171  -0.06597346665073398 -0.01406594165040947]
8,femur_l,AMmid_at_femshaft_l,[ 0.0187374165177653 -0.1472292212326038  0.0007632718425638]
9,femur_l,AMdist_at_femshaft_l,[ 0.02376501467871146 -0.24008312343142427  0.00830781954019998]
10,femur_l,AMisch_at_condyles_l,[-0.02239624805897137 -0.3338732387294689   0.00490210767825293]
11,femur_l,PECT_at_femshaft_l,[ 0.00718095019995046 -0.07647291433193035 -0.01721238521909908]
12,femur_l,Flex_at_femhead_l,[-0.00249883337548854  0.00047665544424294 -0.01156587019536423]
