,body,name,location
0,tibia_r,bflh_r-P2,[-0.03723050880250325 -0.04084742673944027  0.03696077170477238]
1,tibia_r,bflh_r-P3,[-0.02769542348798367 -0.05407863388378783  0.03610301061525462]
2,tibia_r,bfsh_r-P2,[-0.03070040359077689 -0.03670400721933038  0.03220837115794731]
3,tibia_r,edl_r-P1,[-0.01439829944760473 -0.1177232540822488   0.02174097085843253]
4,tibia_r,edl_r-P2,[ 0.02701406909772278 -0.37979165495189865  0.01212066086901209]
5,tibia_r,ehl_r-P1,[-0.01310056270605382 -0.15605850786105005  0.02031817566828434]
6,tibia_r,ehl_r-P2,[ 0.0080990219661955  -0.29189892479197954  0.01803957030277178]
7,tibia_r,ehl_r-P3,[ 0.03055336113553118 -0.3712047943459204  -0.00245591542223315]
8,tibia_r,fdl_r-P1,[-0.00044877970391357 -0.18276133077981466 -0.00430897036727907]
9,tibia_r,fdl_r-P2,[-0.0133440642878186  -0.3681447368704883  -0.01438480727287285]
10,tibia_r,fhl_r-P1,[-0.03436544661744265 -0.21791503475053361  0.02190657987692271]
11,tibia_r,fhl_r-P2,[-0.0206341979787252  -0.37168477216394774 -0.00951012416965578]
12,tibia_r,grac_r-P2,[-0.01769860822641348 -0.05015014321533948 -0.03902979103720752]
13,tibia_r,grac_r-P3,[ 0.00681805226768438 -0.07099347050933168 -0.02170499012729169]
14,tibia_r,perbrev_r-P1,[-0.02737164227539064 -0.25518700974592423  0.02779113988660447]
15,tibia_r,perbrev_r-P2,[-0.02969225801563211 -0.3980975707677816   0.02486316630986887]
16,tibia_r,perbrev_r-P3,[-0.02212184237331776 -0.4086013308107757   0.02631472845044578]
17,tibia_r,perlong_r-P1,[-0.01957966091728321 -0.13932626063864864  0.03098823957456237]
18,tibia_r,perlong_r-P2,[-0.02705268030030533 -0.3985298584010295   0.02367381844179578]
19,tibia_r,perlong_r-P3,[-0.02044806537768637 -0.40928524252539106  0.02487515457633067]
20,tibia_r,recfem_r-P5,[ 0.04230797167709134 -0.06211425967748073 -0.00256088515993752]
21,tibia_r,sart_r-P3,[-0.02618038181799712 -0.04278531869783649 -0.04734927898139292]
22,tibia_r,sart_r-P4,[-0.01417408476644571 -0.06243910836803576 -0.03501379660455597]
23,tibia_r,sart_r-P5,[ 0.02050275832437796 -0.08128208773877181 -0.00525620203469281]
24,tibia_r,semimem_r-P2,[-0.02819553972933803 -0.04422296280792568 -0.02780359691173807]
25,tibia_r,semiten_r-P2,[-0.03262705873149196 -0.05429096816989432 -0.03153677964316735]
26,tibia_r,semiten_r-P3,[ 0.00699447631058684 -0.07853735476241394 -0.01667169798845251]
27,tibia_r,soleus_r-P1,[-0.00416185111410801 -0.09342093072624838  0.00887837496572907]
28,tibia_r,tfl_r-P4,[ 0.0163603866496064  -0.04219207834433348  0.03698284049978422]
29,tibia_r,tibant_r-P1,[ 0.02140396328942737 -0.13064472073601613  0.01771994247297207]
30,tibia_r,tibant_r-P2,[ 0.03076443679377619 -0.18915806427064705  0.01316068426251241]
31,tibia_r,tibant_r-P3,[ 0.03392455471502119 -0.366529062813012   -0.013563663845126  ]
32,tibia_r,tibpost_r-P1,[-0.00097148774774941 -0.13105858982027951  0.01026388747090164]
33,tibia_r,tibpost_r-P2,[-0.01181503400973025 -0.3685578037299285  -0.01973621043689721]
34,tibia_r,vasint_r-P5,[ 0.0422763064788271  -0.06220749021332383 -0.00150080585382411]
35,tibia_r,vaslat_r-P5,[ 0.042244701449846   -0.06244701043029755  0.00400679582177393]
36,tibia_r,vasmed_r-P5,[ 0.04149054432875793 -0.06254053922982016 -0.00999690751352999]
