name,r,a,s
addbrev_l-P2,-110.19927230850287,-21.466085983715832,600.6694395978756
addlong_l-P2,-116.12812091088679,-0.8487108792846345,480.0341344158669
addmagDist_l-P2,-123.85711701394739,-1.240635147425972,457.26002507048
addmagIsch_l-P2,-92.07078408859323,28.58325248009556,335.24422939963347
addmagMid_l-P2,-115.31926854793436,-17.951034757221194,556.4681910961859
addmagProx_l-P2,-115.32984026758386,-36.04825521304101,635.0521826186185
bfsh_l-P1,-114.04406327316981,-11.872870429902356,507.2165219027606
gaslat_l-P1,-141.900795464139,-5.347526313439026,343.42866702420173
gasmed_l-P1,-103.09825153938432,23.12116915455051,338.3923900209491
glmax1_l-P3,-115.82801382368969,-66.22784108503747,677.947555583704
glmax1_l-P4,-130.47495632983296,-52.57872193274998,653.3259072017674
glmax2_l-P3,-105.4923369280586,-62.41302612539083,652.2748833028926
glmax2_l-P4,-120.32026744751265,-39.14527460699031,614.1360166024267
glmax3_l-P3,-84.89706403062273,-39.80753931102604,603.0884172552518
glmax3_l-P4,-122.36193729624215,-30.311320834204658,576.2087881794988
glmed1_l-P2,-145.6460978553798,-53.331270178289905,697.067820906118
glmed2_l-P2,-143.3739886398364,-57.47093397953826,703.8811966012476
glmed3_l-P2,-142.41551080184448,-62.42829956362185,705.3221700072938
glmin1_l-P2,-146.11079272170127,-39.33536921925171,698.4454392264441
glmin2_l-P2,-146.1171805714717,-41.657133199708085,698.402202882413
glmin3_l-P2,-145.31871776419442,-45.53075310045162,700.7097384550234
iliacus_l-P3,-104.77382807594364,-21.027522819739485,657.347178386525
iliacus_l-P4,-107.20922421199805,-30.526772681550995,649.5226314620567
piri_l-P3,-134.66952229770257,-45.22920204541882,707.1065802810115
psoas_l-P3,-94.16198398461819,-29.71580739092056,666.3939291244455
psoas_l-P4,-95.99391303600997,-38.96054401101722,659.896664797665
sart_l-P2,-73.2247845006979,23.79055851890175,365.3549643414821
tfl_l-P2,-159.98592540316247,-4.803094960280285,619.6700428897949
tfl_l-P3,-162.31115793325262,-3.764151791801121,320.3101334886128
vasint_l-P1,-136.37269567483537,8.843711127512337,528.8727617006384
vasint_l-P2,-139.08225410660538,14.893216859101067,513.266020995181
vaslat_l-P1,-122.53085577379231,-17.49749870184217,533.0255460266727
vaslat_l-P2,-154.62335141225955,3.9298672054146855,462.0525228631127
vasmed_l-P1,-115.87171591685635,-0.9410450307682231,509.52203252218777
vasmed_l-P2,-125.73744610472231,30.533932676042664,445.46461795630313
