name,r,a,s
Gmax1_at_pelvis_r,98.3094855534421,-32.86738666130608,714.8983828214679
Gmax3_at_pelvis_r,74.02950654452393,-55.199560336016326,699.9274118781645
Post_at_pelvis_r,72.67033530883822,-32.019912149332015,718.9551761088455
Gmed_at_pelvis_r,104.93649463642033,-0.31112551129643995,734.966380117604
Gmax1_at_pelvis_l,-102.3044319734766,-31.59273642628794,716.7761491625077
Gmax3_at_pelvis_l,-79.37041830076143,-54.606235137748854,701.0719280771984
Post_at_pelvis_l,-78.10445457927818,-31.554372019879708,720.599086244335
Gmed_at_pelvis_l,-108.56283032825813,-0.2334869031455884,737.3561202504717
PS_at_brim_r,67.58923718562595,-44.70354427149884,730.0022469111584
PS_at_brim_l,-73.51515600146108,-45.50820248430756,731.3839167631065
IL_at_brim_r,80.21100234167018,-41.907581367775705,726.3932123859142
IL_at_brim_l,-85.39791285131855,-42.07219345575743,727.9526267254433
