trial,metric,joint,mean_diff_N,mean_diff_percent
Walking,Muscle_Force_CEINMS,Hip,585.9696466948599,26.64697417299491
Walking,Muscle_Force_CEINMS,Knee,140.81517047353282,20.97432082697788
Walking,Muscle_Force_CEINMS,Ankle,-221.30691899178646,-15.264504159933544
Walking,JRF_CEINMS,Hip,34172.45154038282,10093.139222211741
Walking,JRF_CEINMS,Knee,30946.483444097594,8063.0116731774815
Walking,JRF_CEINMS,Ankle,1248.0661631136968,341.14609084883665
Squat_BW,Muscle_Force_CEINMS,Hip,511.78701214284547,49.67514932255167
Squat_BW,Muscle_Force_CEINMS,Knee,-645.0843022226418,-21.35295845289472
Squat_BW,Muscle_Force_CEINMS,Ankle,-1427.2664381379138,-75.0213857272349
Squat_BW,JRF_CEINMS,Hip,70165.15691082797,15200.971365328325
Squat_BW,JRF_CEINMS,Knee,85766.49962602202,16712.331922070713
Squat_BW,JRF_CEINMS,Ankle,1707.3666431854112,373.1286816849992
Squat_35kg,Muscle_Force_CEINMS,Hip,1335.832674088744,104.25064926058272
Squat_35kg,Muscle_Force_CEINMS,Knee,-351.3013163098658,-9.420455231098696
Squat_35kg,Muscle_Force_CEINMS,Ankle,1261.0939164795388,68.9984815587801
Squat_35kg,JRF_CEINMS,Hip,23448.11781435602,4768.5729329607975
Squat_35kg,JRF_CEINMS,Knee,26435.595231014566,5051.524484825803
Squat_35kg,JRF_CEINMS,Ankle,293.08988922448555,55.13696531381282
