Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
100,1000,1,49.3680489837285,0.6437839393078931,61.86784584277255,0.11184029325824187
100,1000,10,49.334269520464076,0.6443849924649149,61.42206403677201,0.11387510230276493
100,1000,100,63.76720617845483,0.6227764379361155,70.92918992837522,0.18453952322927486
100,1000,1000,63.11677059505655,0.6182996942689102,35.71578893951646,0.3265817213492915
100,1000,1200,62.92810394971748,0.6177279389698205,34.44678472711387,0.3510836780539342
100,1000,1400,62.83654588704468,0.6171293128171771,33.362159103807606,0.37206113412605385
100,1000,1600,62.76580941702843,0.6137626569706098,33.07740970678059,0.3898901860668979
100,1000,1800,62.68559630650752,0.6130189661779559,32.138347370725214,0.40462010577959123
100,1000,200,63.633864102429904,0.6220831944002602,55.19053813305342,0.2048399715533365
100,1000,2000,62.62128422861954,0.6126532804352229,31.195597241422895,0.41820806455186393
100,1000,2500,62.413064209939684,0.6114393401616869,29.292961490362135,0.4462653403312263
100,1000,3000,62.36370791522786,0.6103289445592243,27.747501543970454,0.4702509756309953
100,1000,3500,62.348510776804765,0.609784210250886,26.60255906068431,0.4909725027235108
100,1000,400,63.482888997806505,0.6201841296688253,43.60165417442526,0.22213303735826292
100,1000,4000,61.224999095917376,0.6143290358106268,25.7307849840556,0.5104168403897268
100,1000,4500,59.712053973111935,0.609714829340319,24.99031614444071,0.5273618606254896
100,1000,5000,58.62418932455738,0.6156830883442213,24.316443116597824,0.5429084656308168
100,1000,600,63.37677562207007,0.6189270975873706,39.59418411298214,0.2617797222133135
100,1000,800,63.2680315471048,0.6182073340425303,37.312846488764826,0.297033207030353
100,100,1,54.849913961524344,0.6223458230213736,50.89338587441876,0.11272569568967412
100,100,10,67.35911431858058,0.6111503812126949,63.45579304439949,0.10847195538615445
100,100,100,66.97036369829877,0.6101846975560223,42.34428695206612,0.21024569790526795
100,100,1000,64.0301500301977,0.6127895161557608,31.301972161731875,0.3861922776886136
100,100,1200,63.7975948447196,0.6129740562742122,31.073274809819008,0.40090682006933703
100,100,1400,63.83595372515497,0.6130619804441766,30.547185315605535,0.41347602316855403
100,100,1600,63.79562380656185,0.6126480718174838,30.070481281533155,0.424368459360126
100,100,1800,63.6519001092499,0.6127774430294378,29.546260540581663,0.43629180144130236
100,100,200,66.32811428787944,0.6084824509230115,38.66823226735375,0.25168241846197453
100,100,2000,63.438048138039825,0.6131466255160023,28.997814180171297,0.4470766644039573
100,100,2500,59.53425879625968,0.6365345404799758,27.768712392301385,0.47392816766190016
100,100,3000,63.10744631533595,0.607468083724027,27.31660230693807,0.49371815651645906
100,100,3500,63.04462842000197,0.6055169998395991,26.416215181380586,0.5113533605422902
100,100,400,64.11480797747338,0.6024787756964022,34.955445722788845,0.31395708549701073
100,100,4000,62.334451388328006,0.6098201348338237,25.55115051962574,0.5283146649565269
100,100,4500,62.61344126535896,0.6065533158331876,24.90947418995251,0.5417800864596709
100,100,5000,57.967249768927076,0.6605701043520036,23.77714048549371,0.5676405604031334
100,100,600,64.23409930729987,0.5887909760770071,33.03584327250129,0.35177855014732956
100,100,800,64.79763454075031,0.5912622955685829,31.994751792751142,0.37299063635136337
100,10,1,73.29605564939186,0.5722112012145878,52.63697795375676,0.13457859406944922
100,10,10,72.9342482853905,0.5744743335911009,46.06591722957978,0.16886603395377087
100,10,100,69.7291615931207,0.5762629138813604,41.38699751407085,0.23305997805424608
100,10,1000,64.60972408801868,0.593650332391383,31.376831686747387,0.3978305178850044
100,10,1200,64.39115405736871,0.5944161604381938,30.794364853959134,0.4101714689655575
100,10,1400,64.46960272619057,0.5920319250452453,30.805507142902037,0.41933928221415767
100,10,1600,64.2695811934642,0.5958414164416711,30.320091266561356,0.4297975716351638
100,10,1800,63.38715594926244,0.5964856984943315,29.77877727782848,0.44094421094163627
100,10,200,66.69205520906593,0.580205281301806,38.70463681566695,0.2693269951481504
100,10,2000,64.02516685415067,0.5978126333902395,29.90129601914667,0.4511806411761022
100,10,2500,62.80327003244174,0.5944219898752962,28.67990630049934,0.474198218846835
100,10,3000,63.71065322551574,0.6013748372134949,27.665143080627395,0.49416106422936495
100,10,3500,63.200312826933924,0.6016093275318035,26.7385501876575,0.510110181414476
100,10,400,65.75605425619338,0.58856486744022,35.41134913923943,0.3237794177844812
100,10,4000,62.67905126531761,0.6016348705963901,25.90933361371328,0.5254639959193629
100,10,4500,62.11752819079154,0.603308680600506,25.17912728527421,0.5404425067401474
100,10,5000,61.473731578052735,0.6033515701573758,24.6781410897065,0.5542812077551245
100,10,600,64.13223211646374,0.5902377132767013,33.4266137155443,0.36011410103419006
100,10,800,63.89720774127661,0.5877116833470768,32.22246609748261,0.381985806987735
100,1,1,73.72623563784705,0.5668032911041406,47.210786360030774,0.14330381580664317
100,1,10,73.72872072881665,0.5662972556075239,44.5003315626504,0.20203936298771877
100,1,100,69.35194318115134,0.5760685738756656,41.571438467338574,0.2382936961946704
100,1,1000,64.84514151453199,0.5901521866372775,31.416239393726514,0.3988455951768638
100,1,1200,63.7693787883179,0.5898887462042532,30.716650527660814,0.4114183554651332
100,1,1400,64.59504755909859,0.5920559871585749,30.780823841870667,0.4204528576661745
100,1,1600,63.693244516232724,0.5970244904112575,30.923510421735475,0.4312599163569823
100,1,1800,64.43781200100385,0.5924800606898387,30.503114847121026,0.43994512954607035
100,1,200,65.76186046623367,0.5805984765478025,38.740382817860215,0.2810678745901584
100,1,2000,63.725887287655425,0.5993105513428401,29.875679428600712,0.45214368820003453
100,1,2500,64.02985336504365,0.595504370481525,28.775252664782553,0.47448143083534855
100,1,3000,64.17430296101293,0.5990038014288328,27.689582698297897,0.49505655170843804
100,1,3500,63.801147278405104,0.5980796359765029,26.746500809839016,0.5119492098851153
100,1,400,65.69096318782631,0.5895979357020666,35.51260721439712,0.32558516249815445
100,1,4000,63.62644347556322,0.6026576040386209,25.915435596178465,0.5269989599473838
100,1,4500,62.969208506376106,0.6014248159073843,25.240871971005262,0.5401880132604564
100,1,5000,60.39790983419593,0.6007678878981582,24.692275465054006,0.5541351881941604
100,1,600,64.55544814090726,0.590465893514031,33.475450054696694,0.3617517866156046
100,1,800,65.04091354282609,0.5885098750993463,32.26996694398134,0.3821570970809637
10,1000,1,51.12430047185409,0.6414942012019547,585.0931172602362,0.0987632958201284
10,1000,10,51.1086745460959,0.6419176683072139,535.8888140996238,0.09288521845998782
