time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
4.145,0,0,0,0,0,0,0,0,0.16306,0.147401,0.151634,0.138594,0.145857,0,0.171415,0.216119,0.145297,0.15291,0.20557,0.192766,0.174677,0.169493,0.166648,0.259232,0.219999,0.146205,0.15253,0.158535,0.148097,0.352268,0.352268,0.161954,0.161954,0,0.352268,0.160924,0.122865,0.163844,0,0,0.00685626,0.000621435,0.110648,0.0308129,0.137805,0.00526138,0.234745,0.58348,0.427856,0.335956,0.194171,0.230622,0.415755,0.691785,0.143598,0.122551,0.0775271,0.300128,0.275261,0.136378,0.543073,0.297006,0.337575,0.0892454,0.0112232,0.222759,0.223028,0.11675,0.0070275,0.151121,0.36805,0.442238,0.768781,0.206266,0.168212,0.446139,0.0875906,0.000335128,0,0.00020146,
4.15,0,0,0,0,0,0,0,0,0.205705,0.191173,0.206503,0.184734,0.145857,0,0.499044,0.516806,0.279731,0.423865,0.518273,0.472184,0.261339,0.45681,0.462588,0.259232,0.217299,0.184589,0.192556,0.201164,0.188581,0.352268,0.352268,0.161954,0.161954,0,0.352268,0.208659,0.143066,0.187867,0,0,0.0418174,0.055628,0.0575282,0.056208,0.0929213,0.0816339,0.149855,0.490403,0.570515,0.571425,0.225368,0.262826,0.408004,0.636629,0.0788003,0.0750721,0.0913506,0.206689,0.141858,0.0935146,0.484501,0.208634,0.387404,0.0315344,0.0715653,0.145306,0.187208,0.0822648,0.0642605,0.199489,0.519366,0.542264,0.612662,0.214605,0.355515,0.653606,0.0723328,0.291945,0.238272,0.306608,
4.155,0,0,0,0,0,0,0,0,0.147645,0.134592,0.140063,0.132534,0.145857,0,0.210481,0.25016,0.117316,0.190443,0.245457,0.221313,0.16811,0.145688,0.157247,0.259232,0.153522,0.13196,0.137227,0.141488,0.132173,0.352268,0.352268,0.161954,0.161954,0,0.352268,0.144647,0.101352,0.144248,0,0,0.0200083,0.0171569,0.193085,0.0553153,0.244818,0.016253,0.192298,0.416794,0.534567,0.448844,0.158588,0.178649,0.297741,0.533105,0.092647,0.0860243,0.143978,0.161852,0.108288,0.0715097,0.37929,0.163517,0.274758,0.164678,0.0276523,0.105882,0.126,0.0495738,0.0237139,0.139678,0.321165,0.393789,0.591881,0.155407,0.208083,0.547884,0.0515918,0.00136553,0,0.000217754,
4.16,0,0,0,0,0,0,0,0,0.141963,0.128956,0.132385,0.126234,0.145857,0,0.298092,0.279238,0.130649,0.21986,0.271504,0.271804,0.152225,0.15215,0.14575,0.259232,0.147823,0.125467,0.135417,0.140825,0.130137,0.352268,0.352268,0.161954,0.161954,0,0.352268,0.146724,0.112992,0.140432,0,0,0.0830063,0.140424,0.127302,0.03888,0.222534,0.0675774,0.184219,0.573579,0.312642,0.288636,0.157185,0.20001,0.316648,0.519008,0.0639903,0.062956,0.103059,0.171453,0.172841,0.0746341,0.368471,0.172779,0.26972,0.205168,0.135445,0.105559,0.139978,0.0698009,0.157675,0.131374,0.348506,0.392073,0.650529,0.16083,0.151398,0.26123,0.0647014,0.00138028,0,0.0005709,
4.165,0,0,0,0,0,0,0,0,0.200844,0.18733,0.200772,0.1907,0.110436,0,0.515772,0.468279,0.167683,0.395308,0.475393,0.465134,0.232582,0.202199,0.227658,0.257499,0.216607,0.183649,0.190411,0.193856,0.188737,0.361817,0.361817,0.149049,0.149049,0,0.361817,0.195347,0.139219,0.186926,0,0,0.149314,0.245543,0.291406,0.0819357,0.478255,0.121295,0.233033,0.479823,0.832002,0.748772,0.222432,0.246286,0.309631,0.635322,0.136046,0.126356,0.212385,0.166741,0.0698588,0.0855357,0.41492,0.168829,0.339653,0.417397,0.245264,0.113889,0.128641,0.041716,0.272999,0.19474,0.506346,0.540126,0.614187,0.191517,0.308454,0.806112,0.0710783,0.00182581,0,0.00106067,
4.17,0,0,0,0,0,0,0,0,0.130784,0.120359,0.13033,0.118193,0.08076,0,0.286797,0.256376,0.134483,0.205881,0.249951,0.259023,0.137045,0.136888,0.146889,0.257168,0.186344,0.116742,0.124055,0.129248,0.126393,0.374821,0.374821,0.13786,0.13786,0,0.374821,0.12842,0.0912699,0.124871,0,0,0.0925123,0.163674,0.0339941,0.0201995,0.113975,0.073573,0.143539,0.385512,0.406173,0.342502,0.16269,0.193341,0.272081,0.492869,0.128174,0.113082,0.0582476,0.213851,0.169264,0.122802,0.380112,0.210668,0.266377,0.14427,0.163055,0.16807,0.1698,0.0843281,0.182946,0.125424,0.363549,0.368101,0.428409,0.152633,0.138916,0.415251,0.0659237,0.00197448,0,0.000659474,
4.175,0,0,0,0,0,0,0,0,0.130887,0.118443,0.122607,0.1154,0.056638,0,0.347193,0.289075,0.143453,0.228848,0.274349,0.293998,0.129696,0.146735,0.134605,0.258245,0.153707,0.111986,0.12683,0.134479,0.124702,0.391122,0.391122,0.128465,0.128465,0,0.391122,0.139664,0.109015,0.129992,0,5.08205e-18,0.129096,0.234141,0.0222414,0.0212547,0.129582,0.10406,0.160471,0.614428,0.140698,0.153279,0.154149,0.211488,0.310894,0.479661,0.0731725,0.0748809,0.0654051,0.191168,0.222286,0.111461,0.355328,0.190511,0.267876,0.184582,0.219002,0.125575,0.17064,0.0961637,0.259439,0.12048,0.364853,0.370959,0.592499,0.159392,0.102507,0.0641145,0.0741712,0.00289317,0,0.000818931,
4.18,0,0,0,0,0,0,0,0,0.135001,0.124504,0.132019,0.126069,0.037659,0,0.525114,0.380494,0.156474,0.32608,0.375533,0.41998,0.133602,0.159494,0.145251,0.260663,0.145782,0.119551,0.134258,0.139913,0.133628,0.409854,0.409854,0.120828,0.120828,0,0.409854,0.146601,0.118338,0.128735,1.27676e-19,0.001831,0.227729,0.416349,0.022094,0.0155836,0.222907,0.184348,0.127738,0.649519,0.173751,0.216432,0.16006,0.224983,0.274016,0.448568,0.0313674,0.0360375,0.0475493,0.147895,0.176862,0.06852,0.301773,0.148745,0.251644,0.327647,0.38779,0.0876858,0.130373,0.071405,0.457523,0.12566,0.43938,0.40473,0.536954,0.151109,0.0943996,0.0540262,0.06981,0.00197895,0,0.00139529,
4.185,0,0,0,0,0,0,0,0,0.140007,0.129293,0.136268,0.127755,0.023269,0,0.509325,0.360673,0.162664,0.310834,0.358561,0.408962,0.137165,0.169233,0.147862,0.264616,0.178147,0.127171,0.139705,0.144567,0.139242,0.429608,0.429608,0.114815,0.114815,0,0.429608,0.150515,0.128833,0.134731,4.6e-05,0.003574,0.222198,0.408246,0.00769499,0.00366371,0.208573,0.180173,0.148136,0.704633,0.159116,0.195109,0.175629,0.243453,0.318071,0.520409,0.0537388,0.0475409,0.00997409,0.210496,0.246,0.0848258,0.372386,0.20892,0.2677,0.317033,0.380347,0.143613,0.163144,0.0957098,0.449124,0.129208,0.455584,0.421122,0.610655,0.171573,0.0778448,0.0420961,0.0866359,0.000279493,0,0.00141819,
4.19,0,0,0,0,0,0,0,0,0.157965,0.145882,0.154724,0.14672,0.012832,0,0.601491,0.419035,0.184555,0.364013,0.418747,0.480581,0.154781,0.193248,0.169131,0.270345,0.175801,0.144376,0.15789,0.162573,0.156363,0.448292,0.448292,0.110176,0.110176,0,0.448292,0.171705,0.143726,0.150886,0.001922,0.00512,0.266541,0.490196,0.00253394,0.000135726,0.243634,0.216211,0.136442,0.802004,0.209112,0.246984,0.191591,0.269988,0.346876,0.571989,0.0101477,0.00866487,0.000324426,0.196578,0.230131,0.0508808,0.393339,0.197226,0.294577,0.376614,0.457257,0.120228,0.149953,0.0822966,0.539135,0.145778,0.531798,0.492667,0.675499,0.183679,0.0793633,0.0782238,0.0813893,0.000817646,0.000674313,0.0025051,
