time,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
4.145,127.717,-30.8785,-6.42314,9.42277,-24.7586,-1.42833,-170.704,13.5876,-13.7138,1.93378,
4.15,112.257,6.61499,-6.33974,2.31401,-25.7029,-0.917265,-144.748,4.10746,-15.0774,2.61029,
4.155,137.758,43.6331,-28.0237,-4.7707,-21.897,-0.331436,-166.744,-5.24918,1.07879,3.3304,
4.16,150.925,79.6547,-29.1373,-11.9363,-19.9343,0.330257,-161.862,-14.3577,9.30079,4.08188,
4.165,158.225,114.146,-30.489,-19.3077,-17.5731,1.08924,-153.198,-23.0925,13.2042,4.85159,
4.17,162.51,146.6,-30.2109,-26.87,-15.7181,1.96159,-143.042,-31.3235,18.0256,5.62524,
4.175,163.657,176.542,-29.2784,-34.4983,-14.1875,2.95457,-131.593,-38.9215,23.3865,6.38789,
4.18,166.843,203.571,-30.7875,-41.8615,-12.1723,4.03578,-120.962,-45.7653,27.9868,7.12403,
4.185,165.489,227.256,-31.7628,-48.8015,-10.9252,5.21011,-103.438,-51.7287,26.9662,7.81825,
4.19,167.411,247.247,-35.8005,-54.9501,-8.67915,6.43139,-84.9679,-56.6991,26.2147,8.45455,
4.195,161.928,263.269,-34.0008,-59.7602,-7.98472,7.58641,-65.2318,-60.5711,28.406,9.01658,
4.2,160.235,275.108,-37.0452,-62.7087,-5.94343,8.53257,-46.0677,-63.262,27.9769,9.48851,
4.205,155.98,282.551,-39.0942,-63.5976,-4.15552,9.19529,-31.0941,-64.7305,23.3297,9.85604,
4.21,151.244,285.499,-39.1413,-62.1174,-2.17306,9.4349,-21.4812,-64.9645,25.8868,10.1062,
4.215,145.754,283.991,-37.2538,-57.8552,-0.517049,9.02075,-14.3628,-64.0131,21.8762,10.229,
4.22,138.285,278.041,-36.6227,-51.2234,1.53833,8.00322,-4.15188,-61.9314,16.0038,10.2174,
4.225,129.593,267.843,-35.1027,-42.4873,3.67715,6.36685,9.68665,-58.8407,9.5102,10.0685,
4.23,119.354,253.804,-31.7099,-31.7976,5.88079,4.01681,25.2241,-54.9035,3.01207,9.78438,
4.235,107.813,236.287,-27.6774,-20.1905,8.21507,1.2679,40.3704,-50.3385,-3.17543,9.37513,
4.24,91.9372,215.896,-28.5937,-8.37925,10.4065,-1.68368,54.4651,-45.382,-8.89912,8.8563,
4.245,87.049,193.461,-6.25656,3.13156,14.0358,-4.74066,68.0148,-40.2898,-14.1014,8.24965,
4.25,65.9385,169.621,-10.9037,13.2941,16.3278,-7.45306,80.4567,-35.289,-18.709,7.58134,
4.255,48.0775,145.242,-5.35252,21.5319,19.147,-9.58091,91.6809,-30.6001,-22.6473,6.88199,
4.26,27.3485,121.235,-1.65776,27.6383,21.6599,-11.0636,103.775,-26.4117,-25.8944,6.1837,
4.265,9.17448,98.392,4.2581,31.1846,24.0748,-11.6472,101.656,-22.8571,-28.5249,5.51927,
4.27,-10.6573,77.456,8.11766,32.1983,26.4058,-11.3079,100.57,-20.0244,-30.5155,4.91883,
4.275,-28.1339,59.036,15.2648,30.9509,28.7053,-10.1392,99.7692,-17.9513,-31.9243,4.40802,
4.28,-43.4382,43.5605,17.7726,27.9011,30.2146,-8.32763,98.1874,-16.6264,-32.7997,4.00607,
4.285,-64.4821,31.2001,20.8613,23.5229,32.6511,-6.04182,87.8495,-15.9938,-33.1916,3.72488,
4.29,-61.4019,21.9539,12.9331,18.4471,31.0377,-3.55892,94.1284,-15.9669,-33.2116,3.5682,
4.295,-65.2486,15.6159,15.875,13.3062,33.8637,-1.17223,85.4584,-16.4316,-32.6809,3.53155,
4.3,-68.6525,11.801,12.4943,8.67805,33.3312,0.832225,81.7733,-17.2517,-32.3416,3.60264,
4.305,-71.5078,9.98308,11.2142,5.04009,32.9211,2.19631,79.9103,-18.273,-31.5682,3.76225,
4.31,-73.9644,9.5389,9.92567,2.73472,32.3608,2.70799,80.3548,-19.3259,-31.3565,3.98564,
4.315,-75.9873,9.79298,8.94822,1.95061,31.6805,2.21729,83.0526,-20.227,-31.0518,4.2442,
4.32,-77.983,10.0575,7.00636,2.72016,30.8822,0.650274,87.8941,-20.7794,-30.5356,4.5075,
4.325,-78.0161,9.66511,4.74352,4.93119,30.3098,-1.97916,94.665,-20.7746,-29.8955,4.74537,
4.33,-78.4524,7.99458,2.52264,8.34852,30.013,-5.56032,103.429,-19.9955,-29.2567,4.93016,
4.335,-78.4174,4.48933,0.909142,12.6406,30.0986,-9.88191,113.947,-18.2229,-28.6643,5.03883,
4.34,-79.3433,-1.32715,-0.0362396,17.4061,30.3295,-14.636,125.157,-15.2462,-28.1144,5.05475,
4.345,-80.9297,-9.83751,-0.986465,22.1997,30.7986,-19.4335,136.383,-10.8781,-27.6029,4.96899,
4.35,-82.8213,-21.3174,-1.92996,26.556,31.5636,-23.8333,146.716,-4.9737,-27.1327,4.78077,
4.355,-84.6312,-35.9032,-2.30008,30.1241,32.5555,-27.4574,156.88,2.54509,-26.7026,4.4965,
4.36,-86.8152,-53.6294,-2.54865,32.493,33.6587,-29.8979,167.622,11.678,-26.3035,4.1289,
