time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
4.145,1157.9,1303.26,3930.07,1091.25,3664.33,4.8643,4394.09,2792.49,188.487,115.233,418.568,588.004,3424.5,8000.87,2258.18,6820.62,5557.22,7087.28,4027.65,7772.82,3592.92,7971.8,7602.5,1604.97,606.256,577.072,1328.31,2266.76,3012.06,344.536,863.762,7761.69,4792.93,17736.9,37.8484,834.348,2180.95,3071.83,7914.28,4214.94,337.032,567.515,308.422,1223.96,229.725,50.2847,148.396,1786.84,157.598,79.2775,40.97,0,116.125,571.838,4.36657,68.5677,74.1393,0,0,0,15.9611,0,44.4415,177.857,1472.46,125.579,0,77.5586,631.759,10361,869.676,7098.31,370.723,6.86048,1048.88,228.871,0,0,0,0,
4.15,1534.08,1514.25,3996.1,1230.54,3366.22,7.89496,4325.48,2739.82,234.635,144.415,414.702,578.198,3451.69,7834.21,2264.13,2243.25,2257.12,7107.59,4090.12,2132.57,3554.07,7968.93,7608.2,1672.29,600.964,618.938,1316.6,2303.52,3276.08,500.4,876.808,7631.87,4734.2,17461.7,40.1629,948.473,2178.25,3062.14,7899.5,4241.4,281.347,524.106,274.385,1232.98,231.436,36.045,223.668,1786.79,158.025,79.2069,43.1879,0,167.532,633.535,6.48825,93.1942,97.7675,0,0,0,18.972,0,44.9482,196.619,1483.22,124.992,0,78.9508,617.99,10340.8,869.736,7098.31,450.056,6.46187,1048.36,317.757,0,0,0,0,
4.155,1047.96,1382.4,3386.91,970.351,1568.08,7.69605,4833.89,3712.17,283.584,174.671,411.48,564.306,4394.51,10258.4,1746.63,3574.64,2366.32,8900.98,3932.13,4780.1,4393.14,8518.16,7922.93,1894.63,932.952,612.023,1297.88,2210.32,4492.72,367.169,1210.77,9272.52,5253.66,16266.7,125.118,1131.82,2152.56,2166.34,5606.5,3014.15,328.198,560.597,242.055,1195.3,198.777,11.3598,145.897,1767.54,167.225,84.1313,40.5378,0,32.0505,475.823,5.66227,83.7718,83.0562,0.680554,0,0,30.1717,1.87164,45.5377,151.751,1551.24,120.304,0,51.7387,640.826,10455.1,857.234,6956.24,350.682,0,1092.36,405.15,0,46.8505,116.544,50.484,
4.16,1084.64,1309.88,3148.67,787.41,1417.12,3.96503,5255.3,4199.18,314.51,193.255,408.141,560.711,5347.45,12392.2,1656.29,2833.51,2332.67,9993.64,3874.6,3518.76,4628.53,8752.33,8161.69,1976.15,1138.69,604.863,1292.93,2124.02,4936.3,278.248,1270.53,10643.1,5563.89,15553.7,183.566,1233.18,2136.69,1741.67,4368.32,2357.58,376.765,610.077,256.988,1170.97,188.582,78.7771,102.897,1765.64,180.005,90.9866,38.264,0,19.8252,358.369,4.31066,91.3223,80.435,1.21221,0,0,33.3629,2.52807,46.8002,130.869,1589.01,122.719,0,33.1708,663.392,10493.8,846.589,6921.53,311.087,0,1135.62,470.316,0,47.6924,124.658,56.1328,
4.165,1169.48,1265.94,2984.22,659.297,1548.62,1.35254,5590.04,4413.18,331.631,202.926,410.976,569.272,6044.77,14168.8,1755.96,2724.88,2488.57,10647,3914.6,3604.36,4780.16,8841.76,8319.31,2004.24,1245.92,600.361,1314.41,2033.89,5063.02,196.673,1279.05,11720.8,5780.37,15089.8,229.155,1278.68,2157.96,1477.82,3567.36,1975.56,409.487,647.208,281.87,1154.57,191.774,72.5314,55.2275,1764.58,190.514,96.9532,36.1239,0,57.7353,272.887,4.53172,92.6805,79.9275,1.48994,0,0,34.3631,2.78776,43.4769,117.499,1618.6,120.521,0,17.2021,688.563,10502.7,834.83,6910.78,297.115,0,1177.17,513.517,0,57.6433,150.754,65.8235,
4.17,1232.94,1238.64,2807.37,571.587,1593.32,0,5797.2,4648.01,337.53,205.557,415.078,578.471,6508.44,15526.4,1831.53,2813.4,2588.65,11026.3,3983.55,3660.94,4938.49,8822.36,8443.64,2010.08,1298.56,599.988,1341.93,1941.87,5114.38,152.215,1288.79,12457.1,5935.68,14706,272.876,1287.66,2192.26,1364.73,3163.95,1804.55,433.074,674.419,310.311,1142.99,200.562,71.6982,40.0352,1763.49,203.272,104.309,33.8498,0,36.9212,208.512,5.04352,94.2436,80.0713,1.71849,0,0,33.6049,2.7929,37.0785,106.045,1645.47,114.379,0,10.9547,711.951,10506.4,821.666,6903.83,288.174,0,1218.75,534.171,0,62.205,162.324,70.6726,
4.175,1288.69,1221.89,2643.64,505.585,1627.59,0,5873.87,4878.66,335.255,203.261,419.066,587.412,6835.28,16439.9,1915.9,2948,2637.34,11375.1,4068.8,3718.42,5102.61,8737.62,8534.23,2002.16,1306.92,603.177,1369.74,1848.24,5148.06,157.057,1294.6,12847.7,6037.1,14449.1,319.361,1275.49,2228.63,1294.6,2957.88,1706.12,444.84,689.627,331.767,1135.1,210.916,74.7635,71.6773,1762.42,215.353,111.019,31.4004,0,1.42602,129.006,5.62119,95.3443,80.7143,1.9641,0,0,31.8076,2.77128,29.089,97.1559,1669,104.295,0,6.67663,729.309,10509.7,806.508,6897.48,278.18,0,1259.07,536.727,0,64.9199,169.987,74.1535,
4.18,1335.26,1213.33,2487.4,449.579,1627.3,0,5827.1,5101.11,327.476,197.82,423.37,596.93,7019.39,17069.3,1979.98,3098.34,2653.05,11597.8,4136.43,3753.36,5272.74,8651.08,8589.62,1983.81,1288.64,609.222,1398.18,1754.17,5183.48,193.198,1301.67,12928.9,6094.59,14348.5,369.966,1250.69,2267.65,1237.04,2808.44,1626.36,449.262,694.546,348.178,1130.49,221.251,77.3918,50.3482,1760.9,227.459,117.495,28.8254,0,0,22.7256,6.26394,85.8574,81.9796,2.25316,0,0,29.3455,2.7788,20.9742,89.6727,1687.94,91.5598,0,3.17479,739.701,10513.1,789.024,6891.07,266.701,0,1298.1,527.255,0,67.0399,176.338,77.5937,
4.185,1373.09,1212.97,2345.16,397.634,1594.06,0,5672.14,5319.66,316.135,190.495,428.356,608.065,7151.13,17444.6,2014.56,3219.7,2655.15,11667.6,4161.07,3764.78,5441.42,8575.77,8603.94,1956.49,1275.53,617.944,1428.74,1660.88,5237.15,243.007,1311.3,12762.7,6109.39,14425.9,424.469,1216.77,2311.54,1195.48,2702.39,1568.18,449.693,692.554,362.837,1129.08,230.771,79.0235,71.6259,1759.55,237.332,122.62,26.3745,0,0,48.6088,6.9703,102.613,82.6937,2.60401,0,0,26.6087,2.83489,14.6581,82.6965,1701.17,79.5191,0,1.34603,744.426,10516.3,769.264,6884.58,254.064,0,1335.47,511.414,0,69.0986,182.265,81.5772,
4.19,1403.63,1221.25,2211.06,346.762,1665.62,0,5426.94,5526.9,302.486,182.066,434.284,621.69,7279.28,17786.2,2031.58,3322.32,2651.5,11589.6,4149.09,3761.13,5605.32,8510.59,8582.18,1921.58,1278.27,629.51,1462.92,1570.1,5315.39,304.944,1328.96,12443.5,6076.35,14701.4,482.032,1174.75,2362.36,1173.02,2651.65,1537.39,446.124,684.948,377.378,1130.92,239.219,79.2689,59.3029,1758.01,244.831,126.279,24.1508,0,0,63.073,7.66587,108.77,53.5699,3.03456,0.414844,0,23.8356,2.94979,10.1987,75.4407,1707.56,68.7289,0,0.723489,744.439,10518.5,746.937,6878.19,240.423,0,1370.49,493.052,0,71.0824,187.875,86.1549,
4.195,1428.84,1238.41,2069.21,299.187,1610.46,0,5106.23,5714.07,287.226,172.945,441.39,638.353,7390,18128.1,2030.51,3401.35,2648.87,11398.4,4105.9,3752.26,5749.01,8458.15,8527.87,1880.05,1295.36,644.134,1501.83,1483.22,5419.62,386.569,1349.94,11975.8,5998.66,15192.6,541.795,1124.31,2421.92,1174.52,2666.25,1539.26,440.201,672.656,394.956,1136.13,247.341,81.6122,69.4418,1756.21,249.707,128.41,22.2121,0,0,0,6.28633,111.747,110.417,3.56384,0.53627,0,21.1522,3.1303,6.84996,65.8081,1706.08,59.6099,0,0.656652,740.604,10519.1,722.171,6872.22,226.717,0,1403.69,474.111,0,72.7627,192.832,91.1207,
4.2,1450.53,1264.97,1931.59,260.218,1545.79,0,4723.36,5867.95,270.712,163.285,449.784,658.371,7496.24,18448.1,2020.23,3472.27,2642.19,11089.3,4045.48,3753.47,5867.42,8413.6,8439.75,1833.11,1340.45,661.946,1545.9,1401.84,5549.24,492.825,1375.42,11371.1,5873.81,15915.9,605.176,1064.68,2491.16,1205.09,2756.54,1580.5,427.239,654.233,413.016,1144.87,254.673,80.6789,65.256,1754.77,251.907,129.03,20.8261,0,0,0,10.1777,115.678,96.7202,4.21419,2.31583,0,18.7333,3.38131,5.22755,60.2374,1695.46,53.6767,0,0.613893,732.224,10517.3,695.139,6867.04,213.144,0,1434.29,455.299,0,74.0004,196.67,96.0961,
4.205,1472.32,1300.63,1811.32,237.641,1526.29,0,4292.16,5985.23,253.044,153.125,459.461,681.555,7588.52,18728.1,1994.02,3525.05,2633.24,10661.2,3965.38,3767.53,5945.13,8381.62,8324.68,1781.94,1414.57,682.87,1594.79,1327.24,5700.47,627.936,1404.53,10625.8,5708.45,16883.9,673.81,995.024,2569.99,1270.47,2933.98,1666.88,409.033,630.502,433.638,1157.31,261.594,82.6279,70.3041,1753.02,251.311,128.069,20.0377,2.97375,0,0,11.4585,119.982,97.4732,5.00794,8.36041,0,16.68,3.7038,4.97504,52.5389,1674.98,50.7765,0.68582,1.28885,719.604,10513.3,666.239,6863.05,199.891,92.1988,1462.08,436.534,4.92134,74.7723,199.558,100.988,
4.21,1494.35,1345.33,1701.69,215.173,1533.94,0,3829.22,6069.62,234.282,142.497,470.515,708.215,7632.29,19004.4,1951.24,3539.59,2642.06,10132.7,3867.74,3795.8,5980.76,8359.37,8181.69,1726.43,1514.58,706.969,1649.13,1260.52,5875.75,793.863,1435.37,9768.33,5512.04,18111.7,748.273,915.045,2659.33,1375.18,3210.95,1804.52,395.49,603.746,460.645,1173.63,269.395,69.5022,71.4013,1751.3,247.831,125.525,19.8111,0.308311,0,0,13.1094,124.675,100.331,5.96702,0,0,15.0211,4.09397,5.44208,61.3128,1644.36,50.3559,0.109209,6.65527,704.228,10508.6,634.178,6860.67,187.227,18.7711,1486.47,417.742,0.329137,75.6885,202.753,106.247,
4.215,1521.24,1399.45,1602.92,208.06,1545.89,0,3360.6,6113.78,214.52,131.443,483.006,738.596,7680.32,19298.9,1915.09,3562.39,2662.12,9538.31,3776.22,3848.22,5971.11,8338.12,8010,1668.1,1632.93,734.232,1709.18,1202.38,6069.79,990.934,1468.72,8843.31,5289.88,19599.9,825.975,825.512,2759.31,1516.06,3599.17,1998.11,384.713,572.575,490.32,1193.96,277.819,105.831,76.0802,1713.12,242.211,121.898,20.1304,1.53033,0,0,14.9048,131.466,104.559,7.11279,0,0.105149,13.7467,4.54432,6.48427,53.5105,1603.25,51.4216,0.40131,13.0617,685.454,10504,599.649,6860.34,175.481,92.0373,1507.18,398.922,1.58259,77.0201,207.164,112.162,
4.22,1563.15,1463.65,1515.08,193.784,1570.21,0,2925.36,6120.74,193.9,120.038,496.93,772.775,7738.25,19599.9,1888.26,3603.93,2694.28,8901.35,3696.29,3922.21,5914.16,8320.96,7810.96,1611.65,1766.5,764.627,1775.29,1152.91,6284.11,1219.06,1502.68,7871.53,5053.52,21347.9,905.653,727.991,2870.11,1682.35,4094.21,2240.09,364.267,536.507,525.763,1218.36,287.555,94.5582,81.2799,1614.17,235.244,117.645,20.8486,4.32834,0,0,16.7914,136.235,108.153,8.46266,0.143422,1.47377,12.8352,5.04848,7.64648,62.6797,1551.88,53.4131,0.9753,18.4529,663.636,10499,567.314,6862.45,165.069,205.178,1524.04,380.027,4.79564,78.7969,212.699,118.491,
4.225,1623.72,1539.49,1438.72,212.45,1619.13,0,2545.58,6095.85,172.764,108.456,512.512,811.917,7792.81,19950.8,1850.67,3630.42,2749.48,8215.55,3622.26,4006.84,5811.02,8309.08,7586.95,1558.14,1922.51,798.603,1849.28,1112.47,6523.75,1479.62,1534.84,6905.44,4812.47,23364.9,986.818,624.897,2993.98,1872.15,4656.75,2511.54,338.149,497.187,572.41,1246.96,299.644,99.6463,88.333,1472.55,227.023,112.859,21.9297,8.01137,0,0,19.4202,139.504,110.209,10.039,0.515843,3.60576,12.2458,5.66716,8.85811,58.2037,1490.97,56.5459,1.7637,25.7793,640.701,10490.8,534.571,6867.37,156.621,328.962,1536.48,360.338,9.72082,79.8666,216.868,123.597,
4.23,1685.37,1628.78,1374.1,192.76,1697.99,0,2192.12,6042.68,151.518,96.8882,529.883,855.82,7873.31,20368.5,1818.01,3667.74,2816.19,7454.86,3562.1,4125.3,5663.4,8297.35,7336.72,1507.16,2092.6,836.208,1931.36,1081.11,6783.89,1778.29,1568.07,5990.42,4557.03,25623.9,1068.46,517.93,3131.05,2111.76,5270,2807.42,320.354,461.867,624.639,1280.35,313.49,102.77,97.4657,1303.96,217.82,107.795,23.3265,11.6199,0,0,22.5455,148.185,116.464,11.953,0.829597,5.42215,11.9257,6.44785,10.4491,51.6234,1421.61,60.2975,2.65471,35.5677,618.166,10477.8,501.706,6875.35,150.676,450.006,1543.86,339.481,15.0725,79.675,217.713,126.308,
4.235,1752.96,1734.58,1321.59,260.002,1773.99,0,1868.64,5967.75,130.468,85.5272,548.855,903.959,8003.98,20815.4,1810.72,3764,2886.46,6790.07,3529.71,4311.05,5473.77,8284.06,7061.02,1459.45,2273.02,877.16,2020.82,1058.3,7058.89,2115.69,1600.2,5169.24,4309.49,28114.3,1149.29,404.087,3279.91,2389.36,5971.11,3143.13,289.392,432.277,677.862,1318.26,328.015,103.012,109.377,1127.79,208.449,102.866,25.0596,14.7856,0,0,24.3955,156.272,121.454,14.248,1.21455,7.12229,11.8264,7.37694,13.0111,50.0866,1343.39,64.1464,3.50713,48.9039,595.064,10459.8,467.416,6886.62,147.63,562.557,1545.77,317.476,19.9341,77.8929,214.403,126.358,
4.24,1835.4,1858.51,1280.54,205.027,1716.79,0,1600.88,5876.5,109.861,74.4444,569.035,953.966,8182.58,21275.6,1800.38,3893.43,2949.64,6183.82,3515.04,4440.98,5246.09,8273.52,6762.62,1415.99,2457.59,920.195,2114.31,1042.79,7329.62,2485.04,1628.13,4520.59,4090.28,30768.1,1226.36,262.932,3436.85,2666.65,6742.66,3503.39,174.417,393.053,730.178,1361.36,341.869,100.478,124.4,942.931,199.106,98.0514,27.1291,17.4392,0,0,27.2574,161.766,123.707,16.9923,1.73777,9.24043,11.9234,8.18941,15.1797,49.2348,1253.71,68.0186,4.28785,65.565,566.267,10437.2,435.263,6902.4,147.808,664.304,1541.73,295.294,24.0787,75.3341,208.301,124.56,
4.245,1932.15,1991.41,1248.89,315.616,1750.43,0,1381.82,5774.58,89.411,63.5342,587.918,995.456,8271.36,21597.8,1762.83,3963.73,2990.33,5534.81,3482.7,4508.59,4983.77,8268.11,6445.54,1377.06,2583.31,960.557,2196.18,1033.08,7537.78,2866.72,1650.7,3943.81,3886.66,33226.8,1290.95,116.842,3580.74,2907.7,7427.73,3821.87,473.101,345.198,766.113,1411.04,352.176,96.1926,144.35,794.826,188.986,92.7187,29.0205,19.5591,0,0,31.8556,166.303,130.718,19.9955,2.51362,12.2762,12.1123,8.72123,16.0002,45.9761,1165.69,69.9524,4.9908,77.6721,528.615,10412.9,405.577,6922.87,151.663,754.114,1530.49,273.668,27.4627,72.2928,200.058,121.176,
4.25,2034.74,2131.7,1225.78,254.242,1371.14,2.56614,1213.92,5670.24,68.8195,52.806,606.286,1035.56,8396.96,21949.6,1722.53,4015.59,3027.31,4814.68,3432.96,4548.03,4628.7,8262.51,6110.39,1343.96,2696.71,997.294,2273.11,1027.36,7705.86,3249.55,1669.82,3445.18,3701.99,35809.4,1343.7,86.3357,3717.83,3116.44,8027.77,4093.44,287.33,304.075,804.42,1467.45,360.864,90.2794,171.178,672.045,178.491,87.2314,30.8864,21.2042,0,0,36.1828,177.391,136.409,23.0599,3.63213,13.9098,12.3485,9.07069,18.7635,44.6157,1078.4,71.3628,5.61318,94.4528,487.104,10386.9,379.092,6945.94,160.225,831.638,1512.22,253.566,30.0845,68.8314,189.65,116.481,
