time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.145,0.0287016,0.00405555,0.0733075,0.256601,0.25319,0.480125,
4.15,0.0122344,0.000297201,0.171283,0.197372,0.257707,0.324417,
4.155,0,0.0144619,0,0.246084,0.327475,0.541146,
4.16,0.00639954,0.0205839,0,0.274776,0.325369,0.629435,
4.165,0.0513588,0,0,0.331346,0.242085,0.693201,
4.17,0.0459424,0.00251117,0.00083232,0.366121,0.184056,0.738943,
4.175,0.0309434,0,0.0369419,0.39468,0.123195,0.761204,
4.18,0.0323285,0,0.0562162,0.422498,0.071452,0.777649,
4.185,0.0181915,0,0.0756944,0.444666,0.0456264,0.798177,
4.19,0.0100411,0.00123879,0.0958369,0.462771,0.0238504,0.816777,
4.195,0.00877119,0.000537306,0.100973,0.491925,0.00352836,0.837588,
4.2,0.00280538,0,0.120212,0.508838,0,0.844802,
4.205,0,0,0.114095,0.538036,0,0.85646,
4.21,0,0,0.0846097,0.585113,0,0.881992,
4.215,0,0,0.0861499,0.614312,0,0.895257,
4.22,0,0,0.0601323,0.671205,0,0.917747,
4.225,0.030673,0,0.0161917,0.726531,0.000856423,0.952926,
4.23,0.0494874,0,0,0.76702,0.000330658,0.987082,
4.235,0.0740815,0,0.00907126,0.803785,0,1,
4.24,0.102518,0.00293598,0.0133464,0.830437,0.00217651,0.991883,
4.245,0.0623146,0,0,0.848156,0.000462645,0.966673,
4.25,0.100191,0,0.00413691,0.861274,0,0.94804,
4.255,0.0988398,0,0,0.889521,0.00207201,0.942823,
4.26,0.0896183,0,0,0.908793,0,0.913197,
4.265,0.0516074,0,0.000105607,0.853729,0,0.870267,
4.27,0.0290631,0,0,0.843413,0,0.808026,
4.275,0.0289358,0,0.0010283,0.794703,0,0.738824,
4.28,0.040373,0,0.0240868,0.705505,0,0.665793,
4.285,0.0294247,2.4668e-05,0.0306248,0.632604,0.00101163,0.582111,
4.29,0.0286432,0,0.0262982,0.622421,0,0.541168,
4.295,0.00177665,0,0.0559942,0.549354,0.000210398,0.512313,
4.3,0,0,0.0769287,0.513032,0,0.406619,
4.305,0,0,0.0767355,0.48371,0,0.394624,
4.31,0,0,0.0957644,0.451224,0.00232511,0.330402,
4.315,0,0.00876137,0.126117,0.431495,0,0.286001,
4.32,0,0.00182609,0.145702,0.39414,0.000203351,0.248703,
4.325,0,0.00852475,0.186684,0.354795,6.99398e-05,0.212232,
4.33,0,0.00949909,0.197063,0.333597,0.000285863,0.200519,
4.335,0.000452502,0.0103119,0.220407,0.315372,0.00014495,0.205475,
4.34,0.00208347,0,0.246454,0.319579,0,0.212736,
4.345,0.00643989,0,0.28362,0.334237,0.000674093,0.193148,
4.35,0.00131742,0.0182174,0.328199,0.346815,0,0.166966,
4.355,0,0.0388845,0.372858,0.353964,0.0021936,0.176656,
4.36,0,0.0448524,0.437519,0.355592,0,0.158172,
4.365,0.00660356,0.0434098,0.498689,0.356483,0.00111776,0.123989,
4.37,0.0724614,0.0229344,0.532609,0.348011,0,0.0945546,
4.375,0.0971578,0.00605195,0.610496,0.317948,0,0.0461413,
4.38,0.140854,0.0172042,0.640111,0.2949,0,0.00140464,
4.385,0.179048,0.0154658,0.680001,0.246348,0,0.00072027,
4.39,0.239957,0,0.72087,0.195958,0.00189211,0,
4.395,0.296182,0,0.773242,0.147425,0,0,
4.4,0.383738,0,0.822424,0.092041,0,0,
4.405,0.468823,0,0.838809,0.0645127,0,0,
4.41,0.567322,0,0.841758,0.0618226,0,0,
4.415,0.668445,0,0.820824,0.0898527,0,0,
4.42,0.760237,6.42071e-05,0.789219,0.140264,0.00216622,0,
4.425,0.838961,0,0.739743,0.220961,0.00246799,0,
4.43,0.878792,0,0.698905,0.296622,0,0.0023813,
4.435,0.923472,0,0.632796,0.437918,0,0,
4.44,0.952372,0.00485726,0.632127,0.500599,0,0,
4.445,0.977143,0.0234972,0.583165,0.602226,0,0,
4.45,1,0.0333533,0.527129,0.705428,0.0158403,0.00710371,
4.455,0.965617,0.104061,0.45059,0.804825,0.0121915,0,
4.46,0.946257,0.178819,0.381549,0.889062,0,0,
4.465,0.893977,0.230598,0.325708,0.952761,0.0124639,0.0317573,
4.47,0.861939,0.284341,0.283589,0.994408,0.0213993,0.0572329,
4.475,0.817978,0.342179,0.284704,1,0.0194609,0.024114,
4.48,0.774497,0.405295,0.29306,0.993524,0.0177448,0,
4.485,0.731104,0.473539,0.327861,0.952222,0.00353924,0,
4.49,0.686282,0.537946,0.382298,0.886099,0,0,
4.495,0.637267,0.593904,0.458874,0.780002,0.0106006,0,
4.5,0.582493,0.645541,0.55273,0.662105,0.0180823,0.0045608,
4.505,0.539645,0.689028,0.671305,0.50012,0.0190092,0,
4.51,0.513521,0.73057,0.777438,0.362783,0,0,
4.515,0.498641,0.764741,0.879142,0.205006,0.00453304,0.00233091,
4.52,0.495615,0.795974,0.933802,0.0799232,0.0174804,0,
4.525,0.51447,0.829968,1,0,0.0442752,0,
4.53,0.51901,0.858889,0.999604,0,0.0733706,0,
4.535,0.528695,0.887201,0.925976,0.00433186,0.13044,0,
4.54,0.547666,0.911587,0.819503,0,0.204478,0,
4.545,0.586605,0.952147,0.65886,0,0.275662,0,
4.55,0.620553,0.978581,0.484303,0,0.35342,0,
4.555,0.657623,1,0.312695,0.00135853,0.438194,0,
4.56,0.650997,0.988033,0.191862,0,0.526665,0,
4.565,0.644549,0.962634,0.0456676,0,0.618922,0,
4.57,0.596478,0.903713,0.0200064,0,0.700973,0,
4.575,0.505268,0.812418,0.0174098,0,0.76433,0.00506325,
4.58,0.419047,0.718991,0.00228544,0,0.840543,0.0352727,
4.585,0.347988,0.622061,0,0.0106254,0.900433,0.0411345,
4.59,0.291436,0.531885,0,0.0217279,0.950857,0.0681401,
4.595,0.248671,0.446988,0.00254103,0.031744,0.979611,0.0715728,
4.6,0.19928,0.355972,0,0.0204183,0.995227,0.0748354,
4.605,0.179268,0.281446,0,0.0526146,1,0.0534785,
4.61,0.168316,0.212235,0.00124551,0.0555475,0.986959,0.0243148,
4.615,0.155722,0.1498,0.0359841,0.0581443,0.970097,0,
4.62,0.105831,0.0759356,0.0978273,0.0603286,0.916704,0.0231267,
4.625,0.107755,0.034573,0.101798,0.0416802,0.889964,0.0262145,
4.63,0.0614832,0.00517431,0.154625,0.0431962,0.811052,0,
4.635,0.00408743,0,0.176861,0.0316001,0.723749,0,
4.64,0,0,0.19487,0.0224768,0.630506,0,
4.645,0,0.000310377,0.223568,0,0.522963,0,
4.65,0,0,0.289521,0,0.392193,0,
4.655,0,0,0.361556,0,0.28003,0,
4.66,0,0,0.4436,0.00414533,0.127454,0,
