time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
4.145,0.0590563,0.0819048,0.0834088,0.0870165,0.137189,0.150853,0.0825203,0.0989276,0.0941967,0.0826602,0.0862639,0.0861387,0.0823208,0.078516,0.15465,0.136234,0.245669,0.096686,0.117272,0.197563,0.0845327,0.0619651,0.0988487,0.0803408,0.163617,0.0824724,0.0864432,0.0832124,0.0574332,0.0871418,0.111075,0.091045,0.0923968,0.0843072,0.0941537,0.088688,0.0823583,0.083704,0.0816864,0.0839406,0,0,0,0,0,0,0.0678424,0.0677467,0.104055,0.0364653,0.247727,0.0793119,0.103397,0,0.0215651,0.0215651,0.0215651,0.275235,0.255122,0.0216346,0.370596,0.26463,0.0371517,0.215979,0.156396,0.472578,0.466303,0.150446,0.0284041,0.274535,0.38743,0.14298,0.14298,0.0522955,0,0.19814,0.537905,0.020922,0.021056,0.0179645,
4.15,0.0673718,0.0983112,0.0987233,0.105855,0.165016,0.199101,0.0975703,0.116466,0.114945,0.0993915,0.101976,0.101763,0.0980041,0.0974676,0.137683,0.124859,0.203566,0.0999157,0.124322,0.158137,0.102695,0.0617147,0.115631,0.0956854,0.19993,0.0999312,0.105475,0.100594,0.0648157,0.103354,0.134986,0.108528,0.111422,0.103702,0.112128,0.117285,0.0974644,0.100262,0.099585,0.100458,0,0,0,0,0,0,0.0788908,0.0788121,0.150966,0.0494207,0.283551,0.099761,0.132154,0,0.0176474,0.0176474,0.0176474,0.344581,0.316912,0.0271639,0.476616,0.331095,0.0408874,0.230967,0.208606,0.589182,0.554423,0.190288,0.0386048,0.328926,0.519185,0.178922,0.178922,0.0669875,0,0.18941,0.663936,0.0203133,0.0200813,0.0173613,
4.155,0.0499341,0.0771692,0.0781951,0.0793322,0.130335,0.141648,0.0772689,0.0919075,0.0876371,0.0779531,0.0799149,0.0808131,0.077121,0.0710993,0.171545,0.146848,0.265836,0.100834,0.123856,0.223818,0.0809861,0.0663102,0.100186,0.0762771,0.127985,0.076525,0.0797594,0.0781706,0.0618633,0.082354,0.101307,0.0840308,0.087516,0.0807164,0.0893735,0.0800183,0.07898,0.0788914,0.0771092,0.0809003,0,0,0,0,0,0,0.071859,0.0718267,0.116564,0.0403268,0.203304,0.0699546,0.0695849,0,0.0269324,0.0269324,0.0269324,0.174691,0.16463,0.0362745,0.265913,0.164922,0.0292385,0.2136,0.146528,0.402032,0.411387,0.105978,0.027101,0.271805,0.342966,0.120943,0.120943,0.0350983,0,0.223838,0.455732,0.0219763,0.0208317,0.0202975,
4.16,0.0489597,0.08762,0.0867425,0.0907399,0.151116,0.185747,0.0852072,0.101959,0.103741,0.0883522,0.0909406,0.0907807,0.0869557,0.0853583,0.167618,0.149911,0.219813,0.123452,0.149846,0.188959,0.0964787,0.0788539,0.131989,0.0861951,0.139933,0.0879459,0.092334,0.0919494,0.0689941,0.0929186,0.118068,0.094799,0.100988,0.0967703,0.101055,0.103979,0.0890529,0.0895241,0.0904541,0.0907765,0,0,0,0,0,0,0.053111,0.0531456,0.15453,0.0468715,0.206224,0.0842201,0.0724898,0,0.0175651,0.0175651,0.0175651,0.174172,0.153162,0.01384,0.309122,0.16287,0.0205899,0.210669,0.199795,0.477018,0.455444,0.113526,0.0401625,0.323904,0.492064,0.125609,0.125609,0.036807,0,0.203314,0.531408,0.0127053,0.0110701,0.0113043,
4.165,0.0469611,0.0832284,0.0823285,0.0845172,0.142685,0.170621,0.0825304,0.0982702,0.0969649,0.0845701,0.0854156,0.0870631,0.0823757,0.0782055,0.168498,0.144346,0.248043,0.106963,0.13318,0.20986,0.0899236,0.0701779,0.109466,0.0829474,0.124386,0.0832744,0.0870377,0.0864829,0.0698295,0.0886524,0.109851,0.0891703,0.0961864,0.0907687,0.0969779,0.0923781,0.0852036,0.085186,0.0860785,0.0877774,0,0,0,0,0,0,0.0659986,0.0660574,0.159669,0.0534344,0.190812,0.0757231,0.0631152,0,0.0206272,0.0206272,0.0206272,0.138672,0.127911,0.0372551,0.254407,0.128334,0.0204364,0.216812,0.174481,0.423994,0.418489,0.0958432,0.032788,0.304278,0.394241,0.12018,0.12018,0.0320418,0,0.234997,0.476318,0.0180539,0.0173493,0.0154225,
4.17,0.0580608,0.107913,0.102501,0.110549,0.178349,0.233291,0.102864,0.121564,0.126629,0.106968,0.110645,0.110139,0.104802,0.105016,0.261956,0.244317,0.268243,0.223997,0.253137,0.271063,0.130795,0.155367,0.219723,0.104495,0.147349,0.105554,0.111335,0.11452,0.0914364,0.11283,0.141748,0.116632,0.122858,0.121468,0.119592,0.127444,0.110242,0.108279,0.110322,0.110911,0,0,0,0,0,0,0.0592024,0.059296,0.190951,0.0526403,0.206608,0.102162,0.0664248,0,0.0409084,0.0409084,0.0409084,0.126521,0.105182,0.00627051,0.293293,0.115305,0.0203773,0.2277,0.236358,0.508383,0.488343,0.100426,0.0551624,0.371764,0.662046,0.135476,0.135476,0.0338602,0,0.227073,0.558528,0.0246741,0.0223034,0.0233345,
4.175,0.0502352,0.102734,0.100452,0.103507,0.1763,0.219088,0.0981269,0.118031,0.120164,0.102917,0.105022,0.105067,0.100814,0.0974048,0.242013,0.215851,0.288413,0.181804,0.215439,0.269991,0.118567,0.121092,0.186009,0.100736,0.129415,0.100999,0.105612,0.107855,0.0902247,0.108546,0.133765,0.109499,0.118201,0.115691,0.117388,0.119068,0.106179,0.104339,0.105348,0.107866,0,0,0,0,0,0,0.0651371,0.0652564,0.197582,0.0601384,0.195627,0.0941067,0.0466971,0,0.035066,0.035066,0.035066,0.0904381,0.0763603,0.0282358,0.252869,0.0780613,0.018329,0.245304,0.233983,0.494472,0.486235,0.0843155,0.0507119,0.387443,0.590121,0.124693,0.124693,0.023656,0,0.265157,0.543962,0.019114,0.0154093,0.0193036,
4.18,0.0530068,0.111736,0.108823,0.112539,0.190933,0.239866,0.10517,0.128422,0.130865,0.111088,0.114652,0.113396,0.109257,0.106557,0.28523,0.259131,0.313172,0.227661,0.263512,0.305766,0.132905,0.153041,0.229317,0.10862,0.134705,0.109085,0.114023,0.117941,0.0989791,0.117634,0.145109,0.119478,0.127991,0.126893,0.126178,0.13078,0.115894,0.112945,0.113839,0.11654,0,0,0,0,0,0,0.0581677,0.0583078,0.206547,0.0620803,0.201874,0.10313,0.0400659,0,0.0433072,0.0433072,0.0433072,0.0754063,0.0586965,0.0180167,0.25803,0.0625488,0.0186474,0.256389,0.258732,0.5267,0.517029,0.0811108,0.0594425,0.420933,0.691017,0.124189,0.124189,0.0202705,0,0.275922,0.575486,0.0190921,0.0143218,0.0203624,
4.185,0.0520209,0.114958,0.112926,0.11523,0.199045,0.249038,0.107989,0.135281,0.135252,0.114666,0.11863,0.116805,0.11269,0.109638,0.293352,0.264628,0.330165,0.231026,0.269077,0.316505,0.135767,0.153255,0.234732,0.112153,0.134015,0.112694,0.117365,0.121596,0.103167,0.121423,0.14889,0.122724,0.132407,0.131352,0.130935,0.134904,0.12002,0.116668,0.11726,0.120435,0,0,0,0,0,0,0.0555591,0.0557424,0.217857,0.0701416,0.204397,0.10568,0.0331432,0,0.0444691,0.0444691,0.0444691,0.0622969,0.0475292,0.0222627,0.254192,0.0485239,0.0203515,0.269716,0.272216,0.545405,0.538108,0.0774082,0.061925,0.446114,0.712767,0.121172,0.121172,0.016709,0,0.297986,0.595031,0.0186634,0.0140309,0.0196693,
4.19,0.051343,0.123105,0.121965,0.122474,0.217865,0.269,0.115148,0.145451,0.146286,0.122996,0.128616,0.125744,0.121545,0.117667,0.324857,0.291317,0.373579,0.250622,0.293801,0.352917,0.144725,0.162896,0.256875,0.120858,0.133823,0.120919,0.125572,0.13123,0.113556,0.131105,0.159469,0.131192,0.14305,0.142401,0.142111,0.145164,0.129753,0.125753,0.12604,0.129353,0,0,0,0,0,0,0.0499626,0.0501879,0.230898,0.0724015,0.213126,0.112225,0.0211061,0,0.0455869,0.0455869,0.0455869,0.0334492,0.0158191,0.0114166,0.248193,0.017862,0.0186967,0.29846,0.3041,0.590292,0.58808,0.0692534,0.0690304,0.50382,0.782152,0.117272,0.117272,0.0105434,0,0.332881,0.641591,0.0171896,0.0117975,0.0186128,
