mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0,0,0,0,0,0,0,0,
addlong_r,0,0,0,0,0,0,0,0,
addmagDist_r,0,0,0,0,0,0,0,0,
addmagIsch_r,0,0,0,0,0,0,0,0,
addmagMid_r,0,0,0,0,0,0,0,0,
addmagProx_r,0,0,0,0,0,0,0,0,
bflh_r,0,0,0,0,0,0,0,0,
bfsh_r,0,0,0,0,0,0,0,0,
edl_r,0.0502076,0.0436436,0.0523321,0.0201153,0.0237324,0.0318281,0.0132837,0.0334524,
ehl_r,0.0164725,0.0512781,0.0355088,0.0277653,0.0275528,0.0175119,0.045905,0.0125622,
fdl_r,0.00071984,0.0420762,0.000721761,0.00682253,0.0119698,0.00356972,0.0220141,0.0445878,
fhl_r,0.0275156,0.037956,0.0389131,0.0166404,0.00945529,0.0380916,0.0282186,0.00955269,
gaslat_r,6.90134e-05,0.00126463,5.97122e-07,0.349563,0.0232665,0.464989,2.86774e-05,0.0169143,
gasmed_r,0,0,0,0,0,0,0,0,
glmax1_r,0.0511355,0.0184285,0.0206139,0.0147605,0.0426231,0.0553682,0.00376014,0.019881,
glmax2_r,0.0106551,0.0206558,0.0255307,0.0409763,0.038287,0.0167844,0.0401992,0.00908662,
glmax3_r,0.0345072,0.0455824,0.0150108,0.0464128,0.0219562,0.00500486,0.0493109,0.0200277,
glmed1_r,0.0515346,0.0369415,0.0481764,0.0298006,0.0384609,0.0379419,0.0087478,0.0216194,
glmed2_r,0.0513231,0.0487418,0.0406447,0.0291231,0.00379094,0.0285741,0.0518003,0.0542301,
glmed3_r,0.0450103,0.00688442,0.0371549,0.0120735,0.0295164,0.0204608,0.0539413,0.0199147,
glmin1_r,0.051948,0.0215078,0.00755468,0.0250824,0.0109604,0.0288455,0.0158984,0.047594,
glmin2_r,0.00442385,0.0422328,0.0179492,0.0474243,0.00480244,0.00456831,0.046427,0.0164918,
glmin3_r,0.052924,0.00846108,0.025721,0.0471878,0.04575,0.011953,0.0245206,0.0120862,
grac_r,0.140889,0.00215122,0.378258,0.0138601,0.278945,0.0470467,0.0795199,0.0034692,
iliacus_r,0.04638,0.027124,0.0155937,0.0172889,0.0318723,0.0101863,0.0417139,0.0207336,
perbrev_r,0.0217764,0.0398532,0.0353389,0.0450419,0.0460325,0.0441803,0.0277315,0.034027,
perlong_r,0.0294043,0.00374415,0.0392318,0.0233758,0.0338349,0.0235955,0.0422664,0.00968391,
piri_r,0.0311743,0.0327984,0.0151263,0.03842,0.0200946,0.0411588,0.0458045,0.0102116,
psoas_r,0.0327767,0.0152327,0.0203876,0.00442242,0.041192,0.0409289,0.0519826,0.000587233,
recfem_r,1.31184e-05,0.270269,0.208837,0.0012213,0.000159104,0.00739241,0.294306,0.000553372,
sart_r,9.66849e-06,0.270294,0.208853,0.00142415,0.000235159,0.0073406,0.294298,0.00016523,
semimem_r,0.235635,0.0856439,0.00997492,0.166041,0.302591,0.263772,0.0633791,0.0721817,
semiten_r,0.235635,0.0856439,0.00997487,0.166041,0.302591,0.263772,0.0633792,0.0721817,
soleus_r,0,0,0,0,0,0,0,0,
tfl_r,1.40865e-05,0.270396,0.208809,0.00101625,0.000266117,0.00741777,0.294276,0.000396797,
tibant_r,0.0157981,0.0543823,0.0226378,0.00462738,0.0379364,0.0247254,0.0243002,0.0132816,
tibpost_r,0.0490815,0.04245,0.032419,0.0238434,0.0541871,0.0403441,0.0197717,0.00559053,
vasint_r,0.0128025,0.0193159,0.0288718,0.0523251,0.0203568,0.0142469,0.001257,0.0299871,
vaslat_r,0.0261427,0.0006267,2.58304e-05,0.541357,0.0274634,0.000100424,5.48165e-08,0.465884,
vasmed_r,0.116467,0.00469224,5.71268e-05,0.41992,9.42947e-05,0.000488765,3.52937e-08,0.297648,
addbrev_l,0.0418913,0.0296952,0.0361106,0.0549833,0.000111777,0.0155795,0.014694,0.0388683,
addlong_l,0.0459441,0.00886675,0.0118312,0.0521432,0.0286519,0.0545642,0.0244297,0.0273705,
addmagDist_l,0.0120056,0.00258996,0.00645901,0.0383784,0.0411417,0.0500346,0.0503533,0.0389356,
addmagIsch_l,0.0170631,0.0440201,0.00662637,0.0250828,0.0280311,0.050661,0.0121577,0.028311,
addmagMid_l,0.0173508,0.00259054,0.0446621,0.0309568,0.00830407,0.0269292,0.00129999,0.055117,
addmagProx_l,0.0068621,0.0389911,0.000131613,0.0214277,0.0112613,0.00498827,0.0473791,0.039996,
bflh_l,0.0486457,0.0298605,0.055038,0.00818418,0.0143727,0.0076444,0.0338441,0.00785151,
bfsh_l,0.00342435,0.0196534,0.00198487,0.00328239,0.0492772,0.0238305,0.00323641,0.0399469,
edl_l,0.0430419,0.0231398,0.0320872,0.0516892,0.0494058,0.0402424,0.0280446,0.0546578,
ehl_l,0.0551453,0.0462706,0.0178032,0.0516698,0.0205384,0.037722,0.0327203,0.0329334,
fdl_l,0.0243603,0.0103877,0.0406529,0.048589,0.0064278,0.0188255,0.0290901,0.0264895,
fhl_l,0.041569,0.033372,0.0330005,0.055304,0.0203601,0.0115446,0.0375865,0.0324933,
gaslat_l,0.00212308,0.054226,0.0176024,0.0314106,0.0459117,0.00512367,0.0535239,0.0479749,
gasmed_l,0.0184525,0.0101389,0.00922975,0.0309396,0.0164199,0.0226162,0.0474164,5.77056e-05,
glmax1_l,0.0135524,0.0134947,0.0305774,0.0377712,0.0509463,0.047182,0.045675,0.0236494,
glmax2_l,0.0442313,0.020583,0.00981732,0.0471998,0.0513352,0.038239,0.0525393,0.054816,
glmax3_l,0.0318444,0.0314121,0.000111635,0.00647383,0.0136323,0.0547901,0.00719063,0.0179012,
glmed1_l,0.0379708,0.0484214,0.0282637,0.0323211,0.00541945,0.0199494,2.63352e-05,0.02212,
glmed2_l,0.0264085,0.0250723,0.00396211,0.0495495,0.0327739,0.0267779,0.0294349,0.00183753,
glmed3_l,0.0169792,0.0175043,0.00427965,0.0412083,0.0204102,0.0520722,0.0238451,0.029062,
glmin1_l,0.0540066,0.0421638,0.00841349,0.0188285,0.0399979,0.0294067,0.035214,0.0198599,
glmin2_l,0.00709862,0.0156516,0.0262017,0.0484411,0.0317702,0.0437822,0.042537,0.0493234,
glmin3_l,0.037035,0.0346443,0.0461484,0.0350473,0.0473844,0.0280266,0.0281663,0.0333511,
grac_l,0.0261919,0.00284652,0.0393508,0.00594191,0.00956905,0.0350383,0.0544566,0.019611,
iliacus_l,0.0160774,0.0216247,0.0444086,0.00777524,0.0109944,0.00201055,0.019781,0.00676048,
perbrev_l,0.0539128,0.0270101,0.0383915,0.0398667,0.0291629,0.0477442,0.0540764,0.00308134,
perlong_l,0.0319331,0.0274252,0.0189697,0.0485861,0.0357347,0.0404586,0.041747,0.00976993,
piri_l,0.00215628,0.0270063,0.00553079,0.0443822,0.0466194,0.0204523,0.000820911,0.0249288,
psoas_l,0.0224289,0.0306389,0.0201258,0.00753769,0.0419032,0.0540628,0.0204451,0.0439361,
recfem_l,0.0086658,0.0537256,0.0494452,0.0416885,0.0431067,0.0111674,0.00420958,0.0132548,
sart_l,0.0237174,0.00516921,0.00491764,0.028979,0.0528828,0.0351272,0.0427025,0.0349189,
semimem_l,0.0435452,0.0189541,0.0518755,0.0412968,0.00915231,0.0344384,0.0146086,0.0192159,
semiten_l,0.0530181,0.0496606,0.0277784,0.0535501,0.000125482,0.0119871,0.0198757,0.047796,
soleus_l,0.0332895,0.0308325,0.0127048,0.0446849,0.0492949,0.00657344,0.0332401,0.0272421,
tfl_l,0.0527288,0.0225166,0.0353564,0.0467937,0.0231304,0.0274177,0.025919,0.00630343,
tibant_l,0.0246376,0.0047783,0.0158154,0.0479154,0.0381788,0.00618169,0.0191012,0.0553135,
tibpost_l,0.0429734,0.0256845,0.0411896,0.0517823,0.0210386,0.00979981,0.0304138,0.0304853,
vasint_l,0.0412856,0.00493636,0.0489872,0.0287993,0.00364875,0.00915595,0.0548372,0.0510653,
vaslat_l,0.0020123,0.0482948,0.0286308,0.0169171,0.0199833,0.0453508,0.0540513,0.0502646,
vasmed_l,0.0329934,0.01515,0.0448775,0.0117402,0.0179657,0.00154276,0.0449374,0.0347486,
