time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
4.145,0.0240299,0.0111097,0.0323667,0.0323206,0.0385862,0.0265113,0.0370172,0.0417306,0.0276796,0.0276902,0.0407862,0.0513802,0.0172896,0.0260853,0.0289493,0.0298193,0.0368835,0.0820235,0.0831994,0.0394315,0.0846886,0.0856935,0.0849878,0.0342129,0.0292024,0.0206984,0.0422644,0.0806102,0.0127176,0.0144632,0.0409298,0.0646173,0.0496007,0.0379764,0.0160838,0.0257413,0.0406329,0.0176683,0.0178689,0.0173439,0.00184629,0.0397197,0,0,1.15864e-07,0.0041626,0.0037076,0.0103928,0.0842306,0.0844572,0.0859107,0.0846584,0.0372004,0.000246172,0.00410481,0.00456026,0.00581244,0.0216628,0.00374493,0.00186381,0,0.019559,0,0.0221647,0.0137905,0.0841396,0.0839787,0,0.00410962,0.0847708,0.0409985,0.0526333,0.071324,0,0,0.0843091,0.0840951,0,0,0,
4.15,-0.00555677,0.00926268,0.0163519,0.0272595,-0.0208621,-0.0140775,0.0393228,0.0899573,0.0289938,0.0294176,0.0407218,0.0511337,0.0218208,0.0309943,0.00829052,0.00848854,0.00303037,0.111127,0.0853028,0.0174208,0.141691,0.126808,0.0966038,0.0431569,0.0586317,0.0206151,0.0421706,0.0779138,0.0245719,0.0135454,0.112721,0.0690868,0.0572988,0.0369198,0.0214844,0.0286036,0.0404748,0.0101442,0.0116561,0.0106301,0.0015618,0.0401943,-0.00409863,-0.0016675,-0.00464834,0.000934138,6.8075e-05,0.00477694,0.0860743,0.0867635,0.0853837,0.0839409,0.0328303,-0.00126332,-0.000400541,-0.000699482,7.57929e-05,0.0391198,0.0169052,-0.00430838,0,0.03874,-0.00035669,0.0175891,0.0176968,0.0825862,0.0831246,-0.00166072,0.00596087,0.094538,0.0371629,0.0467478,0.0519098,-0.00204533,0.00205637,0.0882847,0.083227,0.00630136,0.00612348,0.00730287,
4.155,-0.00632245,0.00825154,0.0140326,0.0245365,-0.0397044,-0.0237238,0.0406927,0.0994337,0.0298235,0.0305557,0.0406181,0.0509,0.0252548,0.0345637,0.00773608,0.00792491,0.00742739,0.114226,0.0844421,0.0172387,0.141013,0.12651,0.095978,0.0458796,0.0702926,0.0204193,0.0420476,0.0756996,0.0295843,0.0126488,0.123377,0.0721387,0.0600935,0.0360744,0.0263247,0.0305682,0.0402989,0.00469058,0.00702576,0.00577999,0.00143692,0.0403182,-0.0055295,-0.00258435,-0.00620092,0.00362639,-0.00144417,0.00289766,0.0862639,0.0870137,0.0850491,0.0834839,0.0299045,-0.00264584,0.00890789,0.0060237,0.00813776,0.0404173,0.0107713,-0.00749554,0,0.0388516,-0.000619833,0.0150088,0.0193888,0.0825141,0.0830757,-0.00266836,0.00604685,0.0957601,0.0342392,0.0426297,0.0463233,-0.00306157,0.00312397,0.0884371,0.0830775,0.00807452,0.00790701,0.00923116,
4.16,-0.00551406,0.00786365,0.0130778,0.0227398,-0.0549801,-0.0329858,0.0413786,0.0946036,0.0302704,0.0312098,0.0405122,0.0507031,0.0275409,0.0368057,0.00629511,0.00724656,0.0020409,0.113548,0.0831945,0.014348,0.138605,0.123937,0.0945938,0.0460925,0.070239,0.020242,0.0419072,0.0736635,0.031256,0.0118249,0.1194,0.0743926,0.0611231,0.0354795,0.0307109,0.0318153,0.0401605,0.00125522,0.00386434,0.00262518,0.00120969,0.0403403,-0.00556911,-0.00276128,-0.00634806,0.000528038,-0.00341984,0.00227731,0.0861471,0.0868921,0.0848629,0.0831285,0.0278795,-0.00274631,0.000959142,0.000596441,0.000504893,0.0379905,0.00873735,-0.00874377,0,0.0364099,-0.000877672,0.0130477,0.0203217,0.0826006,0.0831067,-0.00298791,0.00642681,0.0958993,0.033951,0.0393592,0.042886,-0.00316067,0.00416573,0.0881662,0.083097,0.009986,0.00969929,0.0113435,
4.165,-0.00296256,0.0077801,0.0115395,0.02138,-0.0575258,-0.0386375,0.0415718,0.093928,0.0304289,0.0314648,0.0404121,0.0505351,0.0284939,0.0375882,0.00535447,0.00639053,0.00929577,0.11193,0.0814306,0.0128283,0.135966,0.121206,0.0930501,0.0454151,0.0676498,0.0200923,0.0417638,0.0715546,0.0318992,0.0111772,0.118351,0.0761889,0.0617322,0.0350385,0.0346315,0.0324223,0.0400469,0.00130519,0.00218659,0.00133591,0.000917893,0.0402701,-0.00534395,-0.00266916,-0.0062855,0.00687908,-0.00504866,0.00232638,0.0859493,0.0866799,0.0847946,0.0828439,0.0264291,-0.00274717,0.00572265,0.0101006,0.00841194,0.0362469,0.00735084,-0.00868354,0,0.0345821,-0.00108057,0.0112066,0.0205043,0.0827458,0.0831728,-0.00306291,0.00616989,0.0958959,0.0320841,0.036598,0.0395426,-0.00297996,0.00465093,0.0877584,0.083178,0.0108683,0.0105146,0.0123185,
4.17,0.0025959,0.00820137,0.0102353,0.0201736,-0.0590772,-0.0404215,0.0416665,0.0936873,0.0304941,0.031463,0.0403728,0.050442,0.0292923,0.0389675,0.00774123,0.00878918,-0.00235053,0.11039,0.0800073,0.0110932,0.132762,0.118453,0.0912291,0.0444136,0.0667461,0.0201416,0.0416637,0.069387,0.0324604,0.0107896,0.1171,0.0778134,0.0623775,0.0348411,0.038058,0.0325376,0.0400388,0.00169099,0.00188845,0.00230361,0.000747625,0.0400939,-0.00502047,-0.00247538,-0.00618377,0.000359387,-0.00610176,0.00220488,0.0856967,0.0863608,0.084848,0.0826242,0.0252899,-0.0028948,0.00249799,0.00307441,0.00328948,0.0356271,0.00636753,-0.00842375,0,0.0333119,-0.00118335,0.00943389,0.0210832,0.0829394,0.0832644,-0.00305775,0.00691384,0.0959109,0.03288,0.0340938,0.0360746,-0.00269726,0.00483696,0.0872497,0.0832967,0.0113757,0.0109931,0.0129377,
4.175,0.00848527,0.00875213,0.0092186,0.0190205,-0.0604981,-0.0392667,0.0413719,0.0933188,0.0304951,0.0312983,0.0403606,0.0503796,0.0299329,0.0398294,0.00583013,0.00688709,0.000841484,0.106608,0.0775866,0.00947396,0.128989,0.11462,0.0894158,0.0431515,0.0660156,0.0202588,0.0416022,0.0670699,0.0330856,0.010685,0.115725,0.0788593,0.0624078,0.0347681,0.0409252,0.0322863,0.0400565,0.000728601,0.00190431,0.00113697,0.000488721,0.0397966,-0.00462802,-0.0022189,-0.00607347,0.00746427,-0.00672597,0.0019996,0.0854012,0.0860108,0.084962,0.0824768,0.0243394,-0.00355052,0.00342509,0.00401841,0.005269,0.0343667,0.00542011,-0.00796928,0,0.0312944,-0.00114272,0.00775224,0.0213949,0.0831761,0.0833774,-0.00300856,0.00687615,0.0959392,0.030762,0.0318228,0.0326955,-0.0023435,0.00486603,0.0866391,0.0834458,0.0117447,0.0113395,0.0135193,
4.18,0.00567659,0.00941752,0.00825554,0.0179053,-0.0617051,-0.0375053,0.0407924,0.0928934,0.030455,0.0310369,0.0403799,0.0503581,0.0305672,0.0407526,0.00599286,0.00747601,0.0406451,0.103324,0.0752212,0.00884532,0.124739,0.110728,0.0875487,0.0416913,0.0654023,0.0204495,0.0415834,0.0646735,0.0338313,0.0108526,0.114321,0.0794633,0.0620398,0.034845,0.0430822,0.0317797,0.0401129,0.00303758,0.00179169,0.00231637,0.000637972,0.0393629,-0.00417195,-0.00190756,-0.0059634,-0.000382543,-0.00642006,0.00173978,0.0850624,0.0855975,0.0851379,0.0824125,0.0235321,-0.00365876,0.00431152,0.00507806,0.00697553,0.0336548,0.00490177,-0.00731952,0,0.0296348,-0.00094481,0.00612104,0.0215942,0.0834492,0.0835083,-0.00291835,0.00693402,0.0959551,0.0294197,0.0297591,0.0307351,-0.00192322,0.00480829,0.0859416,0.0836198,0.0120694,0.0116333,0.0141838,
4.185,0.00763777,0.0101211,0.00726376,0.0168335,-0.063251,-0.035485,0.0399089,0.0923012,0.0303598,0.0307049,0.0404246,0.0503752,0.031087,0.0415558,0.00504596,0.00677471,-0.0121993,0.09979,0.0727131,0.00747641,0.120048,0.106582,0.085646,0.0400752,0.0650058,0.0206884,0.0416049,0.0622284,0.0346727,0.0112921,0.112949,0.0795706,0.0612044,0.0350676,0.0441599,0.0310892,0.0401981,0.000460044,0.00192853,0.00121628,-0.000943175,0.0387794,-0.00365435,-0.0015434,-0.00585611,0.00465931,-0.00636929,0.00155656,0.08469,0.0851627,0.0853604,0.082441,0.0228485,-0.00365924,0.00554597,0.00654701,0.00910803,0.0334234,0.00489133,-0.00647956,0,0.0288744,-0.000558528,0.00451761,0.0215645,0.0837502,0.0836539,-0.00278326,0.0067885,0.0959217,0.0275473,0.0277602,0.0287672,-0.00144319,0.00469676,0.0851944,0.0838144,0.0123604,0.0118864,0.0149365,
4.19,0.00832027,0.0108832,0.0063002,0.0157737,-0.0640171,-0.0329367,0.038768,0.0914324,0.0302079,0.0303132,0.0405006,0.0504426,0.0316305,0.0423733,0.00472492,0.00667058,-0.0166938,0.0961013,0.0701133,0.0070028,0.114983,0.10224,0.0837019,0.0383561,0.0648241,0.0209881,0.0416692,0.0597884,0.0355748,0.0120114,0.111663,0.0792134,0.0599644,0.0354598,0.0437648,0.0302607,0.0403243,0.00219855,0.00212157,0.00231019,-0.00399033,0.0380332,-0.00307439,-0.00110258,-0.00575345,-0.00197683,-0.00634458,0.00141846,0.084292,0.0846803,0.0856256,0.0825696,0.0222818,-0.00364042,0.00704338,0.00827698,0.011487,0.0329043,0.00439514,-0.00545906,0,0.0282499,6.49106e-05,0.00294221,0.0214677,0.0840711,0.0838103,-0.00259749,0.00666636,0.095805,0.0255388,0.0257746,0.0266007,-0.000874692,0.00454576,0.0844028,0.0840244,0.0125952,0.0121354,0.0157583,
4.195,0.00930085,0.0115649,0.00535869,0.0146711,-0.0648947,-0.0284283,0.0373167,0.0900862,0.0299391,0.0298361,0.0405864,0.0505405,0.031897,0.0428783,0.00408323,0.00622991,-0.0223331,0.0923781,0.0674799,0.00620634,0.109597,0.0977807,0.0817869,0.0365394,0.0645742,0.0212673,0.0417607,0.0573779,0.0363785,0.0130164,0.110481,0.07836,0.0582069,0.0359786,0.0434277,0.0292883,0.0404567,0.00168281,0.00254104,0.00215444,-0.00695921,0.0371129,-0.00242069,-0.000546244,-0.00565497,-0.00518494,-0.00630114,0.00123653,0.0838773,0.084152,0.0859155,0.0828014,0.0218268,-0.00361775,0.00877552,0.0102281,0.014102,0.0336249,0.00502246,-0.00425668,0,0.0293383,0.000829519,0.00162194,0.0207251,0.084405,0.0839743,-0.00235482,0.0060144,0.0955679,0.0230128,0.023817,0.024425,-0.000143381,0.00436014,0.0835758,0.0842439,0.0127424,0.0123386,0.0166484,
4.2,0.0102972,0.0123035,0.00453808,0.0134991,-0.0653314,-0.0218296,0.0356953,0.0885644,0.0295779,0.0292776,0.040702,0.0506996,0.0322494,0.0435739,0.00389031,0.00612283,-0.0310135,0.0885071,0.064724,0.0059482,0.103941,0.0932464,0.0799198,0.0347061,0.0644105,0.0215961,0.0418917,0.0550858,0.0371088,0.0143103,0.109419,0.0771189,0.0561684,0.0366797,0.0430021,0.0281885,0.0406324,0.00281023,0.00320138,0.0029738,-0.00882667,0.0360097,-0.00167639,0.000210424,-0.00555903,-0.007256,-0.0062248,0.00134539,0.0834524,0.0836328,0.0862332,0.0831363,0.0214821,-0.00359326,0.0107407,0.0124038,0.0170886,0.0349473,0.00549446,-0.00284956,0,0.0309459,0.00203556,0.00146392,0.0197648,0.0847444,0.0841418,-0.00204889,0.00544855,0.0952249,0.0205445,0.0219556,0.0224341,0.000784196,0.0041401,0.0827312,0.0844683,0.0128174,0.0124773,0.0176656,
4.205,0.011467,0.0130127,0.00387511,0.0123205,-0.0651188,-0.015274,0.0338783,0.0865374,0.0290881,0.028616,0.0408328,0.0509012,0.0324602,0.0440696,0.00390946,0.0062458,-0.0374932,0.084561,0.0619554,0.00600509,0.0980831,0.0885731,0.0781119,0.0328976,0.0641669,0.0219135,0.0420509,0.0529334,0.0377303,0.0158752,0.108477,0.0754685,0.0537601,0.0375213,0.042516,0.0269442,0.0408255,0.00373405,0.00414829,0.00389678,-0.0107231,0.034721,-0.000806944,0.000980404,-0.00546101,-0.00860453,-0.00610567,0.000231535,0.0830251,0.0830828,0.0865606,0.0835701,0.0212384,-0.00356646,0.0129656,0.0148015,0.020409,0.0372559,0.00656736,-0.00117763,0,0.0339477,0.00336644,0.00126727,0.0182282,0.085081,0.0843094,-0.0016748,0.0045587,0.0948396,0.0181214,0.0202627,0.0208521,0.00170269,0.00388422,0.0818744,0.0846918,0.0128907,0.0125965,0.0188657,
4.21,0.0129768,0.0136901,0.00340034,0.0112396,-0.0646869,-0.00395837,0.0319473,0.08432,0.0284657,0.027843,0.0409757,0.0511463,0.0325971,0.0445519,0.00321217,0.00582249,-0.0433542,0.0808199,0.0592228,0.0060954,0.0921615,0.0839657,0.0764365,0.031206,0.0638183,0.0222155,0.0422359,0.0509744,0.038266,0.0176756,0.10765,0.0734643,0.05111,0.0384949,0.041998,0.0255561,0.0410334,0.00507342,0.00537973,0.00513711,-0.0127346,0.0332552,0.000364213,0.00210553,-0.00535743,-0.00991345,-0.0059342,0.00598262,0.0825994,0.0825489,0.0868758,0.0840944,0.0210963,-0.00353496,0.0153717,0.0172881,0.0239368,0.0396439,0.0080867,0.000996838,0,0.0387034,0.00463368,0.00131954,0.0162887,0.0854076,0.0844738,-0.00121585,0.00350825,0.0944442,0.0163144,0.0188121,0.0198121,0.00274038,0.00358989,0.0810345,0.0849095,0.0130103,0.0127309,0.0202211,
4.215,0.0150189,0.0142817,0.00309074,0.010321,-0.0638772,0.0106311,0.0299463,0.0819512,0.0276929,0.0269477,0.041119,0.0514222,0.0325974,0.0449311,0.00405635,0.00612107,-0.0445754,0.0770089,0.0564724,0.00686271,0.0860466,0.0794112,0.0748673,0.0296335,0.0632575,0.0224546,0.0424346,0.0492298,0.0386926,0.0196515,0.106925,0.0711423,0.0482765,0.0395468,0.0414612,0.0240185,0.0412404,0.00663223,0.00683928,0.00660714,-0.014857,0.0316206,0.00178511,0.00313918,-0.00523855,-0.0113696,-0.00570057,-0.00456555,0.0821827,0.0820119,0.0871709,0.0846967,0.0210593,-0.00349654,0.0177962,0.0201604,0.0276451,0.0417128,0.00990047,0.00417005,0,0.0428643,0.00589308,0.000624678,0.0137109,0.0857161,0.0846445,-0.000624918,0.00224482,0.0940445,0.0143086,0.0176538,0.0192317,0.00352458,0.00325327,0.0802065,0.0851165,0.0131672,0.0128687,0.0215795,
4.22,0.0177966,0.0148125,0.00286579,0.00954109,-0.0621914,0.0155359,0.0279391,0.0794738,0.0267837,0.0259382,0.0412633,0.0517336,0.0325454,0.0453457,0.00296403,0.00595869,-0.0447884,0.0733976,0.0537581,0.00756743,0.0799713,0.0749733,0.0733453,0.0281621,0.062609,0.022639,0.0426458,0.0477212,0.0390246,0.0217194,0.106284,0.0685488,0.0453913,0.0406551,0.0409085,0.0223545,0.0414497,0.00834492,0.00845202,0.00823227,-0.0167025,0.0297958,0.00351277,0.0040045,-0.00509604,-0.0129445,-0.00539487,-0.0112516,0.0817854,0.0815126,0.0874297,0.0853599,0.0211346,-0.00344823,0.0208271,0.0235861,0.0315146,0.0440002,0.0120775,0.0072686,0,0.0464106,0.00721675,0.00440138,0.0106927,0.0860008,0.0848121,0.000199857,0.00103761,0.0934863,0.0110455,0.0167962,0.0189859,0.00414877,0.00287113,0.0793956,0.0853086,0.0132279,0.0128819,0.0227173,
4.225,0.0205774,0.0152327,0.00272168,0.00886449,-0.0603242,0.0194055,0.0259342,0.0770148,0.0257424,0.0248227,0.0413975,0.0520675,0.0323852,0.0457057,0.00443261,0.00624462,-0.0445387,0.0698567,0.0510141,0.00875857,0.0739616,0.0706142,0.0720176,0.0268036,0.0618916,0.0227279,0.0428586,0.0464351,0.0392421,0.0237779,0.105674,0.0657185,0.0425053,0.0417407,0.0403174,0.0205915,0.0416446,0.010083,0.0101143,0.0099034,-0.0191393,0.027738,0.00488661,0.00479101,-0.00491691,-0.0142379,-0.00500871,-0.015503,0.08142,0.0810313,0.0876411,0.0860617,0.0213287,-0.00338714,0.024355,0.0268631,0.0356173,0.0462987,0.0145046,0.0100637,0,0.0502888,0.00865316,-0.00348757,0.00716967,0.0862564,0.0849707,0.00109663,0.000558187,0.0926777,0.00721582,0.016224,0.0190771,0.0046899,0.00244003,0.0786399,0.0854819,0.0131016,0.0126862,0.023531,
4.23,0.0238838,0.0156696,0.00265922,0.00825822,-0.0574525,0.0226651,0.023999,0.0746495,0.0246102,0.0236338,0.0415311,0.0524355,0.0322901,0.0462003,0.00348829,0.00670176,-0.0439896,0.0663124,0.0482918,0.00961831,0.0680929,0.0664331,0.0706772,0.0256083,0.0610849,0.0227711,0.0430783,0.0453802,0.0393945,0.0257146,0.105087,0.0627207,0.0397592,0.0428139,0.039679,0.0187947,0.0418485,0.0117407,0.0117204,0.0115103,-0.0229016,0.0254312,0.00610889,0.00556464,-0.00468634,-0.0153174,-0.00453696,-0.0177325,0.0810794,0.0805871,0.0877998,0.0867749,0.0216518,-0.0033103,0.0275535,0.0299074,0.0399339,0.0487406,0.0166626,0.0132792,0,0.0543548,0.0102502,-0.00736442,0.00354643,0.0864801,0.0851161,0.00250756,0.000952776,0.0915804,0.00565345,0.0159574,0.0195075,0.00517921,0.0019521,0.0779483,0.0856336,0.0127638,0.0122608,0.0240552,
4.235,0.0281757,0.0160337,0.00258257,0.00770413,-0.0544815,0.0271306,0.0221386,0.0724334,0.0234074,0.0223969,0.0416499,0.0528173,0.0321183,0.0466577,0.00461963,0.00699799,-0.0431238,0.0629908,0.0455425,0.0102345,0.0623451,0.0622529,0.0695209,0.0246069,0.0600282,0.0227184,0.0432941,0.0444976,0.0394624,0.0273681,0.104526,0.059583,0.0371623,0.0437853,0.0390413,0.0170358,0.0420314,0.0131843,0.01316,0.0129411,-0.0266143,0.0228849,0.00735449,0.00635695,-0.00438753,-0.0164347,-0.00397384,-0.0197376,0.0807648,0.0801631,0.0878873,0.0874647,0.0221159,-0.00321502,0.0305202,0.0330598,0.0438013,0.051086,0.0191275,0.0166274,0,0.0588389,0.0120493,-0.00960118,-0.000331854,0.0866706,0.085248,0.00397386,-0.00194861,0.0902803,0.0013542,0.0160356,0.0203791,0.00562386,0.00139847,0.0772824,0.0857617,0.0122808,0.0116668,0.0244228,
4.24,0.0333524,0.0164403,0.00267425,0.00720317,-0.0507642,0.0325357,0.0204222,0.0704477,0.0221844,0.0211576,0.0417627,0.0532199,0.0320244,0.0472351,0.00462294,0.00758838,-0.0419473,0.0597703,0.0427032,0.0109527,0.0566513,0.0581698,0.0682275,0.0238457,0.0590528,0.0226198,0.0435103,0.0437764,0.0394955,0.0285655,0.104019,0.0563987,0.034821,0.0447596,0.0384149,0.0153842,0.042215,0.0143366,0.0143504,0.0141173,-0.0296411,0.0201493,0.00870544,0.00718254,-0.00400136,-0.0179238,-0.00331631,-0.0217142,0.0804709,0.0797963,0.0879203,0.0880789,0.022734,-0.0030989,0.0336788,0.0368006,0.0473218,0.0534531,0.0227212,0.0199191,0,0.0630835,0.0139283,-0.0109824,-0.0020094,0.0868256,0.0853638,0.00535606,-0.00664017,0.0889095,0.0126754,0.0165039,0.0218329,0.00602461,0.0007548,0.0766896,0.0858649,0.0116853,0.0109397,0.0247143,
4.245,0.0398375,0.0169016,0.00259209,0.00675344,-0.0463506,0.0387602,0.0188789,0.0687601,0.0209846,0.0199594,0.0418668,0.0536325,0.0319727,0.0478688,0.00534416,0.00806435,-0.0405181,0.0565861,0.0397925,0.0115273,0.0511725,0.0542826,0.0670293,0.023342,0.0581162,0.0224774,0.043725,0.0431589,0.0395088,0.0292384,0.103598,0.0532372,0.0328601,0.0457877,0.0377847,0.0137974,0.0423917,0.0151251,0.0152196,0.0149717,-0.032829,0.0173556,0.0102313,0.00805301,-0.00350963,-0.0200783,-0.00255566,-0.0229272,0.0802123,0.0794777,0.0878899,0.088525,0.0235181,-0.00296049,0.0375003,0.040288,0.0506368,0.0556809,0.0262243,0.0247988,0,0.0674132,0.0156093,-0.0116666,-0.00787181,0.0869437,0.0854637,0.00667067,-0.0096163,0.0874287,-0.0120338,0.0174007,0.0240149,0.00637808,-4.30997e-05,0.0762052,0.0859424,0.0109937,0.0101147,0.0249661,
