time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
4.275,0.110661,0.113046,0.0828762,0.067388,0.108216,0.110303,0.0271988,0.0196756,0.028842,0.00605095,0.0570653,0.148421,0.00714976,0.0300145,0.0957548,0.0694014,0.0547937,0.230407,0.187084,0.246031,0.426564,0.205678,0.135698,0.104818,0.00148482,0.107755,0.109768,0.088007,-0,0.189856,0.0954567,0.0194594,0.0137133,0.011457,0.103178,0.0885976,0.0885784,0.0167761,0.0313618,0.0438302,0.187368,0.225209,0.0427031,0.052527,0.371349,0.410153,0.0537415,0.143301,0.0666092,0.057632,0.0478294,0.0644956,0.0685984,0.0813431,0.382521,0.184127,0.322412,0.063664,0.124186,0.351842,0.096772,0.0979346,0.0939477,0.134154,0.175712,0.0417591,0.0422858,0.139223,0.177633,0.106718,0.162766,0.0668075,0.0755861,0.0513718,0.0484247,0.0667292,0.0439854,0.0537129,0.0437993,0.0349881,
4.28,0.154543,0.161042,0.0888385,0.0652384,0.147627,0.153589,0.0348277,0.021524,0.0294176,0.0128726,0.0552921,0.148617,0.0101613,0.0419528,0.125984,0.069938,0.0546745,0.278866,0.174423,0.157813,0.48878,0.236215,0.120532,0.139578,0.000888539,0.14549,0.119258,0.0840236,0.00303583,0.217362,0.104698,0.0197493,0.0135345,0.0122428,0.134624,0.0924243,0.0950412,0.0162317,0.0410207,0.0613098,0.256479,0.184115,0.0445316,0.0540345,0.380796,0.474872,0.0619515,0.153021,0.0758447,0.0651936,0.0500656,0.0688875,0.0680779,0.0886812,0.400274,0.235398,0.333593,0.10512,0.139005,0.308267,0.110491,0.0989849,0.098024,0.137059,0.154457,0.0429773,0.0447504,0.177168,0.22602,0.131812,0.191954,0.077222,0.0891072,0.0524824,0.0475718,0.0796295,0.0435047,0.0594069,0.0456529,0.0359835,
4.285,0.192046,0.20415,0.0870498,0.0626232,0.179108,0.190317,0.0397284,0.0214047,0.0293059,0.0195298,0.0502822,0.135779,0.0128374,0.0521558,0.147448,0.0665395,0.0546745,0.298339,0.131463,0.0187275,0.500459,0.237916,0.0828463,0.165395,0.000156383,0.174742,0.118817,0.0593407,0.00760913,0.22413,0.105712,0.018833,0.0135345,0.011981,0.156514,0.0891932,0.0977217,0.015612,0.0477582,0.0763142,0.313607,0.121429,0.0477762,0.052211,0.410302,0.500128,0.0616918,0.120301,0.0778073,0.0659297,0.0499722,0.0672329,0.0630059,0.0893771,0.446172,0.325926,0.392415,0.167931,0.157324,0.236267,0.112703,0.142837,0.130498,0.113329,0.110386,0.0448433,0.0473692,0.202041,0.25792,0.146224,0.204674,0.0885335,0.0768012,0.0508756,0.0449194,0.0851119,0.0422144,0.0595939,0.0450922,0.0346674,
4.29,0.224004,0.242666,0.0825185,0.0610468,0.203732,0.22144,0.0425841,0.0204508,0.0285991,0.017765,0.0470806,0.12127,0.0152065,0.0608221,0.161937,0.0629025,0.0546745,0.29894,0.0896704,0.00198476,0.483304,0.223663,0.0509577,0.183878,2.18717e-05,0.196957,0.1141,0.0464214,0.00856785,0.219741,0.102969,0.0177718,0.0135345,0.0113498,0.170974,0.0841029,0.0983194,0.0152414,0.0522299,0.089142,0.361086,0.0950544,0.0488696,0.049277,0.41414,0.502583,0.0583741,0.106421,0.075764,0.06302,0.0487124,0.0631088,0.0573955,0.0868397,0.445369,0.338966,0.397142,0.174802,0.150976,0.201046,0.108533,0.138032,0.133353,0.106953,0.0834139,0.0449356,0.0476597,0.217364,0.277933,0.153202,0.207189,0.0889209,0.0667725,0.0485774,0.0420036,0.0858393,0.0402772,0.0570812,0.0434791,0.0326658,
4.295,0.251133,0.277069,0.0806702,0.0693584,0.222812,0.247734,0.0440324,0.0196756,0.0354511,0.0284616,0.0579345,0.113704,0.0172945,0.0681484,0.171238,0.0634391,0.0680897,0.287558,0.0576407,0.000493496,0.449705,0.201423,0.0294491,0.196637,0.0693802,0.213443,0.11078,0.0562907,0.102869,0.213223,0.107262,0.017783,0.0162771,0.0110296,0.180042,0.0844504,0.104639,0.0167269,0.0549726,0.100073,0.400743,0.110118,0.0574143,0.049522,0.498644,0.492118,0.0707869,0.131116,0.073194,0.0599198,0.0506646,0.0609736,0.060199,0.0865357,0.524042,0.423726,0.486217,0.27574,0.26274,0.316926,0.10297,0.205644,0.197641,0.139811,0.0854932,0.0519048,0.0554427,0.226307,0.289784,0.155893,0.205769,0.109652,0.079077,0.0545534,0.0457284,0.0847203,0.0473663,0.0553199,0.0448655,0.0338416,
4.3,0.274088,0.307775,0.0837706,0.0861606,0.23736,0.269914,0.044566,0.0195564,0.0504492,0.0480144,0.0789739,0.115137,0.0191345,0.07431,0.176723,0.0688052,0.0841283,0.269394,0.0388966,0.014454,0.40811,0.176848,0.0192103,0.205163,0.210671,0.225324,0.111329,0.081244,0.285485,0.2098,0.127713,0.0190565,0.0199738,0.0112833,0.185358,0.0927654,0.121002,0.0196388,0.0565228,0.10935,0.434006,0.148061,0.0748433,0.0545962,0.613064,0.475917,0.0891552,0.19457,0.0724837,0.0592625,0.0576428,0.0633255,0.0751666,0.0917785,0.624616,0.54054,0.601747,0.441755,0.452498,0.522176,0.0997905,0.297526,0.303319,0.202983,0.113142,0.0665004,0.0717579,0.231421,0.296367,0.156675,0.205206,0.14463,0.116338,0.0716764,0.0574833,0.0840931,0.0646385,0.0565922,0.0510656,0.0400469,
4.305,0.293525,0.335202,0.0924159,0.109161,0.24839,0.288636,0.0445606,0.0202123,0.0669011,0.0662886,0.0996673,0.124607,0.0207478,0.0794644,0.179585,0.0781064,0.101061,0.247117,0.0248201,0.00198196,0.362621,0.151787,0.0114955,0.210589,0.325018,0.233503,0.116964,0.100423,0.427633,0.212255,0.164262,0.0214148,0.0240281,0.0121648,0.188239,0.109479,0.146996,0.0234098,0.0572979,0.117187,0.462001,0.187326,0.0965213,0.0633983,0.715661,0.457036,0.105516,0.22822,0.0743897,0.061527,0.0684888,0.0700367,0.0963845,0.102456,0.724202,0.651628,0.711875,0.576592,0.595192,0.670016,0.100072,0.385235,0.403566,0.236485,0.144142,0.084446,0.0912601,0.234421,0.299621,0.157129,0.207786,0.180405,0.146243,0.0926592,0.073135,0.0849767,0.0851602,0.0610862,0.0610314,0.049487,
4.31,0.309981,0.359587,0.106547,0.136531,0.256678,0.304376,0.0442937,0.0215836,0.0851907,0.0808176,0.126704,0.144786,0.0221579,0.083751,0.180658,0.0903291,0.118173,0.223655,0.0189803,0.0367343,0.31875,0.128983,0.00941392,0.213868,0.372425,0.238844,0.129688,0.138314,0.48829,0.221757,0.211185,0.0245673,0.0281421,0.0136248,0.189737,0.134141,0.180893,0.0276038,0.0574767,0.123769,0.48564,0.237028,0.122018,0.076911,0.804253,0.44018,0.138564,0.293221,0.0798198,0.0670218,0.0841544,0.0813125,0.122432,0.119232,0.815515,0.737923,0.797574,0.65652,0.676789,0.762276,0.104799,0.438908,0.469255,0.296879,0.182713,0.106653,0.115701,0.236806,0.301329,0.158835,0.215496,0.223488,0.193163,0.118391,0.0929278,0.0881744,0.108427,0.0694029,0.0752167,0.0623572,
4.315,0.323813,0.38135,0.125447,0.166947,0.262938,0.317613,0.0439591,0.0235512,0.10021,0.0908864,0.145058,0.168093,0.0233908,0.0872933,0.180658,0.104221,0.134391,0.199824,0.0135676,0.00865146,0.276112,0.108108,0.00685371,0.215836,0.44468,0.241885,0.146616,0.140133,0.56982,0.238358,0.2658,0.0281898,0.0320176,0.015559,0.190666,0.165888,0.218948,0.0318634,0.0574767,0.129256,0.505628,0.265853,0.145075,0.0909128,0.856459,0.424604,0.149789,0.312737,0.0875454,0.0745786,0.100389,0.094712,0.146519,0.138767,0.859132,0.791107,0.849551,0.715946,0.734092,0.813484,0.112382,0.489277,0.52558,0.320211,0.211563,0.125973,0.136109,0.239187,0.302185,0.161967,0.227494,0.253882,0.213178,0.140662,0.110494,0.0933175,0.128014,0.0796609,0.0900416,0.0753356,
4.32,0.335559,0.400727,0.148283,0.198975,0.267827,0.328762,0.0436771,0.0259361,0.117668,0.109039,0.171235,0.196243,0.0244632,0.0901986,0.180122,0.118531,0.148462,0.176989,0.0117482,0.0167118,0.236746,0.0901501,0.00677903,0.217028,0.496665,0.243229,0.16829,0.167917,0.628453,0.261294,0.325543,0.0319429,0.0354162,0.0178312,0.191626,0.203583,0.26105,0.0358476,0.0572979,0.133785,0.522561,0.304597,0.171311,0.107661,0.904646,0.412937,0.180198,0.365131,0.0981114,0.0845544,0.119355,0.111019,0.173042,0.162143,0.909628,0.848939,0.902329,0.774624,0.788672,0.860542,0.123398,0.549067,0.584384,0.375117,0.244634,0.14888,0.160424,0.242538,0.303289,0.167455,0.244674,0.2949,0.247719,0.165551,0.130828,0.100906,0.150833,0.0924871,0.107299,0.0901953,
