time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.391568,0.391568,0.391568,0.391568,0.391568,0.391568,0.0174797,0.0174742,0.195941,0.282731,0.011422,0.0378727,0.0272178,0.0272178,0.0563602,0.0563677,0.0563731,0.0563576,0.0536714,0.0536322,0.0536575,0.0563688,0.0563751,0.391568,0.0171144,0.0781182,0.081448,0,0.0171144,0.0171143,0.0171144,0.0174887,0.0174769,0.0272178,0.0171144,0.0998516,0.0377229,0.0740202,0.0720779,0.0720716,0,0,0,0,0,0,0,0,0.0449784,0.058817,0.0639678,0.0465633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641093,0.0883907,0.00012476,0,0,0,0,0,0,0,0.087356,0.073296,0,0,0,
3.605,0.374241,0.374241,0.374241,0.374241,0.374241,0.374241,0.0201912,0.0201868,0.166502,0.242182,0.0134276,0.0496348,0.0237195,0.0237195,0.0620307,0.0620384,0.062044,0.062028,0.0593583,0.0593351,0.0593499,0.0620396,0.0620461,0.374241,0.016339,0.101656,0.0974102,0,0.0163389,0.0163389,0.0163389,0.0201983,0.0201889,0.0237195,0.0163389,0.0851332,0.0487812,0.0808543,0.078903,0.0788986,0,0,0,0,0,0,0,0,0.0520164,0.0557993,0.0653481,0.0488019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589297,0.0895347,0.0001623,0,0,0,0,0,0,0,0.0854048,0.0716622,0,0,0,
3.61,0.402092,0.402092,0.402092,0.402092,0.402092,0.402092,0.0139383,0.0139306,0.249716,0.35511,0.00791558,0.00173142,0.0362948,0.0362948,0.035554,0.0355595,0.0355634,0.035552,0.0331975,0.0331221,0.0331709,0.0355603,0.0355649,0.402092,0.0237081,0.00679126,0.0297301,0,0.023708,0.0237079,0.023708,0.0139508,0.0139344,0.0362948,0.023708,0.126412,0.00357143,0.0718757,0.0701721,0.0701619,0,0,0,0,0,0,0,0,0.0249009,0.0604001,0.0542395,0.0384415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718476,0.076603,1.2936e-05,0,0,0,0,0,0,0,0.0822023,0.0738357,0,0,0,
3.615,0.401251,0.401251,0.401251,0.401251,0.401251,0.401251,0.0191554,0.0191469,0.274931,0.389005,0.00724071,0.00194486,0.0410161,0.0410161,0.041068,0.0410732,0.0410768,0.0410661,0.0385919,0.0385086,0.0385625,0.041074,0.0410781,0.401251,0.029667,0.00422593,0.0307203,0,0.0296669,0.0296669,0.0296669,0.0191691,0.0191511,0.0410161,0.0296669,0.138782,0.00230656,0.0443527,0.0426479,0.0426349,0,0,0,0,0,0,0,0,0.0227352,0.0659307,0.0628589,0.0401544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818878,0.0806248,2.27774e-05,0,0,0,0,0,0,0,0.0914764,0.0752832,0,0,0,
3.62,0.402651,0.402651,0.402651,0.402651,0.402651,0.402651,0.0211472,0.0211387,0.278764,0.394068,0.00775561,0.00145078,0.0424426,0.0424426,0.0418157,0.0418207,0.0418242,0.0418139,0.0393423,0.0392579,0.0393125,0.0418215,0.0418254,0.402651,0.0320552,0.00303795,0.0302571,0,0.0320552,0.0320551,0.0320552,0.021161,0.0211428,0.0424426,0.0320552,0.140631,0.00161819,0.0450991,0.0433977,0.0433843,0,0,0,0,0,0,0,0,0.0229389,0.0668074,0.0643181,0.0409598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083756,0.0813173,2.35462e-05,0,0,0,0,0,0,0,0.0927063,0.0764001,0,0,0,
3.625,0.3958,0.3958,0.3958,0.3958,0.3958,0.3958,0.0171058,0.0170981,0.252362,0.358402,0.00807181,0.0064005,0.0371988,0.0371988,0.0405746,0.0405802,0.040584,0.0405727,0.0381479,0.0380741,0.0381218,0.040581,0.0405855,0.3958,0.0258742,0.0145209,0.0364574,0,0.0258742,0.0258741,0.0258741,0.0171183,0.0171019,0.0371988,0.0258742,0.127633,0.00722546,0.0585651,0.0568512,0.0568402,0,0,0,0,0,0,0,0,0.026241,0.0622479,0.0592041,0.0400116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750844,0.0792474,3.20885e-05,0,0,0,0,0,0,0,0.086493,0.0737979,0,0,0,
3.63,0.395033,0.395033,0.395033,0.395033,0.395033,0.395033,0.017377,0.0173697,0.242538,0.34517,0.00878561,0.011195,0.0356747,0.0356747,0.0428562,0.042862,0.0428661,0.0428541,0.0404004,0.0403324,0.0403764,0.0428628,0.0428676,0.395033,0.0247593,0.0243523,0.0432977,0,0.0247593,0.0247592,0.0247592,0.0173888,0.0173732,0.0356747,0.0247593,0.122783,0.011907,0.0629858,0.0612393,0.0612292,0,0,0,0,0,0,0,0,0.0293639,0.0615045,0.0597218,0.0411098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731222,0.0805097,4.62241e-05,0,0,0,0,0,0,0,0.0862448,0.0738447,0,0,0,
3.635,0.398355,0.398355,0.398355,0.398355,0.398355,0.398355,0.0207012,0.0206931,0.265477,0.375956,0.00842963,0.00453129,0.0404745,0.0404745,0.0421158,0.042121,0.0421246,0.042114,0.0396721,0.0395937,0.0396444,0.0421218,0.0421259,0.398355,0.0305199,0.00986028,0.0342907,0,0.0305199,0.0305198,0.0305198,0.0207143,0.0206971,0.0404745,0.0305198,0.134041,0.00483848,0.0529346,0.0512303,0.0512181,0,0,0,0,0,0,0,0,0.0252834,0.0648065,0.0627979,0.0411801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801858,0.0807578,3.13444e-05,0,0,0,0,0,0,0,0.0901727,0.0756588,0,0,0,
3.64,0.398903,0.398903,0.398903,0.398903,0.398903,0.398903,0.0227046,0.0226964,0.271428,0.383836,0.00873024,0.00320275,0.0422114,0.0422114,0.0425645,0.0425694,0.0425728,0.0425627,0.0401282,0.0400475,0.0400997,0.0425701,0.0425741,0.398903,0.033157,0.00683242,0.0325925,0,0.033157,0.0331569,0.0331569,0.022718,0.0227004,0.0422114,0.033157,0.136929,0.00328012,0.0514355,0.0497438,0.049731,0,0,0,0,0,0,0,0,0.0247523,0.0658754,0.0643286,0.0417221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825753,0.0811874,2.98892e-05,0,0,0,0,0,0,0,0.0916003,0.0765951,0,0,0,
3.645,0.375506,0.375506,0.375506,0.375506,0.375506,0.375506,0.0177653,0.0177598,0.191042,0.274559,0.0121565,0.0213339,0.0293311,0.0293311,0.0432984,0.0433044,0.0433088,0.0432963,0.0410233,0.040978,0.0410072,0.0433053,0.0433104,0.375506,0.0215778,0.0473428,0.0562623,0,0.0215778,0.0215777,0.0215777,0.0177741,0.0177625,0.0293311,0.0215777,0.0971408,0.0225409,0.0981221,0.0964004,0.0963943,0,0,0,0,0,0,0,0,0.0382848,0.0534679,0.0537845,0.0422578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598784,0.0774399,7.3014e-05,0,0,0,0,0,0,0,0.0756226,0.0715526,0,0,0,
