iteration,loss,learning rate,
1,11271.7,0.02,
2,11150.3,0.02,
3,11035.3,0.02,
4,10924.7,0.02,
5,10823.6,0.02,
6,10731.8,0.02,
7,10651.2,0.02,
8,10574.4,0.02,
9,10497.3,0.02,
10,10455.4,0.02,
11,10433.2,0.02,
12,10412.3,0.02,
13,10393.4,0.02,
14,10378.9,0.02,
15,10363.4,0.02,
16,10349.1,0.02,
17,10334.2,0.02,
18,10320.1,0.02,
19,10306.9,0.02,
20,10295.4,0.02,
21,10284.7,0.02,
22,10273.2,0.02,
23,10261,0.02,
24,10248.3,0.02,
25,10239.5,0.02,
26,10232.9,0.02,
27,10225.9,0.02,
28,10217.5,0.02,
29,10208.9,0.02,
30,10202,0.02,
31,10197.7,0.02,
32,10194.5,0.02,
33,10191.6,0.02,
34,10189.6,0.02,
35,10186.3,0.02,
36,10183.7,0.02,
37,10179.6,0.02,
38,10175.6,0.02,
39,10171.9,0.02,
40,10165.8,0.02,
41,10159.7,0.02,
42,10155.1,0.02,
43,10150,0.02,
44,10145,0.02,
45,10141.5,0.02,
46,10137.9,0.02,
47,10135.6,0.02,
48,10133.9,0.02,
49,10132.9,0.02,
50,10141,0.02,
51,10167.1,0.02,
52,10158.7,0.02,
53,10150.4,0.02,
54,10143.3,0.02,
55,10135,0.02,
56,10130.9,0.02,
57,10130.1,0.02,
58,10129.8,0.02,
59,10128.5,0.02,
60,10125.1,0.02,
61,10121.7,0.02,
62,10128.7,0.02,
63,10124.9,0.02,
64,10123.7,0.02,
65,10117,0.02,
66,10114.8,0.02,
67,10109.7,0.02,
68,10107,0.02,
69,10104.9,0.02,
70,10107.8,0.02,
71,10106.1,0.02,
72,10105.1,0.02,
73,10100.5,0.02,
74,10099.7,0.02,
75,10098.9,0.02,
76,10099,0.02,
77,10098.7,0.02,
78,10097.5,0.02,
79,10096.6,0.02,
80,10095.6,0.02,
81,10094.1,0.02,
82,10093.8,0.02,
83,10093.3,0.02,
84,10092.2,0.02,
85,10091.5,0.02,
86,10091,0.02,
87,10090.7,0.02,
88,10090.9,0.02,
89,10091.1,0.02,
90,10090.7,0.02,
91,10090.2,0.02,
92,10089.3,0.02,
93,10088.4,0.02,
94,10087.5,0.02,
95,10087.2,0.02,
96,10086.7,0.02,
97,10085.9,0.02,
98,10085.5,0.02,
99,10084.9,0.02,
100,10083.9,0.02,
101,10083.3,0.02,
102,10082.9,0.02,
103,10082.2,0.02,
104,10081.8,0.02,
105,10081.5,0.02,
106,10081.8,0.02,
107,10081.5,0.02,
108,10080.7,0.02,
109,10080.1,0.02,
110,10079.3,0.02,
111,10078.9,0.02,
112,10078.5,0.02,
113,10078.4,0.02,
114,10078.3,0.02,
115,10078,0.02,
116,10077.6,0.02,
117,10077.1,0.02,
118,10076.8,0.02,
119,10076.4,0.02,
120,10076,0.02,
121,10075.4,0.02,
122,10075,0.02,
123,10074.5,0.02,
124,10074.1,0.02,
125,10074,0.02,
126,10073.8,0.02,
127,10073.5,0.02,
128,10073.1,0.02,
129,10072.7,0.02,
130,10105.9,0.02,
131,10103.4,0.02,
132,10101.3,0.02,
133,10100.2,0.02,
134,10099.5,0.02,
135,10098.7,0.02,
136,10097.5,0.02,
137,10094.1,0.02,
138,10092.5,0.02,
139,10091.6,0.02,
140,10085.8,0.02,
141,10086.3,0.02,
142,10086.9,0.02,
143,10087.1,0.02,
144,10086,0.02,
145,10085.5,0.02,
146,10084,0.02,
147,10082.9,0.02,
148,10081.9,0.02,
149,10080.5,0.02,
