time,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,hip_flexion_r,hip_flexion_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,hip_flexion_l,hip_flexion_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
2.295,101.249,-3885.89,14.1755,-84.7107,-58.7296,2192.72,144.589,-1734.46,-12.8701,-15.6937,3.05425,-2992.34,-0.258155,-139.916,-3.00219,2683.64,11.5009,-1516.86,-63.2183,-64.1848,
2.3,99.1775,-1850.06,16.5019,-302.431,-60.4188,2490.77,138.187,-1372.72,-44.7178,-45.1491,3.01378,-1234.78,-0.26101,-293.772,-2.99334,2990.38,11.5403,-1424.35,-63.9681,-85.6837,
2.305,115.008,-1785.79,19.4172,-329.496,-98.3729,2672.47,105.904,-1432.75,-56.9716,-44.4697,1.58991,-1616.56,1.64343,-229.834,-11.1545,2914.49,10.6771,-1476.05,-69.8375,-77.2667,
2.31,124.445,-2414.49,18.9335,-284.438,-114.21,2548.84,81.625,-1503.46,-67.1324,-34.8857,2.23387,-1542.27,2.03425,-234.449,-13.5554,3046.59,10.4259,-1524.71,-70.6497,-76.1043,
2.315,127.181,-1519.06,19.3415,-287.558,-120.873,2576.25,55.266,-1481.14,-72.0574,-42.2296,2.16006,-1269.82,2.41022,-277.464,-15.9053,2930.74,10.1019,-1457.86,-73.0643,-81.9213,
2.32,127.56,-845.873,20.0316,-589.388,-123.094,3810.54,28.451,-1559.9,-77.0502,-54.257,2.37925,-1546.75,2.58518,-237.425,-17.3699,3270.39,10.1568,-1631.23,-72.354,-73.1369,
2.325,129.453,-2111.17,19.1512,-227.933,-124.771,2519.99,3.21763,-1629.88,-81.0292,-29.8894,2.70841,-1202,2.68514,-311.958,-18.4454,3119.28,10.3515,-1509.32,-73.7547,-80.9638,
2.33,130.264,-1611.21,18.8389,-412.84,-125.163,3238.91,-20.4482,-1640.36,-81.486,-40.1619,3.06937,-1492.81,2.76105,-213.23,-19.3589,2988.12,10.5775,-1584.12,-69.9102,-72.3767,
2.335,131.048,-2070.33,18.4208,-269.81,-125.24,2673.58,-42.1975,-1673.51,-75.5442,-33.1667,3.43421,-1403.95,2.82449,-256.997,-20.1736,3224.92,10.804,-1643.52,-69.8377,-72.5671,
2.34,131.76,-1815.94,17.9383,-330.126,-125.136,2980.97,-62.09,-1724.8,-69.5597,-32.9621,3.79042,-1620.05,2.88053,-280.174,-20.9074,3488.57,11.0197,-1714.53,-65.8211,-67.3916,
2.345,132.346,-1745.28,17.4121,-335.538,-124.883,2967.35,-80.1778,-1718.4,-66.2597,-37.6015,4.12215,-718.428,2.93993,-202.708,-21.5764,2535.55,11.2295,-1577.75,-66.2416,-80.9717,
