time,synergy1,synergy2,synergy3,synergy4,
2.295,0.731268,0.0112501,0.208257,0.00241236,
2.3,0.694032,2.16126e-06,0.282689,0,
2.305,0.712263,0.00220984,0.307227,0,
2.31,0.775996,0.000797115,0.23589,0,
2.315,0.80107,0.00221498,0.251453,0,
2.32,0.778688,0.00203307,0.194394,0,
2.325,0.794531,0.000737385,0.226727,0,
2.33,0.911247,0,0.117585,0,
2.335,0.981899,0,0.099275,0,
2.34,1,0.0489264,0.0332163,0,
2.345,0.956347,0.0466538,0.0795402,0,
2.35,0.91785,0.0326859,0.103389,0,
2.355,0.914955,0.0909329,0.0242781,0,
2.36,0.878781,0.128402,0,5.44119e-05,
2.365,0.864574,0.119103,0.0263054,0,
2.37,0.843627,0.137056,0,0.018743,
2.375,0.849958,0.151914,0.000450975,0,
2.38,0.839435,0.157467,0,0.00817698,
2.385,0.836613,0.163336,0,0,
2.39,0.777833,0.143674,0.0712783,0,
2.395,0.805448,0.184593,0,0,
2.4,0.764295,0.171206,0.0513795,0.00010821,
2.405,0.772488,0.203143,0,0,
2.41,0.729361,0.185213,0.0674143,0,
2.415,0.774505,0.191093,0.0242625,0,
2.42,0.751763,0.164317,0.0869878,0,
2.425,0.728303,0.162604,0.0949566,0.00217974,
2.43,0.735044,0.187042,0.0583244,0,
2.435,0.715866,0.149535,0.138739,0,
2.44,0.729116,0.215541,0.0274565,0.00982694,
2.445,0.689849,0.252838,0,0.0175153,
2.45,0.696309,0.23134,0.0399025,0.000476701,
2.455,0.697352,0.246742,0,0.0240843,
2.46,0.70518,0.208633,0.0793049,0,
2.465,0.731233,0.24677,0,0.00510163,
2.47,0.697661,0.208192,0.0786947,0.00827539,
2.475,0.714215,0.253172,0,0.0190996,
2.48,0.639574,0.243739,0.0733409,0.000584224,
2.485,0.663198,0.26527,0,0.0233005,
2.49,0.635673,0.210089,0.127317,0.0075777,
2.495,0.645289,0.251324,0.0628792,0.0193634,
2.5,0.608362,0.0528864,0.370236,0.0171127,
2.505,0.582796,0.268178,0.0576558,0.0334851,
2.51,0.55454,0.284018,0.0326946,0.0600597,
2.515,0.526132,0.25685,0.15761,0.000171248,
2.52,0.55189,0.30567,0.0535668,0.0270715,
2.525,0.511609,0.290083,0.12695,0.00586634,
2.53,0.501865,0.280138,0.0981152,0.0443432,
2.535,0.532365,0.249171,0.188978,0,
2.54,0.473212,0.31185,0.0762834,0.0605231,
2.545,0.458931,0.273928,0.189806,0,
2.55,0.476511,0.380945,0.00147466,0.0499528,
2.555,0.38068,0.34325,0.117129,0,
2.56,0.439355,0.228318,0.305747,0.0113868,
2.565,0.412451,0.324504,0.0805825,0.109166,
2.57,0.439901,0.279685,0.2013,0,
2.575,0.485356,0.396752,0,0.0417428,
2.58,0.415345,0.372891,0.131494,0,
2.585,0.460497,0.440583,0,0.0199371,
2.59,0.440898,0.21357,0.280861,0.0371755,
2.595,0.444159,0.391083,0.0100587,0.0646963,
2.6,0.416878,0.189028,0.3317,0.0418972,
2.605,0.323664,0.527506,0.00125055,0.0277313,
2.61,0.326166,0.231086,0.361404,0.0602741,
2.615,0.385055,0.469625,0.0362026,0.0260735,
2.62,0.309161,0.226836,0.423973,0.0279508,
2.625,0.321988,0.469996,0.0014726,0.0756251,
2.63,0.268174,0.319347,0.335087,0.0312871,
2.635,0.298547,0.430262,0.0582489,0.105593,
2.64,0.343394,0.533955,0,0.0342233,
2.645,0.330005,0.424558,0.144854,0.0419263,
2.65,0.280483,0.458275,0.11312,0.0577721,
2.655,0.280525,0.328703,0.394457,0.00448294,
2.66,0.258245,0.475162,0.0122452,0.13367,
2.665,0.290282,0.467308,0.153321,0.0116119,
2.67,0.229732,0.287941,0.390019,0.0863682,
2.675,0.211504,0.13847,0.520116,0.153519,
2.68,0.268403,0.548555,0,0.0970242,
2.685,0.208914,0.476313,0.129959,0.111858,
2.69,0.246511,0.253963,0.457968,0.0211173,
2.695,0.211745,0.597662,0.00115372,0.0714095,
2.7,0.232626,0.21696,0.472531,0.0480791,
2.705,0.213826,0.587111,0,0.0958452,
2.71,0.249807,0.509313,0,0.1751,
2.715,0.223854,0.405443,0.308548,0.0331164,
2.72,0.30826,0.571002,0,0.092144,
2.725,0.156769,0.423287,0.353034,0.0456597,
2.73,0.252996,0.557424,0,0.105093,
2.735,0.183873,0.348644,0.451618,0.0438388,
2.74,0.240502,0.580786,0.000921641,0.118053,
2.745,0.241276,0.513774,0,0.203249,
2.75,0.138691,0.457295,0.313363,0.0332413,
2.755,0.202566,0.606092,0,0.122895,
2.76,0.170558,0.380351,0.385925,0.0566123,
2.765,0.210152,0.614809,0,0.106925,
2.77,0.196851,0.328975,0.459917,0.0491453,
2.775,0.204595,0.632647,0,0.104254,
2.78,0.225819,0.551881,0,0.197446,
2.785,0.153191,0.409493,0.396641,0.064085,
2.79,0.196282,0.570884,0,0.168663,
2.795,0.182322,0.373944,0.448399,0.0545976,
2.8,0.225334,0.607261,0,0.137102,
2.805,0.183452,0.331485,0.530944,0.041925,
2.81,0.220312,0.622957,0,0.110756,
2.815,0.186471,0.302716,0.550566,0.0605077,
2.82,0.206693,0.623342,0,0.125944,
2.825,0.231037,0.505637,0,0.225734,
2.83,0.154538,0.343159,0.460462,0.108683,
2.835,0.208758,0.563379,0,0.203023,
2.84,0.288662,0.291382,0.49071,0.0930247,
2.845,0.853162,0.35146,0,0.158407,
2.85,0,0.420483,0.453977,0.103356,
2.855,0.482263,0.521976,0,0.158257,
2.86,0,0.420335,0.484742,0.0993114,
2.865,0,0.656036,0,0.173162,
2.87,0.0867453,0.586779,0,0.257082,
2.875,0.0820748,0.487568,0.347764,0.0705119,
2.88,0.192265,0.606202,0,0.167744,
2.885,0.0713474,0.463575,0.367716,0.0870767,
2.89,0.186791,0.620351,0,0.147726,
2.895,0.0185989,0.463708,0.37054,0.1122,
2.9,0.203882,0.60463,0,0.165954,
2.905,0,0.455068,0.406006,0.118841,
2.91,0.145707,0.620126,0,0.184832,
2.915,0,0.43114,0.434407,0.12055,
2.92,0.0756871,0.632018,0,0.194167,
2.925,0.023522,0.394802,0.457498,0.117029,
2.93,0.144873,0.616592,0,0.183747,
2.935,0.0351517,0.394707,0.440669,0.12656,
2.94,0.128873,0.615168,0,0.195934,
2.945,0.0304293,0.385767,0.439084,0.140316,
2.95,0.0665345,0.618233,0,0.215298,
2.955,0,0.388306,0.541738,0.0603915,
2.96,0.0348357,0.634493,0,0.163599,
2.965,0.143425,0.595227,0,0.225104,
2.97,0.0569283,0.466794,0.274593,0.166843,
2.975,0.114369,0.598108,0,0.241541,
2.98,0,0.374369,0.459131,0.150989,
2.985,0.0688815,0.610193,0,0.233025,
2.99,0.118024,0.537836,0,0.305363,
2.995,0.0456145,0.431125,0.28268,0.215407,
3,0.0845556,0.547233,0,0.303034,
3.005,0.0961362,0.349006,0.367122,0.219645,
3.01,0.00563886,0.587704,0,0.304415,
3.015,0.0970894,0.495139,0,0.383252,
3.02,0.109671,0.437376,0.179043,0.272801,
3.025,0.0490948,0.529389,0,0.35707,
3.03,0.0536774,0.391534,0.256187,0.293467,
3.035,0.115472,0.502643,0,0.365213,
3.04,0.04797,0.337947,0.300683,0.322481,
3.045,0.127278,0.482139,0,0.383235,
3.05,0.0356227,0.326265,0.296903,0.355509,
3.055,0.0861652,0.480503,0.018269,0.402963,
3.06,0.0387947,0.460235,0.0251436,0.432492,
3.065,0.0383637,0.418132,0.107813,0.418353,
3.07,0.0964864,0.374452,0.128823,0.431922,
3.075,0.0600578,0.378841,0.10582,0.463981,
3.08,0.0488596,0.368732,0.15787,0.433431,
3.085,0.0411385,0.339015,0.152805,0.484227,
3.09,0.0278372,0.34792,0.162925,0.477461,
3.095,0.0227969,0.313677,0.172013,0.518536,
3.1,0.0198755,0.322221,0.195614,0.493551,
3.105,0.0156521,0.287044,0.183103,0.561051,
3.11,0.0197553,0.28412,0.219366,0.528469,
3.115,0.0315607,0.248041,0.240363,0.544816,
3.12,0.0321959,0.282783,0.170858,0.574168,
3.125,0.0499104,0.305441,0.231925,0.468978,
3.13,0.00610755,0.286252,0.134494,0.631964,
3.135,0.0483079,0.271312,0.204877,0.539953,
3.14,0.019278,0.209428,0.228681,0.636534,
3.145,0.0497132,0.193144,0.217831,0.639965,
3.15,0.0162318,0.232759,0.261712,0.569218,
3.155,0.0356024,0.131058,0.241715,0.722698,
3.16,0.020467,0.241319,0.271133,0.54795,
3.165,0.0324715,0.0846893,0.29533,0.739299,
3.17,0.012003,0.195391,0.346883,0.546068,
3.175,0.0401067,0.0286214,0.352169,0.761775,
3.18,0.0395945,0.183569,0.363859,0.534633,
3.185,0.0098684,0,0.29513,0.906707,
3.19,0.0404378,0.220987,0.330064,0.505047,
3.195,0,0,0.262509,1,
3.2,0.0432962,0.197927,0.334826,0.504131,
3.205,0.00635066,0.232285,0.44301,0.375107,
3.21,0.00902365,0.280711,0.259311,0.572398,
3.215,0.00389702,0.188455,0.458971,0.436606,
3.22,0.0515121,0.108289,0.440793,0.532833,
3.225,0.00840673,0.0582781,0.278106,0.767349,
3.23,0.0480141,0.163216,0.379199,0.522303,
3.235,0.00390902,0,0.299748,0.871302,
3.24,0.0553922,0.197795,0.326153,0.509587,
3.245,0.00771745,0,0.274842,0.912052,
3.25,0.0454585,0.226477,0.323735,0.476041,
3.255,0.0105036,0,0.29472,0.904386,
3.26,0.0393165,0.225258,0.325379,0.47487,
3.265,0.0112182,0.00180561,0.284713,0.920978,
3.27,0.00916837,0.26193,0.339754,0.437787,
3.275,0.0110714,0,0.306823,0.869975,
3.28,0.00679787,0.230193,0.337357,0.473505,
3.285,0.0200823,0.0278429,0.367649,0.7288,
3.29,0.0837348,0.186891,0.286672,0.525517,
3.295,0,0.179166,0.304027,0.590633,
3.3,0,0.21462,0.239294,0.598937,
3.305,0.0519327,0.217079,0.211024,0.570861,
3.31,0,0.245612,0.206888,0.577473,
3.315,0.0493618,0.248427,0.185025,0.554864,
3.32,0,0.279262,0.187561,0.549126,
3.325,0.0306408,0.285822,0.152967,0.541042,
3.33,0,0.304522,0.144454,0.54622,
3.335,0,0.335132,0.081889,0.560921,
3.34,0.0657529,0.313488,0.124862,0.492023,
3.345,0,0.334388,0.0854203,0.535196,
3.35,0.0357228,0.348857,0.149107,0.444764,
3.355,0,0.366217,0.070681,0.508202,
3.36,0.00498317,0.382365,0.0876508,0.468345,
3.365,0.00760242,0.42176,0.00163058,0.494087,
3.37,0.0558885,0.38337,0.0730151,0.452496,
3.375,0,0.303971,0.193984,0.46886,
3.38,0.00536196,0.437281,0,0.466388,
3.385,0.0037577,0.437808,0.0136024,0.454886,
3.39,0.0909082,0.41084,0,0.454398,
3.395,0.0501089,0.364398,0.075313,0.457164,
3.4,0,0.439023,0.00347788,0.453091,
3.405,0.0670807,0.427719,0,0.440045,
3.41,0,0.424405,0.049562,0.430948,
3.415,0.0993926,0.431802,0,0.416467,
3.42,0,0.299208,0.306418,0.336591,
3.425,0,0.492878,0,0.396493,
3.43,0.129066,0.397429,0,0.443073,
3.435,0,0.436636,0.0475947,0.407371,
3.44,0.14509,0.416389,0,0.419135,
3.445,0,0.376188,0.198296,0.3438,
3.45,0.239975,0.423118,0,0.349329,
3.455,0,0.256939,0.400604,0.317463,
3.46,0.21452,0.428009,0,0.353894,
3.465,0,0.427983,0,0.431035,
3.47,0.216227,0.404407,0,0.392319,
3.475,0,0.351797,0.26803,0.315569,
3.48,0.1726,0.442986,0,0.362593,
3.485,0,0.287935,0.38017,0.292799,
3.49,0.144401,0.466233,0,0.341622,
3.495,0,0.267018,0.397331,0.290739,
3.5,0.146755,0.464283,0.0013868,0.342231,
3.505,0,0.224522,0.443029,0.286395,
3.51,0.0344062,0.472136,0,0.35671,
3.515,0.0176872,0.459562,0,0.395786,
3.52,0.0508765,0.44559,0,0.394347,
3.525,0.114184,0.418282,0,0.393483,
3.53,0.0507676,0.377315,0.272228,0.203399,
3.535,0.0851163,0.487689,0,0.298014,
3.54,0.0178977,0.315872,0.369584,0.21131,
3.545,0.0933453,0.518694,0,0.265521,
3.55,0.27757,0.182765,0.44102,0.192467,
3.555,0.0315828,0.528096,0,0.261446,
3.56,0.34862,0.397951,0.00123487,0.294217,
3.565,0.0159505,0.351077,0.283814,0.224924,
3.57,0,0.524732,0,0.291102,
3.575,0.155312,0.442908,0,0.324567,
3.58,0.0405096,0.359161,0.303031,0.173961,
