time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
2.295,0.46041,0.397031,0.340329,0.34412,0.354937,0.453792,0.0418284,0.0416766,0.0665991,0.0679071,0.045517,0.0404818,0.110199,0.181213,0.0429883,0.0429287,0.0434653,0.0428094,0.0429883,0.0431076,0.0429287,0.0432268,0.0429883,0.338302,0.0130575,0.0847716,0.0399639,5.96853e-05,0.0131171,0.0128222,0.0664645,0.0413785,0.0414689,0.118641,0.0215465,0.102611,0.0425508,0.13727,0.149788,0.173486,-0,-0,-0,-0,-0,-0,-0,-0,0.0186176,0.016632,0.126962,0.127402,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.253625,0.132212,0.0050825,-0,-0,-0,-0,-0,-0,-0,0.00737719,0.127188,-0,-0,-0,
2.3,0.488731,0.388505,0.336215,0.337932,0.344682,0.476747,0.0411722,0.0410207,0.0935488,0.0961101,0.0286168,0.024819,0.10652,0.245522,0.0422728,0.0422132,0.0425113,0.0421536,0.0422728,0.0423325,0.0422132,0.0423921,0.0422728,0.3355,0.012819,0.0487325,0.0252621,6.43973e-05,0.0128786,0.0127571,0.0846046,0.0409015,0.0409104,0.116173,0.0274018,0.145063,0.033046,0.135495,0.148799,0.185914,-0,-0,-0,-0,-0,-0,-0,-0,0.0256507,0.0227205,0.0634799,0.0638073,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.130106,0.0670307,0.00687227,-0,-0,-0,-0,-0,-0,-0,0.0101359,0.0632546,-0,-0,-0,
2.305,0.47627,0.369544,0.335023,0.335591,0.338421,0.461782,0.0409555,0.0407823,0.0879442,0.0902745,0.027245,0.0276054,0.103027,0.295912,0.0419747,0.0419747,0.042094,0.0419747,0.0419747,0.0420343,0.0419747,0.0420343,0.0419747,0.334903,0.0127594,0.0520796,0.0264624,6.3612e-05,0.0127594,0.0127441,0.0962053,0.0407226,0.0407707,0.110484,0.0310486,0.136418,0.0348143,0.134954,0.148603,0.183078,-0,-0,-0,-0,-0,-0,-0,-0,0.0246827,0.022015,0.0765247,0.0769563,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.153064,0.0798837,0.00826102,-0,-0,-0,-0,-0,-0,-0,0.00977699,0.0765464,-0,-0,-0,
2.31,0.450394,0.354758,0.334844,0.335006,0.335977,0.435786,0.0408998,0.0407226,0.131588,0.135649,0.0165213,0.0195306,0.101148,0.334593,0.0419151,0.0419151,0.0419747,0.0419151,0.0419151,0.0419151,0.0419151,0.0419151,0.0419151,0.334784,0.0127594,0.0302244,0.0183782,5.73293e-05,0.0127594,0.0127441,0.103005,0.0407226,0.0407358,0.106008,0.0330774,0.205044,0.0336907,0.134838,0.148575,0.174459,-0,-0,-0,-0,-0,-0,-0,-0,0.0360991,0.0319453,0.035847,0.0361922,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0740624,0.0385652,0.0093028,-0,-0,-0,-0,-0,-0,-0,0.0142641,0.0357737,-0,-0,-0,
2.315,0.423384,0.345636,0.334963,0.335047,0.335261,0.410088,0.0409555,0.0407823,0.125924,0.129764,0.0140642,0.0192574,0.100536,0.363461,0.0423325,0.0423325,0.0423325,0.0423325,0.0423325,0.0423325,0.0423325,0.0423325,0.0423325,0.334963,0.0129979,0.0284858,0.0175635,5.02613e-05,0.0129979,0.0130695,0.106315,0.0407823,0.0408056,0.103361,0.0338992,0.196101,0.0328986,0.137561,0.151886,0.165047,-0,-0,-0,-0,-0,-0,-0,-0,0.0354127,0.0315794,0.0371179,0.0373912,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0747769,0.0393907,0.0100551,-0,-0,-0,-0,-0,-0,-0,0.0140297,0.0370592,-0,-0,-0,
2.32,0.400012,0.340568,0.335202,0.335256,0.335261,0.388803,0.0410794,0.0409015,0.115311,0.118847,0.0137976,0.0188871,0.100594,0.384131,0.0429287,0.0429287,0.0429287,0.0429883,0.0429287,0.0429287,0.0429287,0.0429287,0.0429287,0.335202,0.0133556,0.0287066,0.0172852,4.31933e-05,0.0133556,0.01346,0.107116,0.0409015,0.0409104,0.102087,0.0338992,0.179585,0.0311855,0.141157,0.155929,0.157011,-0,-0,-0,-0,-0,-0,-0,-0,0.0327171,0.0291821,0.0384585,0.0387416,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0773491,0.0406833,0.0105669,-0,-0,-0,-0,-0,-0,-0,0.0129538,0.0384071,-0,-0,-0,
2.325,0.381529,0.338004,0.33544,0.335466,0.33538,0.372526,0.0412589,0.0410804,0.134987,0.139205,0.0121606,0.0184836,0.100969,0.397985,0.0436442,0.0436442,0.0435845,0.0436442,0.0436442,0.0435845,0.0436442,0.0435845,0.0436442,0.33544,0.013773,0.0256727,0.0166215,3.69107e-05,0.0137133,0.0138636,0.10615,0.0410804,0.0411198,0.101671,0.0333342,0.21041,0.0334328,0.145028,0.160183,0.151084,-0,-0,-0,-0,-0,-0,-0,-0,0.0375932,0.0334221,0.0321345,0.032368,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0649649,0.034326,0.0108772,-0,-0,-0,-0,-0,-0,-0,0.0148769,0.0320558,-0,-0,-0,
2.33,0.367756,0.336752,0.335619,0.335675,0.335559,0.36072,0.0414879,0.0413189,0.111734,0.115072,0.0143295,0.0195706,0.101485,0.406204,0.0443,0.0443596,0.0442404,0.0443596,0.0443,0.0443,0.0443,0.0443,0.0443,0.335619,0.0141903,0.0304195,0.0180166,3.14133e-05,0.0141903,0.0143062,0.103979,0.0413189,0.0413292,0.101746,0.0324097,0.173861,0.0313697,0.149039,0.164565,0.147306,-0,-0,-0,-0,-0,-0,-0,-0,0.0318161,0.0284972,0.0420532,0.0422478,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0839866,0.0441971,0.0110246,-0,-0,-0,-0,-0,-0,-0,0.0126225,0.0419198,-0,-0,-0,
2.335,0.357799,0.336215,0.335798,0.335842,0.335738,0.352492,0.0417603,0.0415574,0.11555,0.119032,0.0160736,0.0212084,0.102058,0.409793,0.0450751,0.0450751,0.0450155,0.0450751,0.0450751,0.0450155,0.0450751,0.0450155,0.0450751,0.335798,0.0146673,0.0337538,0.0194673,2.74867e-05,0.0146077,0.0147618,0.101033,0.041617,0.0416085,0.102084,0.0312797,0.179883,0.0331565,0.153156,0.169053,0.145424,-0,-0,-0,-0,-0,-0,-0,-0,0.0324306,0.0289245,0.0468753,0.0472043,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0940301,0.0493743,0.0110403,-0,-0,-0,-0,-0,-0,-0,0.0128472,0.0468384,-0,-0,-0,
2.34,0.350763,0.336036,0.335917,0.335967,0.335857,0.346888,0.0420822,0.0419151,0.145361,0.150041,0.00571331,0.0117711,0.102652,0.40961,0.0458502,0.0458502,0.045731,0.0458502,0.0458502,0.0457906,0.0458502,0.0457906,0.0458502,0.335917,0.0151443,0.0107361,0.010453,2.27747e-05,0.0150847,0.0152434,0.0976351,0.0419151,0.0419226,0.102559,0.030047,0.226807,0.029104,0.157366,0.173638,0.145095,-0,-0,-0,-0,-0,-0,-0,-0,0.0402923,0.0357711,0.00472829,0.00473172,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0113026,0.00630077,0.0109391,-0,-0,-0,-0,-0,-0,-0,0.0159397,0.0045794,-0,-0,-0,
