time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
2.295,0.334666,0.334666,0.334666,0.334666,0.334666,0.334666,0.040699,0.040699,0.0663766,0.067362,0.0405773,0.0392933,0.098233,0.098233,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.334666,0.012719,0.0793084,0.0392603,3.89559e-05,0.012719,0.012719,0.012719,0.040699,0.040699,0.098233,0.012719,0.1023,0.0423534,0.074138,0.074138,0.074138,0,0,0,0,0,0,0,0,0.0173762,0.0161448,0.125123,0.116951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238772,0.127255,0.00271711,0,0,0,0,0,0,0,0.00686204,0.12613,0,0,0,
2.3,0.334666,0.334666,0.334666,0.334666,0.334666,0.334666,0.040699,0.040699,0.0964408,0.0986215,0.0186475,0.0219926,0.098233,0.098233,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.334666,0.012719,0.0376965,0.0215356,1.72829e-05,0.012719,0.012719,0.012719,0.040699,0.040699,0.098233,0.012719,0.14961,0.0318475,0.074138,0.074138,0.074138,0,0,0,0,0,0,0,0,0.025412,0.0236112,0.0558792,0.0518856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105932,0.0569162,0.00125412,0,0,0,0,0,0,0,0.0100355,0.0559853,0,0,0,
2.305,0.334666,0.334666,0.334666,0.334666,0.334666,0.334666,0.040699,0.040699,0.0871947,0.0890796,0.0251723,0.0273607,0.098233,0.098233,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.334666,0.012719,0.050357,0.0267508,2.39907e-05,0.012719,0.012719,0.012719,0.040699,0.040699,0.098233,0.012719,0.135277,0.0349968,0.074138,0.074138,0.074138,0,0,0,0,0,0,0,0,0.0229775,0.0213492,0.0771182,0.0720231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147046,0.0786872,0.00170705,0,0,0,0,0,0,0,0.00907407,0.0776778,0,0,0,
2.31,0.334666,0.334666,0.334666,0.334666,0.334666,0.334666,0.040699,0.040699,0.136273,0.139841,0.0104255,0.0178853,0.098233,0.098233,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.041887,0.334666,0.012719,0.0234435,0.016283,9.61434e-06,0.012719,0.012719,0.012719,0.040699,0.040699,0.098233,0.012719,0.212386,0.0334988,0.074138,0.074138,0.074138,0,0,0,0,0,0,0,0,0.0360748,0.0335184,0.0309947,0.0288635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589292,0.0322308,0.000757955,0,0,0,0,0,0,0,0.0142463,0.0311288,0,0,0,
2.315,0.334931,0.334931,0.334931,0.334931,0.334931,0.334931,0.040789,0.040789,0.125109,0.128328,0.0122864,0.0187601,0.098753,0.098753,0.042509,0.042509,0.042509,0.042509,0.042509,0.042509,0.042509,0.042509,0.042509,0.334931,0.013094,0.0267165,0.017345,1.14491e-05,0.013094,0.013094,0.013094,0.040789,0.040789,0.098753,0.013094,0.194901,0.0327463,0.076293,0.076293,0.076293,0,0,0,0,0,0,0,0,0.0331048,0.0307589,0.0368734,0.0343718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701751,0.0381261,0.000875515,0,0,0,0,0,0,0,0.0130734,0.0370693,0,0,0,
2.32,0.335173,0.335173,0.335173,0.335173,0.335173,0.335173,0.040934,0.040934,0.114158,0.117065,0.0126549,0.0183487,0.099312,0.099312,0.043166,0.043166,0.043166,0.043166,0.043166,0.043166,0.043166,0.043166,0.043166,0.335173,0.013491,0.0271234,0.0170995,1.18287e-05,0.013491,0.013491,0.013491,0.040934,0.040934,0.099312,0.013491,0.177783,0.0309291,0.078528,0.078528,0.078528,0,0,0,0,0,0,0,0,0.0302933,0.0280732,0.0380897,0.0355121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725014,0.039286,0.000893512,0,0,0,0,0,0,0,0.0119437,0.0382989,0,0,0,
2.325,0.33539,0.33539,0.33539,0.33539,0.33539,0.33539,0.041131,0.041131,0.137115,0.140707,0.0104413,0.0179514,0.099898,0.099898,0.043855,0.043855,0.043855,0.043855,0.043855,0.043855,0.043855,0.043855,0.043855,0.33539,0.013908,0.0234923,0.0163412,9.62407e-06,0.013908,0.013908,0.013908,0.041131,0.041131,0.099898,0.013908,0.213699,0.0336694,0.08084,0.08084,0.08084,0,0,0,0,0,0,0,0,0.0362979,0.0337256,0.0310288,0.0288927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589889,0.0322682,0.000759235,0,0,0,0,0,0,0,0.0143344,0.0311605,0,0,0,
2.33,0.33558,0.33558,0.33558,0.33558,0.33558,0.33558,0.041376,0.041376,0.109118,0.111812,0.0141974,0.0192193,0.100501,0.100501,0.044574,0.044574,0.044574,0.044574,0.044574,0.044574,0.044574,0.044574,0.044574,0.33558,0.014347,0.0297897,0.0182258,1.31941e-05,0.014347,0.014347,0.014347,0.041376,0.041376,0.100501,0.014347,0.16975,0.0310665,0.083224,0.083224,0.083224,0,0,0,0,0,0,0,0,0.0288329,0.0267896,0.0425758,0.0396103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808705,0.0436953,0.000983341,0,0,0,0,0,0,0,0.0113864,0.0427295,0,0,0,
2.335,0.335742,0.335742,0.335742,0.335742,0.335742,0.335742,0.041668,0.041668,0.116,0.118899,0.0154426,0.0208855,0.101106,0.101106,0.045321,0.045321,0.045321,0.045321,0.045321,0.045321,0.045321,0.045321,0.045321,0.335742,0.014807,0.0325201,0.0196567,1.45282e-05,0.014807,0.014807,0.014807,0.041668,0.041668,0.101106,0.014807,0.18058,0.0333336,0.085674,0.085674,0.085674,0,0,0,0,0,0,0,0,0.0306724,0.0284988,0.046748,0.0436154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890475,0.0480855,0.00107981,0,0,0,0,0,0,0,0.0121129,0.0470384,0,0,0,
2.34,0.335873,0.335873,0.335873,0.335873,0.335873,0.335873,0.042002,0.042002,0.14849,0.152603,0.000530801,0.01014,0.101701,0.101701,0.046093,0.046093,0.046093,0.046093,0.046093,0.046093,0.046093,0.046093,0.046093,0.335873,0.015287,0.00481157,0.0081891,0,0.015287,0.015287,0.015287,0.042002,0.042002,0.101701,0.015287,0.231761,0.0285528,0.088186,0.088186,0.088186,0,0,0,0,0,0,0,0,0.0393657,0.0365761,0.00015732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010207,0.000108204,0,0,0,0,0,0,0,0.0155459,1.09656e-06,0,0,0,
