time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
2.295,0.0276333,0.0236721,0.0227527,0.0228951,0.0229637,0.0246945,0.00498984,0.00575043,0.0115521,0.0128745,0.00666925,0.0114846,0.00839644,0.00938852,0.00499107,0.00500907,0.00837479,0.0115839,0.00514869,0.00490185,0.0082377,0.00531714,0.00503298,0.02601,0.00250955,0.014326,0.0170174,0,0.00339776,0.00154288,0.00934836,0.00495546,0.00909593,0.00917531,0.00334795,0.0105496,0.0100045,0.00872567,0.0105062,0.0100646,0.00253419,0,8.83407e-08,0.00212392,-8.27599e-08,0,0.00132991,0.00176182,0.00909078,0.00542782,0.0192096,0.0173178,0,0,0,-7.0722e-08,0.0062558,0,0,0,-1.19401e-07,0,7.57594e-08,0.00923136,0,0.0213805,0.0172421,0.000809326,0.00142507,0,0.00337883,0.00170881,0.00873656,0.00225035,0,0.00382283,0.018694,-8.06557e-08,-7.4925e-08,-7.93939e-08,
2.3,0.0337328,0.0229631,0.0380262,0.0296671,0.0438426,0.0386527,0.00813158,0.0030914,0.0116787,0.0132294,0.00665241,0.0114491,0.00852723,0.00953422,0.012146,0.0130951,0.025365,0.00458883,0.00923691,0.0203397,-0.0215888,-0.0065191,0.00557165,0.0289868,-0.00607613,0.0128796,0.0164937,0.00355223,-0.000986155,0.00017855,-0.00670957,0.00714517,0.012693,0.00959525,-0.000101556,0.011231,0.0101513,0.0114282,0.0132336,0.0131979,-0.00763433,-0.00410348,0.00346481,0.00463588,0.000126043,-0.00799364,0.00239283,0.000507066,0.00904957,0.0056107,0.0189681,0.016943,-0.000173195,-0.000146178,0.0071764,0.00584453,0.0116107,0.0106486,0.00895771,0.0105711,0.0300735,0.018276,0.0084477,0.0074128,-0.00366128,0.0191897,0.0162453,0.00322745,-0.00210377,-0.000432263,-0.00433339,0.00240815,0.00964321,0.00236985,-0.000284113,0.00409377,0.0184736,0.00152141,0.00154638,0.00140519,
2.305,0.036422,0.0224027,0.044739,0.034135,0.0511875,0.0444861,0.0100007,0.00217947,0.0116068,0.0132956,0.00655909,0.011472,0.00858066,0.00986682,0.0139802,0.0153733,0.0307059,0.00264889,0.0100552,0.0248163,-0.035673,-0.0125748,0.00520868,0.0306505,-0.0103442,0.0119967,0.0161696,0.00471786,-0.00208673,-0.000866238,-0.0122547,0.00850877,0.014014,0.00989261,-0.00247861,0.0114736,0.0102936,0.0129663,0.0149017,0.0151102,-0.011592,-0.00558296,0.00495671,0.00539742,0.000293218,-0.0100721,0.00298007,0.000861807,0.00895995,0.00566662,0.018749,0.0166227,-0.000212584,-0.000174214,0.00919027,0.00762249,0.0126856,0.0135588,0.0113535,0.0136188,0.039617,0.0236713,0.0107332,0.00724013,-0.00515343,0.0175109,0.0154455,0.00471917,-0.00454217,-0.000657513,-0.00783041,0.00277533,0.00984495,0.00244477,-0.000406442,0.00419366,0.0182733,0.00244233,0.0024774,0.00227186,
2.31,0.0371757,0.0220028,0.046195,0.0367732,0.0520036,0.0455683,0.0109396,0.00195235,0.0120889,0.0139979,0.00625008,0.0113211,0.00859351,0.01026,0.014066,0.015523,0.0319385,0.0022457,0.00982361,0.0251692,-0.0431511,-0.0159346,0.00452696,0.0315779,-0.0112817,0.0108492,0.0157905,0.00592695,-0.00401685,-0.00187996,-0.0158074,0.00926621,0.0144369,0.0100885,-0.00492479,0.0125995,0.0103947,0.0138087,0.0158717,0.0160819,-0.0129135,-0.00571867,0.00553499,0.00570454,0.000685831,-0.010548,0.00330768,0.000480102,0.00916003,0.00599981,0.0180055,0.0156626,-0.000234565,-0.000187702,0.0101636,0.0084058,0.0130684,0.0148822,0.0128522,0.0149397,0.043105,0.0265938,0.0126502,0.00719366,-0.00540685,0.0147541,0.0141348,0.00551233,-0.00538545,-0.000821128,-0.00892797,0.00297488,0.00992919,0.00250073,-0.000511478,0.0044414,0.0174761,0.0030979,0.00314633,0.00285461,
2.315,0.0370082,0.0217881,0.0460307,0.0379016,0.0517345,0.0448753,0.011277,0.00188405,0.0122756,0.0143176,0.00596512,0.0112506,0.0085223,0.0106774,0.0138134,0.0153271,0.0324366,0.00198571,0.00929049,0.024358,-0.0441229,-0.0172519,0.00378023,0.0321098,-0.0114461,0.0101594,0.0155348,0.00621894,-0.005005,-0.00234097,-0.0169178,0.00961371,0.0145941,0.0102171,-0.00665286,0.0131932,0.0104757,0.014355,0.0165324,0.0164003,-0.0130493,-0.00563577,0.00576273,0.00590685,0.00122658,-0.0104673,0.00351448,0.000685575,0.00920108,0.0061427,0.017424,0.0149263,-0.000357454,-0.000195611,0.0104955,0.00860283,0.0133138,0.0148086,0.0131451,0.0150053,0.0424979,0.0269739,0.013198,0.00716111,-0.00547299,0.0126587,0.0131635,0.00592196,-0.00529712,-0.000932711,-0.00953197,0.00309089,0.00998549,0.00255031,-0.00060985,0.00453057,0.0168583,0.00337963,0.00343419,0.00309851,
2.32,0.0365873,0.0217523,0.0458138,0.0381351,0.0516062,0.0439677,0.0113383,0.00182973,0.0123066,0.0144279,0.00581491,0.0112395,0.00824394,0.0110972,0.0135043,0.0150517,0.0325986,0.00172818,0.00869075,0.0232951,-0.044435,-0.0185115,0.00305842,0.0324135,-0.0113193,0.00978866,0.0153538,0.00608763,-0.00532956,-0.00243259,-0.0177816,0.0097219,0.0146649,0.010308,-0.00578455,0.0135046,0.0105258,0.0147948,0.0170703,0.0163583,-0.012776,-0.0054948,0.005938,0.00609116,0.00188601,-0.0101135,0.00367129,0.000442607,0.00913902,0.00614708,0.0171874,0.0146145,-0.000460057,-0.000194834,0.0105604,0.00861853,0.0135428,0.0145087,0.0130155,0.0148866,0.0416542,0.026611,0.013151,0.00713726,-0.00550843,0.0114988,0.0125795,0.0061321,-0.00528606,-0.00100291,-0.0100119,0.003164,0.010028,0.00259988,-0.000707249,0.00451544,0.0166244,0.00351505,0.00357377,0.00321156,
2.325,0.0361996,0.0218677,0.0455504,0.0381072,0.0513895,0.0431665,0.0112846,0.00179527,0.0125049,0.0147405,0.00570038,0.0112596,0.0080173,0.0115016,0.013173,0.0147644,0.0325316,0.00168132,0.00810898,0.0221675,-0.0444677,-0.0198229,0.00241167,0.0325687,-0.0110815,0.0094525,0.0151976,0.0057652,-0.00539686,-0.00240815,-0.0186484,0.00970049,0.0146948,0.01038,-0.00562366,0.0140792,0.0106453,0.0151932,0.017549,0.0161773,-0.0123539,-0.00532011,0.0061168,0.00627948,0.00253717,-0.00958898,0.00381037,0.000511478,0.00917272,0.00625311,0.0169267,0.0142768,-0.000535959,-0.000191232,0.010496,0.00855983,0.0137705,0.0141303,0.012767,0.0146929,0.0406458,0.0259392,0.0129113,0.00712038,-0.00553288,0.0104004,0.0120399,0.0062304,-0.0052746,-0.0010402,-0.0104638,0.00321289,0.010059,0.00265255,-0.00080682,0.00458103,0.0163585,0.0036024,0.00366406,0.00328349,
2.33,0.035923,0.0220971,0.0452228,0.0380278,0.0510651,0.0424829,0.0111762,0.00177849,0.0124256,0.0146978,0.0057302,0.0113368,0.00783237,0.0118826,0.012816,0.014477,0.0322961,0.00135701,0.00756787,0.0209941,-0.0442138,-0.0209101,0.00188006,0.0326164,-0.0108018,0.00936573,0.015093,0.00536066,-0.00534997,-0.00234463,-0.0195007,0.00960438,0.0146884,0.0104436,-0.00555092,0.0141693,0.0107139,0.0155743,0.0179933,0.0159879,-0.0118076,-0.00511755,0.00630232,0.00647201,0.00313436,-0.00893554,0.00394491,0.000379499,0.00903971,0.00616113,0.0170363,0.0143867,-0.000591207,-0.000185371,0.0103548,0.00845729,0.0139946,0.0136967,0.0124521,0.0144389,0.0394893,0.0250969,0.0125784,0.00710872,-0.00554771,0.010229,0.0118981,0.00625702,-0.0052513,-0.00105084,-0.0109032,0.00324582,0.0100785,0.00270971,-0.000910508,0.0044967,0.016508,0.00367629,0.0037479,0.00334479,
2.335,0.0357581,0.022407,0.0448417,0.0379165,0.0506061,0.0418897,0.0110372,0.00177625,0.012355,0.0146661,0.00581883,0.0114559,0.00768108,0.0122332,0.0124474,0.0141801,0.0319355,0.00202927,0.00708928,0.0197606,-0.0436559,-0.0214946,0.00151454,0.032579,-0.0104713,0.0093174,0.0150093,0.00492654,-0.0052424,-0.00226322,-0.0201962,0.00946084,0.014651,0.0105042,-0.00546684,0.0142498,0.0108353,0.0159491,0.0184133,0.0158502,-0.0110776,-0.00488959,0.00649225,0.00667045,0.00370475,-0.00820053,0.00408017,0.000350471,0.00892981,0.00609045,0.0171628,0.0145211,-0.000630375,-0.000177674,0.0101566,0.00832306,0.0142123,0.013213,0.0120741,0.0141302,0.0381949,0.0241253,0.0121684,0.00709862,-0.00555116,0.0101504,0.0118133,0.0062306,-0.00521352,-0.0010402,-0.0113197,0.00326587,0.0100862,0.00277156,-0.00101854,0.00444605,0.016675,0.00374718,0.00383653,0.00340401,
2.34,0.03568,0.0227689,0.0444012,0.0377761,0.0500162,0.0413417,0.0108789,0.00179569,0.0125993,0.0150401,0.00563888,0.0113264,0.00755673,0.0125512,0.012062,0.0138759,0.0314696,0.000257386,0.0066739,0.0184265,-0.0427859,-0.0215914,0.00134837,0.0324683,-0.0100826,0.00862456,0.0147408,0.00448889,-0.0050867,-0.00216939,-0.0205787,0.00928034,0.0145827,0.010564,-0.00535754,0.0148864,0.0108655,0.0163212,0.0188117,0.0157823,-0.0102228,-0.00463961,0.00668589,0.00687054,0.00426569,-0.00742219,0.00421816,0.000270929,0.00900165,0.00623038,0.0166708,0.0138836,-0.000657003,-0.000165669,0.00990726,0.00815912,0.0144206,0.0126687,0.0116289,0.0137708,0.0367753,0.0230338,0.0116789,0.00709201,-0.00554178,0.00871837,0.0111276,0.00615966,-0.00516042,-0.0010131,-0.0117033,0.00327466,0.0100823,0.0028378,-0.00113054,0.00453755,0.0161227,0.00381735,0.00393229,0.00346261,
