time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.10444,1.07289,0.956159,1.03019,0.925921,0.877536,1.06046,1.04371,0.966616,0.957153,1.20002,1.04844,1.0346,1.02206,0.87121,0.891965,0.998571,1.03299,0.923085,0.813604,1.00308,0.965465,0.803706,1.20702,0.983287,1.18458,1.21566,0.538804,1.02896,0.841292,1.03411,1.05782,1.17562,1.07981,0.82609,0.982295,1.20186,0.820763,0.838987,0.844058,1.14006,1.08979,1.00779,1.08079,0.907615,0.837915,1.15431,1.05679,0.952516,0.961479,1.17831,1.0763,1.01704,1.08057,0.875945,0.901138,1.03522,0.961265,0.90527,0.849976,0.926238,0.899077,0.753776,1.25968,0.959537,1.18594,1.22086,0.445909,1.01972,0.72412,1.03427,1.13585,1.22179,1.04844,0.8536,0.975322,1.17541,0.791301,0.808826,0.816236,
3.605,1.10444,1.07289,0.956159,1.03019,0.925921,0.877536,1.06046,1.04371,0.966616,0.957153,1.20002,1.04844,1.0346,1.02206,0.87121,0.891965,0.998571,1.03299,0.923085,0.813604,1.00308,0.965465,0.803706,1.20702,0.983287,1.18458,1.21566,0.538804,1.02896,0.841291,1.03411,1.05782,1.17562,1.07981,0.82609,0.982295,1.20186,0.820763,0.838987,0.844058,1.14006,1.08979,1.00779,1.08079,0.907615,0.837915,1.15431,1.05679,0.952516,0.961479,1.17831,1.0763,1.01704,1.08057,0.875945,0.901138,1.03522,0.961265,0.90527,0.849976,0.926238,0.899077,0.753776,1.25968,0.959537,1.18594,1.22086,0.445909,1.01972,0.72412,1.03427,1.13585,1.22179,1.04844,0.8536,0.975322,1.17541,0.791301,0.808826,0.816236,
3.61,1.1041,1.07138,0.958608,1.03349,0.927842,0.877955,1.06349,1.04154,0.965765,0.956747,1.20067,1.04892,1.03439,1.0219,0.873344,0.894314,1.00207,1.03376,0.92579,0.817682,1.00308,0.966114,0.806668,1.20761,0.980928,1.18316,1.21483,0.543727,1.02826,0.839991,1.03277,1.06018,1.17755,1.08032,0.823825,0.982244,1.20272,0.821986,0.840198,0.845163,1.12765,1.08619,1.00877,1.08288,0.907718,0.837039,1.15624,1.05603,0.951932,0.961253,1.17867,1.0766,1.01697,1.08044,0.877921,0.903124,1.03768,0.963779,0.908504,0.853448,0.928473,0.902258,0.758608,1.25932,0.958165,1.18523,1.22045,0.449629,1.01925,0.723101,1.0337,1.13758,1.22308,1.04869,0.852808,0.975292,1.17587,0.791921,0.809434,0.8168,
3.615,1.10379,1.06972,0.961582,1.03784,0.930184,0.878697,1.0677,1.04103,0.964778,0.956301,1.20158,1.04967,1.03408,1.02164,0.876042,0.897285,1.00666,1.03466,0.929166,0.822532,1.00307,0.967089,0.810328,1.20829,0.977474,1.18136,1.2137,0.548705,1.02706,0.838191,1.0307,1.06351,1.17981,1.08107,0.81918,0.982185,1.20392,0.823786,0.841993,0.846869,1.13353,1.08334,1.0102,1.08542,0.907883,0.835729,1.15878,1.0552,0.951282,0.961014,1.17917,1.07704,1.01684,1.08025,0.880493,0.905746,1.0406,0.966958,0.912458,0.857498,0.931305,0.906014,0.764158,1.25894,0.955885,1.18435,1.21989,0.453622,1.01802,0.721854,1.03251,1.13988,1.22454,1.04907,0.85185,0.975254,1.17653,0.792746,0.810214,0.817578,
3.62,1.10352,1.06814,0.964869,1.04248,0.932783,0.8796,1.07235,1.03877,0.963696,0.955834,1.20261,1.05057,1.03369,1.0213,0.879008,0.900588,1.01173,1.03555,0.932977,0.828027,1.00304,0.968149,0.81472,1.20901,0.973853,1.17946,1.21246,0.556124,1.02529,0.835951,1.0284,1.06724,1.18214,1.08193,0.813357,0.982111,1.20525,0.826275,0.844487,0.849187,1.13324,1.07938,1.01174,1.08808,0.908133,0.834354,1.16151,1.05438,0.950601,0.960765,1.17974,1.07755,1.01668,1.08002,0.883361,0.908699,1.04364,0.970555,0.916963,0.862058,0.934211,0.910298,0.770809,1.25856,0.95343,1.18342,1.21928,0.459871,1.01613,0.720423,1.03115,1.14239,1.22603,1.04953,0.850756,0.975201,1.17726,0.794074,0.811493,0.818808,
3.625,1.10329,1.0666,0.968304,1.04723,0.935526,0.880581,1.07718,1.03827,0.962539,0.955351,1.20368,1.05153,1.03328,1.02092,0.88204,0.903977,1.01693,1.03638,0.936862,0.833593,1.00296,0.969158,0.819237,1.20976,0.970184,1.17754,1.21118,0.564692,1.02317,0.833284,1.02601,1.07113,1.1845,1.08285,0.807073,0.982018,1.20664,0.829035,0.847262,0.851737,1.11624,1.07702,1.01332,1.09079,0.908434,0.832959,1.16431,1.05353,0.949901,0.960501,1.18033,1.07809,1.01649,1.07979,0.886326,0.911746,1.04674,0.974281,0.921654,0.866849,0.937176,0.914741,0.77785,1.25819,0.950928,1.18249,1.21866,0.467338,1.01418,0.718848,1.02974,1.14497,1.22754,1.05004,0.849551,0.975125,1.17802,0.795658,0.813037,0.820264,
3.63,1.10311,1.0651,0.971838,1.05206,0.938374,0.881626,1.08209,1.03608,0.96132,0.954849,1.20477,1.05254,1.03285,1.0205,0.88509,0.907398,1.02218,1.03714,0.940738,0.83916,1.00281,0.970086,0.823709,1.21055,0.966477,1.17562,1.20989,0.573764,1.02106,0.830331,1.02355,1.0751,1.18688,1.08381,0.80052,0.981899,1.20804,0.831913,0.85016,0.854387,1.1254,1.07144,1.01494,1.09355,0.908765,0.831549,1.16716,1.05267,0.949186,0.960217,1.18093,1.07865,1.01628,1.07954,0.889349,0.914844,1.04987,0.978077,0.926446,0.871763,0.940226,0.919262,0.785091,1.25782,0.948389,1.18158,1.21805,0.475472,1.0122,0.717166,1.0283,1.14759,1.22905,1.05058,0.848256,0.975018,1.17879,0.797377,0.81472,0.821836,
3.635,1.10298,1.06365,0.975456,1.05694,0.941319,0.882738,1.08706,1.03537,0.960049,0.954326,1.20586,1.05356,1.0324,1.02006,0.88815,0.91084,1.02747,1.03783,0.944583,0.844727,1.00255,0.970921,0.828084,1.21138,0.962727,1.17371,1.2086,0.583045,1.01891,0.827197,1.02102,1.07912,1.18929,1.08482,0.793735,0.981747,1.20945,0.834861,0.853132,0.857098,1.12616,1.07065,1.0166,1.09635,0.909119,0.83012,1.17005,1.05177,0.948455,0.959907,1.18153,1.07921,1.01606,1.07929,0.892426,0.917986,1.05305,0.981936,0.931319,0.876773,0.943375,0.92386,0.792481,1.25744,0.94581,1.1807,1.21746,0.484017,1.01017,0.715406,1.02682,1.15023,1.23058,1.05116,0.846887,0.974872,1.17955,0.799182,0.816495,0.823484,
3.64,1.1029,1.06225,0.979158,1.06189,0.944367,0.883921,1.09208,1.03341,0.958733,0.953779,1.20695,1.0546,1.03195,1.01961,0.891216,0.9143,1.03282,1.03844,0.948392,0.850295,1.00219,0.971658,0.832346,1.21226,0.95893,1.17181,1.20733,0.592398,1.01674,0.823942,1.01844,1.08317,1.19173,1.08586,0.786713,0.981559,1.21086,0.837867,0.856166,0.859861,1.11769,1.0638,1.01829,1.09921,0.909498,0.82867,1.17297,1.05085,0.947706,0.959566,1.18213,1.07977,1.01583,1.07904,0.895561,0.921177,1.05627,0.98586,0.936274,0.881877,0.946615,0.928542,0.800008,1.25706,0.943187,1.17985,1.21689,0.492859,1.0081,0.713591,1.02529,1.15289,1.23211,1.05178,0.845458,0.97468,1.18032,0.801062,0.818347,0.825199,
3.645,1.10289,1.0609,0.982945,1.06692,0.947519,0.88518,1.09715,1.03223,0.957377,0.953205,1.20804,1.05564,1.03149,1.01914,0.894289,0.917778,1.03823,1.03896,0.952161,0.855865,1.00174,0.972294,0.836486,1.21319,0.955083,1.16994,1.20607,0.601757,1.01453,0.820601,1.01579,1.08725,1.1942,1.08693,0.779447,0.981328,1.21227,0.840932,0.859261,0.862678,1.12081,1.06381,1.02002,1.10212,0.909903,0.827202,1.17592,1.04988,0.946938,0.959189,1.18272,1.08034,1.0156,1.0788,0.898757,0.92442,1.05954,0.98985,0.941313,0.88708,0.949941,0.933311,0.807674,1.25668,0.940513,1.17903,1.21635,0.501953,1.00598,0.711741,1.02372,1.15557,1.23366,1.05245,0.843976,0.974434,1.18107,0.803017,0.820276,0.826983,
