iteration,loss,learning rate,
1,1698.53,0.02,
2,1571.93,0.02,
3,1453.49,0.02,
4,1355.37,0.02,
5,1280.61,0.02,
6,1222.59,0.02,
7,1173.33,0.02,
8,1136.89,0.02,
9,1111.64,0.02,
10,1094.2,0.02,
11,1077.32,0.02,
12,1060.32,0.02,
13,1041.3,0.02,
14,1022.48,0.02,
15,1004.89,0.02,
16,987.531,0.02,
17,969.681,0.02,
18,952.747,0.02,
19,936.191,0.02,
20,919.93,0.02,
21,907.004,0.02,
22,893.086,0.02,
23,885.004,0.02,
24,874.662,0.02,
25,861.248,0.02,
26,848.198,0.02,
27,834.726,0.02,
28,823.091,0.02,
29,820.893,0.02,
30,804.702,0.02,
31,803.042,0.02,
32,794.284,0.02,
33,787.607,0.02,
34,781.584,0.02,
35,776.136,0.02,
36,893.139,0.02,
37,768.466,0.02,
38,883.762,0.02,
39,764.795,0.02,
40,760.5,0.02,
41,759.909,0.02,
42,754.477,0.02,
43,751.03,0.02,
44,747.211,0.02,
45,772.501,0.02,
46,766.719,0.02,
47,783.398,0.02,
48,746.826,0.02,
49,744.976,0.02,
50,741.811,0.02,
51,737.107,0.02,
52,733.485,0.02,
53,731.645,0.02,
54,729.901,0.02,
55,728.248,0.02,
56,726.386,0.02,
57,723.808,0.02,
58,720.732,0.02,
59,717.604,0.02,
60,715.755,0.02,
61,713.536,0.02,
62,711.025,0.02,
63,708.858,0.02,
64,706.498,0.02,
65,704.721,0.02,
66,706.035,0.02,
67,703.272,0.02,
68,699.908,0.02,
69,700.037,0.02,
70,698.364,0.02,
71,697.01,0.02,
72,695.286,0.02,
73,694.285,0.02,
74,691.938,0.02,
75,689.529,0.02,
76,692.839,0.02,
77,690.733,0.02,
78,691.544,0.02,
79,694.405,0.02,
80,690.889,0.02,
81,690.38,0.02,
82,688.99,0.02,
83,687.487,0.02,
84,685.958,0.02,
85,681.567,0.02,
86,682.181,0.02,
87,679.571,0.02,
88,680.467,0.02,
89,679.117,0.02,
90,678.263,0.02,
91,674.852,0.02,
92,673.475,0.02,
93,672.021,0.02,
94,774.704,0.02,
95,772.308,0.02,
96,691.444,0.02,
97,687.524,0.02,
98,688.758,0.02,
99,688.978,0.02,
100,688.032,0.02,
101,688.48,0.02,
102,689.934,0.02,
103,687.768,0.02,
104,686.122,0.02,
105,684.421,0.02,
106,681.877,0.02,
107,679.327,0.02,
108,677.907,0.02,
109,678.46,0.02,
110,677.977,0.02,
111,676.702,0.02,
112,673.657,0.02,
113,709.146,0.02,
