time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-10.3212,-59.5243,1.91094,11.2033,6.5107,-4.78897,-18.8128,-8.78234,-54.6469,-56.2064,-65.5345,-73.931,54.2854,47.2398,-6.32733,-11.3258,26.7721,41.0313,-79.5663,-78.3461,
3.605,-11.3166,-58.3305,2.98981,11.8773,7.98333,-4.54661,-21.6207,-9.4878,-54.5327,-56.9056,-65.8501,-74.6088,53.6748,46.1822,-5.46208,-11.071,32.3939,41.1561,-80.1429,-78.3803,
3.61,-28.7764,-57.0721,15.9822,7.89473,7.34065,-3.80288,-25.8962,-14.4172,-50.6424,-52.8273,-72.5632,-72.6825,55.8813,48.2811,-3.93283,-11.4467,37.3577,39.8009,-77.8972,-77.4692,
3.615,-38.1686,-55.7889,19.2558,9.91072,8.60487,-3.90769,-28.5254,-15.0343,-49.167,-52.46,-73.4015,-71.7814,50.8103,45.4097,-3.16374,-11.4674,42.0978,37.9164,-77.5756,-76.3983,
3.62,-44.4241,-53.88,19.5754,10.1262,9.53989,-4.32697,-26.3258,-16.4962,-48.7107,-51.1775,-75.4845,-72.4872,48.2411,48.3986,-2.73988,-12.0976,41.3467,37.3034,-78.7211,-75.2701,
3.625,-48.8055,-52.4326,20.07,10.5586,10.1331,-4.15128,-25.1206,-18.6764,-46.3096,-48.6426,-76.8472,-71.6907,46.7444,46.7711,-2.47383,-11.8773,37.178,35.3275,-77.1339,-73.9309,
3.63,-52.1464,-53.3774,20.6485,12.2707,10.3212,-3.73243,-24.8274,-18.6687,-44.3876,-47.6566,-77.9865,-72.786,45.6704,44.3704,-2.27944,-11.9689,36.1664,33.8885,-74.7781,-72.5613,
3.635,-55.6197,-53.9092,21.8127,14.1946,11.4406,-3.41134,-20.7084,-18.6016,-43.3698,-46.5311,-78.9024,-73.6491,37.8608,42.5978,-2.50585,-12.1266,31.2634,32.1378,-68.3662,-71.0253,
3.64,-61.6728,-51.3193,20.0013,12.9956,13.1656,-3.91995,-56.7195,-21.5004,-59.56,-42.8994,-83.9989,-74.626,37.2935,41.2409,-1.06623,-11.5759,32.9152,30.9766,-68.7471,-70.1031,
3.645,-61.2709,-51.321,22.2179,14.9896,11.1362,-4.24474,-29.747,-20.4335,-39.0236,-42.4966,-82.6336,-76.533,43.0004,44.0662,-1.68311,-12.4397,32.2617,30.9379,-70.6846,-69.5734,
3.65,-63.4477,-51.6597,22.3741,14.0936,10.8875,-3.94537,-27.6712,-22.0856,-37.6236,-39.7733,-82.011,-77.1248,41.5227,39.6877,-1.48243,-11.8654,30.1854,28.701,-67.5835,-67.6382,
3.655,-65.7285,-53.19,22.4478,14.0453,10.7815,-4.0267,-26.6487,-21.284,-37.7689,-38.9919,-82.9778,-79.2805,40.7447,41.1047,-1.28864,-11.9941,30.1443,28.7929,-67.3611,-67.4049,
3.66,-68.8182,-55.8664,24.113,13.8483,11.4951,-3.25779,-23.0887,-21.4553,-36.3307,-37.7208,-86.0552,-79.829,35.0019,39.1297,-1.73229,-12.1316,28.7479,27.2016,-64.2776,-65.9787,
