time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,9.96452,4.46595,0,0,0,0,494.348,250.56,97.1661,34.1146,158.668,28.1152,0.191886,92.7623,444.923,632.493,455.943,7.48092,0,0,0.70036,0.016316,0,14.3433,226.778,35.8214,18.693,0,707.155,0,0,777.653,269.131,1298.77,1.00146,287.787,99.632,1730.04,0,0,10.2308,21.4278,0,22.8487,0.288776,288.319,1272.22,409.889,78.8907,28.1678,45.5681,97.2575,389.068,613.858,469.007,675.782,472.536,0,0,0,0.253469,0,0,13.6148,484.468,41.6917,170.835,0,716.684,0,0,294.993,105.06,925.537,0.0699063,332.067,234.816,0,1320.71,672.958,
3.605,9.96249,4.46595,0,0,0,0,500.662,250.485,127.862,49.6998,157.711,28.6634,0,94.0454,444.723,632.218,455.743,7.48523,1.23479,2.32167,0.698857,0.0295328,0.151135,14.617,369.908,36.3974,19.0702,0,731.01,0,0,790.504,269.131,1301.12,1.00147,362.136,101.062,1773.88,0,0,9.91527,20.8682,0,22.8601,0.288776,277.817,1279.51,602.06,109.378,40.1204,46.1744,98.4596,390.066,614.878,470.019,676.908,472.367,0,0.847067,4.14515,0.252994,0,0.330281,13.6055,480.028,42.7011,171.557,0.285997,710.923,0,0,296.675,105.054,931.193,0.0691275,416.56,236.33,9.02984,1318.73,671.69,
3.61,9.65441,2.00819,10.9051,12.7231,8.17961,1.58756,536.423,240.851,131.563,51.5604,158.247,30.1552,6.63297,92.3107,493.995,704.13,536.411,9.35919,3.84603,7.46965,0.700774,0.345062,1.23302,14.7349,346.628,34.4974,17.7323,4.42442,700.78,0,0,838.859,282.653,1325.13,0.0569425,380.046,105.869,1886.2,14.7501,6.20207,7.77974,14.132,3.68493,33.5456,0.831051,234.718,1339.07,644.815,114.074,41.7953,47.1003,100.816,389.113,612.321,519.122,745.351,520.468,5.04537,4.18764,7.01681,1.3919,1.534,2.48001,13.4346,440.94,41.9875,170.63,2.38014,666.717,0,0,312.608,110.004,946.668,0.014997,430.546,241.824,6.02528,1446.79,735.275,
3.615,9.61267,2.7012,13.117,16.4071,10.0474,2.85743,568.917,233.705,138.163,55.7234,158.915,31.3862,0.212835,91.1233,524.837,751.93,588.857,9.89425,5.27811,8.59148,0.677718,0.481556,2.06718,14.7701,344.856,33.0799,16.7118,4.71399,675.666,0,0,883.02,293.182,1347.1,0.0350151,401.58,110.149,1979.96,21.4202,9.59152,7.00209,10.6042,5.62625,38.0473,1.24179,225.426,1388.79,713.3,122.416,45.0078,47.9962,102.827,388.528,610.761,551.287,789.921,552.626,6.3949,5.85473,7.31622,1.64793,1.80833,3.74909,13.3726,413.464,41.272,169.84,6.0157,635.275,0,0,326.488,113.104,958.857,0,448.345,246.375,14.4206,1520.36,768.814,
3.62,9.5883,1.6465,14.5138,20.3599,11.244,4.07889,598.594,228.31,144.062,59.3955,159.429,32.0621,0.0445285,89.6895,543.287,782.434,620.694,10.1284,5.37958,8.60581,0.639988,0.483605,2.23885,14.8529,343.487,31.9055,15.945,7.05767,648.983,0,0,923.337,301.225,1362.48,0,420.951,113.458,2058.6,31.134,13.5141,6.45076,10.2827,6.42239,41.124,1.64218,228.703,1428.65,766.574,129.832,47.7609,48.7686,104.342,388.557,609.903,571.68,818.008,573.573,7.2609,6.18589,7.33178,1.67412,2.05747,4.04039,13.3261,396.257,40.5093,168.96,8.15929,615.717,0,0,338.08,115.06,965.914,0,464.412,249.779,20.9672,1563.91,787.408,
3.625,9.57404,2.19143,15.2279,21.6749,11.7901,4.24713,625.811,224.182,149.43,62.7544,159.762,32.4318,0.0145801,87.8695,554.209,801.869,639.253,10.2745,5.29935,8.29361,0.58895,0.455671,2.21963,14.9631,341.962,30.8091,15.3458,8.18388,625.282,0,0,960.446,307.379,1372.82,0,438.66,116.038,2124.78,35.3942,15.1422,6.23353,10.7906,6.66692,43.9721,1.74499,233.897,1461.34,808.514,136.501,50.1617,49.4327,105.44,389.017,609.559,585.186,836.42,587.271,7.53054,6.3116,7.36388,1.69439,2.14199,4.11867,13.2822,385.929,39.769,167.902,9.24545,604.603,0,0,347.841,116.385,969.302,0,478.982,252.308,22.9938,1592.38,799.082,
3.63,9.57244,1.3996,15.6781,22.2875,12.2005,4.28252,650.816,220.959,154.192,65.7497,160.062,32.6454,0,86.0736,561.192,814.999,650.19,10.3852,5.21978,8.12093,0.550119,0.418935,2.15665,15.087,340.189,29.8465,14.9024,8.72337,605.691,0,0,994.734,312.07,1381.09,0,454.601,118.161,2180.89,37.3381,15.8666,6.09364,10.959,6.82287,46.9021,1.78683,238.982,1488.86,837.236,142.727,52.1674,50.0294,106.324,390.084,609.904,594.234,848.611,596.457,7.67806,6.40748,7.43618,1.72413,2.18121,4.16196,13.2372,379.819,39.1361,166.864,9.80774,598.496,0,0,356.092,117.354,971.491,0,492.178,254.438,24.0541,1613.76,807.834,
3.635,9.58288,1.70799,16.0555,22.7373,12.6004,4.39171,673.81,218.377,158.305,68.3621,160.183,32.7297,0,84.2686,565.69,823.685,656.496,10.4597,5.26278,8.29019,0.473371,0.383954,2.10236,15.2414,338.137,29.0008,14.5655,8.99218,590.472,0,0,1026.48,315.653,1385.75,0,468.85,119.655,2228.72,38.4725,16.3064,5.89388,11.1341,6.97743,49.9949,1.88043,240.695,1512.56,852.235,148.537,53.7651,50.5219,106.886,390.818,609.638,601.16,857.779,602.676,7.81049,6.588,7.95153,1.76319,2.21968,4.2462,13.1886,375.265,38.6369,165.828,10.169,593.84,0,0,363.088,118.127,972.143,0,504.076,255.777,25.4912,1632.26,815.552,
3.64,9.60597,1.22466,16.4321,23.1678,13.0423,4.5843,694.991,216.245,161.752,70.5698,160.345,32.7806,0,82.8052,568.754,829.981,661.009,10.5146,5.17583,8.21672,0.488239,0.336414,2.03783,15.3705,335.825,28.3287,14.2983,9.13493,578.565,0,0,1055.88,318.418,1392.02,0,481.552,121.009,2270.43,39.3763,16.6797,5.62632,10.9755,7.14948,53.2756,1.98402,238.566,1533.39,854.5,153.941,54.9391,50.9641,107.405,391.063,608.732,606.817,865.149,607.678,7.94565,6.66315,7.8981,1.80335,2.26121,4.30559,13.1356,370.587,38.2292,164.986,10.4272,588.549,0,0,369.051,118.79,974.113,0,514.743,257.082,26.1116,1650.06,823.169,
3.645,9.64398,1.31901,16.8265,23.7429,13.504,4.83441,714.452,214.416,164.513,72.3579,160.456,32.7986,0,81.5177,571.066,835.046,664.46,10.537,5.08734,8.13104,0.157315,0.292599,1.96981,15.5127,333.303,27.7865,14.1035,9.21281,569.133,0,0,1083.14,320.536,1397.95,0,492.842,122.071,2306.53,40.2446,17.0555,5.38807,10.7667,7.34341,56.7578,2.10401,237.063,1552.09,845.701,158.971,55.6899,51.3465,107.799,391.282,607.822,611.576,871.375,611.739,8.08562,6.75616,7.92154,1.84308,2.30368,4.36515,13.0822,366.43,37.9155,164.29,10.6481,583.708,0,0,374.148,119.39,976.606,0,524.227,258.054,26.919,1668.32,831.163,
