time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.08529,1.04394,0.917297,0.967215,0.884373,0.840302,1.24989,1.19059,0.9097,1.00716,1.14409,1.14049,0.936672,0.933417,0.879806,0.857717,1.09018,1.08146,0.914289,0.774306,1.05933,1.00749,0.691547,1.17227,0.985994,1.0971,1.16666,0.547266,1.04314,0.498846,1.10447,0.976933,1.12157,0.949387,0.87805,0.967401,1.15321,0.909845,0.735825,0.745893,1.04635,0.988647,0.904215,0.951983,0.855745,0.832038,1.21425,1.11118,1.1086,1.07117,1.21185,1.12557,0.883312,0.797459,0.857592,0.834955,1.05923,0.945026,0.866631,0.849938,0.926044,0.873369,0.723161,1.16516,0.951803,1.01535,1.09103,0.325894,1.03213,0.832711,1.12063,0.980839,1.12001,0.976987,0.956619,0.909644,1.18902,0.768921,0.884273,0.861575,
3.605,1.08529,1.04393,0.916821,0.96712,0.884042,0.840415,1.24989,1.19059,0.909929,1.00771,1.14393,1.14061,0.936202,0.932953,0.879806,0.857717,1.09018,1.08146,0.913202,0.773809,1.05932,1.00703,0.690617,1.17227,0.986008,1.09699,1.16672,0.547266,1.04176,0.497462,1.10448,0.976933,1.12157,0.950053,0.874343,0.967936,1.1529,0.908996,0.735829,0.7459,1.04635,0.988627,0.90462,0.952004,0.855325,0.832144,1.21343,1.10888,1.10905,1.07184,1.21147,1.12501,0.882856,0.796973,0.857592,0.834955,1.05923,0.945026,0.866477,0.848947,0.926044,0.873369,0.721827,1.16507,0.950739,1.01215,1.08797,0.325894,1.03044,0.832672,1.1197,0.980142,1.11834,0.977613,0.952104,0.910161,1.18859,0.768508,0.884273,0.861575,
3.61,1.08495,1.0418,0.918896,0.969858,0.885796,0.841381,1.2532,1.18927,0.911806,1.01112,1.14558,1.1426,0.933898,0.931315,0.882019,0.860008,1.09459,1.08237,0.917373,0.777486,1.05933,1.00904,0.692609,1.17284,0.984373,1.09683,1.16728,0.551936,1.03912,0.496182,1.10307,0.978581,1.12343,0.954121,0.870475,0.9715,1.15552,0.912678,0.737642,0.747632,1.04525,0.987378,0.906982,0.953571,0.855329,0.830096,1.2139,1.10611,1.11264,1.07569,1.21055,1.1236,0.881131,0.79558,0.859544,0.836781,1.06187,0.947512,0.869846,0.853627,0.92828,0.876492,0.727841,1.1647,0.94854,1.00847,1.08474,0.329317,1.02758,0.83224,1.11765,0.980453,1.11763,0.981102,0.946382,0.913547,1.18761,0.769737,0.884933,0.862174,
3.615,1.08464,1.04062,0.921725,0.974014,0.888061,0.842722,1.2573,1.18784,0.91345,1.01575,1.1482,1.14515,0.930752,0.928672,0.884829,0.862936,1.09994,1.08336,0.923544,0.781991,1.05928,1.01121,0.695337,1.1735,0.980474,1.0962,1.16745,0.556777,1.03638,0.495014,1.10099,0.980291,1.12562,0.96266,0.866453,0.976384,1.15977,0.91792,0.740214,0.750004,1.04333,0.984196,0.910358,0.955926,0.855585,0.829922,1.21546,1.10357,1.11881,1.08113,1.20861,1.12096,0.878431,0.793139,0.862103,0.83923,1.06492,0.95067,0.874059,0.860372,0.931147,0.880169,0.738876,1.16435,0.94601,1.00497,1.0818,0.333216,1.02466,0.831503,1.11575,0.981598,1.11786,0.987847,0.940409,0.917992,1.18551,0.770746,0.885762,0.86299,
3.62,1.08437,1.03874,0.924776,0.978618,0.890455,0.844181,1.26162,1.18639,0.912845,1.01525,1.15067,1.14692,0.928061,0.926371,0.887937,0.866203,1.10535,1.08431,0.928288,0.786633,1.05918,1.01268,0.69842,1.1742,0.976499,1.0949,1.16685,0.563903,1.03361,0.493801,1.09865,0.983289,1.12788,0.97192,0.862278,0.976023,1.16307,0.92184,0.743093,0.752608,1.04123,0.980958,0.912629,0.958531,0.85601,0.829483,1.21779,1.1013,1.11998,1.08098,1.20687,1.1188,0.876169,0.791102,0.864964,0.841985,1.06809,0.954247,0.878562,0.866484,0.934093,0.88435,0.747571,1.16402,0.943354,1.00174,1.07927,0.339231,1.02171,0.830526,1.11386,0.98334,1.11888,0.994995,0.934316,0.917987,1.18369,0.77013,0.887139,0.864291,
3.625,1.08415,1.03747,0.927953,0.983399,0.892957,0.845548,1.26603,1.18493,0.912133,1.01497,1.1526,1.14811,0.925919,0.924493,0.891117,0.869554,1.11078,1.08519,0.932673,0.791475,1.059,1.01384,0.701671,1.17493,0.972487,1.09316,1.16578,0.57207,1.03089,0.492413,1.09616,0.98705,1.13018,0.977536,0.857947,0.976236,1.16523,0.925233,0.74611,0.75531,1.03908,0.977694,0.914281,0.961236,0.856538,0.828363,1.22059,1.09933,1.12022,1.08117,1.20557,1.11719,0.874427,0.789537,0.867922,0.844827,1.07131,0.957952,0.883208,0.87154,0.937087,0.888701,0.755461,1.16371,0.940667,0.998868,1.07721,0.346366,1.01878,0.829359,1.11199,0.985495,1.12052,0.999097,0.928223,0.918093,1.18232,0.769985,0.888809,0.865834,
3.63,1.08397,1.03585,0.931252,0.988281,0.895577,0.846791,1.2705,1.18344,0.911349,1.01388,1.15432,1.14911,0.924838,0.923537,0.894316,0.872936,1.11622,1.086,0.937201,0.796494,1.05874,1.01489,0.704996,1.17571,0.968436,1.09147,1.16463,0.580678,1.02822,0.49079,1.09359,0.991224,1.1325,0.981424,0.853458,0.97569,1.16695,0.928529,0.749207,0.758072,1.0369,0.974401,0.915592,0.963998,0.857128,0.827019,1.22365,1.09766,1.11938,1.08047,1.20524,1.1168,0.873723,0.788995,0.870938,0.847714,1.07457,0.961728,0.88795,0.876335,0.940143,0.89313,0.76306,1.16341,0.938003,0.996377,1.07566,0.354119,1.01587,0.828044,1.11015,0.987937,1.12255,1.0027,0.922212,0.917432,1.18204,0.770851,0.890634,0.867503,
3.635,1.08384,1.03452,0.934677,0.993252,0.898331,0.847674,1.27503,1.18194,0.912107,1.01518,1.14812,1.14438,0.923936,0.921922,0.897525,0.876338,1.12167,1.08671,0.925686,0.801634,1.05839,1.01021,0.708345,1.17653,0.964338,1.08573,1.15905,0.589474,1.0256,0.488929,1.09095,0.995628,1.13485,0.966238,0.848804,0.977673,1.15639,0.908714,0.752366,0.760883,1.03469,0.971073,0.91793,0.96685,0.857762,0.825355,1.22683,1.09627,1.11865,1.08182,1.20422,1.11504,0.872568,0.787351,0.874008,0.850643,1.07788,0.965563,0.892709,0.866481,0.943288,0.897637,0.743491,1.16311,0.935352,0.99428,1.07454,0.362269,1.01301,0.826612,1.10832,0.99059,1.12479,0.995213,0.916348,0.918812,1.1806,0.768462,0.892561,0.869254,
3.64,1.08377,1.03311,0.938234,0.998312,0.901223,0.848832,1.27962,1.1804,0.910202,1.01029,1.14938,1.14583,0.92487,0.922465,0.90074,0.879758,1.12716,1.08734,0.93667,0.806849,1.05794,1.01266,0.711689,1.17739,0.960189,1.08402,1.15854,0.598298,1.02301,0.486846,1.08824,1.00017,1.13722,0.986016,0.843981,0.973057,1.16029,0.930615,0.755587,0.763746,1.03244,0.967707,0.918275,0.969707,0.858417,0.823977,1.23009,1.09513,1.1161,1.07748,1.20539,1.11645,0.87363,0.788354,0.877135,0.853618,1.08123,0.969464,0.89755,0.876712,0.946525,0.902227,0.770401,1.16279,0.932755,0.992587,1.07386,0.370721,1.0102,0.82509,1.10649,0.993402,1.12711,0.998201,0.910674,0.91471,1.18183,0.770731,0.894574,0.871077,
3.645,1.08376,1.03182,0.94192,1.00347,0.904247,0.850111,1.28426,1.17883,0.90835,1.00878,1.15332,1.14937,0.926,0.923511,0.903963,0.883197,1.13271,1.08789,0.946517,0.812113,1.05738,1.01597,0.715005,1.1783,0.955985,1.08376,1.15942,0.607117,1.02045,0.484579,1.08547,1.00481,1.13962,0.988113,0.838982,0.971886,1.16634,0.937005,0.758874,0.766666,1.03015,0.964299,0.919189,0.972629,0.859082,0.8226,1.23338,1.09419,1.11406,1.07615,1.20811,1.11954,0.875254,0.790262,0.880324,0.856641,1.08464,0.973432,0.90249,0.88719,0.94985,0.906902,0.783462,1.16247,0.930183,0.991292,1.07361,0.379442,1.00746,0.823499,1.10466,0.996336,1.1294,1.00394,0.905214,0.913551,1.18495,0.774831,0.896671,0.872972,
