time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
3.6,0.0934278,0.100942,0.0915216,0.0981769,0.0936084,0.0837188,0.101846,0.107357,0.0881997,0.08328,0.102709,0.115258,0.0851656,0.0861618,0.101717,0.0990446,0.0828166,0.10446,0.105116,0.106034,0.105414,0.106457,0.10658,0.0734924,0.11092,0.12028,0.107001,0.105604,0.105303,0.177059,0.0967088,0.0717344,0.111132,0.0740521,0.0811753,0.109793,0.108616,0.108026,0.108574,0.105323,0.064968,0.0498434,0.0498434,0.0765326,0.0647207,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0498434,0.0558944,0.0498434,0.0611223,0.0498434,0.0498434,0.0498434,0.0463916,0.062618,0.0498434,0.0498434,0.0498434,0.0651836,0.0498434,0.0606404,0.0498434,0.0498434,0.0498434,0.100843,
3.605,0.10479,0.121393,0.101002,0.114905,0.105175,0.0860686,0.116009,0.105612,0.0866725,0.0809147,0.112225,0.139952,0.0823658,0.0833775,0.123122,0.116626,0.084963,0.129621,0.131171,0.133192,0.132006,0.133629,0.13428,0.0713718,0.14498,0.152216,0.12198,0.104159,0.117285,0.226974,0.111793,0.0693439,0.138337,0.0725598,0.0789347,0.127722,0.139059,0.138043,0.139816,0.131884,0.065274,0.0498773,0.0498773,0.0973733,0.0708003,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0498773,0.0556502,0.0498773,0.0592877,0.0498773,0.0498773,0.0498773,0.0456411,0.0609969,0.0498773,0.0498773,0.0498773,0.0719983,0.0498773,0.0588302,0.0498773,0.0498773,0.0498773,0.119979,
3.61,0.106167,0.130456,0.101002,0.120622,0.106725,0.0824717,0.119082,0.104989,0.082393,0.0773597,0.111593,0.15201,0.0798674,0.0803122,0.133198,0.123071,0.081326,0.143453,0.146017,0.149129,0.147269,0.149528,0.15077,0.0682189,0.168654,0.171855,0.125351,0.103706,0.118311,0.260514,0.116086,0.0669853,0.153663,0.0719406,0.0753948,0.133519,0.158553,0.157111,0.160327,0.147701,0.0621109,0.0473903,0.0473903,0.110453,0.0704372,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0473903,0.0528569,0.0473903,0.0580642,0.0473903,0.0473903,0.0473903,0.0453812,0.0601224,0.0473903,0.0473903,0.0473903,0.0721389,0.0473903,0.0576356,0.0473903,0.0473903,0.0473903,0.127785,
3.615,0.102688,0.132304,0.0968877,0.119903,0.103327,0.0777193,0.116323,0.104835,0.0788654,0.0749315,0.106669,0.155778,0.078575,0.0785115,0.135881,0.122888,0.0766754,0.149416,0.152874,0.157017,0.154603,0.157352,0.15917,0.0660741,0.18417,0.182541,0.122584,0.103606,0.114147,0.282008,0.114417,0.0656864,0.160664,0.0717649,0.0729283,0.132369,0.169844,0.168004,0.172728,0.155915,0.0587897,0.0448838,0.0448838,0.117805,0.0673351,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0448838,0.0501838,0.0448838,0.0575496,0.0448838,0.0448838,0.0448838,0.0453186,0.0598118,0.0448838,0.0448838,0.0448838,0.0692682,0.0448838,0.0571372,0.0448838,0.0448838,0.0448838,0.128606,
3.62,0.0973821,0.129919,0.0915216,0.115836,0.0980205,0.0738476,0.111006,0.106648,0.0771409,0.074258,0.100687,0.154355,0.0789448,0.0784629,0.134033,0.11911,0.0728595,0.150131,0.154305,0.159309,0.156451,0.159567,0.161887,0.0654917,0.193379,0.186833,0.117087,0.10549,0.108168,0.294589,0.109766,0.0658339,0.162013,0.0729565,0.072178,0.12766,0.175102,0.172921,0.178929,0.15881,0.056431,0.0431724,0.0431724,0.121002,0.063504,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0431724,0.0484438,0.0431724,0.0579035,0.0431724,0.0431724,0.0431724,0.0458693,0.0603357,0.0431724,0.0431724,0.0431724,0.0654394,0.0431724,0.0574975,0.0431724,0.0431724,0.0431724,0.125442,
3.625,0.0919011,0.125149,0.0863344,0.110282,0.0925352,0.0713392,0.105,0.109159,0.0769076,0.0748204,0.095181,0.149878,0.0802818,0.0795211,0.129621,0.113671,0.0704746,0.147389,0.152218,0.157814,0.154603,0.158009,0.160727,0.0660018,0.197765,0.186653,0.110818,0.108015,0.102137,0.300547,0.104102,0.0668577,0.159663,0.0746868,0.0726552,0.121477,0.176025,0.173557,0.180718,0.158049,0.0551161,0.0422658,0.0422658,0.121242,0.0599055,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0422658,0.0476034,0.0422658,0.0587031,0.0422658,0.0422658,0.0422658,0.0466481,0.0612512,0.0422658,0.0422658,0.0422658,0.0616862,0.0422658,0.0582967,0.0422658,0.0422658,0.0422658,0.120263,
3.63,0.0870458,0.119366,0.0821011,0.10445,0.0875865,0.0700992,0.0993125,0.111923,0.0776742,0.0761138,0.0907663,0.143807,0.0821041,0.081176,0.123957,0.107776,0.0693418,0.142678,0.147806,0.153896,0.150429,0.15403,0.157044,0.0671626,0.198531,0.183447,0.104841,0.110766,0.096893,0.301599,0.0984975,0.0683388,0.155027,0.0766242,0.0738685,0.115058,0.173912,0.171232,0.179347,0.154849,0.0546333,0.0419943,0.0419943,0.119437,0.0569361,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0419943,0.0474339,0.0419943,0.0597149,0.0419943,0.0419943,0.0419943,0.0475235,0.0623441,0.0419943,0.0419943,0.0419943,0.0584716,0.0419943,0.0593042,0.0419943,0.0419943,0.0419943,0.114327,
3.635,0.0831164,0.113344,0.0788815,0.0989447,0.0835917,0.0698631,0.0944326,0.114829,0.0790622,0.0778213,0.0875914,0.137119,0.0841771,0.0831494,0.117935,0.102105,0.0692225,0.136895,0.142201,0.148533,0.144944,0.14863,0.151827,0.0686888,0.196634,0.178295,0.0996806,0.113649,0.092756,0.299053,0.0933699,0.0700592,0.149119,0.0786738,0.0755025,0.1091,0.169765,0.166936,0.17571,0.15011,0.0547433,0.0421543,0.0421543,0.116277,0.0546999,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0421543,0.0477199,0.0421543,0.0608446,0.0421543,0.0421543,0.0421543,0.0484629,0.0635399,0.0421543,0.0421543,0.0421543,0.0559525,0.0421543,0.0604276,0.0421543,0.0421543,0.0421543,0.108401,
3.64,0.0802132,0.10762,0.076735,0.0941421,0.0806105,0.0703634,0.0905449,0.117851,0.0808319,0.0797713,0.0855844,0.130452,0.0864004,0.0853087,0.112032,0.0970606,0.0697591,0.130694,0.13606,0.142453,0.138803,0.14251,0.145794,0.0704279,0.192837,0.172001,0.0955423,0.116646,0.0897737,0.293922,0.089077,0.0719218,0.142656,0.0808122,0.0773837,0.103955,0.164346,0.161423,0.170701,0.14449,0.0552574,0.04261,0.04261,0.112281,0.0531626,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.04261,0.0483054,0.04261,0.0620589,0.04261,0.04261,0.04261,0.0494594,0.0648159,0.04261,0.04261,0.04261,0.0541295,0.04261,0.0616347,0.04261,0.04261,0.04261,0.102936,
3.645,0.0782611,0.102492,0.0754829,0.0901888,0.0785834,0.0713956,0.0876661,0.120981,0.0828435,0.0818774,0.0845859,0.124203,0.0887332,0.0875949,0.106606,0.0928042,0.0708323,0.124553,0.1298,0.136141,0.132542,0.136186,0.139474,0.0723076,0.187744,0.165155,0.0924526,0.119749,0.0878595,0.286996,0.0857381,0.0738869,0.13613,0.0830323,0.0794235,0.099765,0.158216,0.155258,0.164739,0.13847,0.056044,0.0432645,0.0432645,0.107837,0.0522339,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0432645,0.0490889,0.0432645,0.0633461,0.0432645,0.0432645,0.0432645,0.0505108,0.0661645,0.0432645,0.0432645,0.0432645,0.052934,0.0432645,0.0629139,0.0432645,0.0432645,0.0432645,0.0981741,
3.65,0.0771599,0.0980205,0.0750656,0.0870851,0.0773909,0.0727977,0.085726,0.124217,0.0850197,0.0840983,0.0844171,0.118604,0.0911598,0.0899821,0.101836,0.089392,0.0722633,0.118769,0.123837,0.12996,0.126461,0.129995,0.133217,0.0742917,0.181826,0.158184,0.0903448,0.122957,0.0868738,0.278895,0.0832936,0.0759343,0.129872,0.0853323,0.0815787,0.0965463,0.151799,0.148857,0.158419,0.132394,0.0570183,0.0440499,0.0440499,0.103227,0.0518099,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0500083,0.0440499,0.064702,0.0440499,0.0440499,0.0440499,0.0516167,0.0675834,0.0440499,0.0440499,0.0440499,0.0522721,0.0440499,0.0642614,0.0440499,0.0440499,0.0440499,0.0942122,
3.655,0.0767845,0.0943835,0.0752445,0.0848308,0.0769735,0.0744676,0.084616,0.127556,0.0873188,0.0864138,0.0849127,0.113774,0.0936728,0.0924591,0.097782,0.086817,0.0739327,0.113463,0.118292,0.124143,0.120797,0.124168,0.12727,0.0763602,0.175453,0.151389,0.08911,0.126267,0.0866654,0.270106,0.0816241,0.0780589,0.124095,0.0877102,0.0838283,0.094246,0.145401,0.142519,0.151979,0.126504,0.0581271,0.0449323,0.0449323,0.0986572,0.0517921,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0510269,0.0449323,0.0661238,0.0449323,0.0449323,0.0449323,0.0527752,0.0690701,0.0449323,0.0449323,0.0449323,0.0520495,0.0449323,0.0656743,0.0449323,0.0449323,0.0449323,0.0910663,
3.66,0.0769847,0.0915216,0.0759599,0.0833116,0.0770928,0.0763312,0.084218,0.130996,0.0897188,0.0888143,0.0859315,0.109754,0.0962692,0.0950207,0.0945027,0.0850089,0.0758407,0.108812,0.113284,0.11882,0.115609,0.118857,0.121789,0.0785009,0.16891,0.144978,0.0886265,0.129677,0.0870934,0.26101,0.0806702,0.0802566,0.118922,0.0901654,0.0861617,0.0927767,0.13924,0.136441,0.145659,0.120965,0.0593384,0.0458922,0.0458922,0.0942702,0.0520965,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0521239,0.0458922,0.0676101,0.0458922,0.0458922,0.0458922,0.0539856,0.0706235,0.0458922,0.0458922,0.0458922,0.0521819,0.0458922,0.0671513,0.0458922,0.0458922,0.0458922,0.0887023,
