time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.158105,0.0648937,0.0576913,0.000615641,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.00384814,0.00260369,0.00190498,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.0767121,0.0271956,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0779234,0.0803337,0.107308,0.0922963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977649,0.0865176,4.05381e-05,0,0,0,0,0,0,0,0.0812398,0.0813374,0,0,0,
3.605,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.158108,0.0646794,0.057447,0.000195441,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.000763418,0.000352039,0.00190036,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.0765736,0.0265042,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0776293,0.0799933,0.10696,0.0919974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974881,0.0862624,3.8021e-05,0,0,0,0,0,0,0,0.0809994,0.0811441,0,0,0,
3.61,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.159442,0.0650751,0.0587093,0.000178851,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.00031197,0,0.00191019,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.0772204,0.0268061,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0791456,0.0807119,0.108307,0.0931832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990776,0.0879792,4.59156e-05,0,0,0,0,0,0,0,0.0826641,0.0826004,0,0,0,
3.615,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.15902,0.0648784,0.0587093,0.000184297,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.000321471,0,0.00190403,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.077019,0.0267794,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0791275,0.0805293,0.108114,0.0930396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989876,0.0879516,4.73138e-05,0,0,0,0,0,0,0,0.0826562,0.0825572,0,0,0,
3.62,0.392896,0.392896,0.392896,0.392896,0.392896,0.392896,0.022695,0.022695,0.158967,0.0648988,0.0589076,0.000314618,0.074954,0.074954,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.392896,0.011545,0.00128801,0.000693769,0.00190377,0.011545,0.011545,0.011545,0.022695,0.022695,0.074954,0.011545,0.0770383,0.0270363,0.064932,0.064932,0.064932,0,0,0,0,0,0,0,0,0.0793929,0.0806545,0.10827,0.0932185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099223,0.0882022,4.94585e-05,0,0,0,0,0,0,0,0.0829196,0.0827818,0,0,0,
3.625,0.39291,0.39291,0.39291,0.39291,0.39291,0.39291,0.023013,0.023013,0.15885,0.0647855,0.0588005,0.000189943,0.073294,0.073294,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.39291,0.011835,0.000331319,0,0.00190093,0.011835,0.011835,0.011835,0.023013,0.023013,0.073294,0.011835,0.0769402,0.0267947,0.06665,0.06665,0.06665,0,0,0,0,0,0,0,0,0.0792324,0.0804745,0.108091,0.0930426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990525,0.0880609,4.87633e-05,0,0,0,0,0,0,0,0.0827768,0.0826427,0,0,0,
3.63,0.392895,0.392895,0.392895,0.392895,0.392895,0.392895,0.023358,0.023358,0.15892,0.0648031,0.0588975,0.000192732,0.071671,0.071671,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.392895,0.012138,0.000375117,2.37632e-05,0.00190126,0.012138,0.012138,0.012138,0.023358,0.023358,0.071671,0.012138,0.0769755,0.0268449,0.068444,0.068444,0.068444,0,0,0,0,0,0,0,0,0.0793795,0.0805444,0.108182,0.0931541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991989,0.0882054,4.94792e-05,0,0,0,0,0,0,0,0.0829313,0.0827889,0,0,0,
3.635,0.392849,0.392849,0.392849,0.392849,0.392849,0.392849,0.02373,0.02373,0.158192,0.0644496,0.058992,0.000205779,0.070088,0.070088,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.392849,0.012455,0.00136989,0.000617045,0.0018899,0.012455,0.012455,0.012455,0.02373,0.02373,0.070088,0.012455,0.0766292,0.0272791,0.070312,0.070312,0.070312,0,0,0,0,0,0,0,0,0.0800817,0.0807524,0.107914,0.0935496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997482,0.088576,5.28286e-05,0,0,0,0,0,0,0,0.0835864,0.0835592,0,0,0,
3.64,0.39277,0.39277,0.39277,0.39277,0.39277,0.39277,0.024124,0.024124,0.158201,0.0643929,0.0593859,0.000220562,0.068546,0.068546,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.39277,0.012786,0.000384727,0,0.00188735,0.012786,0.012786,0.012786,0.024124,0.024124,0.068546,0.012786,0.0766432,0.0269207,0.072254,0.072254,0.072254,0,0,0,0,0,0,0,0,0.0799252,0.0803121,0.108148,0.0932111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099563,0.0887918,5.66238e-05,0,0,0,0,0,0,0,0.0835593,0.0832372,0,0,0,
3.645,0.392658,0.392658,0.392658,0.392658,0.392658,0.392658,0.02454,0.02454,0.15807,0.0643029,0.0595712,0.000229308,0.067046,0.067046,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.392658,0.013129,0.000457911,3.53565e-05,0.00188412,0.013129,0.013129,0.013129,0.02454,0.02454,0.067046,0.013129,0.0765842,0.0269922,0.074268,0.074268,0.074268,0,0,0,0,0,0,0,0,0.0801844,0.0803225,0.1082,0.093324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997761,0.0890454,5.88693e-05,0,0,0,0,0,0,0,0.0838405,0.0834769,0,0,0,
