iteration,loss,learning rate,
1,1211.28,0.02,
2,1118.23,0.02,
3,1026.27,0.02,
4,947.955,0.02,
5,882.369,0.02,
6,828.906,0.02,
7,782.053,0.02,
8,739.582,0.02,
9,701.056,0.02,
10,669.187,0.02,
11,645.835,0.02,
12,623.514,0.02,
13,602.085,0.02,
14,584.383,0.02,
15,569.189,0.02,
16,555.679,0.02,
17,543.661,0.02,
18,533.858,0.02,
19,525.866,0.02,
20,518.159,0.02,
21,510.172,0.02,
22,502.118,0.02,
23,492.961,0.02,
24,482.342,0.02,
25,473.852,0.02,
26,466.696,0.02,
27,459.441,0.02,
28,451.754,0.02,
29,446.846,0.02,
30,442.223,0.02,
31,437.822,0.02,
32,434.474,0.02,
33,433.188,0.02,
34,432.838,0.02,
35,432.234,0.02,
36,431.476,0.02,
37,431.506,0.02,
38,431.031,0.02,
39,430.085,0.02,
40,429.666,0.02,
41,429.22,0.02,
42,428.113,0.02,
43,426.692,0.02,
44,424.88,0.02,
45,422.752,0.02,
46,421.486,0.02,
47,420.253,0.02,
48,418.72,0.02,
49,417.222,0.02,
50,415.396,0.02,
51,413.435,0.02,
52,411.637,0.02,
53,409.534,0.02,
54,407.561,0.02,
55,405.702,0.02,
56,403.982,0.02,
57,402.377,0.02,
58,400.702,0.02,
59,399,0.02,
60,397.238,0.02,
61,395.474,0.02,
62,393.509,0.02,
63,391.624,0.02,
64,390.138,0.02,
65,388.99,0.02,
66,388.675,0.02,
67,388.473,0.02,
68,388.114,0.02,
69,387.622,0.02,
70,386.665,0.02,
71,385.631,0.02,
72,384.431,0.02,
73,383.455,0.02,
74,382.349,0.02,
75,381.222,0.02,
76,380.044,0.02,
77,378.448,0.02,
78,377.255,0.02,
79,376.588,0.02,
80,375.747,0.02,
81,375.56,0.02,
82,375.396,0.02,
83,374.841,0.02,
84,374.174,0.02,
85,373.338,0.02,
86,372.388,0.02,
87,371.7,0.02,
88,371.339,0.02,
89,371.245,0.02,
90,371.195,0.02,
91,371.04,0.02,
92,370.01,0.02,
93,369.439,0.02,
94,369.3,0.02,
95,369.387,0.02,
96,369.779,0.02,
97,370.581,0.02,
98,370.892,0.02,
99,369.972,0.02,
100,369.38,0.02,
101,369.291,0.02,
102,369.188,0.02,
103,369.043,0.02,
104,369.142,0.02,
105,368.606,0.02,
106,367.202,0.02,
107,366.822,0.02,
108,367.741,0.02,
109,376.15,0.02,
110,375.268,0.02,
111,372.597,0.02,
112,370.317,0.02,
113,371.892,0.02,
114,370.378,0.02,
115,367.919,0.02,
116,368.086,0.02,
117,367.121,0.02,
118,368.225,0.02,
119,367.075,0.02,
120,366.363,0.02,
121,366.988,0.02,
122,366.323,0.02,
123,365.488,0.02,
124,365.676,0.02,
125,366.384,0.02,
126,365.676,0.02,
127,365.236,0.02,
128,365.634,0.02,
129,366.284,0.02,
130,366.053,0.02,
131,365.808,0.02,
132,366.404,0.02,
133,365.635,0.02,
134,365.751,0.02,
135,366.096,0.02,
136,365.762,0.02,
137,365.084,0.02,
138,364.984,0.02,
139,365.509,0.02,
140,364.014,0.02,
141,364.36,0.02,
142,364.244,0.02,
143,363.149,0.02,
144,363.163,0.02,
145,362.696,0.02,
146,362.557,0.02,
147,362.452,0.02,
148,362.559,0.02,
149,363.116,0.02,
150,363.651,0.02,
151,363.938,0.02,
152,364.413,0.02,
153,364.687,0.02,
154,364.832,0.02,
155,364.723,0.02,
156,364.651,0.02,
157,364.443,0.02,
158,364.239,0.02,
159,364.285,0.02,
160,364.27,0.02,
161,363.993,0.02,
162,364.436,0.02,
163,364.709,0.02,
164,364.106,0.02,
165,363.65,0.02,
166,363.723,0.02,
167,364.89,0.02,
