time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-8.17449,-59.5243,12.5806,11.2033,0.786141,-4.78897,8.99618,-8.78234,-30.5513,-56.2064,-42.7937,-73.931,53.5253,47.2398,0.346892,-11.3258,39.061,41.0313,-39.6964,-78.3461,
3.605,-8.23165,-58.3305,12.5429,11.8773,0.787836,-4.54661,9.01096,-9.4878,-30.459,-56.9056,-43.0362,-74.6088,53.3756,46.1822,0.357302,-11.071,39.1025,41.1561,-39.6549,-78.3803,
3.61,-16.3738,-57.0721,12.4526,7.89473,1.89094,-3.80288,3.76066,-14.4172,-30.8024,-52.8273,-54.3997,-72.6825,46.052,48.2811,1.2793,-11.4467,37.4403,39.8009,-39.9722,-77.4692,
3.615,-19.3421,-55.7889,12.9009,9.91072,2.26272,-3.90769,1.32148,-15.0343,-31.0137,-52.46,-55.9504,-71.7814,52.4997,45.4097,1.49756,-11.4674,37.2918,37.9164,-40.1789,-76.3983,
3.62,-21.4431,-53.88,12.8837,10.1262,2.47256,-4.32697,-1.8804,-16.4962,-31.1689,-51.1775,-59.9354,-72.4872,49.7427,48.3986,1.62992,-12.0976,35.3721,37.3034,-40.3335,-75.2701,
3.625,-22.7954,-52.4326,13.0978,10.5586,2.55297,-4.15128,-2.70861,-18.6764,-31.3085,-48.6426,-64.2983,-71.6907,43.8699,46.7711,1.85435,-11.8773,34.7053,35.3275,-40.4673,-73.9309,
3.63,-23.9964,-53.3774,13.4076,12.2707,2.6023,-3.73243,-2.87041,-18.6687,-31.4511,-47.6566,-64.6894,-72.786,50.5883,44.3704,1.62606,-11.9689,34.705,33.8885,-40.6088,-72.5613,
3.635,-25.2053,-53.9092,13.7713,14.1946,2.64084,-3.41134,-2.60502,-18.6016,-31.6027,-46.5311,-66.5753,-73.6491,51.0284,42.5978,1.88046,-12.1266,34.9749,32.1378,-40.7685,-71.0253,
3.64,-26.4639,-51.3193,14.174,12.9956,2.67332,-3.91995,-2.38206,-21.5004,-31.7683,-42.8994,-71.8976,-74.626,43.9978,41.2409,1.79066,-11.5759,35.3374,30.9766,-40.9531,-70.1031,
3.645,-27.7811,-51.321,14.6058,14.9896,2.70084,-4.24474,-2.04062,-20.4335,-31.9516,-42.4966,-71.3086,-76.533,51.7406,44.0662,2.00128,-12.4397,35.7152,30.9379,-41.1773,-69.5734,
3.65,-29.1539,-51.6597,15.0598,14.0936,2.72325,-3.94537,-1.74885,-22.0856,-32.1532,-39.7733,-76.6785,-77.1248,44.636,39.6877,1.95931,-11.8654,36.0771,28.701,-41.4438,-67.6382,
