time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,119.069,158.981,0.0910734,35.4129,0,0,1334.45,975.406,678.173,675.773,1576.1,2095.58,0,0,1150.53,1683.78,1216.26,1374.91,941.336,1001.94,484.975,498.934,516.124,72.0928,2612.83,974.11,3059.03,0,4921.25,4646.19,1253.75,1498.81,508.579,0,710.225,1406.6,4286.85,2865.6,8479.93,4143.44,100.833,141.145,4.95476,65.5742,0,0,1356.5,1943.88,102.305,854.75,36.573,0,720.113,873.786,1372.86,2078.55,1354.05,1566.99,1103.25,1232.28,556.381,595.346,619.901,89.4058,2392.34,47.3595,0.0221943,0,5652.49,2409.64,433.186,1307.37,489.361,69.5493,303.905,495.713,0.0787667,1122.18,3290.22,1663.25,
3.605,119.069,158.981,0.0910778,35.4127,0,0,1419.48,1052.88,815.801,609.453,1803.97,2658.31,0,0,1150.09,1690.74,1291.01,1374.71,941.162,1001.64,484.67,498.734,516.522,72.0928,2611.79,1256.35,3769.27,0.0768126,7098.05,4640.98,1350.36,1861.55,587.338,0,709.055,1383.36,5438.31,3134.84,9273.04,4526.3,100.833,141.144,4.95459,65.5742,0,0,1555.76,1943.5,62.346,870.204,48.1969,0,730.028,884.859,1372.24,2095.07,1372.1,1566.72,1102.97,1232.04,556.074,595.195,620.985,89.4058,3817.47,62.9599,0.000988252,0,7733.87,2408.56,595.714,2231.1,491.61,8.02617,303.763,653.699,0.0505702,1390.95,4070.92,1886.15,
3.61,117.956,152.296,4.90059,44.7548,3.69147,0.818589,1522.71,1014.21,840.981,485.622,1864.24,2783.21,0,0,1303.33,1904.62,1537.99,1422.07,1063.15,1238.77,484.809,525.748,574.145,72.9763,2153.09,1268.77,3896.79,8.95007,7347.54,4456.41,1170.14,2005.07,645.854,18.9289,643.839,1306.83,5861.16,3510.4,10379.2,5035.5,92.9761,128.548,7.65062,71.4566,0.201237,0,1650.89,1888.99,0,885.881,62.9282,7.93957,733.759,888.093,1526.26,2320.56,1516.46,1751.72,1251.15,1450.84,657.066,701.242,710.797,88.8313,3785.75,66.1802,0,13.3096,7990.69,2349.88,630.944,2181.81,509.929,28.6778,295.693,688.292,0.134163,1509.24,4408.73,2009.16,
3.615,117.68,149.503,6.48954,49.0531,4.4755,1.40679,1602.51,974.551,867.95,602.053,1924.93,2935.98,0,0,1395.73,2041.18,1670.95,1450.27,1148.25,1378.91,483.379,539.31,617.441,73.4251,1926.68,1292.49,4062.86,21.6585,8244.09,4300.63,1087.44,2149.17,681.447,2.65546,588.714,1495.44,6359.49,3728.15,11040.4,5289.85,91.7705,123.145,8.54263,74.3449,0.351966,0,1741.56,1854.97,300.508,891.61,75.9136,0.195517,736.409,890.102,1627.18,2479.02,1606.33,1879.84,1361.22,1595.58,700.745,766.171,782.81,88.5594,4318.88,69.1237,0,13.6765,8725.66,2300.59,697.948,2360.78,521.432,40.0175,288.602,736.37,0.343511,1608,4691.01,2086.57,
3.62,117.471,147.24,7.25159,52.5933,5.00226,1.66749,1663.9,936.972,887.268,630.52,1974.42,3067.09,0,0,1448.98,2121.81,1723.01,1465.33,1205.02,1452.7,481.067,545.01,648.829,73.8589,1777.16,1294.1,4214.53,28.5716,9003.67,4165.31,1031,2270.63,698.95,5.85294,539.097,1699.85,6830.76,3821.54,11345.8,5366.97,88.9324,118.585,9.10624,76.7865,0.522858,0,1824.38,1832.56,0,901.79,86.8607,0.421553,738.265,891.189,1691.73,2587.57,1656.15,1965.57,1439.68,1685.85,717.886,802.81,839.189,88.3106,4753.06,70.1382,0,21.5037,9346.46,2258.31,752.945,2516.57,528.471,44.2618,282.427,778.022,0.725512,1673.48,4880.66,2124.92,
3.625,117.316,145.095,7.90914,56.0798,5.2898,1.79735,1708.15,903.734,898.938,599.473,2023.72,3188.64,0,0,1478.3,2169.28,1729.77,1471.68,1241.89,1488.45,478.165,546.3,670.959,74.3158,1682.42,1291.76,4353.7,32.0913,9705.09,4045.79,985.557,2368.36,702.033,10.0225,493.883,1577.56,7283.95,3834.58,11413.2,5347.77,86.9453,114.093,9.63768,79.1857,0.61388,0,1900.95,1816.84,380.162,908.113,95.5914,0.733263,739.3,891.527,1732.31,2662.48,1683.12,2022.05,1494.16,1740.33,724.241,822.872,882.236,88.0634,5192.3,70.0301,0,25.7353,9928.08,2221.58,798.834,2661.03,533.126,46.6707,276.995,814.07,1.28627,1708.1,4982.23,2132.81,
3.63,117.222,143.031,8.59687,59.6786,5.49641,1.91396,1738.18,875.973,903.318,663.63,2059.37,3285.88,0,0,1496.61,2198,1716.72,1472.2,1264.43,1504.88,474.826,545.058,686.181,74.8004,1617.02,1268.4,4477.98,33.6446,10150.2,3938.51,946.666,2442.79,695.378,14.6322,452.501,1805.12,7717.43,3811.96,11368.6,5296.06,84.4145,109.596,10.1922,81.64,0.668465,0,1971.62,1804.88,0,911.487,102.002,1.15453,739.919,891.32,1760.57,2714.19,1698.33,2056.89,1531.18,1772.61,727.826,832.821,914.157,87.8145,5606.96,68.4109,0,28.0538,10444.6,2189.27,833.491,2794.61,536.466,48.5348,272.174,844.495,1.96507,1716.37,5008.07,2122.29,
3.635,117.193,141.05,9.37571,63.4371,5.68534,2.03671,1758.04,853.627,900.787,618.677,2096.33,3373.74,0,0,1507.5,2216.26,1702.66,1468.78,1278.57,1514.65,471.126,542.312,696.296,75.3141,1565.68,1245.46,4588.91,34.4678,10425.6,3840.75,912.618,2493.93,683.74,19.144,414.741,1612.03,8129.87,3782.9,11298.6,5246.69,82.23,105.09,10.7806,84.1761,0.714371,0,2036.93,1794.8,277.701,912,106.367,1.68791,740.091,890.728,1780.67,2750.67,1706.66,2080.2,1556.77,1793.66,729.801,839.249,937.624,87.5629,5994.59,66.2442,0,29.4612,10880.1,2160.56,859.106,2918.18,539.049,50.295,267.835,868.225,2.68422,1704.74,4976.54,2104.37,
3.64,117.234,139.16,10.2699,67.3729,5.8752,2.16836,1771.93,835.955,892.086,647.758,2122.31,3438.71,0,0,1514.63,2229.68,1692.65,1462.73,1286.94,1522.17,467.188,538.632,702.395,75.8584,1520.22,1213.12,4684.09,34.7545,10596.1,3750.72,883.759,2524.18,670.919,23.2867,380.217,1649.09,8521.96,3760.49,11244,5212.37,79.7038,100.577,11.4082,86.8055,0.762619,0,2097.25,1785.56,0,912.079,108.873,2.32213,739.89,889.806,1795.44,2777.36,1711.75,2093.9,1573.2,1809.44,731.518,842.775,955.07,87.3083,6352.35,63.4721,0,30.4656,11234.1,2134.82,878.201,3032.55,541.197,52.1438,263.869,885.601,3.36502,1681.04,4909.9,2086.82,
3.645,117.349,137.371,11.2932,71.4912,6.07221,2.308,1783.36,821.964,877.87,638.992,2146.3,3490.72,0,0,1519.83,2240.26,1686.02,1454.91,1291.44,1528.55,463.091,534.36,705.746,76.434,1477.33,1182.29,4765.39,34.8681,10699.2,3666.91,859.017,2537.08,659.258,27.0415,348.699,1583.15,8893.18,3748.3,11216.9,5194.79,77.5308,96.0589,12.079,89.5361,0.817236,0,2152.65,1776.45,241.275,907.229,109.88,3.02666,739.524,888.772,1808.42,2798.94,1715.5,2102.39,1585.28,1821.5,733.339,845.023,967.413,87.0516,6679.44,60.6411,0,31.3032,11513.5,2111.59,892.335,3138.38,543.079,54.1781,260.178,896.004,3.96837,1652.58,4829.21,2073.59,
