time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.05534,1.06283,1.00459,1.04947,0.949327,0.85091,1.19373,1.09563,1.06369,1.19108,0.798389,1.10341,0.867395,0.946581,0.922058,0.933418,1.11565,1.11544,0.936335,0.81121,1.04437,1.01384,0.818961,1.16847,0.964559,1.27224,1.32536,0.279916,1.04074,0.507712,0.999728,0.958687,1.12861,0.947336,1.03196,1.00871,0.901401,0.78293,0.795219,0.803912,1.151,1.04528,1.03459,1.07184,0.976539,0.880045,0.980478,1.0827,1.11545,1.07668,0.915608,0.82107,0.751742,0.649911,0.871298,0.867091,1.16475,0.932371,0.89663,0.847242,0.893233,0.870923,0.729665,1.20568,0.912837,1.21257,1.15641,0.362592,1.01456,0.396038,1.10022,1.03538,1.16673,0.886495,0.883526,0.966155,0.809106,0.712715,0.69891,0.711364,
3.605,1.05535,1.06283,1.0046,1.04948,0.949333,0.843825,1.19318,1.09563,1.05796,1.18683,0.799606,1.10546,0.866587,0.945439,0.921545,0.932836,1.11549,1.11483,0.935555,0.810665,1.04407,1.01316,0.817484,1.16848,0.964001,1.27408,1.32664,0.279916,1.04041,0.507859,0.999219,0.958241,1.12848,0.946403,1.02973,1.00844,0.902699,0.782445,0.79473,0.803497,1.15101,1.04528,1.03461,1.07185,0.976546,0.880062,0.980444,1.0827,1.11519,1.07602,0.913606,0.819871,0.748871,0.64738,0.87088,0.866648,1.16458,0.932026,0.89604,0.846755,0.893107,0.870572,0.728859,1.20569,0.91239,1.21202,1.15542,0.362592,1.01407,0.396038,1.09975,1.03535,1.16675,0.885504,0.880596,0.965062,0.807596,0.711844,0.698094,0.71075,
3.61,1.05566,1.06219,1.00856,1.05233,0.953314,0.847926,1.19596,1.09295,1.05674,1.18604,0.802497,1.11065,0.866187,0.944667,0.925222,0.936801,1.12278,1.11493,0.939606,0.817267,1.04288,1.01342,0.82023,1.16955,0.960169,1.27785,1.32893,0.291107,1.03504,0.506884,0.996168,0.961677,1.13168,0.946408,1.02435,1.0074,0.90594,0.784594,0.796828,0.805673,1.14816,1.04356,1.03552,1.0729,0.976351,0.877931,0.982092,1.08159,1.11525,1.0759,0.912326,0.819312,0.745847,0.644706,0.873937,0.869419,1.16761,0.937126,0.90131,0.851772,0.897587,0.876502,0.736526,1.20542,0.908077,1.21156,1.15471,0.370958,1.00759,0.394734,1.09751,1.03725,1.1683,0.885025,0.877104,0.964599,0.806842,0.712232,0.698519,0.711362,
3.615,1.05618,1.06117,1.01499,1.05776,0.959257,0.850214,1.20125,1.08925,1.05514,1.1849,0.80601,1.11761,0.866069,0.944189,0.929791,0.941924,1.13212,1.11523,0.945032,0.826303,1.04161,1.0138,0.824715,1.17128,0.954092,1.28168,1.33087,0.301701,1.03092,0.500385,0.992532,0.967903,1.13608,0.947226,1.0161,1.00608,0.909961,0.788411,0.800564,0.809344,1.14427,1.04066,1.0369,1.07477,0.976114,0.875151,0.984738,1.08018,1.11559,1.07617,0.911848,0.819324,0.74308,0.642239,0.878062,0.873177,1.17131,0.943589,0.908113,0.858363,0.904027,0.884446,0.747248,1.20501,0.902107,1.21113,1.15421,0.379187,1.00742,0.392932,1.09532,1.04029,1.17026,0.885012,0.87349,0.964683,0.806799,0.713397,0.699676,0.71261,
3.62,1.05684,1.05996,1.02236,1.06549,0.965759,0.853105,1.20806,1.08562,1.05301,1.18331,0.811708,1.12263,0.866122,0.9439,0.934826,0.947589,1.14201,1.11555,0.951042,0.835769,1.04024,1.01416,0.8299,1.17338,0.94719,1.28334,1.33291,0.315837,1.02674,0.493455,0.988494,0.975772,1.14069,0.948684,1.00629,1.00465,0.916649,0.793042,0.805104,0.81367,1.1401,1.03687,1.03854,1.07728,0.975915,0.872091,0.987929,1.0787,1.11601,1.07669,0.912097,0.819782,0.7407,0.640103,0.882414,0.877313,1.17534,0.950424,0.915541,0.86583,0.910673,0.892753,0.759187,1.20454,0.900821,1.21067,1.15382,0.3909,1.00063,0.390694,1.09306,1.04392,1.17232,0.885335,0.869834,0.965081,0.8073,0.715071,0.701302,0.714213,
3.625,1.05764,1.05865,1.02982,1.07469,0.972328,0.856281,1.21536,1.08192,1.05037,1.18139,0.815979,1.12507,0.866261,0.943713,0.940085,0.953544,1.15213,1.11581,0.957296,0.845427,1.03878,1.01443,0.835417,1.17572,0.939978,1.28308,1.33314,0.331288,1.02282,0.486437,0.984169,0.984227,1.14527,0.95062,0.997933,1.00328,0.921538,0.79791,0.809886,0.818161,1.13585,1.0325,1.04035,1.08027,0.975796,0.868946,0.991424,1.07716,1.11631,1.07735,0.912945,0.820521,0.73877,0.638355,0.88689,0.881586,1.17954,0.957485,0.923421,0.873574,0.917249,0.901324,0.7719,1.20406,0.896183,1.21019,1.1535,0.404221,1.00048,0.388035,1.09077,1.04783,1.17444,0.885867,0.866198,0.965557,0.808242,0.717058,0.703218,0.716006,
3.63,1.05855,1.05735,1.03726,1.08434,0.978955,0.859605,1.22261,1.07823,1.04806,1.17984,0.819656,1.12644,0.866435,0.94357,0.945393,0.959587,1.16219,1.11596,0.963562,0.855107,1.03723,1.0146,0.84106,1.17819,0.932653,1.28249,1.33315,0.347201,1.01817,0.479439,0.97974,0.992786,1.14975,0.952903,0.988678,1.00195,0.925651,0.80277,0.814671,0.822628,1.1316,1.02779,1.0423,1.08365,0.975784,0.86582,0.995107,1.07558,1.11636,1.07799,0.914205,0.821419,0.737308,0.637003,0.891479,0.885943,1.18387,0.964643,0.93153,0.881442,0.923736,0.910042,0.784951,1.2036,0.889853,1.20964,1.15318,0.418347,0.994118,0.385099,1.08845,1.05189,1.17657,0.886518,0.862607,0.966005,0.809476,0.71923,0.705312,0.717901,
3.635,1.05957,1.0561,1.04469,1.09399,0.985627,0.863024,1.2297,1.07452,1.04589,1.17841,0.822836,1.12806,0.866615,0.943429,0.950665,0.965615,1.1721,1.11597,0.969733,0.86471,1.03559,1.01464,0.846678,1.18075,0.925319,1.28229,1.33315,0.363164,1.01551,0.472505,0.975269,1.00124,1.15413,0.955435,0.977735,1.00064,0.929136,0.807559,0.81939,0.827022,1.12743,1.02284,1.04438,1.08734,0.975899,0.862761,0.99892,1.07395,1.1162,1.07854,0.91573,0.82241,0.736298,0.636032,0.89617,0.890368,1.18828,0.971811,0.939727,0.889391,0.930119,0.918755,0.798104,1.20318,0.888782,1.20902,1.15284,0.432913,0.993524,0.382005,1.08608,1.05602,1.17874,0.887235,0.859069,0.966405,0.810908,0.721511,0.707518,0.719855,
3.64,1.0607,1.05493,1.05208,1.10358,0.992324,0.866514,1.2366,1.07084,1.04303,1.17639,0.825553,1.12962,0.866775,0.94326,0.955865,0.971585,1.18183,1.11584,0.975778,0.87419,1.03387,1.01456,0.852174,1.18336,0.918031,1.282,1.33303,0.378956,1.01163,0.465667,0.970776,1.00952,1.1584,0.958143,0.960271,0.999286,0.932157,0.81227,0.824039,0.831343,1.12335,1.01775,1.04659,1.09129,0.976161,0.859794,1.00283,1.07226,1.1159,1.07905,0.91743,0.823407,0.735701,0.635404,0.900953,0.894847,1.19279,0.978942,0.947941,0.897397,0.936383,0.927394,0.811258,1.20281,0.884641,1.20839,1.15249,0.447736,0.987372,0.378822,1.08366,1.06016,1.18092,0.887998,0.85558,0.966647,0.812506,0.723859,0.709799,0.72185,
3.645,1.06192,1.05389,1.05942,1.11309,0.999025,0.87006,1.24332,1.06715,1.04071,1.17492,0.827921,1.1309,0.866902,0.94305,0.960984,0.97748,1.19137,1.11558,0.981667,0.883498,1.03211,1.01437,0.857493,1.18599,0.910823,1.28148,1.33278,0.39444,1.00859,0.458959,0.966268,1.01744,1.16255,0.96097,0.944236,0.997964,0.934684,0.816916,0.828629,0.835602,1.11937,1.01259,1.04894,1.09546,0.976583,0.856934,1.00681,1.0705,1.11545,1.07943,0.919186,0.824383,0.735463,0.635072,0.905811,0.899367,1.1974,0.986002,0.956136,0.905433,0.942515,0.93594,0.824348,1.20251,0.88068,1.20773,1.1521,0.46246,0.986487,0.375594,1.08117,1.0643,1.18312,0.888802,0.852129,0.966775,0.814172,0.726256,0.712141,0.723883,
