time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
3.6,0.359842,0.748741,0.350901,0.440586,0.490533,0.712682,
3.605,0.600642,0.625997,0.49304,0.804747,0.0205371,0.661065,
3.61,0.308925,0.74506,0.314262,0.238625,0.720312,0.718196,
3.615,0.552586,0.574148,0.437192,0.436266,0.433822,0.66822,
3.62,0.266043,0.675858,0.0071011,0.442427,0.792512,0.97971,
3.625,0.425912,0.610036,0.24186,0.408714,0.627266,0.807544,
3.63,0.212864,0.793258,0.191479,0.254604,0.807261,0.806432,
3.635,0.46101,0.578485,0.261647,0.398922,0.622206,0.795361,
3.64,0.450385,0.594307,0.309,0.298712,0.678012,0.746791,
3.645,0.443382,0.581052,0.268173,0.299405,0.713774,0.779106,
3.65,0.418035,0.667044,0.354845,0.356146,0.57627,0.710076,
3.655,0.454366,0.593026,0.294614,0.350054,0.640318,0.763447,
3.66,0.539424,0.486895,0.366092,0.12607,0.806086,0.697533,
3.665,0.527115,0.675134,0.487413,0.654902,0.168212,0.642788,
3.67,0.471002,0.806273,0.680473,0.494927,0.147026,0.464504,
3.675,0.456077,0.627299,0.32181,0.455004,0.511276,0.750596,
3.68,0.583372,0.371969,0.0981399,0.484322,0.696721,0.952225,
3.685,0.371033,0.677684,0.335068,0.201661,0.743818,0.706494,
3.69,0.573418,0.442634,0.236746,0.42175,0.632227,0.832783,
3.695,0.39913,0.62878,0.0921715,0.726514,0.44442,0.952948,
3.7,0.504505,0.529768,0.250467,0.429976,0.605362,0.813008,
3.705,0.564647,0.468712,0.228483,0.519283,0.541837,0.846702,
3.71,0.461679,0.536285,0.104015,0.594464,0.570762,0.94044,
3.715,0.462698,0.580195,0.313586,0.286637,0.68698,0.743687,
3.72,0.723916,0.440855,0.466928,0.65418,0.205285,0.685989,
3.725,0.455234,0.554954,0.172672,0.477348,0.624419,0.873676,
3.73,0.376134,0.568831,0.0376498,0.451932,0.765228,0.970586,
3.735,0.390112,0.669259,0.312416,0.321326,0.646961,0.737804,
3.74,0.467511,0.585595,0.298637,0.375768,0.612247,0.764168,
3.745,0.750517,0.32656,0.462036,0.265054,0.599575,0.660035,
3.75,0.480653,0.620923,0.444983,0.250342,0.605391,0.636126,
3.755,0.491152,0.592145,0.352118,0.401637,0.540043,0.726103,
3.76,0.327217,0.661505,0.0971778,0.480623,0.678189,0.918023,
3.765,0.168728,0.871167,0.170346,0.439957,0.637935,0.833584,
3.77,0.417315,0.563272,0.0982222,0.497371,0.668688,0.930806,
3.775,0.469659,0.52045,0.138512,0.476083,0.658006,0.903298,
3.78,0.703991,0.502464,0.581666,0.553898,0.199095,0.581387,
3.785,0.420172,0.622316,0.401743,0.0372973,0.85136,0.644738,
3.79,0.519002,0.579257,0.41903,0.324033,0.559044,0.668773,
3.795,0.660491,0.380422,0.32056,0.387441,0.598104,0.773454,
3.8,0.42063,0.669283,0.385977,0.303199,0.600946,0.680549,
3.805,0.770258,0.366563,0.370821,0.790551,0.161001,0.782119,
3.81,0.453136,0.637359,0.336872,0.449493,0.502817,0.737477,
3.815,0.145636,0.914743,0.250876,0.321888,0.680264,0.754819,
3.82,0.593566,0.510004,0.41622,0.404511,0.488186,0.688079,
3.825,0.576932,0.456952,0.26272,0.444292,0.586508,0.814075,
3.83,0.56091,0.562003,0.544579,0.155397,0.616711,0.557782,
3.835,0.509669,0.544129,0.287572,0.433885,0.568233,0.78387,
3.84,0.253238,0.864823,0.340084,0.443996,0.487355,0.707349,
3.845,0.393072,0.584124,0.0250155,0.64814,0.582894,1,
3.85,0.514928,0.56253,0.349779,0.394962,0.550957,0.730647,
3.855,0.849539,0.121242,0.22115,0.422891,0.670143,0.882928,
3.86,0.58771,0.490085,0.248657,0.695878,0.349776,0.848602,
3.865,0.443914,0.587212,0.273139,0.319289,0.689514,0.77685,
3.87,0.517496,0.581671,0.417581,0.331009,0.553278,0.670349,
3.875,0.460756,0.611246,0.238782,0.610917,0.431887,0.83215,
3.88,0.717759,0.281707,0.106012,0.761953,0.425288,0.987854,
3.885,0.474099,0.584143,0.321807,0.346716,0.620721,0.743716,
3.89,0.791135,0.399605,0.481509,0.785127,0.0677225,0.694502,
3.895,0.372999,0.680635,0.310507,0.287671,0.680662,0.734143,
3.9,0.668283,0.43783,0.338432,0.658999,0.312204,0.78334,
3.905,0.411726,0.670721,0.468009,0.057126,0.770673,0.591394,
3.91,0.532006,0.58621,0.397403,0.481626,0.422947,0.701694,
3.915,0.222657,0.746153,0.0216375,0.506541,0.71157,0.967523,
3.92,0.398537,0.67085,0.130446,0.828575,0.307996,0.930519,
3.925,0.809097,0.235748,0.332167,0.473151,0.51562,0.791495,
3.93,0.631705,0.434889,0.390346,0.317257,0.602004,0.706764,
3.935,0.346203,0.59654,0.153855,0.132188,0.975333,0.844553,
3.94,0.628088,0.450486,0.382676,0.391226,0.534995,0.718882,
3.945,0.415435,0.570738,0.271369,0.0908787,0.91598,0.754778,
3.95,0.551578,0.551757,0.42666,0.350231,0.528963,0.669233,
3.955,0.467338,0.755334,0.723135,0.125375,0.47601,0.397272,
3.96,0.413474,0.555089,0.110404,0.40714,0.747109,0.912628,
3.965,0.474243,0.573702,0.297044,0.359461,0.630537,0.76497,
3.97,0.497889,0.553601,0.286333,0.418364,0.583751,0.781948,
3.975,0.503784,0.520154,0.271531,0.327639,0.688056,0.786977,
3.98,0.474621,0.553105,0.232742,0.423669,0.625048,0.822836,
3.985,0.500578,0.630995,0.438379,0.422828,0.441437,0.659062,
3.99,0.77167,0.387263,0.511815,0.545102,0.277415,0.646559,
3.995,0.978976,0.0534247,0.377052,0.411413,0.55163,0.772665,
4,0.609374,0.427555,0.248393,0.515508,0.531542,0.83624,
4.005,0.360939,0.622748,0.122685,0.414749,0.723644,0.896185,
4.01,0.136809,0.830253,0.0318888,0.417217,0.783449,0.939896,
4.015,0.300851,0.811398,0.439696,0.198419,0.645692,0.611621,
4.02,0.117844,0.841189,0.0113481,0.417888,0.799726,0.954089,
4.025,0.465976,0.609405,0.490248,0.00293107,0.809338,0.575959,
4.03,0.318783,0.726834,0.311347,0.212338,0.750022,0.719637,
4.035,0.608903,0.471722,0.266835,0.677701,0.353271,0.835127,
4.04,0.250421,0.75947,0.123936,0.465309,0.66221,0.884556,
4.045,0.90479,0.182356,0.500821,0.315874,0.527647,0.653745,
4.05,0.454023,0.62146,0.39152,0.242062,0.659796,0.67529,
4.055,0.486979,0.579221,0.364471,0.286539,0.643048,0.705581,
4.06,0.650129,0.442883,0.201626,0.926139,0.168888,0.915072,
4.065,0.302619,0.747514,0.225225,0.43832,0.601787,0.806936,
4.07,0.590233,0.481459,0.26544,0.626503,0.403827,0.829333,
4.075,0.39678,0.684847,0.350431,0.336972,0.597455,0.709139,
4.08,0.421009,0.530885,0.0764737,0.41712,0.76867,0.942098,
4.085,0.478216,0.573988,0.310946,0.347659,0.630018,0.753187,
4.09,0.632587,0.43716,0.304639,0.546746,0.451443,0.796331,
4.095,0.504991,0.531457,0.214017,0.531608,0.537329,0.851453,
4.1,0.465757,0.560857,0.276698,0.302976,0.704491,0.775507,
4.105,0.454801,0.567854,0.320809,0.166962,0.798868,0.726438,
4.11,0.547161,0.569323,0.42449,0.415548,0.4655,0.676028,
4.115,0.546648,0.554616,0.446258,0.288266,0.572418,0.647288,
4.12,0.547536,0.536995,0.285776,0.609468,0.398465,0.805558,
4.125,0.471812,0.615289,0.380761,0.335832,0.577804,0.694527,
4.13,0.304556,0.717615,0.239488,0.270579,0.756017,0.781169,
4.135,0.69553,0.415173,0.413413,0.511369,0.39353,0.713358,
4.14,0.570533,0.509008,0.474593,0.129321,0.70711,0.613761,
4.145,0.90913,0.106565,0.328563,0.40762,0.593155,0.802322,
4.15,0.472649,0.557407,0.204069,0.505052,0.569889,0.852884,
4.155,0.486911,0.596572,0.31199,0.499915,0.478261,0.766617,
4.16,0.244405,0.894848,0.424797,0.328029,0.525077,0.627282,
4.165,0.429257,0.559623,0.130957,0.462988,0.674263,0.902849,
4.17,0.560486,0.454231,0.212484,0.467566,0.607484,0.854702,
4.175,0.434928,0.600948,0.238539,0.42247,0.617399,0.812648,
4.18,0.889696,0.273706,0.476322,0.731209,0.135004,0.707403,
4.185,0.600197,0.433825,0.270719,0.440006,0.585607,0.81035,
4.19,0.326245,0.73033,0.327682,0.228679,0.719587,0.708769,
4.195,0.529712,0.455,0.170733,0.408713,0.701226,0.879432,
4.2,0.0618057,1,0.258685,0.255111,0.732104,0.731378,
4.205,0.611929,0.462004,0.409759,0.291068,0.608664,0.686044,
4.21,0.680771,0.412946,0.472915,0.272289,0.576203,0.642375,
4.215,0.561152,0.50668,0.325526,0.439376,0.532932,0.760444,
4.22,0.944249,0.0807796,0.373036,0.363849,0.599505,0.767139,
4.225,0.904728,0.158675,0.392296,0.473378,0.469396,0.755557,
4.23,0.442414,0.5921,0.227994,0.447117,0.603113,0.824355,
4.235,0.61815,0.44011,0.340506,0.393111,0.570527,0.751993,
4.24,0.403305,0.637067,0.250196,0.394432,0.631877,0.796479,
4.245,0.470409,0.621035,0.338738,0.460514,0.491706,0.739245,
4.25,0.49058,0.509353,0.186618,0.416447,0.67557,0.861884,
