time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,synergy9,synergy10,
3.6,0.0254345,0,0.554137,0.14762,0.449365,1,1,0.596902,0.117602,0.487505,
3.605,0.018773,0,0.537913,0.350584,0.651703,0.371163,0.95292,0.680578,0,0.623317,
3.61,0.0875885,0,0.286,0.271593,0.923073,0.15846,0.931435,0.833768,0,0.793033,
3.615,0.0496444,0,0.179883,0.197841,1,0.109865,0.958457,0.972733,0,0.933328,
3.62,0.199776,0.422488,0.0676688,0.0897294,0.423731,0.662735,0.956704,0.495475,0.717185,0.355776,
3.625,0.00104774,0,0.496717,0.30766,0.680193,0.396918,0.937045,0.732849,0,0.680378,
3.63,0.0513557,0.00527437,0.230672,0.0493434,0.621102,0.331157,0.636278,1,0.6967,0.815097,
3.635,0.1965,0,0.0471822,0.0259373,0.75078,0.863276,0.761519,0.932699,0,1,
3.64,0.0291034,0.0229659,0.449664,0.20005,0.580912,0.510002,0.515447,0.943715,0.141689,0.903549,
3.645,0.0070146,0,0.603898,0.375807,0.847205,0.515012,0.545626,0.653652,0.000782508,0.541689,
3.65,0.345383,0.126358,0.390089,0.172337,0.575781,0.743492,0.392824,0.446627,0.86574,0.113421,
3.655,0.550699,0,0.47724,0.504154,0.804046,0.287728,0.386593,0.488863,0,0.373607,
3.66,0.354472,0.551838,0.343952,0.360687,0.266718,0.774917,0.409914,0.244241,0.454727,0.17628,
3.665,0.635885,0.00140371,0.710445,0.554077,0.0254179,0.933778,0.428966,0.258428,0,0.303212,
3.67,0.30836,0.107155,0.70069,0.452233,0,0.776842,0.493482,0.290267,0.286864,0.530538,
3.675,0.522947,0.146483,0.321118,0.475659,0.386955,0.273594,0.528258,0.602592,0,0.609308,
3.68,0.193163,0,0.547451,0.296457,0.424493,0.856347,0.458536,0.662493,0,0.752371,
3.685,0.547707,0.00105488,0.462529,0.485891,0.60655,0.25793,0.396342,0.563136,0.0228045,0.60286,
3.69,0.684555,0.269085,0.173631,0.406839,0.480926,0.417056,0.46389,0.41151,0.243329,0.449362,
3.695,0.298692,0,0.45197,0.190816,0.312382,0.905127,0.308008,0.8086,0.168852,0.825584,
3.7,0.316223,0.0426758,0.498034,0.479478,0.306954,0.369891,0.1699,0.861508,0.00460825,0.909652,
3.705,0.690742,0.0178207,0.47165,0.51977,0.139318,0.182906,0.137477,0.751724,0.0658428,0.842997,
3.71,0.633416,0.0149229,0.789792,0.648908,0.135823,0.520842,0.206906,0.305978,0.0423501,0.321343,
3.715,0.670115,0,0.904165,0.686479,0.136007,0.853288,0.0988978,0.0825824,0.0319867,0.0945024,
3.72,0.843841,0.461083,0.265008,0.786143,0.520367,0.00397979,0.223917,0.140188,0.0493852,0.179013,
3.725,0.687391,0,0.899989,0.842527,0.20667,0.0844791,0.00429054,0.254965,0.147622,0.236609,
3.73,0.793739,0.318423,0.751665,1,0.00339614,0.0923831,0.145284,0.00672807,0.0629059,0.0541868,
3.735,0.519261,0.0266472,0.78095,0.673218,0.560503,0.429241,0.0797859,0.236736,0.175813,0.0694179,
3.74,0.892096,0.196772,0.854835,0.986002,0,0.102647,0,0,0.126076,0.00361835,
3.745,0.405795,0.000158442,0.582729,0.369437,0.518798,0.734452,0.164207,0.643203,0.0934763,0.467376,
3.75,0.867157,0.0410704,1,0.914232,0,0,0,0,0.35359,0.00601761,
3.755,0.459906,0.329031,0.270053,0.298064,0.120471,0.552171,0.208607,0.660052,0.591816,0.562032,
3.76,0.881582,0.699942,0.315136,0.712415,0,0.15834,0,0,0.627125,0,
3.765,0.559938,0.570551,0.126701,0.452751,0.203213,0.152486,0.519212,0.460339,0.53939,0.268186,
3.77,1,0.909428,0.104015,0.754202,0.00141719,0.10654,0,0,0.504107,0.00061118,
3.775,0.242115,0.689088,0.365729,0.575715,0.174656,0.104119,0.840423,0.190923,0.537832,0.0247121,
3.78,0.949492,1,0.0787234,0.761914,0,0.036835,0,0,0.526827,0,
3.785,0.0815027,0.569838,0.00537189,0,0.267221,0.650297,0.733772,0.801458,0.761715,0.546478,
3.79,0.792482,0.863776,0.209469,0.636597,0,0.0360103,0,0,0.889469,0,
3.795,0,0.772436,0.0030103,0.0253695,0.0866375,0.334031,0.871111,0.749108,1,0.520089,
