time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.394991,0.394991,0.394991,0.394991,0.394991,0.394991,0.019083,0.019083,0.111829,0.0691144,0.00608802,0.00485854,0.0286339,0.0286339,0.0446239,0.0449723,0.0440776,0.0447745,0.0429589,0.0447691,0.0448076,0.0442627,0.0446937,0.394991,0.0210055,0.018631,0.00638348,2.12265e-05,0.021028,0.021005,0.0210174,0.019083,0.019083,0.0286339,0.0210036,0.0859664,0.00408928,0.0646418,0.0646418,0.0646418,0,0,0,0,0,0,0,0,0.111684,0.084696,0.0812391,0.108877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851646,0.0856578,7.08315e-06,0,0,0,0,0,0,0,0.0179187,0.0733214,0,0,0,
3.605,0.395485,0.395485,0.395485,0.395485,0.395485,0.395485,0.0186629,0.0186629,0.111773,0.0688682,0.00661772,0.00503567,0.02839,0.02839,0.0444092,0.0447547,0.0438589,0.0445576,0.0427502,0.044552,0.0445914,0.0440445,0.0444794,0.395485,0.0205963,0.0183986,0.00631176,2.06175e-05,0.020619,0.0205959,0.0206083,0.0186629,0.0186629,0.02839,0.0205944,0.0860289,0.00431417,0.0649472,0.0649471,0.0649472,0,0,0,0,0,0,0,0,0.111714,0.0847116,0.0812772,0.108973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852488,0.0855241,6.89438e-06,0,0,0,0,0,0,0,0.0179133,0.0732075,0,0,0,
3.61,0.393554,0.393554,0.393554,0.393554,0.393554,0.393554,0.0194775,0.0194774,0.11344,0.0709673,0,0.00276438,0.0306456,0.0306456,0.041689,0.0420434,0.0411547,0.0418516,0.0400515,0.0418598,0.0418803,0.0413341,0.0417651,0.393554,0.0225628,0.00257969,0.00132358,2.2822e-05,0.022585,0.0225624,0.0225746,0.0194774,0.0194774,0.0306456,0.022561,0.0858575,5.32275e-05,0.0653718,0.0653718,0.0653718,0,0,0,0,0,0,0,0,0.110171,0.0833265,0.080184,0.108251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823411,0.0848093,9.12991e-06,0,0,0,0,0,0,0,0.0158932,0.0738173,0,0,0,
3.615,0.393717,0.393717,0.393717,0.393717,0.393717,0.393717,0.0194917,0.0194917,0.113423,0.0709502,0.000200639,0.00283205,0.0306457,0.0306457,0.0416835,0.042037,0.0411484,0.0418453,0.0400479,0.0418534,0.0418742,0.0413278,0.0417597,0.393717,0.022585,0.00264554,0.00134448,2.27962e-05,0.0226072,0.0225846,0.0225968,0.0194917,0.0194917,0.0306457,0.0225832,0.0858498,0.000150833,0.0657095,0.0657094,0.0657095,0,0,0,0,0,0,0,0,0.110225,0.083379,0.0802441,0.1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824113,0.0848163,9.12346e-06,0,0,0,0,0,0,0,0.0159553,0.0738394,0,0,0,
3.62,0.393353,0.393353,0.393353,0.393353,0.393353,0.393353,0.0198191,0.0198191,0.113404,0.071102,0,0.00276303,0.0308497,0.0308497,0.0417449,0.042099,0.041212,0.041907,0.0401093,0.0419156,0.0419357,0.0413908,0.041821,0.393353,0.02294,0.00257419,0.00132077,2.32223e-05,0.0229622,0.0229396,0.0229518,0.0198191,0.0198191,0.0308497,0.0229382,0.0857398,5.41611e-05,0.0659985,0.0659984,0.0659985,0,0,0,0,0,0,0,0,0.110192,0.083373,0.0802424,0.108231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823525,0.0848581,9.29005e-06,0,0,0,0,0,0,0,0.0160049,0.0739256,0,0,0,
3.625,0.394261,0.394261,0.394261,0.394261,0.394261,0.394261,0.0204069,0.0204069,0.1137,0.0715297,0,0.00276951,0.0312598,0.0312598,0.0419603,0.0423151,0.0414278,0.0421223,0.0403227,0.0421314,0.0421509,0.0416062,0.0420368,0.394261,0.0235923,0.0025737,0.00132051,2.3911e-05,0.0236144,0.0235919,0.023604,0.0204069,0.0204069,0.0312598,0.0235905,0.0858239,5.57674e-05,0.0671684,0.0671683,0.0671684,0,0,0,0,0,0,0,0,0.110565,0.083703,0.080581,0.108537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826253,0.085196,9.56558e-06,0,0,0,0,0,0,0,0.0162266,0.0743214,0,0,0,
3.63,0.395581,0.395581,0.395581,0.395581,0.395581,0.395581,0.0216579,0.0216579,0.114151,0.072342,5.77158e-06,0.00278105,0.0321008,0.0321008,0.0423666,0.0427222,0.0418359,0.0425279,0.0407272,0.0425383,0.0425565,0.0420132,0.0424437,0.395581,0.0249767,0.00259679,0.00132672,2.53759e-05,0.0249986,0.0249762,0.0249883,0.0216579,0.0216579,0.0321008,0.0249749,0.0858634,6.40327e-05,0.0696047,0.0696047,0.0696047,0,0,0,0,0,0,0,0,0.111197,0.0842848,0.0811861,0.109022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830859,0.0857931,1.01488e-05,0,0,0,0,0,0,0,0.0166865,0.0750606,0,0,0,
3.635,0.396217,0.396217,0.396217,0.396217,0.396217,0.396217,0.0218,0.0218,0.114312,0.0724776,9.39461e-05,0.00281667,0.0321737,0.0321736,0.0425524,0.0429088,0.0420212,0.0427138,0.040909,0.042724,0.0427425,0.0421988,0.0426294,0.396217,0.0251003,0.00303537,0.00146548,2.55282e-05,0.0251222,0.0250998,0.0251119,0.0218,0.0218,0.0321737,0.0250985,0.0859886,0.000138463,0.0697841,0.0697841,0.0697841,0,0,0,0,0,0,0,0,0.111431,0.0844745,0.0813618,0.109215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832955,0.0859913,1.01673e-05,0,0,0,0,0,0,0,0.016788,0.0752142,0,0,0,
3.64,0.39707,0.39707,0.39707,0.39707,0.39707,0.39707,0.0227077,0.0227076,0.114643,0.0730873,0,0.00278966,0.0328299,0.0328299,0.0427326,0.0430892,0.0422028,0.0428935,0.0410902,0.042905,0.0429221,0.0423794,0.0428103,0.39707,0.0261436,0.00256645,0.00131679,2.66068e-05,0.0261653,0.0261431,0.0261551,0.0227076,0.0227076,0.0328299,0.0261418,0.0859828,6.20549e-05,0.0716933,0.0716932,0.0716933,0,0,0,0,0,0,0,0,0.111826,0.0848459,0.0817647,0.109532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835424,0.0863678,1.0644e-05,0,0,0,0,0,0,0,0.0170768,0.0757462,0,0,0,
3.645,0.394481,0.394481,0.394481,0.394481,0.394481,0.394481,0.022436,0.022436,0.113888,0.0725507,0,0.00277145,0.0325386,0.0325386,0.0424268,0.0427812,0.0419001,0.0425867,0.0407947,0.0425981,0.0426152,0.0420757,0.0425039,0.394481,0.0258365,0.00255118,0.00130896,2.62885e-05,0.0258581,0.025836,0.025848,0.022436,0.022436,0.0325386,0.0258347,0.085448,6.13126e-05,0.0709938,0.0709937,0.0709938,0,0,0,0,0,0,0,0,0.11107,0.0842613,0.0811965,0.108805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829788,0.0857722,1.05167e-05,0,0,0,0,0,0,0,0.0169233,0.0752009,0,0,0,
