mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
addbrev_r,0,0,0,0,0,0,
addlong_r,0,0,0,0,0,0,
addmagDist_r,0,0,0,0,0,0,
addmagIsch_r,0,0,0,0,0,0,
addmagMid_r,0,0,0,0,0,0,
addmagProx_r,0,0,0,0,0,0,
bflh_r,0.0725554,0.0994991,0.252647,0.131009,0.168687,0.186297,
bfsh_r,0.131962,0.142778,0.18697,0.182569,0.21997,0.076008,
edl_r,0.0645726,0.0552151,0.0841489,0.133522,0.0588672,0.0443884,
ehl_r,0.071652,0.0584197,0.0654439,0.0498905,0.053066,0.044963,
fdl_r,0.0017708,0.0403664,0.127077,0.0398614,0.092191,0.0725533,
fhl_r,0.0336042,0.0206027,0.127016,0.0296194,0.0943016,0.0527183,
gaslat_r,0,0,0,0,0,0,
gasmed_r,0,0,0,0,0,0,
glmax1_r,0.287389,0.304262,0.265955,0.116696,0.206797,0.291864,
glmax2_r,0.141017,0.180024,0.407184,0.267652,0.328365,0.249789,
glmax3_r,0.280952,0.283812,0.254584,0.360735,0.423857,0.021994,
glmed1_r,0.305304,0.315487,0.243956,0.161806,0.24852,0.225283,
glmed2_r,0.326132,0.324982,0.214272,0.269953,0.346825,0.0849179,
glmed3_r,0.0874925,0.128239,0.451206,0.425492,0.464449,0.118371,
glmin1_r,0.224003,0.251325,0.328108,0.168501,0.2473,0.288991,
glmin2_r,0.0824493,0.128824,0.461496,0.3568,0.402613,0.200315,
glmin3_r,0.097716,0.14469,0.450681,0.289325,0.343873,0.263275,
grac_r,0,0,0,0,0,0,
iliacus_r,0.0707135,0.0733537,0.0683044,0.0662252,0.0850736,0.0361236,
perbrev_r,0.0233055,0.098398,0.0423702,0.0733586,0.065744,0.00256441,
perlong_r,0.13076,0.131514,0.11129,0.0527051,0.0921727,0.130182,
piri_r,0.0223881,0.107063,0.101071,0.111902,0.0269023,0.130407,
psoas_r,0.0568663,0.0620025,0.0821403,0.0740864,0.0908616,0.0393838,
recfem_r,0.0341756,0.0444471,0.106032,0.0705261,0.0856706,0.0632921,
sart_r,0.0414443,0.0503775,0.0987388,0.0668035,0.0829944,0.0611256,
semimem_r,0.135283,0.145992,0.184229,0.172894,0.211629,0.0840254,
semiten_r,0.0773962,0.105484,0.250225,0.0957401,0.137698,0.221868,
soleus_r,0,0,0,0,0,0,
tfl_r,0.0699506,0.0785526,0.07336,0.00347955,0.0230979,0.110957,
tibant_r,0.043425,0.0741844,0.0803837,0.058579,0.0550185,0.085453,
tibpost_r,0.0960228,0.0559381,0.0407215,0.110531,0.0132389,0.00229818,
vasint_r,0.0509631,0.0573922,0.0740614,0.0324615,0.050897,0.0711714,
vaslat_r,0.0122559,0.0223433,0.11012,0.0930968,0.101818,0.0369739,
vasmed_r,0.0704977,0.073617,0.0548202,0.017734,0.0395585,0.0706351,
addbrev_l,0,0,0,0,0,0,
addlong_l,0,0,0,0,0,0,
addmagDist_l,0,0,0,0,0,0,
addmagIsch_l,0,0,0,0,0,0,
addmagMid_l,0,0,0,0,0,0,
addmagProx_l,0,0,0,0,0,0,
bflh_l,0.107469,0.121965,0.170142,0.0911392,0.129635,0.142906,
bfsh_l,0.110052,0.123889,0.167337,0.0927061,0.131261,0.138874,
edl_l,0.00486194,0.0821497,0.115781,0.12029,0.00451684,0.0640801,
ehl_l,0.104947,0.0996214,0.0839724,0.100446,0.132778,0.128018,
fdl_l,0.0279073,0.0484924,0.00207094,0.0702211,0.00127297,0.0508731,
fhl_l,0.11556,0.0184026,0.0567204,0.119201,0.0652024,0.000817229,
