mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
addbrev_r,0,0,0,0,0,0,
addlong_r,0,0,0,0,0,0,
addmagDist_r,0,0,0,0,0,0,
addmagIsch_r,0,0,0,0,0,0,
addmagMid_r,0,0,0,0,0,0,
addmagProx_r,0,0,0,0,0,0,
bflh_r,0.108284,0.145377,0.31351,0.174762,0.192454,0.176746,
bfsh_r,0.168298,0.160142,0.219822,0.194636,0.227705,0.112209,
edl_r,0.117584,0.124981,0.109152,0.160546,0.122794,0.128839,
ehl_r,0.223664,0.33456,0.0903321,0.222959,0.317738,0.305263,
fdl_r,0.0715938,0.0103193,0.135769,0.0716241,0.0189507,0.00328357,
fhl_r,0.0150944,0.017777,0.150924,0,0.00494286,4.93216e-05,
gaslat_r,0,0,0,0,0,0,
gasmed_r,0,0,0,0,0,0,
glmax1_r,0.354899,0.351553,0.394794,0.199127,0.231513,0.305109,
glmax2_r,0.196636,0.242688,0.495316,0.32148,0.360202,0.261517,
glmax3_r,0.339008,0.277785,0.274123,0.368606,0.444271,0.109092,
glmed1_r,0.382369,0.347481,0.33617,0.228467,0.278578,0.251221,
glmed2_r,0.378898,0.316278,0.273666,0.304319,0.371204,0.159161,
glmed3_r,0.134322,0.183545,0.500033,0.410573,0.455573,0.195832,
glmin1_r,0.287044,0.310254,0.448969,0.237668,0.268445,0.302702,
glmin2_r,0.133577,0.198349,0.534604,0.371981,0.40784,0.243791,
glmin3_r,0.150885,0.218201,0.538667,0.338172,0.373205,0.270331,
grac_r,0,0,0,0,0,0,
iliacus_r,0.0814973,0.0740463,0.0884975,0.0787647,0.0930882,0.0489885,
perbrev_r,0.0896127,0.0072988,0.153329,0.0624006,0.0256932,0.00166512,
perlong_r,0.0914449,0.0241203,0.161334,0.00670906,0,0.0174187,
piri_r,0,0,0.000702776,0,0,0,
psoas_r,0.0808091,0.0710934,0.0832235,0.0858445,0.101799,0.0407375,
recfem_r,0.0490817,0.0589147,0.123475,0.0863372,0.0969335,0.0611362,
sart_r,0.0686558,0.0699787,0.105673,0.0797725,0.0921008,0.0580139,
semimem_r,0.172265,0.164298,0.220455,0.188245,0.220373,0.117737,
semiten_r,0.112635,0.157035,0.328801,0.15179,0.164069,0.203744,
soleus_r,0,0,0,0,0,0,
tfl_r,0.0574884,0.0689663,0.128204,0.0690114,0.0753909,0.0778977,
tibant_r,0.226007,0.240838,0.211482,0.1836,0.372963,0.52274,
tibpost_r,0.133896,0.0351114,0.0874294,0.027698,0.0612949,0.0167457,
vasint_r,0.0661651,0.0745152,0.108631,0.045134,0.050374,0.079854,
vaslat_r,0.0391706,0.0440351,0.100427,0.0918087,0.104326,0.0369353,
vasmed_r,0.099591,0.0912718,0.0769413,0.0311799,0.0400945,0.0732199,
addbrev_l,0,0,0,0,0,0,
addlong_l,0,0,0,0,0,0,
addmagDist_l,0,0,0,0,0,0,
addmagIsch_l,0,0,0,0,0,0,
addmagMid_l,0,0,0,0,0,0,
addmagProx_l,0,0,0,0,0,0,
bflh_l,0.152637,0.157421,0.216453,0.118979,0.137804,0.147362,
bfsh_l,0.155136,0.158115,0.212642,0.119693,0.139127,0.14485,
edl_l,0,0.0719783,0.00642464,0,0.10173,0.104658,
ehl_l,0.0755547,0.10638,0.205349,0.0780319,0.0997379,0.136086,
fdl_l,0.043441,0.0205046,0.088159,0.0315762,0.0624103,0.00083399,
fhl_l,6.50941e-05,0.00299987,0.000213839,0.0408885,0.0272457,0.00111365,
gaslat_l,0.446221,0.384506,0.363141,0.363871,0.441091,0.216826,
