time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.0271477,0.0259493,0.0256919,0.0255006,0.0252925,0.0237553,0.00354373,0.00680918,0.00878246,0.00661871,0,7.84309e-08,0.00886486,0.0101689,0.005335,0.00507276,0.0045915,0.00859643,0.00576294,0.00551141,0.00757671,0.00675692,0.00561441,0.0300484,0.00296055,0.00765571,0.0044601,-6.76505e-08,0.00438977,0.000240044,0.00729393,0.00363783,0.00988382,0.00727264,0.00360958,0,0,0.00589513,0.0067696,0.00651787,0.00469956,0.00203302,-8.96925e-08,0.002202,-1.68056e-07,0,0.00268317,0.00158037,0,0,0.00260609,0,0.00668847,0.00710709,0,-7.18173e-08,0.00171261,-7.0062e-08,-5.99505e-08,0,-6.0596e-08,7.49462e-08,0,0.0130458,0,0.0166298,0.0162609,0,0.00133006,0,0.00389847,0.00490064,0.0115619,0,0,0,6.51137e-05,0,6.88339e-08,0,
3.605,0.0279893,0.0241501,0.0396069,0.0322503,0.0424362,0.0306773,0.00603182,0.00249226,0.00840027,0.00625291,0.000165291,0.000219371,0.00884043,0.0103544,0.0156571,0.0146437,0.0216625,0.0109451,0.0155206,0.0254452,0.00545501,0.0110959,0.0128177,0.0330697,-0.00461445,0.00761076,0.00446836,0.00453306,0.000210742,-0.000866578,-0.00610323,0.0060406,0.0137619,0.00777437,0.00119944,-0.000487421,0.000226313,0.0096717,0.0104718,0.0103252,-0.006733,-0.00235774,0.00288657,0.00458252,-0.00136108,-0.00829969,0.00365239,4.37682e-05,-0.000125606,1.24056e-05,0.00277188,0.000160954,0.00652069,0.00698675,0.00793946,0.00675119,0.00774632,0.0107034,0.0101494,0.0137572,0.0306091,0.0203453,0.01048,0.012077,-0.00367843,0.0161365,0.0160537,0.00347129,-0.00236679,-0.000528623,-0.00184944,0.00604373,0.0132107,1.59133e-05,-7.11627e-05,0.000121483,0.000263096,0.00102782,0.00097751,0.00101329,
3.61,0.0285522,0.0230097,0.0460347,0.0369027,0.04896,0.0335377,0.00739021,0.00147021,0.00819248,0.00606776,0.000202995,0.000289096,0.00880088,0.0104586,0.0183725,0.01726,0.0274153,0.0115604,0.0189765,0.0322122,0.00503922,0.012106,0.0161883,0.0347565,-0.008681,0.00758838,0.00447198,0.00600439,0.00487524,-0.00191638,-0.0108603,0.00742913,0.0149557,0.00815331,-0.000397924,-0.000753516,0.000300806,0.0121855,0.0131197,0.0128738,-0.0110194,-0.00519108,0.00428954,0.00531338,-0.00205986,-0.010522,0.00411581,0.000417431,-0.000145757,1.03802e-05,0.00288266,0.000196219,0.00643246,0.00691614,0.0101487,0.008683,0.00909245,0.0136704,0.01298,0.017499,0.0404996,0.0271027,0.0134448,0.0120018,-0.00518204,0.0159406,0.0159358,0.00493313,-0.004856,-0.000833944,-0.0039052,0.00658772,0.0135708,1.89158e-05,-9.15371e-05,0.000135517,0.000457116,0.00168837,0.00160473,0.00166383,
3.615,0.0291014,0.022355,0.0478937,0.0397546,0.0504913,0.0349998,0.00803115,0.00190216,0.00804918,0.00594873,0.000360716,0.000495919,0.00875457,0.0104757,0.0193379,0.0177933,0.028597,0.0115017,0.0204589,0.034297,0.00442348,0.0121072,0.0175311,0.035721,-0.0102414,0.00757051,0.00447232,0.00757632,-3.95822e-05,-0.00220921,-0.0136851,0.00814707,0.0153598,0.00844193,-0.00164866,-0.000946372,0.000517551,0.0139963,0.015108,0.0146864,-0.0128927,-0.00624708,0.00486663,0.00562955,-0.00215246,-0.0112211,0.00438631,0.000176452,-0.000156131,1.5275e-05,0.00296187,0.000351748,0.00637326,0.00686768,0.0113876,0.00966359,0.00963522,0.015049,0.0146152,0.0195193,0.0440055,0.0297155,0.0155883,0.011999,-0.00545698,0.0158171,0.0158496,0.00642,-0.00565602,-0.00106292,-0.00547666,0.00692403,0.0137525,4.1835e-05,-0.00011516,0.000238924,0.000642502,0.00225822,0.00216008,0.00218689,
3.62,0.0296837,0.022039,0.0481633,0.0410886,0.0508561,0.0359253,0.00830605,0.00131405,0.00792943,0.00585413,0.000515424,0.000693329,0.00869224,0.0104149,0.0195427,0.0178092,0.0287905,0.0111123,0.020822,0.0351302,0.00364767,0.011628,0.0179008,0.0363139,-0.0109287,0.00755067,0.00446996,0.00816075,0.00441929,-0.00230233,-0.0150472,0.00852335,0.0156467,0.00864964,-0.00315659,-0.00108034,0.000725313,0.0152409,0.0165376,0.0159036,-0.0136053,-0.00619016,0.00512081,0.00585795,-0.00197667,-0.0114044,0.00458717,0.000108295,-0.00016337,1.46842e-05,0.00302337,0.000501687,0.00632628,0.00682722,0.011911,0.0100503,0.00999874,0.01516,0.0148479,0.0210519,0.0439274,0.0305777,0.0160354,0.0120059,-0.0055591,0.0157154,0.0157763,0.00711053,-0.00561651,-0.00122982,-0.00615628,0.00718995,0.0139131,7.176e-05,-0.000144835,0.000328408,0.000813057,0.00254488,0.00244477,0.00243704,
3.625,0.030287,0.021956,0.0483299,0.0415223,0.0512628,0.0365932,0.00843826,0.00187885,0.00781832,0.00576921,0.000664693,0.000874426,0.00860804,0.0102955,0.0193186,0.0175899,0.0287628,0.0105665,0.0205875,0.0350935,0.00282283,0.010904,0.017743,0.0367163,-0.0110492,0.00752716,0.00446473,0.00834523,-0.000143737,-0.00233602,-0.0156239,0.00878485,0.0159314,0.00878595,-0.00445338,-0.00116724,0.000917454,0.0160778,0.0175449,0.0166952,-0.0137886,-0.0061609,0.00533034,0.00608055,-0.00168963,-0.0113957,0.00476615,-8.48508e-05,-0.000170162,6.92015e-06,0.00307428,0.000642584,0.00628457,0.00679199,0.0121652,0.0102497,0.0103326,0.0151351,0.0148903,0.0219291,0.0438043,0.0309535,0.0162272,0.0120193,-0.00564495,0.0156243,0.0157102,0.00746943,-0.0056825,-0.0013343,-0.0066018,0.00743448,0.0140754,0.000110292,-0.000182927,0.000400152,0.000962992,0.00269848,0.0025991,0.00256707,
3.63,0.0309086,0.0220342,0.048509,0.0416894,0.0517113,0.0371437,0.00851991,0.00106509,0.00771003,0.00568859,0.000805658,0.00103341,0.0085082,0.0101332,0.0188853,0.0172674,0.0287062,0.00995242,0.0200664,0.0346294,0.00211431,0.0100473,0.0172474,0.0370203,-0.011085,0.00749895,0.00445656,0.00834659,0.00365498,-0.00235122,-0.0161867,0.00902425,0.0162224,0.00886255,-0.00541779,-0.00121407,0.00108724,0.0166321,0.0182209,0.0171801,-0.0138567,-0.00612766,0.0055517,0.00631685,-0.00132075,-0.0113053,0.00494097,-0.000426068,-0.00017755,-9.53631e-06,0.00311922,0.000770574,0.00624502,0.00675781,0.0123339,0.0103816,0.0106759,0.0150886,0.0149083,0.0223663,0.0436765,0.0311204,0.0163298,0.0120391,-0.00573484,0.015542,0.0156501,0.0076837,-0.00576753,-0.00139481,-0.00701987,0.00767359,0.0142349,0.000159433,-0.000232017,0.000450901,0.00108936,0.00280154,0.00270331,0.00265532,
3.635,0.0315405,0.0222252,0.0486871,0.0418081,0.0520981,0.0376339,0.0085786,0.00225981,0.00760251,0.00561026,0.000935304,0.00116713,0.00839302,0.0099416,0.0183431,0.0169128,0.028654,0.00932227,0.0193922,0.0339417,0.00177399,0.00912527,0.0165356,0.0372659,-0.011086,0.00746538,0.00444544,0.00825594,-0.000410582,-0.00235821,-0.0168743,0.0092641,0.016513,0.00889118,-0.0049778,-0.00123462,0.00123154,0.0169791,0.0186296,0.017435,-0.0138714,-0.00608246,0.00579369,0.00657112,-0.000851874,-0.0111606,0.00511764,-0.00114342,-0.000186432,-3.61198e-05,0.00316038,0.000883111,0.00620663,0.0067273,0.0124736,0.0104874,0.0110333,0.015031,0.014917,0.0225947,0.043526,0.0311572,0.0163834,0.0120663,-0.00582886,0.0154681,0.0155952,0.0078301,-0.00585695,-0.00142971,-0.00745826,0.00791214,0.0143965,0.000220885,-0.000295503,0.000478409,0.00119145,0.0028892,0.0027928,0.00273314,
3.64,0.032186,0.0224994,0.0488513,0.04192,0.0523903,0.038086,0.00862652,0.000722034,0.00749484,0.00553369,0.00105172,0.00127568,0.00826536,0.00973162,0.0177349,0.0165612,0.0286012,0.00871234,0.0186097,0.0330453,0.00143752,0.00819477,0.0157011,0.0374716,-0.0110621,0.00742598,0.00443094,0.00811218,0.0022499,-0.00235801,-0.0177494,0.00951351,0.0167892,0.00888236,-0.00497242,-0.00123944,0.00135016,0.0171664,0.0188243,0.0175103,-0.0138306,-0.0060212,0.00605577,0.0068425,-0.000218809,-0.010962,0.00529772,-0.00227769,-0.000197179,-3.79764e-05,0.00319952,0.000978878,0.00616871,0.0067003,0.0125974,0.0105791,0.0114014,0.0149554,0.0149111,0.0227389,0.0433202,0.0310806,0.0163954,0.0121006,-0.00592507,0.0154023,0.0155456,0.00793917,-0.00594646,-0.00145025,-0.007927,0.0081505,0.0145574,0.000296048,-0.000376557,0.000482002,0.00127129,0.00297618,0.00288187,0.00281248,
3.645,0.0328434,0.0228374,0.0489819,0.0420262,0.0526322,0.0384987,0.00868467,0.00332727,0.00738654,0.00545835,0.00115425,0.00136164,0.00812695,0.0095136,0.017082,0.0162312,0.0285332,0.00814829,0.01772,0.0319276,0.00174852,0.007302,0.0148416,0.0376418,-0.0110078,0.00738056,0.00441291,0.00793209,-0.000635664,-0.00234974,-0.0188632,0.00976644,0.0170481,0.00884499,-0.00501725,-0.00123462,0.00144565,0.0172275,0.0188537,0.0174515,-0.0137253,-0.00594091,0.00633525,0.00712969,0.000622814,-0.010701,0.00548122,-0.00303481,-0.000210314,-5.14792e-05,0.0032372,0.00105837,0.00613125,0.00667726,0.0127029,0.010657,0.0117751,0.0148517,0.0148826,0.0228312,0.0430352,0.0308841,0.0163598,0.0121432,-0.00602047,0.0153449,0.0155016,0.00802192,-0.00603157,-0.00146181,-0.00842742,0.00838739,0.0147155,0.000385723,-0.000476657,0.000461455,0.00133265,0.00306747,0.00297521,0.00289686,
