Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
100,10,1,27.76711075234636,0.6812046869468189,90.04838411532194,0.14821442482999256
100,10,1000,27.711177724586104,0.6746730268850529,27.438415384585138,0.37419578443218143
100,10,1500,27.833221238362977,0.6706146155179511,26.982518572270905,0.3914409998314938
100,10,2000,27.8240080064095,0.6667048017447199,27.063168029739924,0.4048555093881577
100,10,2500,27.825396369916977,0.6625393977437948,27.029755473936433,0.41957371641444346
100,10,3000,27.817268099622478,0.6556245434945468,27.322046870569604,0.43198364002755457
100,10,500,27.643271517627166,0.6833276453753488,27.953497853012596,0.32315799713849047
100,1,1,27.511135934084034,0.6971286886288501,40.35546026832704,0.17756682008620397
100,1,1000,27.538262331658192,0.6918982580807802,26.899172496810934,0.38332031490858737
100,1,1500,27.515513039788175,0.6771063078836604,26.895053584270304,0.3967270620239161
100,1,2000,27.43312058414262,0.6676732671203698,26.79911941339847,0.40868748502394886
100,1,2500,27.550228309852937,0.6634771249028202,27.066915539127134,0.41888448650695925
100,1,3000,27.541439430415593,0.6641289242702706,27.379100785202283,0.4358318509708951
100,1,500,27.552157967634404,0.6926844234031275,28.29113853785104,0.3389108479476743
10,10,1,27.99780204424533,0.6710960219715935,127.00297279122526,0.20468675277452963
10,10,1000,28.016970927171563,0.6346285879515469,25.843936366243025,0.5721025896665537
10,10,1500,28.002702035278347,0.6245066684950273,24.935149513440148,0.625186793998718
10,10,2000,27.99522907522089,0.61329017822592,24.375502461384404,0.6768453808265624
10,10,2500,28.000712132369472,0.6051382186675532,23.33420873264986,0.7117907388131548
10,10,3000,28.385977589403588,0.6013533786618785,22.43058506931379,0.7384140643546303
10,10,500,28.003389158205117,0.6444938017436732,27.906654361887174,0.48069619922130863
10,1,1,27.811448239380006,0.6846024353998243,41.81751391969858,0.236510981873027
10,1,1000,27.759208423656183,0.642243856819441,25.238345687819976,0.5773691156471007
10,1,1500,27.805020246649008,0.6303122853886377,24.57658892684361,0.6297157565501676
10,1,2000,27.77363644522503,0.6211354282080277,24.06376939362089,0.6840117184625311
10,1,2500,27.765221383738282,0.6118900345077247,23.05650163949213,0.7185612241733912
10,1,3000,28.285731948470392,0.6072471895772111,22.16695592316532,0.7446733790745598
10,1,500,27.799144641666825,0.651953237357974,26.929845799760304,0.48649445507067585
1,10,1,28.671604375356534,0.6061354379421153,166.0064259199036,0.21536472721088848
1,10,1000,32.72665381461282,0.5334637699707753,20.259750977034837,0.8405042936956583
1,10,1500,34.21159288937283,0.528217723624646,19.393387359620707,0.8611373057599652
1,10,2000,35.309274479682244,0.5242567467563624,18.863453038918106,0.8751003077353129
1,10,2500,35.98890652494725,0.5210439507018609,18.609212212284366,0.8811493639600337
1,10,3000,36.64840526795325,0.51820253730807,18.392678265586937,0.8878027862431696
1,10,500,29.460342094825183,0.5459606547990301,22.258513743706544,0.7753858565168006
1,1,1,28.00085257269212,0.6771016569506498,42.83845221871794,0.2628163355163698
1,1,1000,33.371647583278964,0.5743017594291256,19.58678359033396,0.8486679950621768
1,1,1500,34.66584955717381,0.5688414438042418,18.890604226521067,0.8681583378696449
1,1,2000,35.560256761725675,0.5659625076726098,18.559622635006843,0.8779521806057242
1,1,2500,36.2384611777813,0.5629318125996738,18.353629474180625,0.8843622409766855
1,1,3000,36.908831445732595,0.5595553174359641,18.20417741305647,0.8901943202488564
1,1,500,30.134888067127815,0.5885224655452939,20.97589980827887,0.793153168003648
