time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.06,0.119576,0.0561647,0.115219,0.0117025,0.211277,0.295839,0.89059,0.808317,0.380742,0.527849,0.218992,0.0646276,0.0307792,0.00256932,0.209864,0.233908,0.44095,0.000599498,0.0913296,0.38874,0.0653444,0.0178902,0.29476,0.0645901,0.0271633,0.1959,0.16684,0.130979,0.0992068,0.625005,0.797132,0.894485,0.824203,0.0148462,0.631029,0.599054,0.161032,0.134786,1,1,0.308539,0.203414,0.0879597,0.00818424,0.106565,0.355276,0.13286,0.136497,0.246323,0.135076,0.361076,0.180248,0.564474,0.598862,0.192464,0.192166,0.352134,0.420597,0.177969,0.359171,0.879449,0.595104,0.568166,0.0292464,0.858884,0.565823,0.605346,1,0.708621,0.0599518,0.143235,0.132754,0.118366,0.858269,0.0593251,0.203436,0.574197,0.155344,0.0518782,0.0542103,
0.065,0.134272,0.0589052,0.103662,0.0431785,0.217202,0.307795,0.852691,0.777211,0.371366,0.519929,0.222551,0.0833973,0.0584555,0.0288433,0.24212,0.245814,0.591035,0.0380712,0.120893,0.413375,0.14655,0.0586018,0.28359,0.061991,0.0726155,0.228149,0.217648,0.140379,0.135251,0.669124,0.797636,0.856858,0.789029,0.0265323,0.678459,0.603652,0.156378,0.141142,1,1,0.429173,0.187791,0.0958536,0.00854412,0.14787,0.436038,0.124779,0.128725,0.288338,0.180038,0.51014,0.205764,0.754203,0.809132,0.197353,0.197412,0.487479,0.472848,0.2,0.356217,0.938998,0.667501,0.586518,0.0306084,1,0.755824,0.789749,1,0.843447,0.0575402,0.163864,0.124657,0.111638,1,0.0565824,0.260371,0.753904,0.157928,0.0508374,0.0529862,
0.07,0.152209,0.066727,0.111262,0.0219575,0.214494,0.302256,0.809085,0.75194,0.362093,0.507901,0.225603,0.0719433,0.0401229,0.00903984,0.284893,0.273228,0.709784,0.0165828,0.11655,0.416007,0.117469,0.043695,0.325233,0.0621235,0.045722,0.231022,0.213168,0.140128,0.122184,0.724445,0.807317,0.81198,0.760194,0.0247436,0.733884,0.58416,0.150977,0.137681,0.992925,1,0.531623,0.203038,0.0920783,0.00839849,0.182452,0.481612,0.117805,0.123877,0.284767,0.160865,0.641975,0.212046,0.900764,0.976731,0.204686,0.204865,0.600167,0.479083,0.2029,0.344288,0.952833,0.666634,0.569769,0.0303606,1,0.903595,0.924499,1,0.919507,0.0578237,0.169507,0.117839,0.107701,1,0.0540782,0.243571,0.887524,0.158717,0.0500622,0.0520658,
0.075,0.194358,0.0852079,0.117855,0.0361227,0.211974,0.295066,0.779032,0.736568,0.357791,0.502122,0.245431,0.0920083,0.0533725,0.0220386,0.330338,0.311394,0.804761,0.0349963,0.141644,0.431144,0.207135,0.074866,0.361147,0.0633754,0.105871,0.278873,0.271452,0.144404,0.162091,0.77902,0.830944,0.780593,0.742611,0.0368471,0.78753,0.562935,0.155293,0.131639,0.964429,0.985887,0.618424,0.232773,0.0899768,0.00831982,0.211077,0.505058,0.114478,0.122592,0.318621,0.188506,0.758846,0.208496,1,1,0.213153,0.213332,0.693239,0.497931,0.210992,0.320427,0.951316,0.682148,0.549369,0.0300848,1,1,1,1,0.961667,0.0642934,0.167841,0.114671,0.106883,1,0.0555688,0.275157,0.986864,0.161524,0.0491589,0.0510952,
0.08,0.221291,0.105829,0.126148,0.0307234,0.212503,0.290591,0.763564,0.732295,0.360996,0.505407,0.261956,0.0946159,0.0496323,0.0168773,0.373713,0.353146,0.881448,0.0299328,0.143644,0.437043,0.221456,0.0783516,0.382918,0.0657367,0.112109,0.303956,0.294782,0.146353,0.175653,0.827948,0.860672,0.764093,0.736519,0.040186,0.83518,0.550759,0.163124,0.126223,0.954355,0.967653,0.691702,0.244397,0.0898343,0.00829862,0.234484,0.513451,0.114413,0.124254,0.324627,0.18675,0.862657,0.200283,1,1,0.222752,0.222991,0.769258,0.512173,0.217072,0.314782,0.944808,0.693353,0.534014,0.0304292,1,1,1,1,0.982527,0.0810215,0.16458,0.114735,0.108615,1,0.0640949,0.277548,1,0.164967,0.0479118,0.049807,
0.085,0.234375,0.120296,0.140121,0.0299033,0.218757,0.29177,0.760411,0.738056,0.369919,0.516524,0.271226,0.0933343,0.0456102,0.0118246,0.41083,0.392576,0.94387,0.0251894,0.145888,0.444988,0.206111,0.0710022,0.400208,0.0709219,0.0983722,0.309405,0.297382,0.14938,0.168572,0.867398,0.889437,0.760202,0.740665,0.0386954,0.873241,0.548486,0.170649,0.122575,0.957679,0.964581,0.753252,0.251435,0.0912173,0.00838287,0.253307,0.511759,0.117043,0.128439,0.328313,0.180489,0.955024,0.190594,1,1,0.233604,0.233842,0.830491,0.52867,0.224345,0.314775,0.937271,0.71114,0.526132,0.0309348,1,1,1,1,0.989298,0.112422,0.164634,0.117471,0.112552,1,0.0829358,0.27624,1,0.169949,0.0462945,0.0481479,
0.09,0.298175,0.14503,0.164937,0.0462756,0.236376,0.302353,0.766012,0.750228,0.376442,0.524294,0.288575,0.108342,0.0448888,0.00863886,0.437913,0.424999,0.995019,0.0325116,0.148465,0.439196,0.216979,0.0701675,0.381097,0.082436,0.107634,0.344338,0.330001,0.150343,0.177004,0.894872,0.913014,0.765312,0.75166,0.0383377,0.899422,0.548549,0.185579,0.119887,0.968391,0.970887,0.804561,0.236522,0.0929132,0.00851734,0.26814,0.502679,0.122045,0.134984,0.323427,0.167902,1,0.181275,1,1,0.245111,0.245349,0.879025,0.548025,0.23232,0.316466,0.930256,0.732275,0.52568,0.0316283,1,1,1,1,0.986755,0.16268,0.172606,0.122567,0.118576,1,0.115967,0.268873,1,0.176063,0.0443677,0.046168,
0.095,0.336483,0.165932,0.200033,0.0763527,0.266727,0.321492,0.77544,0.762929,0.376057,0.523696,0.293384,0.122589,0.0470282,0.00931583,0.452115,0.446866,1,0.0548064,0.165769,0.434171,0.216281,0.0701967,0.356019,0.10037,0.107139,0.359396,0.349708,0.150786,0.177056,0.909003,0.929308,0.774479,0.763964,0.0367279,0.912519,0.544681,0.200304,0.117589,0.980645,0.980593,0.846884,0.218161,0.0929244,0.00856533,0.279475,0.488525,0.129253,0.143798,0.32023,0.163289,1,0.173387,1,1,0.25626,0.256499,0.916528,0.554734,0.234887,0.317166,0.923557,0.737506,0.527171,0.031439,1,1,1,1,0.977814,0.23486,0.192767,0.129865,0.12663,1,0.166647,0.262292,1,0.180658,0.0422551,0.0439901,
0.1,0.376886,0.183943,0.239591,0.0979318,0.307331,0.348983,0.782768,0.769228,0.373956,0.52089,0.296086,0.130776,0.0428301,0.00278819,0.451877,0.455848,1,0.0650647,0.171057,0.428357,0.181024,0.0557244,0.322142,0.122457,0.0830997,0.366113,0.354897,0.152006,0.160632,0.909163,0.937385,0.781779,0.770887,0.0301097,0.911994,0.53949,0.214685,0.115727,0.988877,0.987989,0.881304,0.190041,0.0964961,0.00876229,0.287759,0.470348,0.138425,0.154585,0.307556,0.14398,1,0.167287,1,1,0.265919,0.266098,0.94461,0.570816,0.24153,0.327558,0.91813,0.759787,0.53349,0.0321021,1,1,1,1,0.964511,0.329727,0.228558,0.139125,0.136446,1,0.237777,0.246847,1,0.187353,0.0401364,0.0417965,
0.105,0.426998,0.201409,0.288008,0.140201,0.359097,0.383364,0.782632,0.763788,0.361019,0.504636,0.291467,0.147281,0.0439397,0.00287246,0.437233,0.451018,1,0.0929891,0.185654,0.403746,0.159069,0.0470574,0.261499,0.150394,0.0713259,0.373289,0.367069,0.148408,0.145689,0.895731,0.936979,0.781824,0.766997,0.0237896,0.898258,0.523716,0.229154,0.112851,0.987983,0.987871,0.908706,0.147289,0.0946916,0.00873327,0.293383,0.448755,0.149042,0.166652,0.285586,0.124344,1,0.162834,1,1,0.273253,0.273432,0.964584,0.572563,0.241888,0.320555,0.912805,0.758772,0.536771,0.0310961,1,1,1,1,0.948208,0.444385,0.281722,0.14982,0.147385,1,0.330014,0.223997,1,0.190345,0.038213,0.0397947,
