time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.18,0.113525,0.108947,0.000431266,0,0.0103069,0.00985419,0.064851,0.064851,0.0250223,0.0210857,0.0416785,0.0337543,0.0436258,0.0344672,0.136978,0.136978,0.136978,0.00930519,0.000173712,9.03005e-05,0.0462481,0.046233,0.0421197,0.0224686,0.14003,0.0433699,0.0401493,0.0177155,0.145144,0.108987,0.108987,0.064851,0.064851,0.0379918,0.108987,0.0157632,0.0104321,0.0272308,0.108682,0.108682,0.0369737,0.0122354,0,4.05188e-05,0,0.00255075,0.057848,0.057848,0.0380158,0.00102333,0.0485727,0.0223585,0.00683603,0.00768493,0.159937,0.159937,0.159937,4.86871e-05,0.000655153,0.017523,0.0341255,0.015603,0.0602064,0.00343802,0.00182952,0.045904,0.0363073,0.0815734,0.00164466,0.055084,0.055084,0.057848,0.057848,0.00198372,0.055084,0.000382606,0.101344,0.00711658,0.013775,0.013775,
0.185,0.0727474,0.0534811,0.129586,0.0667931,0.0209899,0.0634604,0.064851,0.064851,0.0512134,0.0269581,0.0148132,0.0172655,0.0254815,0.0163592,0.136978,0.136978,0.136978,5.47444e-06,0.000829037,0.0172522,0.00180187,0.000645973,9.13355e-05,0.344343,0.0614466,0.0114037,0.000732861,0.0278435,0.0621037,0.108987,0.108987,0.064851,0.064851,0.0274015,0.108987,0.106251,0.0238051,4.73502e-05,0.108682,0.108682,0.00499779,0.00188758,9.27147e-05,5.53745e-06,0,5.2616e-05,0.057848,0.057848,0.00610132,0.00444684,0.0789468,0.0650641,0.00181959,0.0226263,0.159937,0.159937,0.159937,0.000327513,0.000440232,0.00906155,0.0178946,0.00732861,0.0274672,0.107967,0.00997649,0.0390424,0.0255158,0.164796,0.000193419,0.055084,0.055084,0.057848,0.057848,0.00426888,0.055084,0.000174993,0.166701,0.0722787,0.013775,0.013775,
0.19,0.0376982,0.0128754,0.122783,0.0635466,0.0184391,0.0811571,0.064851,0.064851,0.0594252,0.0296725,0.0123886,0.0179128,0.023283,0.0175887,0.136978,0.136978,0.136978,0.00773828,0.000918551,0.016855,0.00477121,0.000603352,4.91193e-05,0.405263,0.00996621,0.0116564,0.00187429,0.0363107,0.0117242,0.108987,0.108987,0.064851,0.064851,0.0305939,0.108987,0.136249,0.0248798,0.0109248,0.108682,0.108682,1.69773e-05,0,8.79534e-05,6.43009e-06,0,6.89317e-05,0.057848,0.057848,0.000517073,0.00566049,0.0731111,0.0662902,0.00263671,0.0231606,0.159937,0.159937,0.159937,0.00041984,0.000459241,0.00271101,0.0206725,0.00142877,0.0066001,0.102262,0.0244493,0.0334188,0.0204861,0.181326,0.0115882,0.055084,0.055084,0.057848,0.057848,0.00526471,0.055084,3.13971e-05,0.135338,0.0946917,0.013775,0.013775,
0.195,0.0247547,0.00387912,0.0589907,0.03075,0.00890325,0.06736,0.064851,0.064851,0.0480326,0.0242909,0.00679304,0.012143,0.0189378,0.011877,0.136978,0.136978,0.136978,0.0126379,0.000623008,0.00867162,0.00724966,0.000764484,4.5038e-05,0.295958,2.02218e-05,0.00944425,0.00271506,0.0303207,0.00162986,0.108987,0.108987,0.064851,0.064851,0.0216218,0.108987,0.113457,0.0157193,0.0177927,0.108682,0.108682,0,0,4.22675e-05,1.05028e-05,0,5.75752e-05,0.057848,0.057848,0.000663384,0.00471015,0.0454677,0.042499,0.00263118,0.0160913,0.159937,0.159937,0.159937,0.000349582,0.000411939,0.00101982,0.0215874,0.000224767,0.00348656,0.0491631,0.0295129,0.0224025,0.014056,0.133737,0.0187625,0.055084,0.055084,0.057848,0.057848,0.00440123,0.055084,4.94641e-06,0.0726944,0.0790912,0.013775,0.013775,
0.2,0.190371,0.171045,0.270337,0.139778,0.040461,0.0699291,0.054309,0.054309,0.0687657,0.0326216,0.0333076,0.0290942,0.05066,0.0442161,0.10686,0.10686,0.10686,0.0235984,0.00215247,0.0370806,0.0182239,0.002073,0.000133752,0.491307,0.205948,0.0213004,0.00486411,0.0292134,0.203722,0.114441,0.114441,0.054309,0.054309,0.0658389,0.114441,0.116878,0.0422181,0.0332785,0.119733,0.119733,0.000351201,0,0.000193247,1.96094e-05,0,5.49415e-05,0.061128,0.061128,0.00163994,0.00478967,0.149642,0.119471,0.0069303,0.0457863,0.139195,0.139195,0.139195,0.000360561,0.000625812,0.0278341,0.0389668,0.0241045,0.0985073,0.224616,0.0451464,0.0726185,0.0526996,0.248584,0.0352174,0.058307,0.058307,0.061128,0.061128,0.00427942,0.058307,0.000596087,0.369788,0.0754732,0.011208,0.011208,
0.205,0.0292177,0.00497864,0.184642,0.0962474,0.0278628,0.0800655,0.041959,0.041959,0.0656652,0.029846,0.0182828,0.0259634,0.037526,0.0434273,0.077886,0.077886,0.077886,0.055012,0.00683848,0.0292304,0.0317524,0.00277164,0.000181798,0.460783,9.15874e-05,0.0252667,0.0107441,0.0358386,0.00195207,0.110867,0.110867,0.041959,0.041959,0.0666451,0.110867,0.13412,0.0350658,0.0806445,0.111949,0.111949,0.000459101,0.000599639,0.000131751,4.52725e-05,0,6.84726e-05,0.063965,0.063965,0.00292174,0.00560964,0.103537,0.0941511,0.0107217,0.0345418,0.11529,0.11529,0.11529,0.000412926,0.000714474,0.00174685,0.0574772,0.000287603,0.014768,0.15327,0.0969956,0.043862,0.0305979,0.203275,0.0846533,0.068645,0.068645,0.063965,0.063965,0.00530333,0.068645,2.10782e-05,0.189479,0.0932306,0.014388,0.014388,
0.21,0.02131,0.0041288,0.277401,0.144104,0.0416492,0.0592735,0.032876,0.032876,0.0531913,0.0219968,0.0238539,0.0294575,0.0313157,0.0476406,0.056419,0.056419,0.056419,0.0385136,0.00250394,0.0389012,0.0217258,0.00196806,0.000160942,0.476267,6.16299e-05,0.0231826,0.0075031,0.0261975,0.00140306,0.09755,0.09755,0.032876,0.032876,0.0709325,0.09755,0.0976813,0.04332,0.0542626,0.086821,0.086821,0,0,0.000198761,3.20095e-05,0,4.95634e-05,0.065441,0.065441,0.00170364,0.0041309,0.12648,0.113507,0.00913965,0.0372173,0.093733,0.093733,0.093733,0.000300937,0.00051173,0.00191624,0.0398484,0.000230088,0.0105623,0.231019,0.0660946,0.0477998,0.0315713,0.202074,0.0572967,0.087469,0.087469,0.065441,0.065441,0.00381829,0.087469,1.50752e-05,0.258599,0.0680854,0.029374,0.029374,
0.215,0.0181066,0.00353558,0.237082,0.124526,0.0368513,0.0504226,0.030557,0.030557,0.0514225,0.0192083,0.0241732,0.0303039,0.0428408,0.0631269,0.044092,0.044092,0.044092,0.0893709,0.00329243,0.0369403,0.0518491,0.00457888,0.000283055,0.406573,0.000440463,0.0349119,0.0193115,0.0223553,0.00120154,0.080032,0.080032,0.030557,0.030557,0.091961,0.080032,0.0830217,0.0427555,0.125618,0.057343,0.057343,0.0010266,0.00179734,0.000171303,7.41899e-05,0,4.21143e-05,0.067029,0.067029,0.00504389,0.00355639,0.119332,0.108326,0.0167573,0.0400125,0.078576,0.078576,0.078576,0.000260549,0.000758876,0.00163451,0.0771195,0.000204569,0.024444,0.197498,0.140108,0.0463107,0.0351022,0.175294,0.133801,0.109388,0.109388,0.067029,0.067029,0.00330669,0.109388,3.49405e-05,0.231229,0.0578505,0.059884,0.059884,
0.22,0.0131371,0.00283497,0.262621,0.131978,0.0377987,0.036993,0.036188,0.036188,0.0455786,0.0196639,0.029679,0.0289801,0.0396996,0.0690713,0.039448,0.039448,0.039448,0.090962,0.0749246,0.0648449,0.0621468,0.0035388,0.000252869,0.373016,0.000133349,0.0372761,0.0173431,0.016253,0.000864948,0.065131,0.065131,0.036188,0.036188,0.100118,0.065131,0.0659024,0.0394436,0.178259,0.03257,0.03257,3.83839e-05,0.00661863,0.000179616,6.0508e-05,0,4.00016e-05,0.071189,0.071189,0.00307949,0.00259457,0.124707,0.106145,0.0188137,0.0394894,0.07138,0.07138,0.07138,0.00019876,0.00059439,0.00177598,0.0899319,0.000167856,0.0199413,0.21018,0.188817,0.0519961,0.0393438,0.160272,0.182626,0.129163,0.129163,0.071189,0.071189,0.00320914,0.129163,2.84968e-05,0.235526,0.0419729,0.109015,0.109015,
0.225,0.0118732,0.00266806,0.279826,0.137048,0.0393605,0.0334455,0.049332,0.049332,0.0486676,0.0231198,0.036559,0.0314325,0.0464853,0.0839795,0.041974,0.041974,0.041974,0.11836,0.131108,0.0880912,0.0862775,0.00436803,0.0004638,0.369058,0.000196419,0.0475764,0.0227648,0.0147105,0.000877891,0.059536,0.059536,0.049332,0.049332,0.121403,0.059536,0.0641823,0.0409284,0.255887,0.020365,0.020365,0.000975128,0.0121042,0.000185297,7.25446e-05,0,5.36732e-05,0.080197,0.080197,0.00468376,0.00236172,0.136239,0.111492,0.0246847,0.0436392,0.073394,0.073394,0.073394,0.000190168,0.000665814,0.00196275,0.121779,0.00016516,0.0235719,0.217926,0.266673,0.0609415,0.0475703,0.160979,0.260247,0.139854,0.139854,0.080197,0.080197,0.00365357,0.139854,3.36841e-05,0.244142,0.0377016,0.17019,0.17019,
