time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
-0,0.00512911,0.00984655,0.0655448,0.00633189,0.0593719,4.80929e-10,2.10195e-44,0.146234,
0.005,0.00512911,0.00984655,0.0655448,0.00633189,0.0593719,9.38397e-11,2.10195e-44,0.146234,
0.01,0.00512911,0.00984655,0.0655448,0.00633189,0.0593719,4.01438e-10,2.10195e-44,0.146234,
0.015,0.00512911,0.00984655,0.0655448,0.00633189,0.0593719,2.4013e-10,2.10195e-44,0.146234,
0.02,0.00444597,0.0107355,0.0689506,0.00556436,0.0559046,0.00365525,1.00298e-32,0.143838,
0.025,0.00480567,0.0118307,0.0716751,0.00542839,0.0528227,0.00555736,1.66977e-22,0.140239,
0.03,0.00532355,0.0128366,0.073794,0.00536552,0.0502619,0.00719004,5.62507e-14,0.135668,
0.035,0.00595414,0.013809,0.0753473,0.00547216,0.0481623,0.00852595,5.44549e-09,0.130363,
0.04,0.00661516,0.0147783,0.0763708,0.0058252,0.0464811,0.00954199,2.75941e-06,0.124667,
0.045,0.00932035,0.0161934,0.0770532,0.00724609,0.0404829,0.0112898,0.00550098,0.116771,
0.05,0.0109502,0.0179421,0.078038,0.00873409,0.0365458,0.0127806,0.00759911,0.107654,
0.055,0.01193,0.0197572,0.0786063,0.010542,0.0342389,0.013815,0.00775343,0.0980919,
0.06,0.0122013,0.0215418,0.078857,0.0126976,0.0333259,0.0144396,0.00617463,0.0889362,
0.065,0.0114684,0.0232957,0.0792181,0.0150574,0.0335931,0.0148238,0.00261325,0.0812214,
0.07,0.0106289,0.0245612,0.0783548,0.01782,0.0340327,0.0146161,2.55934e-11,0.0764427,
0.075,0.0100358,0.0250779,0.0756254,0.0208452,0.0340108,0.0137806,1.50308e-21,0.0758528,
0.08,0.00876256,0.0251924,0.0726112,0.0234607,0.0339259,0.0129364,2.22628e-29,0.0800034,
0.085,0.00678214,0.0248684,0.0695009,0.0253396,0.0336277,0.012279,5.863e-35,0.0895111,
0.09,0.00412515,0.0240911,0.0664841,0.0262233,0.0329722,0.0119784,2.57428e-33,0.104674,
0.095,9.82007e-25,0.0228736,0.0639894,0.0257224,0.0319502,0.0124353,5.56207e-18,0.125646,
0.1,2.70969e-41,0.0209262,0.0591686,0.0251071,0.0292881,0.011645,0.00323576,0.150952,
0.105,4.34403e-44,0.0177258,0.0517764,0.0236232,0.0248272,0.0108416,0.0131939,0.181488,
0.11,3.11088e-43,0.0141497,0.0440499,0.0211077,0.0197437,0.0102411,0.0248628,0.214493,
0.115,1.03295e-38,0.0104578,0.0363848,0.0177495,0.014518,0.00987922,0.0372796,0.247696,
0.12,1.92939e-31,0.00619261,0.0291053,0.0138495,0.0101071,0.00992804,0.0496304,0.278557,
0.125,6.98278e-28,6.99248e-43,0.0227735,0.00987011,0.00729936,0.0104095,0.0612119,0.30445,
0.13,1.10565e-25,7.00649e-45,0.0175776,0.00615928,1.05039e-39,0.0104631,0.0703183,0.323422,
0.135,9.59821e-16,5.60519e-45,0.016103,4.03443e-08,8.40779e-45,0.0115018,0.072731,0.332763,
0.14,0.00883845,4.2039e-45,0.0106967,3.35982e-29,8.40779e-45,0.00852967,0.0786554,0.330621,
0.145,0.0127195,5.60519e-45,0.00946597,4.39548e-29,1.26117e-44,0.00763099,0.0792822,0.320389,
0.15,0.0167766,5.60519e-45,0.00981491,3.37853e-13,5.83916e-27,0.0071476,0.0774791,0.301884,
0.155,0.0208003,7.00649e-45,0.0127598,0.00630266,0.00685106,0.00562974,0.069928,0.272959,
0.16,0.024001,8.40779e-45,0.0177225,0.00975341,0.0122167,0.00559672,0.0605183,0.240081,
0.165,0.0269311,2.29226e-35,0.0242179,0.0141625,0.0181387,0.0058699,0.0495498,0.204073,
0.17,0.0288391,0.00493199,0.032943,0.0189347,0.0223169,0.00615006,0.0357515,0.167539,
0.175,0.0304081,0.00767754,0.0425469,0.0239023,0.0271462,0.0070717,0.0232061,0.133963,
0.18,0.0317037,0.0098258,0.0527517,0.0286089,0.0315458,0.00854398,0.0125907,0.10583,
0.185,0.0327526,0.011382,0.0636559,0.032517,0.0353238,0.0107758,0.00424965,0.0847887,
0.19,0.0343827,0.0119276,0.0744352,0.0353585,0.0380204,0.0136971,4.18703e-15,0.0719541,
0.195,0.0369887,0.0113092,0.0850552,0.0367172,0.0395327,0.0174911,8.26747e-19,0.0676122,
0.2,0.0396008,0.0100773,0.0976651,0.0357998,0.0407599,0.0229626,1.73717e-12,0.0709818,
0.205,0.0437387,0.00782422,0.110389,0.0328909,0.0409484,0.0296832,0.00283679,0.0817615,
0.21,0.0526375,1.84454e-07,0.118794,0.0291342,0.0401624,0.0368389,0.0157267,0.0998429,
0.215,0.0619848,3.22439e-42,0.129445,0.0230551,0.0359963,0.0450111,0.0234799,0.121772,
0.22,0.0740937,1.26117e-44,0.138568,0.0159749,0.0308013,0.0539869,0.031763,0.146519,
0.225,0.0853322,7.00649e-45,0.14906,3.05933e-11,0.0262897,0.0666328,0.0357864,0.174185,
0.23,0.105172,5.60519e-45,0.150518,1.82169e-44,0.0185862,0.0731734,0.0461267,0.197112,
0.235,0.125815,5.60519e-45,0.149586,8.40779e-45,0.0109355,0.0792447,0.0542733,0.217817,
0.24,0.146109,5.60519e-45,0.146604,7.00649e-45,0.00391968,0.0844303,0.05936,0.235097,
0.245,0.164548,4.2039e-45,0.142885,5.60519e-45,1.63832e-18,0.0886917,0.0593226,0.247381,
0.25,0.180258,5.60519e-45,0.13909,5.60519e-45,3.14031e-42,0.0919968,0.0537056,0.253697,
0.255,0.193811,5.60519e-45,0.133799,5.60519e-45,1.26117e-44,0.0938837,0.0461995,0.254748,
0.26,0.204245,7.00649e-45,0.127437,7.00649e-45,5.42303e-43,0.0943444,0.0376546,0.250933,
0.265,0.210498,9.80909e-45,0.120508,9.80909e-45,5.17776e-16,0.093385,0.0291305,0.243282,
0.27,0.211089,1.82169e-44,0.114549,2.66247e-44,0.0023113,0.0912963,0.0197836,0.23273,
0.275,0.202635,2.28615e-40,0.115418,4.31544e-18,0.0118301,0.0897319,3.80195e-13,0.218941,
0.28,0.197915,2.33988e-24,0.106058,0.00913792,0.0165007,0.081855,3.27109e-25,0.205727,
0.285,0.188488,1.52087e-09,0.0991807,0.0137462,0.0222545,0.0754029,8.60761e-33,0.195304,
0.29,0.176778,0.00690993,0.0935978,0.0171373,0.024786,0.0689114,3.63205e-37,0.187476,
0.295,0.163654,0.00875184,0.0896891,0.0191616,0.0298383,0.0647771,7.32739e-42,0.183077,
0.3,0.150443,0.0101606,0.0867354,0.019989,0.0343453,0.0626026,1.21072e-42,0.182405,
0.305,0.138564,0.0110863,0.0843045,0.0198966,0.0377529,0.0625605,4.09286e-39,0.185134,
0.31,0.129696,0.0115086,0.0820055,0.0192511,0.0396189,0.0646798,9.90132e-35,0.190434,
0.315,0.125707,0.0114275,0.0795649,0.0184475,0.0396253,0.0688821,1.36045e-29,0.197113,
0.32,0.128224,0.0108582,0.0769016,0.0178989,0.0376696,0.0749795,3.15448e-23,0.203675,
0.325,0.138083,0.00980153,0.0741791,0.0179697,0.0339084,0.0826831,1.62317e-20,0.208599,
0.33,0.155149,0.00827168,0.0717511,0.0189566,0.0287299,0.0915272,1.89876e-18,0.210629,
0.335,0.178225,3.80434e-07,0.0704673,0.0209678,0.0260429,0.101781,3.78881e-20,0.208975,
0.34,0.205882,1.97413e-20,0.0698038,0.0241152,0.0186072,0.11024,6.99958e-25,0.203331,
0.345,0.235352,1.79023e-33,0.0705323,0.0281197,0.0115828,0.117323,2.45531e-30,0.194367,
0.35,0.263618,5.74532e-44,0.0727369,0.0326518,0.00575501,0.122334,7.45021e-36,0.183338,
0.355,0.288061,1.26117e-44,0.076296,0.0373645,5.37382e-27,0.124846,2.38221e-44,0.17213,
0.36,0.305849,9.80909e-45,0.0813146,0.0417218,1.41531e-43,0.124633,1.96182e-44,0.16176,
0.365,0.315755,8.40779e-45,0.0874013,0.0455084,1.97187e-39,0.121775,3.22299e-44,0.154695,
0.37,0.316398,9.80909e-45,0.0942656,0.0483998,5.2011e-16,0.116526,1.06648e-31,0.152446,
0.375,0.306423,1.4013e-44,0.101745,0.0499944,0.00698822,0.109252,1.07677e-15,0.155168,
0.38,0.296309,1.26117e-44,0.0944678,0.0538173,0.00417682,0.095597,0.0268819,0.167682,
0.385,0.273153,9.80909e-45,0.0944052,0.0546639,0.00539668,0.0839057,0.0390066,0.184337,
0.39,0.24338,8.40779e-45,0.0939108,0.0541092,0.00720857,0.072583,0.0503215,0.205182,
0.395,0.210217,8.40779e-45,0.0921263,0.0524422,0.00847359,0.0622442,0.0616826,0.228057,
0.4,0.176409,7.00649e-45,0.0894803,0.0496854,0.00909348,0.0536776,0.0721722,0.250205,
0.405,0.14431,7.00649e-45,0.0864547,0.0459621,0.00904154,0.0473668,0.0809732,0.269248,
0.41,0.115443,7.00649e-45,0.0835031,0.041434,0.00845824,0.0435865,0.0873195,0.283455,
0.415,0.0908481,7.00649e-45,0.0810088,0.0363374,0.00762221,0.0423461,0.090583,0.291623,
0.42,0.0712016,7.00649e-45,0.0793035,0.0309612,0.00694935,0.0434274,0.0903332,0.292992,
0.425,0.0567139,7.00649e-45,0.0786572,0.0255956,0.00690141,0.0464581,0.0864887,0.287233,
0.43,0.0471345,7.00649e-45,0.0792509,0.0204912,0.00788489,0.0510122,0.0792907,0.274485,
0.435,0.0418528,8.40779e-45,0.0811852,0.0158756,0.0100889,0.0565983,0.0692845,0.255499,
0.44,0.0400036,1.12104e-44,0.0843892,0.0119846,0.0134168,0.0625834,0.0573589,0.231963,
0.445,0.0406476,1.4013e-44,0.0885983,0.00905886,0.0175159,0.0682047,0.0446704,0.206303,
0.45,0.0413829,2.10195e-44,0.0949887,0.00510054,0.0226674,0.0738547,0.0302601,0.181506,
0.455,0.0432567,5.12875e-43,0.101177,5.65497e-05,0.0272713,0.0782255,0.0182043,0.160101,
0.46,0.0494233,2.62028e-35,0.1034,0.00753193,0.0298811,0.0766813,0.0120489,0.139783,
0.465,0.0510133,2.84294e-37,0.110697,0.00863388,0.0344047,0.0765883,4.92652e-12,0.125435,
0.47,0.055267,5.83596e-36,0.112179,0.0115239,0.0349897,0.0728265,3.77991e-18,0.117909,
0.475,0.057682,1.63092e-28,0.114231,0.0142821,0.0352243,0.0678916,1.06639e-18,0.116081,
0.48,0.0579851,5.12107e-15,0.116607,0.0165321,0.0350142,0.0621188,1.43509e-14,0.120109,
0.485,0.0562569,0.00570617,0.118558,0.0180756,0.0312801,0.0549949,8.74916e-05,0.1297,
0.49,0.0558618,0.00663683,0.114781,0.0200058,0.0264872,0.0467415,0.0103652,0.145296,
0.495,0.0521483,0.00851577,0.112615,0.0204625,0.0223769,0.0397394,0.0159801,0.163545,
0.5,0.0472446,0.0104306,0.10906,0.0201293,0.0181342,0.0336207,0.0219096,0.183397,
0.505,0.0414589,0.0123092,0.104209,0.0190297,0.0142303,0.0287268,0.0276083,0.203117,
0.51,0.0351366,0.014153,0.0983751,0.01723,0.0110906,0.0252197,0.0324244,0.220941,
0.515,0.0286877,0.0159659,0.0919643,0.0149144,0.00904403,0.0230739,0.0357691,0.235313,
0.52,0.0224957,0.017731,0.0853866,0.0123618,0.00831919,0.0221213,0.0372155,0.245105,
0.525,0.0168777,0.0193799,0.0789783,0.00988971,0.00902501,0.0220897,0.0365949,0.24964,
0.53,0.0121197,0.0208233,0.0729347,0.0078053,0.011078,0.0226723,0.0340261,0.248664,
0.535,0.0083317,0.0219979,0.0674952,0.00630485,0.014277,0.0236,0.029681,0.242383,
0.54,0.00255985,0.0232055,0.0649877,0.00460444,0.019219,0.0258234,0.021039,0.231664,
0.545,5.63008e-07,0.0237259,0.061435,0.0047424,0.0237436,0.0268394,0.0141577,0.217115,
0.55,8.83449e-05,0.0237948,0.0581025,0.00600854,0.0279587,0.0269428,0.00748397,0.19951,
0.555,0.00643365,0.0229883,0.0523137,0.00963367,0.0302938,0.0244973,0.00499651,0.179597,
0.56,0.0092605,0.0221744,0.049868,0.013072,0.0328336,0.023099,6.07326e-17,0.159683,
0.565,0.0142058,0.020416,0.0458102,0.0177978,0.0332952,0.0204924,2.57397e-31,0.140499,
0.57,0.019233,0.0185285,0.0428011,0.0228286,0.0327949,0.0177078,2.24208e-44,0.121931,
0.575,0.024068,0.0166325,0.0407507,0.0277948,0.0313635,0.0149747,1.68156e-44,0.104252,
0.58,0.0285358,0.0148468,0.0395217,0.0323792,0.0291015,0.0124737,1.4013e-44,0.087653,
0.585,0.032511,0.0132644,0.0389507,0.0363388,0.0261844,0.0103501,1.26117e-44,0.0723331,
0.59,0.0359387,0.0119485,0.0388477,0.0394511,0.0227915,0.00871817,1.26117e-44,0.0585946,
0.595,0.0387955,0.0109201,0.0390455,0.0414993,0.0191437,0.00767741,1.26117e-44,0.0468076,
0.6,0.0410884,0.0101489,0.0393953,0.0422943,0.015495,0.00730079,1.26117e-44,0.0372464,
0.605,0.0428544,0.00956219,0.0398031,0.0417254,0.0121316,0.00761493,1.26117e-44,0.0299595,
0.61,0.0441466,0.00907753,0.0401962,0.0398146,0.0093091,0.00861566,1.26117e-44,0.0248048,
0.615,0.045031,0.00862573,0.0405433,0.0367422,0.00720934,0.0102494,1.26117e-44,0.021486,
0.62,0.0455681,0.00815171,0.040836,0.0328266,0.00596145,0.0124402,1.4013e-44,0.0196045,
0.625,0.0458014,0.00761683,0.0410789,0.0284428,0.0056394,0.0150854,1.4013e-44,0.0187871,
0.63,0.0457154,0.00699959,0.0413026,0.0238987,0.00626861,0.0180734,1.4013e-44,0.0186868,
0.635,0.0452845,0.00629378,0.0415625,0.0194178,0.0078342,0.0212699,1.4013e-44,0.0189763,
0.64,0.0444873,0.00550923,0.0419241,0.0151624,0.0102755,0.0245085,1.4013e-44,0.0193418,
0.645,0.043339,0.00467987,0.0424507,0.0112534,0.0134581,0.0275922,1.26117e-44,0.0195333,
0.65,0.0419025,0.00385834,0.0431629,0.00778383,0.0171735,0.0303347,1.26117e-44,0.0194006,
0.655,0.0402638,0.00300786,0.0440574,0.00479382,0.021199,0.0326089,1.26117e-44,0.0189307,
0.66,0.0385313,1.8242e-15,0.0452474,0.00225637,0.0263613,0.034647,1.12104e-44,0.0182615,
0.665,0.036952,8.72894e-26,0.0464275,8.74751e-40,0.0296711,0.0356494,9.80909e-45,0.0176432,
0.67,0.0361697,1.6298e-31,0.047429,1.12104e-44,0.0324307,0.0354102,9.80909e-45,0.0167545,
0.675,0.0357762,2.01983e-33,0.0485824,7.00649e-45,0.0345463,0.0346334,9.80909e-45,0.0165684,
0.68,0.0359894,1.35287e-31,0.0498529,5.60519e-45,0.0358851,0.033361,9.80909e-45,0.017292,
0.685,0.0370415,3.00723e-25,0.0511973,4.2039e-45,0.0363584,0.0316995,9.80909e-45,0.0190663,
0.69,0.0390916,1.32284e-15,0.0525691,4.2039e-45,0.0358907,0.0298167,9.80909e-45,0.0220065,
0.695,0.0422109,0.00194316,0.0538068,4.2039e-45,0.0334836,0.0276355,9.80909e-45,0.0261336,
0.7,0.0462999,0.0043783,0.0549465,4.2039e-45,0.0298474,0.0255013,9.80909e-45,0.0314984,
0.705,0.0509508,0.00531384,0.056086,5.60519e-45,0.0263248,0.0239395,9.80909e-45,0.03812,
0.71,0.0558087,0.0062605,0.0570937,7.00649e-45,0.0223256,0.0228079,9.80909e-45,0.0460674,
0.715,0.0604254,0.00715483,0.0579449,1.82169e-44,0.0181292,0.0222175,1.12104e-44,0.0554245,
0.72,0.0653162,0.00797135,0.0580466,0.00345026,0.0138831,0.0211716,1.26117e-44,0.0651109,
0.725,0.0693249,0.008628,0.0578663,0.00754661,0.00991554,0.0206133,1.96182e-44,0.0759103,
0.73,0.0720223,0.00906658,0.057422,0.0121581,0.00645768,0.0206377,8.61321e-38,0.0875457,
0.735,0.0729705,0.00923012,0.0567686,0.0170251,0.00377424,0.0213434,2.43305e-23,0.0995645,
0.74,0.0718903,0.00907222,0.0559696,0.0218742,0.00208709,0.0228078,4.73001e-11,0.111372,
0.745,0.0712716,0.00736299,0.0511033,0.0274517,0.000115694,0.0238578,0.00744183,0.123225,
0.75,0.0673963,0.00606856,0.0484602,0.0321531,3.98217e-05,0.0263734,0.0106656,0.133091,
0.755,0.0616404,0.00466204,0.0464965,0.0362585,0.00137061,0.0298654,0.0127198,0.140673,
0.76,0.0543147,0.00313381,0.0455057,0.0396348,0.00433707,0.0343113,0.0132325,0.145416,
0.765,0.0462044,1.6086e-08,0.0451783,0.0422977,0.00918418,0.0395861,0.0130314,0.14721,
0.77,0.0372196,1.36205e-21,0.0465149,0.0439161,0.0139015,0.0450666,0.00980033,0.145737,
0.775,0.0266795,1.01978e-40,0.051613,0.0439426,0.0209633,0.0515497,2.83473e-15,0.140871,
0.78,0.0207727,1.82169e-44,0.0514845,0.0444378,0.0250071,0.0556917,2.5986e-32,0.135239,
0.785,0.0165604,1.26117e-44,0.0514536,0.0441436,0.028818,0.0591303,3.22299e-44,0.128507,
0.79,0.0142227,1.12104e-44,0.0515014,0.0431358,0.0322085,0.0617696,1.4013e-44,0.121713,
0.795,0.0136363,1.26117e-44,0.0516488,0.0414822,0.0350806,0.0635804,9.80909e-45,0.115841,
0.8,0.0144789,1.54143e-44,0.0519654,0.0392271,0.0373822,0.0646159,8.40779e-45,0.111671,
0.805,0.0163808,8.47085e-42,0.0525549,0.0364175,0.0390942,0.0649396,7.00649e-45,0.10968,
0.81,0.019021,1.43634e-23,0.0535028,0.0331406,0.040219,0.0646692,7.00649e-45,0.109929,
0.815,0.0221005,6.08541e-05,0.0549004,0.0295292,0.0407783,0.0639451,7.00649e-45,0.112176,
0.82,0.0255341,0.00659252,0.0564172,0.0258461,0.037456,0.0619145,7.00649e-45,0.115983,
0.825,0.028854,0.00836311,0.058777,0.0223123,0.0363012,0.0604272,7.00649e-45,0.120937,
0.83,0.0320244,0.00991671,0.0616547,0.0193981,0.0350269,0.0587864,7.00649e-45,0.126394,
0.835,0.0349172,0.0112131,0.0649057,0.0175599,0.0337605,0.0569863,7.00649e-45,0.131736,
0.84,0.037412,0.0122471,0.0683365,0.0171532,0.032601,0.0549992,7.00649e-45,0.136483,
0.845,0.0394143,0.0130463,0.0717689,0.0183777,0.0316137,0.0527994,7.00649e-45,0.140452,
0.85,0.0408725,0.0137009,0.0750789,0.0212184,0.0308202,0.0503571,7.00649e-45,0.143807,
0.855,0.0417165,0.0143439,0.0782042,0.0254278,0.0302246,0.0476635,7.00649e-45,0.147021,
0.86,0.0418626,0.0151235,0.0810895,0.0305475,0.0298429,0.0447324,7.00649e-45,0.150767,
0.865,0.0412231,0.0161763,0.0836897,0.0359664,0.0296732,0.0416409,8.40779e-45,0.155642,
0.87,0.0397347,0.0175465,0.0859677,0.0410228,0.029763,0.0385328,8.40779e-45,0.161931,
0.875,0.0374125,0.0192065,0.0879125,0.0450902,0.0301683,0.0356083,1.12104e-44,0.169517,
0.88,0.0343749,0.0210629,0.0895564,0.0476663,0.0309665,0.033037,1.4013e-44,0.177889,
0.885,0.0308631,0.0230244,0.0909944,0.0484161,0.0321953,0.0309394,2.24208e-44,0.186409,
0.89,0.0272365,0.0249944,0.0923165,0.0471749,0.0339079,0.0293829,3.03331e-30,0.194467,
0.895,0.0239505,0.0268828,0.0935692,0.0439646,0.0361457,0.028379,1.2449e-16,0.20165,
0.9,0.0214903,0.0286046,0.0947632,0.0389895,0.0389274,0.0278755,1.90001e-05,0.207693,
0.905,0.0233695,0.0288031,0.0912017,0.0337829,0.0402514,0.0263362,0.00871109,0.213445,
0.91,0.0250591,0.0295956,0.0908788,0.0270503,0.0435398,0.0260718,0.0111244,0.216747,
0.915,0.0286027,0.0303199,0.0913481,0.0201013,0.0475982,0.0262006,0.0117089,0.217789,
0.92,0.0344445,0.0309819,0.0924119,0.0137784,0.0521691,0.0265281,0.0107021,0.216249,
0.925,0.0428561,0.0316157,0.0937822,0.00890447,0.0569675,0.0268414,0.00853676,0.212079,
0.93,0.051319,0.0326205,0.0976975,2.93576e-09,0.0626394,0.0292251,0.00283021,0.207072,
0.935,0.0647825,0.0332519,0.098691,6.25054e-08,0.0671201,0.0288205,0.000243407,0.198833,
0.94,0.0823113,0.0337413,0.0972799,0.00901581,0.0704589,0.0256712,1.53803e-06,0.187823,
0.945,0.0992726,0.0343852,0.0966521,0.0151733,0.073453,0.0237209,3.28046e-07,0.177763,
0.95,0.116321,0.0353028,0.0960795,0.0240835,0.0759829,0.0212208,2.01803e-05,0.166829,
0.955,0.132977,0.0363033,0.0952107,0.0354214,0.0779849,0.0181682,0.000949865,0.155223,
0.96,0.150866,0.0362622,0.0903902,0.049471,0.0780781,0.0135858,0.00965202,0.144073,
0.965,0.164485,0.0370745,0.0890682,0.0636203,0.0797438,0.00998955,0.0124767,0.132082,
0.97,0.174976,0.0379233,0.0884009,0.0776022,0.0819674,0.00672254,0.0148747,0.120482,
0.975,0.184843,0.0392271,0.0868527,0.0923149,0.0837748,1.88865e-07,0.0198734,0.109986,
0.98,0.186253,0.0402324,0.0889975,0.102197,0.0880497,2.3424e-16,0.019315,0.100469,
0.985,0.184534,0.0415679,0.0918161,0.109912,0.0926038,3.96898e-21,0.0188231,0.0923759,
