time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,synergy9,synergy10,
0.005,0.00623766,0.0141885,0,0.408367,0.292702,0.00881102,0,0,0.038453,0.0185311,
0.01,0.354068,0,0,0.684406,0,0.0873616,0,0,0,0,
0.015,0,0,0,0.580928,0.160838,0,0,0,0.00444748,0,
0.02,0.146347,0,0,0.674918,0.152281,0.150424,0,0,0.0835153,0,
0.025,0,0,0,0.865973,0.124789,0.0204986,0,0,0.106516,0.000686711,
0.03,0,0,0,0.470592,0.169098,0.017387,0,0,0.139926,0,
0.035,0,0,4.10639e-05,0.565243,0.093042,0.0200075,0,0,0.136464,0,
0.04,0.0259156,0,0,0.410078,0.172246,0.0395367,0,0,0.0799861,0,
0.045,0.061383,0.0408455,0.00136392,0.7042,0.26086,0.0374948,0.0692658,0.163205,0.0909002,0.0404363,
0.05,0.135518,0,0,1,0,0.00017041,0,0,0.000448879,0,
0.055,0.0672153,0,0,0.68226,0.0132215,0.166841,0,0,0.128123,0,
0.06,0.0365605,0,0,0.440408,0.0616333,0.0313083,0,0,0.104903,0,
0.065,0.0316782,0.000261137,0,0.352243,0.134007,0.0120079,0,0,0.112838,0,
0.07,0.144666,0.00605721,0.000575308,0.275039,0.156977,0.0298462,0.0912469,0.26015,0.102245,0.0248496,
0.075,0.0828124,0,0,0.702276,0.0198069,0.0636589,0,0,0,0,
0.08,0.125396,0,0,0.481979,0.0795967,0,0.000347048,0,0.130007,0,
0.085,0.194344,0,0,0.337756,0.14303,0.09312,0.190473,0.168306,0.119921,0.00195431,
0.09,0.269041,0,0,0.773064,0.0203938,3.91444e-05,0,0,0,0,
0.095,0.1449,0,0,0.659002,0.0896404,0,0,0,0.0740672,0,
0.1,0.201447,0,0,0.556175,0.094256,0,0,0,0.0792668,0.000828262,
0.105,0.15271,0.0158269,0.00910208,0.51415,0.103729,0.0253846,0,0,0.0534195,0.0223816,
0.11,0.215452,0.0362073,0,0.417471,0.0941853,0.0595914,0,0,0.0515353,0.0145092,
0.115,0.234292,0.0207619,0,0.4398,0.109658,0.10941,0.000703351,0,0.118158,0.0350732,
0.12,0.233511,0.0102683,0.00122016,0.332014,0.099518,0.140986,0,0,0.0905448,0.0194639,
0.125,0.238457,0.000898332,0,0.367269,0.0963351,0.246603,0,0,0.114326,0.028515,
0.13,0.234942,0,0,0.26254,0.103331,0.0759572,0,0,0.112363,0.0214697,
0.135,0.266968,0.0159997,0,0.279333,0.118952,0.180723,0,0,0.089131,0.0273587,
0.14,0.290501,0.0214804,0,0.325683,0.148075,0.24688,0,0,0.0765902,0.0331478,
0.145,0.246172,0.0228973,0.000517828,0.380144,0.10489,0.15576,0,0,0.107707,0.0385011,
0.15,0.284796,0.0914425,0.0935929,0.264278,0.106531,0.154124,0.157225,0.0931593,0.0148642,0.247643,
0.155,0.362558,0,2.50656e-05,0.472587,0.0139445,0.0374807,0,0,0.0262941,0,
0.16,0.308325,0,0,0.260687,0.0156686,0.0524575,0,0,0.0920535,0,
0.165,0.268723,0.00363651,0,0.146484,0.0529432,0.101597,0,0,0.202115,0.00309696,
0.17,0.30266,0.000723528,0.0179364,0.21633,0.0449286,0.105912,0,0,0.125995,0.0177435,
0.175,0.292983,0.000304352,0.0196188,0.280357,0.0199693,0.13805,0,0,0.125694,0.0187473,
0.18,0.344392,0,0.0183624,0.19776,0.0120952,0.32709,0,0,0.11557,0.0120508,
0.185,0.299607,0.0143102,0.0182445,0.363179,0.0650355,0.205726,0,0,0.142414,0.0072972,
0.19,0.321163,0.0209062,0.0126224,0.195182,0.00678109,0.363394,0.000308737,0,0.156151,0.0254746,
0.195,0.30342,0.00526233,0.0366912,0.155256,0.0151698,0.296259,0,0,0.135434,0,
0.2,0.352111,0.0703227,0.217582,0.0471253,0.0220498,0.303283,0.0803436,0.0884312,0,0.228033,
0.205,0.434471,0,0,0.283699,0.0387882,0.213994,0,0,0.00715073,0,
0.21,0.435195,0,0,0.136027,0,0.334656,5.85544e-05,0,0.0977184,0,
0.215,0.407303,0,0.0192135,0.172593,0.00166922,0.373394,0.00172593,0,0.110257,0,
0.22,0.426391,0.00116923,0.0312584,0.15899,0.00551985,0.383876,0.00349459,0,0.0528742,0.00236618,
0.225,0.393081,0.000898103,0.037349,0.169303,0,0.461867,0,0,0.117569,0.0026371,
0.23,0.43842,0,0.0248582,0.095805,0,0.471184,0.000632222,0,0.0358214,0.00117295,
0.235,0.454338,0.0730242,0.116844,0,0,0.427751,0.130019,0.0962261,0.444303,0.155275,
0.24,0.484824,0,0,0.243652,0.0014192,0.436255,0,0,0,0,
0.245,0.499727,0.000944817,0,0,0,0.418945,0,0,0.0399686,0.000412394,
