time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
-0,0.000497964,0,0.12275,9.06366e-05,0.00106295,0.0751096,0.0114006,0.0114086,0.0144928,0.0162652,0.0434152,0.0669832,0.0576471,0.053967,0.0150297,0.0150209,0.0150159,8.30413e-07,2.16638e-06,1.49375e-05,9.50721e-07,3.43075e-05,2.38899e-06,0.000184581,0.000326134,0.0424838,0.0500792,0.0141548,0.000797043,0.0290309,0.0289137,0.0114028,0.0114028,0.00721869,0.0290807,0.00957638,0.0657295,0.0497749,0.028628,0.0285144,3.92271e-06,0.000140412,0.0865034,0.000129122,0.00563248,0.209697,0.0166847,0.0164579,0.0308067,0.0344265,0.0413336,0.0197915,0.0159465,0.0195095,0.0138833,0.0142253,0.0138891,1.84473e-06,0.000127728,5.89748e-05,3.13809e-05,0.000156315,7.56274e-06,0.000591461,0,0.0431588,0.0174838,0.0292379,0.0104356,0.0293595,0.0293151,0.0164577,0.0166847,0.0310649,0.0293227,0.119984,0.0340224,0.0378336,0.0354176,0.0356416,
0.005,0.000440033,0,0.109476,8.82635e-05,0.000961945,0.0697183,0.0156062,0.0156131,0.0173077,0.019851,0.0437362,0.0760938,0.07222,0.0617174,0.0194885,0.0194755,0.0194719,2.27367e-06,3.11805e-06,1.25549e-05,7.84081e-07,3.25104e-05,2.32644e-06,0.000155395,0.000362012,0.0459789,0.0577523,0.0153927,0.000782035,0.0328132,0.0327033,0.0156081,0.0156081,0.0123399,0.0328604,0.0202843,0.0798135,0.0458912,0.0373846,0.037233,5.25894e-06,0.00014229,0.072867,0.00016644,0.00473298,0.178188,0.0211991,0.0210028,0.0348496,0.0399082,0.0419187,0.0207054,0.021919,0.020282,0.0239118,0.0242047,0.0239222,1.55304e-06,0.00010842,8.14232e-05,3.35337e-05,0.000133397,1.04415e-05,0.000682131,4.30733e-05,0.0403377,0.0206936,0.0281941,0.00865471,0.0336482,0.0336086,0.0210025,0.0211991,0.039658,0.0336504,0.119707,0.0409995,0.0347334,0.0471764,0.047425,
0.01,0.000465156,0,0.116486,9.3825e-05,0.00103601,0.0739108,0.0180527,0.01806,0.0201498,0.0230082,0.0471166,0.0843936,0.0822381,0.0683561,0.0223614,0.0223484,0.0223448,3.17509e-06,3.7639e-06,1.29653e-05,6.16023e-07,3.64725e-05,2.47303e-06,0.000163774,0.000393826,0.0509395,0.0641038,0.0175406,0.000889786,0.0387792,0.0386633,0.0180547,0.0180547,0.0159973,0.0388319,0.0276151,0.0895598,0.0447736,0.0410221,0.0408545,5.89532e-06,0.000149046,0.076806,0.000186669,0.00487126,0.187879,0.0242756,0.0240746,0.0380918,0.0436619,0.0455416,0.0230861,0.0283202,0.023759,0.0295147,0.0298243,0.0295278,1.63678e-06,0.000114815,9.16394e-05,3.73849e-05,0.000140886,1.17515e-05,0.00074809,7.20225e-05,0.0429155,0.0226016,0.0305273,0.00684239,0.0396503,0.039608,0.0240743,0.0242756,0.0435419,0.0396559,0.129777,0.0448311,0.0333751,0.0524178,0.0526923,
0.015,0.000431703,0,0.105177,9.58713e-05,0.000950912,0.0721947,0.0188144,0.0188209,0.019958,0.0229599,0.045094,0.083565,0.0829186,0.0677491,0.0229262,0.0229117,0.0229086,3.40298e-06,3.94941e-06,1.14487e-05,5.98036e-07,3.33608e-05,2.52696e-06,0.000143695,0.000405376,0.0498163,0.0635271,0.017154,0.000821845,0.0382319,0.038123,0.0188163,0.0188162,0.0169388,0.0382802,0.0290706,0.0902082,0.0451726,0.0424792,0.0423054,6.12134e-06,0.000143709,0.067411,0.000191366,0.00430613,0.166701,0.0252102,0.0250288,0.0379044,0.0439056,0.0433287,0.0220483,0.0279323,0.0222426,0.0311148,0.0313892,0.0311287,1.43611e-06,0.00010106,9.52629e-05,3.85505e-05,0.000124647,1.22162e-05,0.000743953,7.87815e-05,0.0402,0.0233129,0.0285508,0.00665221,0.0386877,0.0386488,0.0250285,0.0252102,0.0450598,0.0387077,0.12309,0.0456972,0.0335992,0.0543713,0.0546456,
0.02,0.000450344,2.57693e-06,0.107723,0.000100843,0.00104653,0.0763294,0.0197222,0.0197288,0.0200555,0.0229849,0.0456652,0.0856316,0.0856298,0.069197,0.024478,0.0244666,0.0244632,3.84032e-06,4.23628e-06,1.1273e-05,1.88396e-06,3.60278e-05,2.65801e-06,0.000146921,0.000433242,0.0519171,0.0650098,0.0181881,0.0033302,0.0414369,0.0413252,0.019724,0.019724,0.0189067,0.0414884,0.0316298,0.0929075,0.0418365,0.0415048,0.0413314,0.000916699,0.000137435,0.0689132,0.000195061,0.00421287,0.17457,0.0270658,0.0268892,0.0379446,0.0439182,0.0440241,0.0229807,0.0313275,0.0240202,0.0346509,0.0349306,0.034666,1.46835e-06,0.00010389,9.64671e-05,4.11979e-05,0.000127468,1.23706e-05,0.000747662,0.00101281,0.0405756,0.0226067,0.0293529,0.00690908,0.0406272,0.0405865,0.0268889,0.0270658,0.0445759,0.0406432,0.123617,0.0455244,0.0300323,0.0543631,0.0546542,
0.025,0.000474796,1.17691e-05,0.110667,0.00010297,0.00128363,0.0815008,0.0210505,0.0210572,0.0240358,0.0325175,0.0490804,0.0885657,0.0854439,0.0690221,0.0272221,0.02721,0.0272056,3.88846e-06,9.64327e-06,1.15753e-05,7.67804e-06,4.02106e-05,4.11817e-06,0.000150355,0.000487504,0.0557356,0.0680882,0.0189883,0.0121433,0.0434141,0.0433055,0.0210524,0.0210523,0.0192413,0.0434722,0.03559,0.0945308,0.0467765,0.043618,0.0434391,0.00416441,0.00014928,0.0705265,0.000194584,0.00432839,0.192139,0.0349114,0.0347195,0.0454306,0.054793,0.0476428,0.0252836,0.0321724,0.0246232,0.041213,0.0414944,0.0412367,1.50267e-06,0.000107271,9.49075e-05,4.35172e-05,0.000132202,1.21706e-05,0.000743661,0.00430349,0.0435033,0.0245847,0.0306892,0.0323574,0.0431284,0.04308,0.0347192,0.0349114,0.0441984,0.0431323,0.128555,0.0452734,0.0338776,0.0584392,0.0587839,
0.03,0.000535067,2.55646e-05,0.120102,0.000111962,0.0016869,0.0934327,0.0235396,0.0235467,0.0242249,0.0326445,0.0532889,0.0929458,0.08789,0.0712932,0.0311968,0.031184,0.0311786,4.04988e-06,9.68437e-06,1.24613e-05,1.62854e-05,4.66685e-05,3.9645e-06,0.000162823,0.000588026,0.0615282,0.071834,0.0201758,0.0253641,0.0463125,0.0461976,0.0235416,0.0235415,0.0203607,0.04638,0.0368568,0.0991702,0.0546067,0.0432314,0.043067,0.00903872,0.0001507,0.0763683,0.000198417,0.00465489,0.227085,0.0376292,0.0374144,0.0453727,0.0540702,0.0513549,0.0288585,0.0343896,0.0264614,0.0499975,0.0502993,0.0500255,1.62727e-06,0.000117442,9.55599e-05,4.65865e-05,0.000142131,1.22543e-05,0.000762114,0.00921982,0.0489962,0.0274871,0.0325947,0.0492848,0.0454823,0.0454244,0.0374141,0.0376292,0.0447352,0.0454721,0.134523,0.0462183,0.0389365,0.0575262,0.0579267,
0.035,0.000555991,3.22968e-05,0.123907,0.000111881,0.0018729,0.0967809,0.0244959,0.0245032,0.0247661,0.03293,0.0549407,0.0934097,0.087341,0.070932,0.0325147,0.0325002,0.0324944,4.09891e-06,9.38249e-06,1.30253e-05,2.06124e-05,4.96798e-05,3.63497e-06,0.00016852,0.00062174,0.0634384,0.072418,0.0204332,0.0318148,0.0472145,0.0471002,0.024498,0.0244979,0.0205915,0.0472869,0.0381342,0.0993078,0.0591972,0.0423791,0.0422301,0.0114172,0.000151356,0.0790469,0.000195041,0.00487394,0.243152,0.0376342,0.0374055,0.0443088,0.0522164,0.0528426,0.0306408,0.0355213,0.0273473,0.0536491,0.0539601,0.0536792,1.68422e-06,0.000122146,9.31637e-05,4.65221e-05,0.000146234,1.1947e-05,0.000757678,0.011618,0.0519259,0.0295892,0.03308,0.057805,0.047069,0.0470061,0.0374053,0.0376342,0.0442246,0.0470486,0.137337,0.0458345,0.0423732,0.0553605,0.0557798,
0.04,0.000534402,3.55238e-05,0.120246,0.000101947,0.00189546,0.0919098,0.0236596,0.0236667,0.0245757,0.0345515,0.053977,0.0899549,0.0824418,0.067431,0.0318899,0.031875,0.0318691,3.68855e-06,1.08656e-05,1.27625e-05,2.26779e-05,4.87934e-05,3.91727e-06,0.000163485,0.000607331,0.0617549,0.0703582,0.0193019,0.0349184,0.0438602,0.0437521,0.0236617,0.0236616,0.018526,0.0439316,0.035846,0.0949059,0.0583156,0.0416254,0.0414804,0.0125382,0.00015148,0.0766812,0.000185143,0.00477796,0.241134,0.0382963,0.0380673,0.0451326,0.0538997,0.0520863,0.0301553,0.0325326,0.0256463,0.0533469,0.0536462,0.0533785,1.63389e-06,0.00011872,8.82893e-05,4.2874e-05,0.00014236,1.13219e-05,0.000724873,0.0127424,0.0507673,0.0287493,0.0321037,0.0673771,0.0444393,0.0443764,0.0380671,0.0382962,0.0420761,0.0444162,0.132923,0.0436264,0.0422025,0.0544748,0.054894,
0.045,0.000531316,3.9599e-05,0.11813,0.000101035,0.00196382,0.0923632,0.0244796,0.0244864,0.0261446,0.0378375,0.055104,0.0900735,0.0811459,0.0665534,0.0326304,0.0326117,0.0326056,3.52798e-06,1.22884e-05,1.28416e-05,2.54721e-05,4.88207e-05,4.25056e-06,0.000159273,0.000627595,0.0624027,0.070867,0.0189994,0.0388921,0.0428862,0.0427829,0.0244815,0.0244814,0.0178634,0.0429585,0.0366643,0.094558,0.0649606,0.0435634,0.0434195,0.0139489,0.000159237,0.0747252,0.000184003,0.00482482,0.242481,0.0400625,0.0398239,0.0471827,0.0568609,0.0530131,0.0308951,0.0310608,0.0246752,0.0553003,0.0555911,0.0553347,1.5918e-06,0.000116096,8.78381e-05,4.27845e-05,0.000139317,1.12641e-05,0.000723558,0.0141648,0.0522297,0.0313269,0.0317837,0.0787814,0.0446395,0.044574,0.0398238,0.0400625,0.0429648,0.0446156,0.134213,0.0442074,0.0479416,0.0558893,0.0563236,
